Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,3.96,3.96,3.96,3.96,000,3.96
2015-04-30,3.96,3.96,3.96,3.96,500,3.96
2015-04-29,3.90,3.96,3.90,3.96,300,3.96
2015-04-28,3.96,3.97,3.96,3.97,1200,3.97
2015-04-27,3.96,3.97,3.96,3.97,1300,3.97
2015-04-24,3.96,3.96,3.96,3.96,900,3.96
2015-04-23,3.93,3.96,3.93,3.96,900,3.96
2015-04-22,3.96,3.96,3.96,3.96,200,3.96
2015-04-21,3.91,3.96,3.91,3.96,700,3.96
2015-04-20,3.97,3.97,3.97,3.97,100,3.97
2015-04-17,3.95,3.96,3.95,3.96,500,3.96
2015-04-16,3.97,3.97,3.97,3.97,100,3.97
2015-04-15,3.93,4.00,3.93,3.98,1800,3.98
2015-04-14,4.00,4.00,4.00,4.00,000,4.00
2015-04-13,4.00,4.00,3.95,4.00,2400,4.00
2015-04-10,3.99,4.00,3.98,4.00,4400,4.00
2015-04-09,3.96,3.99,3.96,3.99,900,3.99
2015-04-08,3.94,3.99,3.94,3.99,3000,3.97
2015-04-07,3.96,3.99,3.94,3.94,1500,3.92025
2015-04-06,3.96,3.96,3.96,3.96,300,3.94015
2015-04-02,3.96,3.96,3.96,3.96,100,3.94015
2015-04-01,3.96,3.98,3.96,3.98,700,3.96005
2015-03-31,4.05,4.05,4.02,4.03,7400,4.0098
2015-03-30,3.96,4.03,3.94,4.03,2600,4.0098
2015-03-27,3.96,3.96,3.96,3.96,100,3.94015
2015-03-26,3.98,4.02,3.97,4.02,900,3.99985
2015-03-25,4.05,4.05,3.94,3.94,1100,3.92025
2015-03-24,4.01,4.05,4.01,4.05,1900,4.0297
2015-03-23,3.94,4.05,3.94,4.05,2800,4.0297
2015-03-20,3.98,4.08,3.92,3.95,7500,3.9302
2015-03-19,4.00,4.04,3.98,4.03,5600,4.0098
2015-03-18,4.02,4.05,4.02,4.04,1000,4.01975
2015-03-17,4.00,4.02,4.00,4.02,8900,3.99985
2015-03-16,4.02,4.02,4.02,4.02,1000,3.99985
2015-03-13,4.02,4.02,4.02,4.02,1300,3.99985
2015-03-12,4.02,4.02,3.98,3.99,4100,3.97
2015-03-11,4.02,4.05,3.90,3.92,4600,3.90035
2015-03-10,4.02,4.02,4.01,4.01,1200,3.9899
2015-03-09,3.97,4.02,3.97,4.01,1400,3.9899
2015-03-06,4.02,4.02,3.94,3.97,4100,3.9501
2015-03-05,3.99,3.99,3.98,3.98,1200,3.96005
2015-03-04,4.06,4.06,3.93,3.93,600,3.9103
2015-03-03,4.02,4.08,3.93,4.03,4000,4.0098
2015-03-02,4.02,4.02,3.97,4.02,1700,3.99985
2015-02-27,4.02,4.03,3.93,4.00,2600,3.97995
2015-02-26,3.95,4.02,3.91,4.02,2400,3.99985
2015-02-25,4.02,4.02,4.02,4.02,000,3.99985
2015-02-24,3.94,4.03,3.94,4.02,1200,3.99985
2015-02-23,3.99,4.01,3.99,4.01,1800,3.9899
2015-02-20,3.97,3.99,3.97,3.99,700,3.97
2015-02-19,3.91,3.96,3.83,3.90,8300,3.88045
2015-02-18,3.86,3.99,3.86,3.99,800,3.97
2015-02-17,3.97,4.01,3.86,3.91,5100,3.8904
2015-02-13,3.97,3.98,3.83,3.96,2300,3.94015
2015-02-12,3.98,3.98,3.97,3.97,1100,3.9501
2015-02-11,3.82,3.98,3.82,3.96,5400,3.94015
2015-02-10,3.98,3.98,3.98,3.98,000,3.96005
2015-02-09,3.97,3.98,3.88,3.98,3900,3.96005
2015-02-06,3.99,3.99,3.86,3.99,3400,3.97
2015-02-05,4.00,4.02,3.99,3.99,1000,3.97
2015-02-04,3.99,4.00,3.97,3.97,2500,3.9501
2015-02-03,3.90,3.99,3.90,3.91,500,3.8904
2015-02-02,3.97,3.99,3.97,3.99,500,3.97
2015-01-30,3.79,3.99,3.79,3.99,4200,3.97
2015-01-29,3.90,3.90,3.90,3.90,400,3.88045
2015-01-28,3.90,4.00,3.90,4.00,2600,3.97995
2015-01-27,3.97,3.99,3.97,3.99,700,3.97
2015-01-26,3.96,3.99,3.87,3.87,1400,3.8506
2015-01-23,3.85,3.88,3.85,3.88,1300,3.86055
2015-01-22,3.82,4.00,3.82,4.00,6900,3.97995
2015-01-21,3.99,3.99,3.99,3.99,000,3.97
2015-01-20,3.82,3.99,3.82,3.99,1100,3.97
2015-01-16,3.98,4.00,3.81,4.00,1200,3.97995
2015-01-15,3.90,4.00,3.80,3.94,8500,3.92025
2015-01-14,3.89,4.00,3.89,4.00,200,3.97995
2015-01-13,3.91,4.00,3.91,4.00,1300,3.97995
2015-01-12,4.00,4.00,4.00,4.00,1000,3.97995
2015-01-09,3.95,4.01,3.94,4.00,3700,3.97995
2015-01-08,3.92,3.95,3.92,3.95,2200,3.9302
2015-01-07,3.90,3.92,3.87,3.92,1500,3.90035
2015-01-06,3.95,3.95,3.75,3.92,9700,3.90035
2015-01-05,3.90,4.01,3.90,4.01,13700,3.9899
2015-01-02,3.99,4.03,3.98,4.03,11400,4.0098
2014-12-31,3.95,4.05,3.95,4.03,6200,4.0098
2014-12-30,3.88,3.95,3.86,3.93,4800,3.9103
2014-12-29,3.86,3.90,3.78,3.90,3100,3.88045
2014-12-26,3.89,3.90,3.79,3.90,5500,3.88045
2014-12-24,3.86,3.90,3.86,3.90,1800,3.88045
2014-12-23,3.84,3.90,3.80,3.90,3600,3.88045
2014-12-22,3.88,3.90,3.88,3.90,2900,3.88045
2014-12-19,3.81,3.88,3.81,3.88,2800,3.86055
2014-12-18,3.83,3.88,3.83,3.87,6600,3.8506
2014-12-17,3.83,3.83,3.83,3.83,1100,3.8108
2014-12-16,3.82,3.83,3.82,3.83,3500,3.8108
2014-12-15,3.85,3.88,3.77,3.88,2700,3.86055
2014-12-12,3.88,3.88,3.80,3.88,1700,3.86055
2014-12-11,3.83,3.88,3.66,3.88,8100,3.86055
2014-12-10,3.82,3.88,3.81,3.87,4100,3.8506
2014-12-09,3.87,3.88,3.80,3.88,2100,3.86055
2014-12-08,3.88,3.88,3.78,3.88,2300,3.86055
2014-12-05,3.87,3.88,3.87,3.88,1700,3.86055
2014-12-04,3.84,3.88,3.75,3.88,6600,3.86055
2014-12-03,3.85,3.85,3.85,3.85,1100,3.8307
2014-12-02,3.79,3.85,3.66,3.85,7100,3.8307
2014-12-01,3.85,3.85,3.83,3.85,2400,3.8307
2014-11-28,3.82,3.85,3.82,3.85,4000,3.8307
2014-11-26,3.82,3.82,3.82,3.82,000,3.80085
2014-11-25,3.81,3.82,3.81,3.82,1600,3.80085
2014-11-24,3.69,3.82,3.68,3.82,8700,3.80085
2014-11-21,3.88,3.88,3.71,3.82,6100,3.80085
2014-11-20,3.82,3.86,3.72,3.86,3700,3.84065
2014-11-19,3.85,3.88,3.81,3.88,4800,3.86055
2014-11-18,3.85,3.87,3.85,3.87,1200,3.8506
2014-11-17,3.82,3.88,3.81,3.85,3000,3.8307
2014-11-14,3.81,3.88,3.81,3.88,1500,3.86055
2014-11-13,3.86,3.89,3.85,3.89,6400,3.8705
2014-11-12,3.86,3.89,3.79,3.89,3600,3.8705
2014-11-11,3.77,3.88,3.58,3.88,3400,3.84065
2014-11-10,3.70,3.88,3.70,3.77,6800,3.73177
2014-11-07,3.72,3.72,3.72,3.72,000,3.68227
2014-11-06,3.67,3.72,3.52,3.72,5700,3.68227
2014-11-05,3.77,3.82,3.50,3.80,20900,3.76146
2014-11-04,3.80,3.84,3.70,3.75,20100,3.71197
2014-11-03,3.87,3.91,3.72,3.84,15000,3.80106
2014-10-31,3.86,3.93,3.84,3.85,8800,3.81096
2014-10-30,3.94,3.95,3.85,3.86,5700,3.82085
2014-10-29,3.86,3.92,3.78,3.92,6200,3.88025
2014-10-28,3.85,3.95,3.85,3.95,1300,3.90994
2014-10-27,3.95,3.95,3.83,3.83,1300,3.79116
2014-10-24,3.83,3.95,3.83,3.95,2300,3.90994
2014-10-23,3.92,3.92,3.83,3.83,5100,3.79116
2014-10-22,3.93,3.95,3.83,3.95,3200,3.90994
2014-10-21,3.94,3.94,3.82,3.94,3200,3.90004
2014-10-20,3.92,3.94,3.81,3.94,1900,3.90004
2014-10-17,3.88,3.94,3.77,3.92,5700,3.88025
2014-10-16,3.84,3.97,3.78,3.94,2300,3.90004
2014-10-15,3.78,3.96,3.77,3.94,4200,3.90004
2014-10-14,3.85,3.88,3.72,3.88,2900,3.84065
2014-10-13,3.99,3.99,3.84,3.84,2500,3.80106
2014-10-10,4.00,4.00,3.99,4.00,1000,3.95943
2014-10-09,4.00,4.00,4.00,4.00,1200,3.95943
2014-10-08,3.90,4.00,3.86,4.00,4100,3.95943
2014-10-07,3.95,4.00,3.82,4.00,2600,3.95943
2014-10-06,4.00,4.00,4.00,4.00,000,3.95943
2014-10-03,4.00,4.00,3.87,4.00,2300,3.95943
2014-10-02,3.89,4.00,3.88,4.00,900,3.95943
2014-10-01,4.00,4.00,4.00,4.00,300,3.95943
2014-09-30,3.98,3.98,3.97,3.98,2100,3.93964
2014-09-29,3.94,3.98,3.82,3.98,9500,3.93964
2014-09-26,3.74,3.92,3.74,3.90,6900,3.86045
2014-09-25,3.82,3.83,3.78,3.79,3200,3.75156
2014-09-24,3.88,3.94,3.76,3.76,10900,3.72187
2014-09-23,3.82,3.96,3.76,3.79,4700,3.75156
2014-09-22,3.75,3.94,3.70,3.90,4100,3.86045
