Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,43.42,43.47,43.37,43.41,856100,43.41
2015-04-29,43.48,43.54,43.35,43.45,551000,43.45
2015-04-28,43.54,43.54,43.21,43.48,542300,43.48
2015-04-27,43.51,43.65,43.30,43.46,455100,43.46
2015-04-24,43.56,43.60,43.30,43.54,1019400,43.54
2015-04-23,43.68,43.89,43.61,43.88,672100,43.88
2015-04-22,43.80,43.85,43.66,43.69,668500,43.69
2015-04-21,43.84,43.87,43.66,43.80,1315000,43.80
2015-04-20,43.67,43.88,43.58,43.81,758400,43.81
2015-04-17,43.59,43.65,43.53,43.58,1004700,43.58
2015-04-16,43.59,43.69,43.56,43.62,558600,43.62
2015-04-15,43.74,43.75,43.50,43.55,2399100,43.55
2015-04-14,43.71,43.77,43.64,43.64,1085700,43.64
2015-04-13,43.78,43.79,43.65,43.70,1089400,43.70
2015-04-10,43.92,43.95,43.60,43.73,1024200,43.73
2015-04-09,43.97,44.04,43.77,43.82,487800,43.82
2015-04-08,43.94,44.06,43.92,43.96,736400,43.96
2015-04-07,43.92,44.05,43.89,43.98,727500,43.98
2015-04-06,43.60,43.94,43.55,43.94,991300,43.94
2015-04-02,43.62,43.77,43.52,43.60,898400,43.60
2015-04-01,44.11,44.14,43.53,43.60,3743300,43.60
2015-03-31,44.13,44.15,44.10,44.11,614700,44.11
2015-03-30,44.10,44.18,44.09,44.11,609300,44.11
2015-03-27,44.10,44.16,44.07,44.07,683200,44.07
2015-03-26,44.12,44.18,44.08,44.08,801900,44.08
2015-03-25,44.18,44.19,44.08,44.09,854100,44.09
2015-03-24,44.20,44.22,44.14,44.15,908000,44.15
2015-03-23,44.20,44.25,44.18,44.18,358900,44.18
2015-03-20,44.26,44.26,44.17,44.18,1230400,44.18
2015-03-19,44.23,44.24,44.18,44.23,556400,44.23
2015-03-18,44.19,44.27,44.18,44.23,863300,44.23
2015-03-17,44.18,44.24,44.15,44.20,313800,44.20
2015-03-16,44.22,44.24,44.14,44.19,610700,44.19
2015-03-13,44.18,44.23,44.16,44.17,587700,44.17
2015-03-12,44.20,44.30,44.16,44.20,795200,44.20
2015-03-11,44.14,44.23,44.07,44.22,692400,44.22
2015-03-10,44.05,44.14,44.05,44.09,1188900,44.09
2015-03-09,44.10,44.14,44.06,44.06,743200,44.06
2015-03-06,44.12,44.18,44.04,44.05,733000,44.05
2015-03-05,44.07,44.13,44.03,44.12,569600,44.12
2015-03-04,44.06,44.16,44.04,44.09,698900,44.09
2015-03-03,44.09,44.15,44.00,44.12,687700,44.12
2015-03-02,44.12,44.19,44.08,44.09,624700,44.09
2015-02-27,44.06,44.18,44.03,44.17,631500,44.17
2015-02-26,44.11,44.16,44.02,44.05,441700,44.05
2015-02-25,44.17,44.18,44.06,44.11,472100,44.11
2015-02-24,44.08,44.18,44.06,44.17,389000,44.17
