Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,9.40,9.46,9.06,9.08,42000,9.08
2015-04-30,9.95,9.97,9.31,9.41,69500,9.41
2015-04-29,10.30,10.30,10.00,10.01,15000,10.01
2015-04-28,10.11,10.43,10.11,10.31,26900,10.31
2015-04-27,10.06,10.16,10.05,10.08,28800,10.08
2015-04-24,9.98,10.15,9.98,10.10,65100,10.10
2015-04-23,9.85,10.14,9.85,10.02,68000,10.02
2015-04-22,9.98,9.99,9.93,9.95,20000,9.95
2015-04-21,10.04,10.04,9.98,10.00,19900,10.00
2015-04-20,9.93,10.11,9.90,10.07,16300,10.07
2015-04-17,9.95,9.95,9.85,9.87,46300,9.87
2015-04-16,10.15,10.16,10.01,10.02,27800,10.02
2015-04-15,9.97,10.23,9.91,10.13,37800,10.13
2015-04-14,10.10,10.12,9.94,9.97,45900,9.97
2015-04-13,10.11,10.12,10.08,10.10,27000,10.10
2015-04-10,10.11,10.15,10.05,10.11,73700,10.11
2015-04-09,10.04,10.15,9.98,10.11,27400,10.11
2015-04-08,9.90,10.02,9.90,10.00,22700,10.00
2015-04-07,9.89,9.98,9.85,9.93,23100,9.93
2015-04-06,9.76,10.00,9.76,9.89,53000,9.89
2015-04-02,9.93,10.00,9.63,9.79,35900,9.79
2015-04-01,9.82,9.91,9.76,9.90,24000,9.90
2015-03-31,9.80,9.92,9.76,9.84,63300,9.84
2015-03-30,9.98,10.00,9.78,9.81,52700,9.81
2015-03-27,9.74,9.93,9.66,9.93,38900,9.93
2015-03-26,9.92,9.92,9.68,9.76,45300,9.76
2015-03-25,10.02,10.07,9.90,9.91,27700,9.91
2015-03-24,9.91,10.08,9.89,10.01,31900,10.01
2015-03-23,9.92,9.97,9.87,9.92,23900,9.92
2015-03-20,9.68,9.95,9.68,9.94,61700,9.94
2015-03-19,9.64,9.72,9.52,9.65,14300,9.65
2015-03-18,9.70,9.70,9.39,9.64,14800,9.64
2015-03-17,9.52,9.59,9.24,9.45,41000,9.45
2015-03-16,9.48,9.65,9.41,9.58,50900,9.58
2015-03-13,9.38,9.44,9.25,9.42,15200,9.42
2015-03-12,9.17,9.43,9.15,9.38,21500,9.38
2015-03-11,9.22,9.22,9.10,9.14,60000,9.14
2015-03-10,9.40,9.40,9.16,9.18,34000,9.18
2015-03-09,9.43,9.52,9.39,9.46,9200,9.46
2015-03-06,9.28,9.59,9.28,9.38,27700,9.38
2015-03-05,9.32,9.34,9.10,9.32,23100,9.32
2015-03-04,9.61,9.61,9.23,9.34,30200,9.34
2015-03-03,9.75,9.75,9.66,9.66,5900,9.66
2015-03-02,9.93,10.00,9.76,9.78,29900,9.78
2015-02-27,9.82,9.99,9.80,9.89,29700,9.89
2015-02-26,9.87,9.99,9.80,9.84,12700,9.84
2015-02-25,9.71,9.94,9.65,9.92,10700,9.92
2015-02-24,9.68,9.87,9.64,9.73,21000,9.73
2015-02-23,9.80,9.84,9.60,9.62,20600,9.62
2015-02-20,9.95,9.95,9.85,9.87,51900,9.87
2015-02-19,9.97,10.01,9.93,9.93,29100,9.93
2015-02-18,9.93,10.03,9.93,9.98,122400,9.98
2015-02-17,10.10,10.10,9.90,10.01,23400,10.01
2015-02-13,10.20,10.27,10.00,10.06,91300,10.06
2015-02-12,10.29,10.34,10.20,10.22,18400,10.22
2015-02-11,10.29,10.38,10.20,10.21,20300,10.21
2015-02-10,10.57,10.57,10.21,10.23,39400,10.23
2015-02-09,10.73,10.87,10.49,10.51,26500,10.51
2015-02-06,10.41,10.73,10.41,10.73,35700,10.73
2015-02-05,10.30,10.46,10.23,10.44,26600,10.44
2015-02-04,10.45,10.49,9.75,10.22,63000,10.22
2015-02-03,10.37,10.78,10.31,10.78,88100,10.78
2015-02-02,10.40,10.41,10.17,10.38,30000,10.38
2015-01-30,10.62,10.73,10.36,10.38,53900,10.38
2015-01-29,10.72,10.74,10.48,10.74,16000,10.74
2015-01-28,10.76,10.79,10.64,10.75,49100,10.75
