Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,36.98,37.11,35.50,35.70,332100,35.70
2015-04-29,38.12,38.12,36.61,37.23,295500,37.23
2015-04-28,38.11,39.20,37.86,38.24,256600,38.24
2015-04-27,38.82,39.48,37.60,38.25,298700,38.25
2015-04-24,39.55,39.78,38.49,38.75,171500,38.75
2015-04-23,39.26,39.70,38.44,39.37,152500,39.37
2015-04-22,38.86,39.39,38.17,39.25,270900,39.25
2015-04-21,38.80,38.96,38.21,38.73,185500,38.73
2015-04-20,37.27,39.08,37.16,38.77,350200,38.77
2015-04-17,37.34,37.34,36.65,37.16,171500,37.16
2015-04-16,37.28,37.66,36.90,37.66,152300,37.66
2015-04-15,36.74,37.70,35.84,37.35,153700,37.35
2015-04-14,36.40,36.54,36.11,36.47,175000,36.47
2015-04-13,37.34,37.38,36.20,36.43,279000,36.43
2015-04-10,36.33,37.52,36.01,37.14,400400,37.14
2015-04-09,35.79,36.35,35.46,36.34,197700,36.34
2015-04-08,36.16,36.55,35.03,35.78,432000,35.78
2015-04-07,35.43,36.66,35.18,36.24,364300,36.24
2015-04-06,36.84,37.31,35.26,35.62,481700,35.62
2015-04-02,38.11,38.26,36.48,37.07,343200,37.07
2015-04-01,37.89,38.73,37.42,38.26,284300,38.26
2015-03-31,37.61,38.16,37.40,37.89,184700,37.89
2015-03-30,37.83,38.26,37.55,37.95,311500,37.95
2015-03-27,37.66,38.30,37.51,37.72,262000,37.72
2015-03-26,38.06,38.18,36.95,37.80,496700,37.80
2015-03-25,39.31,39.73,38.14,38.26,208400,38.26
2015-03-24,40.01,40.25,39.20,39.40,253000,39.40
2015-03-23,40.66,41.32,40.14,40.20,199500,40.20
2015-03-20,40.74,41.29,40.35,41.09,324800,41.09
2015-03-19,40.34,40.97,40.05,40.47,212100,40.47
2015-03-18,40.37,40.70,39.87,40.40,236600,40.40
2015-03-17,40.74,41.20,40.22,40.52,427500,40.52
2015-03-16,40.93,42.15,40.63,40.80,312500,40.80
2015-03-13,40.41,40.97,39.80,40.85,316700,40.85
2015-03-12,40.16,40.75,39.99,40.42,169800,40.42
2015-03-11,39.32,40.27,39.32,40.04,272900,40.04
2015-03-10,39.94,40.36,39.32,39.44,329400,39.44
2015-03-09,40.03,40.77,40.03,40.56,237600,40.56
2015-03-06,39.82,40.42,39.65,40.05,266800,40.05
2015-03-05,40.14,40.60,39.29,40.03,201000,40.03
2015-03-04,39.97,40.35,39.38,40.03,284800,40.03
2015-03-03,42.55,42.69,39.25,40.37,986900,40.37
2015-03-02,42.18,43.68,42.05,43.46,562700,43.46
2015-02-27,41.76,42.50,41.64,41.88,217900,41.88
2015-02-26,41.84,42.09,40.85,41.83,263000,41.83
2015-02-25,42.38,42.61,41.76,42.04,258500,42.04
2015-02-24,41.16,42.61,41.16,42.54,392100,42.54
2015-02-23,41.12,41.30,40.44,41.27,237900,41.27
2015-02-20,40.86,41.40,40.14,41.38,216800,41.38
2015-02-19,39.71,40.94,39.71,40.83,367200,40.83
2015-02-18,40.07,40.47,39.28,39.78,189700,39.78
2015-02-17,39.91,40.66,39.77,40.19,221400,40.19
2015-02-13,39.20,40.20,38.87,39.76,219200,39.76
2015-02-12,39.00,39.50,38.78,39.21,219300,39.21
2015-02-11,39.03,39.65,38.66,38.68,239200,38.68
2015-02-10,38.40,39.60,38.22,39.04,266600,39.04
