Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,6.58,6.61,6.41,6.60,1081000,6.55787
2015-04-30,6.45,6.70,6.44,6.55,2030800,6.50819
2015-04-29,6.29,6.60,6.21,6.42,1605900,6.37902
2015-04-28,6.25,6.35,6.19,6.30,1082100,6.25979
2015-04-27,6.25,6.38,6.17,6.21,1678800,6.17036
2015-04-24,6.29,6.35,6.18,6.23,1613000,6.19023
2015-04-23,6.39,6.41,6.20,6.29,1948400,6.24985
2015-04-22,6.50,6.64,6.31,6.40,1558000,6.35915
2015-04-21,6.60,6.68,6.39,6.50,2192800,6.45851
2015-04-20,6.40,6.65,6.35,6.55,2113300,6.50819
2015-04-17,6.40,6.51,6.25,6.28,1491300,6.23991
2015-04-16,6.30,6.58,6.20,6.40,2394600,6.35915
2015-04-15,6.45,6.70,6.23,6.32,4783900,6.27966
2015-04-14,5.71,6.39,5.71,6.36,4490200,6.3194
2015-04-13,5.63,5.74,5.56,5.68,1499800,5.64374
2015-04-10,5.55,5.75,5.46,5.60,1788900,5.56426
2015-04-09,5.61,5.71,5.50,5.55,1820900,5.51457
2015-04-08,5.70,5.87,5.59,5.62,1773500,5.5424
2015-04-07,5.77,5.95,5.71,5.77,2206900,5.69032
2015-04-06,5.94,5.96,5.70,5.77,2378000,5.69032
2015-04-02,5.45,5.79,5.43,5.78,3132700,5.70019
2015-04-01,5.39,5.64,5.39,5.46,1859100,5.3846
2015-03-31,5.38,5.64,5.38,5.48,2368400,5.40433
2015-03-30,5.57,5.81,5.15,5.55,6508900,5.47336
2015-03-27,6.07,6.12,5.85,5.90,2110000,5.81853
2015-03-26,6.28,6.40,6.05,6.16,1797700,6.07494
2015-03-25,6.10,6.31,5.95,6.15,2885400,6.06508
2015-03-24,6.29,6.38,6.21,6.24,1580700,6.15383
2015-03-23,6.11,6.42,5.98,6.22,1541000,6.13411
2015-03-20,6.13,6.30,5.98,6.01,3367200,5.92701
2015-03-19,6.00,6.25,5.93,5.99,1999600,5.90729
2015-03-18,5.71,6.43,5.59,6.24,2491300,6.15383
2015-03-17,5.75,5.83,5.52,5.79,2374900,5.71005
2015-03-16,6.10,6.18,5.78,5.79,3763900,5.71005
2015-03-13,6.27,6.40,6.10,6.20,2222200,6.11439
2015-03-12,6.33,6.60,6.25,6.33,1692900,6.24259
2015-03-11,6.35,6.47,6.03,6.28,2542200,6.19328
2015-03-10,6.71,6.81,6.30,6.35,3635900,6.26232
2015-03-09,7.45,7.45,6.91,6.98,2745100,6.88362
2015-03-06,7.61,7.65,7.45,7.50,1609100,7.39644
2015-03-05,7.75,7.85,7.63,7.66,1715100,7.55423
2015-03-04,7.90,7.92,7.50,7.81,2870600,7.6203
2015-03-03,7.53,7.92,7.44,7.88,7997600,7.6886
2015-03-02,7.14,7.35,6.91,7.31,2691200,7.13245
2015-02-27,7.30,7.42,7.10,7.17,2356300,6.99585
2015-02-26,7.37,7.50,7.26,7.31,2361400,7.13245
2015-02-25,7.35,7.65,7.25,7.50,3210600,7.31783
2015-02-24,7.51,7.59,7.28,7.33,2032700,7.15196
2015-02-23,7.50,7.65,7.29,7.47,1721600,7.28856
2015-02-20,7.73,7.87,7.50,7.59,1378600,7.40564
2015-02-19,7.50,7.85,7.33,7.69,1804900,7.50322
2015-02-18,7.90,7.97,7.63,7.81,2018700,7.6203
2015-02-17,7.92,8.15,7.50,8.05,2834600,7.85447
2015-02-13,7.69,8.07,7.69,7.85,2831200,7.65933
2015-02-12,7.65,7.80,7.33,7.53,2570100,7.3471
2015-02-11,7.41,7.54,7.02,7.32,3519800,7.1422
2015-02-10,8.62,8.88,7.60,7.72,3882500,7.53249
2015-02-09,8.48,9.02,8.10,8.36,5405800,8.15694
2015-02-06,8.90,8.90,8.05,8.38,4838700,8.17646
2015-02-05,8.26,8.85,8.26,8.62,3822200,8.41063
2015-02-04,8.65,8.65,7.93,8.02,5005300,7.74422
2015-02-03,8.00,9.40,7.50,8.90,12057600,8.59396
2015-02-02,7.01,7.74,6.90,7.69,5630700,7.42556
2015-01-30,6.50,6.81,6.26,6.56,2329900,6.33442
2015-01-29,6.37,6.50,6.10,6.45,2771900,6.2282
2015-01-28,6.99,7.05,6.09,6.21,4316300,5.99646
2015-01-27,6.45,7.10,6.30,6.94,5963000,6.70135
2015-01-26,5.40,6.61,5.40,6.56,6029800,6.33442
2015-01-23,5.27,5.51,5.12,5.40,2730100,5.21431
2015-01-22,5.40,5.40,5.01,5.21,2938900,5.03084
2015-01-21,4.88,5.39,4.79,5.13,4402700,4.95359
2015-01-20,4.89,4.90,4.56,4.82,3333200,4.65425
2015-01-16,5.03,5.05,4.75,4.87,3561800,4.70254
2015-01-15,5.34,5.39,4.68,4.69,4239500,4.52873
2015-01-14,5.25,5.40,4.55,5.12,8186700,4.94394
2015-01-13,5.66,5.69,5.27,5.39,4302600,5.20465
2015-01-12,6.40,6.43,5.65,5.66,5261100,5.46537
2015-01-09,6.80,6.84,6.43,6.43,3614900,6.20889
2015-01-08,6.89,7.00,6.69,6.78,4162400,6.46671
2015-01-07,6.98,7.10,6.63,6.70,3948400,6.39041
2015-01-06,7.02,7.23,6.80,6.90,4200900,6.58117
2015-01-05,7.74,7.77,6.80,6.82,6189700,6.50486
2015-01-02,7.00,7.88,6.99,7.63,3886400,7.27743
2014-12-31,6.51,7.01,6.50,7.00,6031300,6.67654
2014-12-30,6.70,6.91,6.50,6.52,5219400,6.21872
2014-12-29,7.06,7.19,6.55,6.76,5011000,6.44763
2014-12-26,7.00,7.20,6.95,7.02,2548600,6.69562
2014-12-24,7.17,7.28,6.91,7.06,2353100,6.73377
2014-12-23,7.27,7.55,7.05,7.29,4007800,6.95314
2014-12-22,7.82,8.03,7.13,7.31,4457300,6.97222
2014-12-19,7.77,7.87,7.41,7.82,5257600,7.45865
2014-12-18,8.55,8.96,7.40,7.69,5407100,7.33466
2014-12-17,7.58,8.68,7.56,8.14,5603200,7.76387
2014-12-16,6.51,8.03,6.46,7.65,7613400,7.29651
2014-12-15,8.21,8.38,6.82,6.95,7082900,6.62885
2014-12-12,8.50,8.79,7.76,8.12,6548000,7.74479
2014-12-11,9.40,9.85,8.75,8.79,4031400,8.38383
2014-12-10,9.94,9.99,9.06,9.62,4166000,9.17548
2014-12-09,8.82,10.42,8.65,10.23,5070300,9.75729
2014-12-08,10.10,10.10,8.50,9.03,7086700,8.61274
2014-12-05,11.11,11.11,10.12,10.29,3124000,9.81452
2014-12-04,11.72,11.80,10.87,11.00,2828400,10.49171
2014-12-03,11.80,12.36,11.47,11.86,3754200,11.14697
2014-12-02,10.80,11.90,10.70,11.30,3855100,10.62064
2014-12-01,12.91,13.21,10.65,10.80,9243900,10.1507
2014-11-28,13.50,13.58,12.62,13.21,3060900,12.4158
2014-11-26,15.00,15.07,14.65,14.84,2090000,13.94781
2014-11-25,15.50,15.55,14.98,15.07,1785000,14.16398
2014-11-24,15.60,15.75,15.26,15.37,1377900,14.44594
2014-11-21,15.95,16.05,15.33,15.57,3516400,14.63392
2014-11-20,15.00,15.85,14.76,15.48,2664400,14.54933
2014-11-19,15.19,15.49,14.43,14.73,3570200,13.84442
2014-11-18,15.00,15.36,14.97,15.16,1398700,14.24857
2014-11-17,15.50,15.50,14.99,15.01,1544600,14.10759
2014-11-14,15.13,15.60,14.90,15.55,1262500,14.61512
2014-11-13,15.50,15.83,14.79,14.89,1908700,13.9948
2014-11-12,15.87,16.00,15.50,15.70,1139500,14.7561
2014-11-11,16.00,16.10,15.58,15.91,1435100,14.95348
2014-11-10,16.75,16.83,16.06,16.12,1112000,15.15085
2014-11-07,16.70,17.00,16.37,16.61,1236400,15.61139
2014-11-06,16.86,16.88,16.35,16.70,886000,15.69598
2014-11-05,17.00,17.35,16.53,17.25,1224200,16.05502
