Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,8.95,8.95,8.95,8.95,200,8.95
2015-04-30,9.16,9.43,9.15,9.15,3400,8.971
2015-04-29,9.10,9.15,9.10,9.10,1700,8.92198
2015-04-28,9.12,9.52,9.10,9.13,3100,8.95139
2015-04-27,9.10,9.10,9.09,9.10,2300,8.92198
2015-04-24,9.10,9.14,9.00,9.00,6200,8.82393
2015-04-23,9.01,9.10,8.96,9.10,4000,8.92198
2015-04-22,9.19,9.20,9.00,9.00,6400,8.82393
2015-04-21,9.20,9.20,9.20,9.20,1000,9.02002
2015-04-20,9.14,9.14,9.14,9.14,000,8.9612
2015-04-17,9.10,9.20,9.10,9.14,1500,8.9612
2015-04-16,9.00,9.08,9.00,9.00,7900,8.82393
2015-04-15,9.20,9.20,9.00,9.00,3000,8.82393
2015-04-14,9.10,9.10,9.10,9.10,000,8.92198
2015-04-13,9.07,9.22,9.06,9.10,6800,8.92198
2015-04-10,9.22,9.22,9.08,9.08,1000,8.90237
2015-04-09,9.15,9.22,9.14,9.22,5700,9.03963
2015-04-08,9.10,9.10,9.10,9.10,1100,8.92198
2015-04-07,9.10,9.10,9.10,9.10,000,8.92198
2015-04-06,9.10,9.10,9.10,9.10,200,8.92198
2015-04-02,9.09,9.40,9.02,9.09,5400,8.91217
2015-04-01,9.00,9.00,9.00,9.00,200,8.82393
2015-03-31,9.00,9.00,9.00,9.00,000,8.82393
2015-03-30,9.05,9.08,9.00,9.00,15200,8.82393
2015-03-27,9.02,9.08,9.00,9.00,7300,8.82393
2015-03-26,9.03,9.03,9.03,9.03,100,8.85335
2015-03-25,9.05,9.15,9.02,9.02,5000,8.84354
2015-03-24,9.08,9.08,9.08,9.08,000,8.90237
2015-03-23,9.25,9.25,9.06,9.08,400,8.90237
2015-03-20,9.05,9.11,9.00,9.10,8600,8.92198
2015-03-19,8.95,9.09,8.95,9.09,9000,8.91217
2015-03-18,8.95,8.95,8.95,8.95,2000,8.77491
2015-03-17,8.95,8.99,8.95,8.95,2000,8.77491
2015-03-16,9.15,9.15,9.00,9.00,1600,8.82393
2015-03-13,8.95,8.95,8.95,8.95,000,8.77491
2015-03-12,8.95,8.97,8.95,8.95,4200,8.77491
2015-03-11,8.93,9.15,8.93,8.95,18200,8.77491
2015-03-10,9.01,9.01,8.90,8.90,3500,8.72589
2015-03-09,8.93,8.93,8.93,8.93,000,8.7553
2015-03-06,8.93,8.93,8.93,8.93,000,8.7553
2015-03-05,8.95,8.95,8.93,8.93,1300,8.7553
2015-03-04,9.20,9.20,8.93,8.93,700,8.7553
2015-03-03,8.91,8.91,8.91,8.91,000,8.73569
2015-03-02,8.91,8.91,8.91,8.91,400,8.73569
2015-02-27,8.86,8.90,8.86,8.90,1100,8.72589
2015-02-26,8.95,9.01,8.85,8.95,3900,8.77491
2015-02-25,8.85,8.85,8.85,8.85,000,8.67687
2015-02-24,8.85,8.86,8.85,8.85,300,8.67687
