Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,5.90,5.96,5.80,5.91,15700,5.91
2015-04-30,5.85,5.95,5.43,5.95,74800,5.95
2015-04-29,6.04,6.04,5.90,5.98,23100,5.98
2015-04-28,5.75,6.14,5.75,6.01,23300,6.01
2015-04-27,5.73,5.99,5.72,5.74,18300,5.74
2015-04-24,5.70,5.83,5.68,5.81,5300,5.81
2015-04-23,5.78,5.89,5.67,5.70,9400,5.70
2015-04-22,5.84,5.89,5.79,5.81,12800,5.81
2015-04-21,5.75,5.88,5.69,5.86,12500,5.86
2015-04-20,5.79,5.81,5.56,5.80,14700,5.80
2015-04-17,5.91,5.91,5.77,5.80,8400,5.80
2015-04-16,5.95,5.95,5.95,5.95,000,5.95
2015-04-15,6.00,6.00,5.95,5.95,8700,5.95
2015-04-14,5.90,6.12,5.89,6.05,4100,6.05
2015-04-13,5.88,6.08,5.85,6.05,3700,6.05
2015-04-10,5.89,5.99,5.89,5.97,1100,5.97
2015-04-09,5.93,6.05,5.83,6.05,9200,6.05
2015-04-08,5.87,6.09,5.77,6.05,13600,6.05
2015-04-07,6.01,6.01,5.49,5.99,7400,5.99
2015-04-06,6.00,6.05,6.00,6.01,23400,6.01
2015-04-02,6.04,6.05,6.04,6.05,400,6.05
2015-04-01,5.99,6.10,5.99,6.05,15700,6.05
2015-03-31,5.94,6.07,5.90,6.05,16700,6.05
2015-03-30,5.90,5.99,5.89,5.89,2300,5.89
2015-03-27,5.81,5.99,5.81,5.90,2700,5.90
2015-03-26,5.96,6.00,5.89,5.95,6500,5.95
2015-03-25,6.04,6.04,5.92,6.00,12600,6.00
2015-03-24,6.08,6.08,5.96,6.01,4800,6.01
2015-03-23,5.95,6.10,5.94,6.08,6100,6.08
2015-03-20,5.96,6.11,5.95,6.11,12500,6.11
2015-03-19,6.02,6.12,5.89,6.08,13700,6.08
2015-03-18,5.92,6.13,5.90,6.01,107400,6.01
2015-03-17,5.98,6.08,5.93,6.01,7100,6.01
2015-03-16,5.81,6.07,5.80,6.07,72100,6.07
2015-03-13,5.85,5.89,5.85,5.86,6500,5.86
2015-03-12,5.87,5.88,5.82,5.86,7200,5.86
2015-03-11,5.88,5.96,5.88,5.88,6100,5.88
2015-03-10,5.99,6.01,5.90,6.01,15700,6.01
2015-03-09,6.05,6.05,5.94,6.00,4900,6.00
2015-03-06,5.95,6.07,5.95,5.97,5500,5.97
2015-03-05,6.01,6.09,5.98,6.00,8200,6.00
2015-03-04,5.97,6.09,5.95,6.09,7400,6.09
2015-03-03,6.03,6.14,5.98,6.00,21300,6.00
2015-03-02,6.04,6.11,5.98,6.08,22800,6.08
2015-02-27,5.98,6.15,5.98,6.12,17000,6.12
