Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,4.65,4.65,4.65,4.65,100,4.65
2015-04-30,4.04,4.75,4.04,4.75,900,4.75
2015-04-29,4.75,4.85,4.75,4.76,500,4.76
2015-04-28,4.52,4.52,4.52,4.52,000,4.52
2015-04-27,4.60,4.60,4.52,4.52,1000,4.52
2015-04-24,4.70,4.70,4.70,4.70,200,4.70
2015-04-23,5.08,5.14,4.50,4.82,22800,4.82
2015-04-22,4.98,4.98,4.86,4.86,2400,4.86
2015-04-21,4.99,5.03,4.90,4.90,5200,4.90
2015-04-20,5.01,5.05,5.01,5.01,4800,5.01
2015-04-17,5.12,5.12,5.08,5.10,4800,5.10
2015-04-16,5.20,5.20,5.07,5.17,5000,5.17
2015-04-15,5.30,5.30,5.20,5.20,1000,5.20
2015-04-14,5.49,5.49,5.05,5.15,11200,5.15
2015-04-13,5.22,5.41,5.15,5.20,21900,5.20
2015-04-10,5.20,5.69,5.18,5.21,14900,5.21
2015-04-09,5.01,5.29,5.01,5.16,2000,5.16
2015-04-08,5.18,5.37,5.06,5.24,9300,5.24
2015-04-07,4.95,5.19,4.92,5.00,26700,5.00
2015-04-06,4.67,4.91,4.50,4.91,18700,4.91
2015-04-02,4.59,4.64,4.19,4.64,22000,4.64
2015-04-01,4.64,4.64,4.40,4.61,4200,4.61
2015-03-31,5.12,5.19,4.55,4.64,11800,4.64
2015-03-30,5.52,5.90,5.01,5.01,44200,5.01
2015-03-27,5.05,6.00,5.05,5.55,70300,5.55
2015-03-26,4.06,5.08,4.06,5.08,43500,5.08
2015-03-25,4.26,4.48,3.95,4.39,22100,4.39
2015-03-24,4.44,4.78,4.35,4.65,9100,4.65
2015-03-23,5.12,5.40,4.68,4.75,3000,4.75
2015-03-20,5.60,5.60,5.09,5.09,8300,5.09
2015-03-19,5.70,5.81,5.26,5.26,19400,5.26
2015-03-18,5.70,5.94,5.65,5.65,13900,5.65
2015-03-17,5.68,5.97,5.68,5.92,17800,5.92
2015-03-16,5.01,5.95,5.01,5.95,22800,5.95
2015-03-13,5.06,5.20,4.80,5.20,10500,5.20
2015-03-12,4.96,5.08,4.96,5.02,800,5.02
2015-03-11,4.76,5.05,4.76,4.91,2200,4.91
2015-03-10,5.05,5.05,4.88,4.93,800,4.93
2015-03-09,5.39,5.69,4.76,5.00,49500,5.00
2015-03-06,5.45,5.83,5.42,5.65,65100,5.65
2015-03-05,5.45,5.64,5.20,5.40,28800,5.40
2015-03-04,5.72,5.72,5.72,5.72,1500,5.72
2015-03-03,5.80,5.85,5.49,5.60,9600,5.60
2015-03-02,5.86,5.86,5.55,5.55,500,5.55
2015-02-27,5.50,5.71,5.50,5.71,300,5.71
2015-02-26,6.00,6.00,5.85,5.85,600,5.85
2015-02-25,6.00,6.00,6.00,6.00,200,6.00
2015-02-24,5.75,5.75,5.75,5.75,000,5.75
2015-02-23,5.75,5.75,5.75,5.75,100,5.75
2015-02-20,5.99,5.99,5.99,5.99,100,5.99
2015-02-19,5.68,5.68,5.68,5.68,000,5.68
2015-02-18,5.68,5.68,5.68,5.68,000,5.68
2015-02-17,5.68,5.68,5.68,5.68,000,5.68
2015-02-13,5.68,5.68,5.68,5.68,300,5.68
2015-02-12,6.20,6.20,5.81,5.81,500,5.81
2015-02-11,5.80,5.80,5.80,5.80,100,5.80
2015-02-10,5.99,5.99,5.99,5.99,100,5.99
2015-02-09,5.85,5.85,5.51,5.51,1100,5.51
2015-02-06,6.09,6.09,5.90,5.90,1100,5.90
2015-02-05,6.08,6.12,6.08,6.10,800,6.10
2015-02-04,6.40,6.40,6.25,6.25,500,6.25
2015-02-03,6.05,6.15,6.00,6.00,1400,6.00
2015-02-02,6.58,6.58,6.58,6.58,200,6.58
2015-01-30,6.10,6.18,6.10,6.18,200,6.18
2015-01-29,6.00,6.00,6.00,6.00,000,6.00
2015-01-28,6.49,6.49,6.00,6.00,500,6.00
2015-01-27,6.30,6.30,6.30,6.30,000,6.30
2015-01-26,6.30,6.30,6.30,6.30,100,6.30
2015-01-23,7.00,7.00,5.99,5.99,3300,5.99
2015-01-22,6.14,6.21,6.14,6.21,700,6.21
2015-01-21,7.00,7.00,5.50,5.50,7500,5.50
2015-01-20,5.12,5.12,5.12,5.12,100,5.12
2015-01-16,5.86,5.86,5.86,5.86,100,5.86
2015-01-15,5.81,5.81,5.81,5.81,100,5.81
2015-01-14,5.76,5.78,5.76,5.78,200,5.78
2015-01-13,5.74,5.74,5.74,5.74,100,5.74
2015-01-12,5.73,5.73,5.73,5.73,000,5.73
2015-01-09,5.73,5.73,5.73,5.73,000,5.73
2015-01-08,5.73,5.73,5.73,5.73,300,5.73
2015-01-07,5.40,5.40,5.40,5.40,500,5.40
2015-01-06,6.25,6.25,6.25,6.25,000,6.25
2015-01-05,6.25,6.25,6.25,6.25,000,6.25
2015-01-02,6.25,6.25,6.25,6.25,000,6.25
2014-12-31,6.55,6.55,6.25,6.25,600,6.25
2014-12-30,7.10,7.10,7.10,7.10,100,7.10
2014-12-29,7.10,7.10,7.00,7.10,900,7.10
2014-12-26,7.65,7.65,7.65,7.65,000,7.65
2014-12-24,7.65,7.65,7.65,7.65,000,7.65
2014-12-23,7.80,7.80,7.02,7.65,2600,7.65
2014-12-22,8.80,8.80,8.80,8.80,300,8.80
2014-12-19,7.09,9.00,7.09,9.00,5100,9.00
2014-12-18,6.21,6.21,6.21,6.21,000,6.21
2014-12-17,7.46,7.46,5.40,6.21,2200,6.21
2014-12-16,6.56,6.56,5.83,5.83,1000,5.83
2014-12-15,7.25,7.25,7.25,7.25,300,7.25
2014-12-12,7.00,7.00,7.00,7.00,400,7.00
2014-12-11,7.01,7.65,7.00,7.65,1000,7.65
2014-12-10,7.65,7.65,7.65,7.65,000,7.65
2014-12-09,7.65,7.65,7.65,7.65,1000,7.65
2014-12-08,7.55,7.65,7.50,7.60,1100,7.60
2014-12-05,7.60,7.60,7.60,7.60,000,7.60
2014-12-04,7.60,7.60,7.60,7.60,000,7.60
2014-12-03,7.60,7.60,7.60,7.60,000,7.60
2014-12-02,7.60,7.60,7.60,7.60,100,7.60
2014-12-01,7.50,7.50,7.50,7.50,100,7.50
2014-11-28,7.50,7.50,7.50,7.50,000,7.50
2014-11-26,7.50,7.50,7.50,7.50,000,7.50
2014-11-25,7.30,7.50,7.30,7.50,700,7.50
2014-11-24,7.22,7.22,7.22,7.22,000,7.22
2014-11-21,7.22,7.22,7.22,7.22,000,7.22
2014-11-20,7.22,7.22,7.22,7.22,000,7.22
2014-11-19,7.22,7.22,7.22,7.22,000,7.22
2014-11-18,7.22,7.22,7.22,7.22,000,7.22
2014-11-17,7.22,7.22,7.22,7.22,000,7.22
2014-11-14,7.22,7.22,7.22,7.22,000,7.22
2014-11-13,7.22,7.22,7.22,7.22,000,7.22
2014-11-12,7.22,7.22,7.22,7.22,300,7.22
2014-11-11,8.82,8.82,8.82,8.82,100,8.82
2014-11-10,7.25,7.25,7.25,7.25,000,7.25
2014-11-07,7.25,7.25,7.25,7.25,000,7.25
2014-11-06,7.25,7.25,7.25,7.25,000,7.25
2014-11-05,7.25,7.25,7.25,7.25,000,7.25
2014-11-04,7.25,7.25,7.25,7.25,000,7.25
2014-11-03,7.25,7.25,7.25,7.25,000,7.25
2014-10-31,7.25,7.25,7.25,7.25,400,7.25
2014-10-30,7.31,7.31,7.28,7.28,200,7.28
2014-10-29,7.85,8.05,7.25,7.40,4100,7.40
2014-10-28,8.00,8.00,8.00,8.00,000,8.00
2014-10-27,8.00,8.00,8.00,8.00,400,8.00
2014-10-24,7.80,7.80,7.80,7.80,1400,7.80
2014-10-23,7.85,8.10,7.77,8.10,2600,8.10
2014-10-22,7.91,8.18,7.83,7.85,3000,7.85
2014-10-21,7.60,7.60,7.60,7.60,000,7.60
2014-10-20,8.05,8.50,7.60,7.60,8100,7.60
2014-10-17,8.30,8.45,8.01,8.31,8500,8.31
2014-10-16,9.00,9.00,9.00,9.00,100,9.00
2014-10-15,7.85,7.85,7.85,7.85,100,7.85
2014-10-14,8.97,8.97,8.97,8.97,000,8.97
2014-10-13,8.97,8.97,8.97,8.97,000,8.97
2014-10-10,8.97,8.97,8.97,8.97,000,8.97
2014-10-09,8.97,8.97,8.97,8.97,000,8.97
2014-10-08,8.97,8.97,8.97,8.97,000,8.97
2014-10-07,8.97,8.97,8.97,8.97,000,8.97
2014-10-06,8.97,8.97,8.97,8.97,000,8.97
2014-10-03,9.00,9.00,8.97,8.97,200,8.97
2014-10-02,9.11,9.11,9.11,9.11,000,9.11
2014-10-01,9.11,9.11,9.11,9.11,100,9.11
2014-09-30,9.11,9.11,9.11,9.11,100,9.11
2014-09-29,9.29,9.29,9.29,9.29,000,9.29
2014-09-26,9.29,9.29,9.29,9.29,100,9.29
2014-09-25,9.30,9.30,8.95,8.95,1500,8.95
2014-09-24,8.65,8.65,8.65,8.65,000,8.65
2014-09-23,9.42,9.42,8.65,8.65,1900,8.65
2014-09-22,9.05,9.05,9.05,9.05,000,9.05
2014-09-19,9.05,9.05,9.05,9.05,000,9.05
2014-09-18,9.05,9.05,9.05,9.05,000,9.05
2014-09-17,9.05,9.05,9.05,9.05,000,9.05
2014-09-16,9.05,9.05,9.05,9.05,000,9.05
2014-09-15,9.05,9.05,9.05,9.05,200,9.05
2014-09-12,9.25,9.25,9.25,9.25,000,9.25
2014-09-11,9.25,9.25,9.25,9.25,000,9.25
2014-09-10,9.25,9.25,9.25,9.25,000,9.25
2014-09-09,9.25,9.25,9.25,9.25,000,9.25
2014-09-08,9.25,9.25,9.25,9.25,000,9.25
2014-09-05,9.25,9.25,9.25,9.25,000,9.25
2014-09-04,9.25,9.25,9.25,9.25,000,9.25
2014-09-03,9.25,9.25,9.25,9.25,000,9.25
2014-09-02,9.25,9.25,9.25,9.25,000,9.25
2014-08-29,9.25,9.25,9.25,9.25,000,9.25
2014-08-28,9.25,9.25,9.25,9.25,000,9.25
2014-08-27,9.25,9.25,9.25,9.25,000,9.25
2014-08-26,9.17,9.25,9.17,9.25,800,9.25
2014-08-25,9.01,9.01,9.01,9.01,000,9.01
2014-08-22,9.20,9.20,9.01,9.01,400,9.01
2014-08-21,9.05,9.05,9.05,9.05,000,9.05
2014-08-20,9.59,9.59,9.05,9.05,3600,9.05
2014-08-19,9.04,9.04,9.04,9.04,000,9.04
2014-08-18,9.04,9.04,9.04,9.04,000,9.04
2014-08-15,9.04,9.04,9.04,9.04,000,9.04
2014-08-14,9.04,9.04,9.04,9.04,000,9.04
2014-08-13,9.04,9.04,9.04,9.04,600,9.04
2014-08-12,9.30,9.30,9.30,9.30,000,9.30
2014-08-11,9.30,9.30,9.30,9.30,200,9.30
2014-08-08,9.07,9.07,9.07,9.07,000,9.07
2014-08-07,9.10,9.10,9.02,9.07,700,9.07
2014-08-06,9.38,9.50,9.30,9.30,4400,9.30
2014-08-05,9.28,9.80,9.20,9.20,8200,9.20
2014-08-04,9.22,9.22,9.22,9.22,000,9.22
2014-08-01,9.30,9.35,9.22,9.22,1300,9.22
2014-07-31,9.45,9.67,9.07,9.07,4800,9.07
2014-07-30,9.33,9.90,9.01,9.01,9200,9.01
2014-07-29,9.13,9.13,9.13,9.13,000,9.13
2014-07-28,9.13,9.13,9.13,9.13,100,9.13
2014-07-25,9.05,9.88,9.05,9.50,14100,9.50
2014-07-24,9.60,10.23,9.30,9.30,11000,9.30
2014-07-23,9.30,9.50,9.29,9.50,5100,9.50
2014-07-22,9.05,9.05,9.05,9.05,100,9.05
2014-07-21,9.08,9.91,9.08,9.35,15800,9.35
2014-07-18,9.20,9.20,9.20,9.20,000,9.20
2014-07-17,9.50,9.50,9.20,9.20,4200,9.20
2014-07-16,9.35,9.35,9.35,9.35,000,9.35
2014-07-15,9.35,9.35,9.35,9.35,000,9.35
2014-07-14,9.35,9.35,9.35,9.35,000,9.35
2014-07-11,9.35,9.35,9.35,9.35,000,9.35
2014-07-10,9.35,9.35,9.35,9.35,000,9.35
2014-07-09,9.35,9.35,9.35,9.35,000,9.35
2014-07-08,9.29,9.35,9.29,9.35,800,9.35
2014-07-07,9.25,9.36,9.20,9.20,2000,9.20
2014-07-03,9.49,9.49,9.49,9.49,000,9.49
2014-07-02,9.49,9.49,9.49,9.49,000,9.49
2014-07-01,9.18,9.49,9.08,9.49,1000,9.49
2014-06-30,10.25,10.25,10.25,10.25,000,10.25
2014-06-27,10.25,10.25,10.25,10.25,000,10.25
2014-06-26,10.25,10.25,10.25,10.25,000,10.25
2014-06-25,10.25,10.25,10.25,10.25,000,10.25
2014-06-24,10.25,10.25,10.25,10.25,000,10.25
2014-06-23,10.25,10.25,10.25,10.25,100,10.25
2014-06-20,10.06,10.06,10.06,10.06,000,10.06
2014-06-19,10.06,10.06,10.06,10.06,000,10.06
2014-06-18,10.06,10.06,10.06,10.06,000,10.06
2014-06-17,10.06,10.06,10.06,10.06,000,10.06
2014-06-16,10.06,10.06,10.06,10.06,200,10.06
2014-06-13,10.22,10.22,10.22,10.22,100,10.22
2014-06-12,10.25,11.50,10.10,11.50,1200,11.50
2014-06-11,11.13,11.13,11.13,11.13,000,11.13
2014-06-10,11.13,11.13,11.13,11.13,000,11.13
2014-06-09,11.13,11.13,11.13,11.13,000,11.13
2014-06-06,11.13,11.13,11.13,11.13,000,11.13
2014-06-05,10.12,11.13,10.10,11.13,1800,11.13
2014-06-04,10.80,10.80,10.80,10.80,000,10.80
2014-06-03,10.80,10.80,10.80,10.80,000,10.80
2014-06-02,10.80,10.80,10.80,10.80,000,10.80
2014-05-30,10.80,10.80,10.80,10.80,000,10.80
2014-05-29,11.23,11.23,10.18,10.80,500,10.80
2014-05-28,11.57,11.57,11.57,11.57,500,11.57
2014-05-27,11.66,11.66,11.66,11.66,000,11.66
2014-05-23,11.66,11.66,11.66,11.66,000,11.66
2014-05-22,11.66,11.66,11.66,11.66,000,11.66
2014-05-21,11.66,11.66,11.66,11.66,000,11.66
2014-05-20,11.66,11.66,11.66,11.66,000,11.66
2014-05-19,11.66,11.66,11.66,11.66,000,11.66
2014-05-16,11.66,11.66,11.66,11.66,000,11.66
2014-05-15,11.66,11.66,11.66,11.66,000,11.66
2014-05-14,11.66,11.66,11.66,11.66,000,11.66
2014-05-13,11.66,11.66,11.66,11.66,200,11.66
2014-05-12,11.80,11.80,11.80,11.80,700,11.80
2014-05-09,11.80,11.80,11.80,11.80,000,11.80
2014-05-08,11.80,11.80,11.80,11.80,000,11.80
2014-05-07,11.80,11.80,11.80,11.80,300,11.80
2014-05-06,10.98,10.98,10.98,10.98,000,10.98
