Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,35.03,35.80,34.89,35.12,379500,35.12
2015-04-30,35.03,35.31,34.50,34.99,416000,34.99
2015-04-29,34.93,35.33,34.91,35.15,333900,35.15
2015-04-28,34.32,35.14,34.27,35.13,272300,35.13
2015-04-27,34.59,34.65,34.17,34.36,286100,34.36
2015-04-24,34.17,34.41,33.89,34.40,512700,34.40
2015-04-23,34.50,34.56,34.00,34.11,376900,34.11
2015-04-22,34.45,34.66,34.07,34.54,336900,34.54
2015-04-21,34.40,34.49,34.10,34.30,321000,34.30
2015-04-20,34.10,34.59,34.00,34.24,339700,34.24
2015-04-17,34.20,34.24,33.52,33.89,963000,33.89
2015-04-16,35.24,35.84,34.15,34.55,1345500,34.55
2015-04-15,36.10,36.18,35.80,35.92,201600,35.92
2015-04-14,35.52,36.12,35.38,35.94,264500,35.94
2015-04-13,35.50,35.71,35.33,35.40,140200,35.40
2015-04-10,35.27,35.64,35.16,35.45,117000,35.45
2015-04-09,35.50,35.86,34.97,35.07,251000,35.07
2015-04-08,35.32,35.77,35.26,35.61,226700,35.61
2015-04-07,35.55,35.90,35.35,35.36,250800,35.36
2015-04-06,35.35,36.17,35.26,35.67,398000,35.67
2015-04-02,35.10,35.53,35.04,35.47,307400,35.47
2015-04-01,35.35,35.40,35.05,35.21,367600,35.21
2015-03-31,35.14,35.59,35.07,35.33,518400,35.33
2015-03-30,35.13,35.67,35.07,35.23,479100,35.23
2015-03-27,34.76,35.21,34.73,35.08,273000,35.08
2015-03-26,34.66,35.06,34.57,34.88,375500,34.88
2015-03-25,35.40,35.43,34.76,34.87,359600,34.87
2015-03-24,35.28,35.56,34.87,35.07,194100,35.07
2015-03-23,35.18,35.48,34.96,35.24,273300,35.24
2015-03-20,34.96,35.22,34.78,35.10,733700,35.10
2015-03-19,34.55,34.92,34.45,34.69,349000,34.69
2015-03-18,34.29,34.85,34.06,34.55,875500,34.55
2015-03-17,34.98,35.16,34.13,34.28,636200,34.28
2015-03-16,35.10,35.42,34.86,35.24,486200,35.24
2015-03-13,34.98,35.27,34.52,34.86,314200,34.86
2015-03-12,34.44,35.11,34.25,34.91,442000,34.91
2015-03-11,34.76,34.82,34.29,34.31,370000,34.31
2015-03-10,35.18,35.24,34.65,34.76,381400,34.76
2015-03-09,35.78,36.04,35.27,35.36,205500,35.36
2015-03-06,36.02,36.48,35.76,35.93,278100,35.58
2015-03-05,36.03,36.57,35.75,36.34,273800,35.986
2015-03-04,35.92,36.54,35.78,35.99,286100,35.63942
2015-03-03,36.43,36.53,36.00,36.07,457200,35.71864
2015-03-02,36.56,36.84,35.98,36.45,428000,36.09494
2015-02-27,36.27,36.75,35.81,36.72,403200,36.3623
2015-02-26,36.15,37.34,35.61,36.25,683100,35.89688
2015-02-25,38.10,38.74,36.09,36.56,664800,36.20387
2015-02-24,39.21,39.29,38.67,38.75,416900,38.37253
2015-02-23,39.22,39.40,38.50,38.96,222200,38.58048
2015-02-20,39.18,39.45,38.56,39.40,148000,39.0162
2015-02-19,39.30,39.73,38.96,39.10,186700,38.71912
2015-02-18,38.78,39.51,38.75,39.50,241800,39.11522
2015-02-17,38.86,38.99,38.68,38.89,203800,38.51117
2015-02-13,39.00,39.40,38.76,38.90,262200,38.52107
2015-02-12,39.11,39.49,38.41,38.91,382400,38.53097
2015-02-11,40.00,40.48,38.86,39.07,462300,38.68941
2015-02-10,38.56,40.12,38.21,39.89,457500,39.50142
2015-02-09,38.55,38.85,37.83,38.43,518600,38.05564
2015-02-06,39.40,39.42,38.26,38.55,405200,38.17448
2015-02-05,38.64,39.52,38.52,39.52,495000,39.13503
2015-02-04,37.50,39.40,37.50,38.41,682200,38.03584
2015-02-03,37.80,38.66,37.06,37.72,865600,37.35256
2015-02-02,37.41,38.05,37.20,37.50,812700,37.1347
2015-01-30,37.40,37.83,37.04,37.06,224200,36.69899
2015-01-29,37.38,37.87,36.97,37.84,165800,37.47139
2015-01-28,38.05,38.91,37.11,37.30,265800,36.93665
2015-01-27,37.89,38.61,37.60,37.82,269100,37.45159
2015-01-26,38.20,38.74,37.94,38.30,152600,37.92691
2015-01-23,38.16,38.56,37.57,38.25,239300,37.8774
2015-01-22,37.54,38.23,37.08,38.13,350500,37.75857
2015-01-21,37.83,37.92,37.13,37.29,457300,36.92675
2015-01-20,36.90,37.97,36.67,37.80,593900,37.43178
