Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,12.14,12.43,11.73,11.79,52800,11.79
2015-04-29,12.36,12.70,12.24,12.25,33200,12.25
2015-04-28,12.26,12.51,12.22,12.48,39600,12.48
2015-04-27,12.63,12.78,12.21,12.27,98000,12.27
2015-04-24,12.17,12.75,12.17,12.48,141900,12.48
2015-04-23,11.55,12.10,11.40,12.05,100100,12.05
2015-04-22,11.61,11.69,11.41,11.63,38600,11.63
2015-04-21,11.83,11.83,11.58,11.62,33100,11.62
2015-04-20,11.78,11.92,11.67,11.80,94800,11.80
2015-04-17,11.41,12.00,11.29,11.74,320800,11.74
2015-04-16,11.01,11.19,10.94,11.19,66700,11.19
2015-04-15,11.00,11.11,10.91,11.08,72600,11.08
2015-04-14,10.93,11.02,10.90,11.00,25700,11.00
2015-04-13,10.93,11.01,10.90,10.94,82900,10.94
2015-04-10,10.91,10.98,10.88,10.96,51500,10.96
2015-04-09,11.07,11.12,10.80,10.87,80600,10.87
2015-04-08,11.13,11.15,11.02,11.10,39100,11.10
2015-04-07,11.07,11.39,11.05,11.11,117700,11.11
2015-04-06,10.80,11.10,10.80,11.09,110100,11.09
2015-04-02,11.08,11.12,10.88,10.89,57900,10.89
2015-04-01,10.54,11.02,10.54,11.02,105400,11.02
2015-03-31,10.30,10.65,10.20,10.61,178300,10.61
2015-03-30,10.41,11.00,10.28,10.38,275800,10.38
2015-03-27,10.74,10.88,10.25,10.28,406200,10.28
2015-03-26,11.13,11.37,10.73,10.77,276500,10.77
2015-03-25,11.91,11.95,11.17,11.21,261100,11.21
2015-03-24,11.88,11.95,11.87,11.91,58200,11.91
2015-03-23,12.03,12.05,11.88,11.91,132400,11.91
2015-03-20,12.12,12.30,12.03,12.06,255400,12.06
2015-03-19,12.00,12.12,12.00,12.11,46300,12.11
2015-03-18,12.00,12.11,11.97,12.02,52400,12.02
2015-03-17,12.00,12.03,11.94,12.02,100300,12.02
2015-03-16,12.37,12.37,12.00,12.03,80100,11.964
2015-03-13,12.25,12.28,12.00,12.26,75800,12.19274
2015-03-12,12.02,12.34,12.02,12.30,117100,12.23252
2015-03-11,11.59,12.02,11.56,11.98,126000,11.91427
2015-03-10,11.83,12.00,11.59,11.65,134200,11.58608
2015-03-09,12.65,12.65,11.90,12.10,193200,12.03362
2015-03-06,12.62,12.74,12.60,12.65,92300,12.5806
2015-03-05,13.75,14.10,12.32,12.78,453100,12.70988
2015-03-04,14.79,14.86,14.50,14.55,29400,14.47017
2015-03-03,14.48,15.31,14.48,14.89,54300,14.80831
2015-03-02,14.14,14.70,14.14,14.58,32300,14.50001
2015-02-27,14.45,14.68,14.21,14.23,24500,14.15193
2015-02-26,14.15,14.60,14.15,14.43,28400,14.35083
2015-02-25,14.28,14.60,14.10,14.21,30500,14.13204
2015-02-24,14.27,14.51,14.13,14.35,54100,14.27127
2015-02-23,14.31,14.98,14.18,14.30,36100,14.22155
2015-02-20,14.53,14.60,14.39,14.44,40200,14.36078
2015-02-19,14.79,14.89,14.54,14.61,18400,14.52984
2015-02-18,14.82,14.95,14.68,14.87,21900,14.78842
2015-02-17,14.74,15.00,14.72,14.84,33300,14.75858
2015-02-13,14.43,14.90,14.43,14.70,61000,14.61935
2015-02-12,14.42,14.63,14.37,14.47,24100,14.39061
2015-02-11,14.39,14.47,14.30,14.34,20100,14.26133
2015-02-10,14.36,14.59,14.16,14.38,26200,14.30111
2015-02-09,14.51,14.75,14.42,14.45,32600,14.37072
2015-02-06,14.61,14.72,14.41,14.59,33300,14.50995
2015-02-05,14.46,14.70,14.25,14.57,30800,14.49006
2015-02-04,14.47,14.61,14.29,14.37,40800,14.29116
2015-02-03,14.38,14.69,14.34,14.58,32300,14.50001
2015-02-02,13.75,14.32,13.64,14.32,29400,14.24144
2015-01-30,13.77,14.12,13.64,13.72,47300,13.64473
2015-01-29,13.64,13.94,13.50,13.92,53100,13.84363
2015-01-28,13.89,13.89,13.55,13.65,60000,13.57511
2015-01-27,13.77,13.99,13.61,13.85,34700,13.77402
2015-01-26,13.80,14.00,13.40,14.00,58800,13.92319
2015-01-23,13.90,13.95,13.67,13.88,24700,13.80385
2015-01-22,13.92,14.00,13.58,13.90,54200,13.82374
2015-01-21,13.82,13.84,13.30,13.77,34200,13.69445
2015-01-20,13.79,14.00,13.54,13.91,67700,13.83368
2015-01-16,13.67,13.94,13.59,13.83,43500,13.75412
2015-01-15,13.90,13.91,13.60,13.73,36800,13.65467
2015-01-14,14.08,14.25,13.70,13.92,70200,13.84363
2015-01-13,14.52,14.65,13.97,14.31,51700,14.23149
2015-01-12,14.62,14.64,14.42,14.45,63600,14.37072
2015-01-09,15.06,15.06,14.67,14.72,123000,14.63924
2015-01-08,15.13,15.16,14.85,15.12,30200,15.03705
2015-01-07,14.95,15.09,14.76,15.03,53400,14.94754
2015-01-06,14.96,14.96,14.52,14.88,49700,14.79836
2015-01-05,15.24,15.40,14.73,14.95,30200,14.86798
2015-01-02,15.69,15.69,15.07,15.38,26000,15.29562
2014-12-31,15.80,15.81,15.47,15.54,64600,15.45474
2014-12-30,15.77,15.80,15.47,15.80,51200,15.71332
2014-12-29,15.70,15.80,15.63,15.76,41700,15.67354
2014-12-26,15.78,15.80,15.66,15.74,17700,15.65365
2014-12-24,15.66,15.87,15.37,15.69,27900,15.60392
2014-12-23,15.70,15.90,15.45,15.78,154400,15.69343
2014-12-22,14.62,15.70,14.50,15.70,145400,15.61386
2014-12-19,14.68,14.69,14.07,14.65,80700,14.56962
2014-12-18,14.64,14.82,14.46,14.75,38900,14.66908
2014-12-17,13.86,14.57,13.86,14.48,60000,14.40056
2014-12-16,13.80,14.43,13.80,13.90,51600,13.76407
2014-12-15,14.01,14.11,13.75,13.75,35700,13.61554
2014-12-12,13.92,14.29,13.83,13.90,44700,13.76407
2014-12-11,14.14,14.52,14.08,14.16,52800,14.02153
2014-12-10,14.33,14.70,13.98,14.05,61300,13.9126
2014-12-09,13.75,14.56,13.75,14.51,37900,14.3681
2014-12-08,14.10,14.22,13.80,13.92,42200,13.78387
2014-12-05,14.08,14.39,14.08,14.19,43200,14.05123
2014-12-04,14.31,14.37,13.98,14.10,39200,13.96211
2014-12-03,14.19,14.68,14.11,14.36,47100,14.21957
2014-12-02,13.88,14.30,13.84,14.23,30700,14.09084
2014-12-01,14.16,14.40,13.89,13.90,65900,13.76407
2014-11-28,14.60,14.60,14.12,14.16,53700,14.02153
2014-11-26,14.20,14.67,14.15,14.65,38200,14.50673
2014-11-25,14.29,14.35,13.71,14.24,67400,14.10074
2014-11-24,13.64,14.34,13.60,14.34,75000,14.19977
2014-11-21,13.96,13.96,13.50,13.61,57200,13.47691
2014-11-20,13.65,13.74,13.54,13.70,73000,13.56603
2014-11-19,14.20,14.20,13.63,13.75,49900,13.61554
2014-11-18,14.18,14.72,14.05,14.27,57900,14.13045
2014-11-17,14.47,14.47,14.00,14.11,86000,13.97202
2014-11-14,14.57,14.84,14.35,14.54,65300,14.39781
2014-11-13,14.80,14.89,14.43,14.60,51700,14.45722
2014-11-12,14.79,15.05,14.74,14.77,48800,14.62556
2014-11-11,14.88,14.96,14.78,14.87,37400,14.72458
2014-11-10,14.10,15.01,14.02,14.96,73800,14.8137
2014-11-07,14.21,14.26,13.81,14.22,56100,14.08094
2014-11-06,14.47,14.55,14.14,14.28,36700,14.14035
2014-11-05,14.05,14.63,13.88,14.36,84200,14.21957
2014-11-04,13.99,14.13,13.75,13.98,44100,13.84329
2014-11-03,14.31,14.45,14.04,14.09,28500,13.95221
2014-10-31,14.37,14.45,14.20,14.32,82200,14.17996
2014-10-30,13.51,14.33,13.47,14.04,89700,13.9027
2014-10-29,13.59,13.75,13.37,13.57,32900,13.4373
2014-10-28,13.01,13.67,13.01,13.61,74700,13.47691
2014-10-27,12.82,13.09,12.82,12.98,42000,12.85307
2014-10-24,13.05,13.06,12.87,12.98,52300,12.85307
2014-10-23,13.06,13.20,12.88,13.01,51700,12.88277
2014-10-22,12.99,13.12,12.91,12.97,75300,12.84316
2014-10-21,12.91,13.15,12.86,13.00,48400,12.87287
2014-10-20,12.71,12.97,12.71,12.90,51600,12.77385
2014-10-17,13.34,13.35,12.75,12.82,212600,12.69463
2014-10-16,12.57,13.25,12.40,13.11,90400,12.9818
2014-10-15,12.54,12.90,12.46,12.67,93000,12.5461
2014-10-14,12.86,12.99,12.68,12.75,58900,12.62532
2014-10-13,12.55,13.10,12.48,12.78,43600,12.65502
2014-10-10,12.66,12.89,12.46,12.58,82400,12.45698
2014-10-09,13.22,13.22,12.73,12.75,45500,12.62532
2014-10-08,12.79,13.50,12.75,13.30,120300,13.16994
2014-10-07,12.95,13.04,12.81,12.86,52100,12.73424
2014-10-06,13.02,13.45,13.01,13.05,43300,12.92238
2014-10-03,13.27,13.54,12.98,13.04,98100,12.91248
2014-10-02,13.11,13.64,13.02,13.10,77700,12.97189
2014-10-01,13.42,13.50,13.02,13.08,239100,12.95209
2014-09-30,13.61,13.70,13.40,13.40,106800,13.26896
2014-09-29,13.55,13.65,13.50,13.55,63000,13.41749
2014-09-26,13.71,13.77,13.51,13.62,48300,13.48681
2014-09-25,13.55,13.88,13.55,13.71,61000,13.57593
2014-09-24,13.60,13.75,13.54,13.57,52100,13.4373
2014-09-23,13.78,13.83,13.59,13.61,54100,13.47691
2014-09-22,13.77,13.91,13.70,13.88,63100,13.74427
2014-09-19,14.16,14.30,13.84,13.88,122000,13.74427
2014-09-18,14.03,14.22,14.03,14.11,31700,13.97202
2014-09-17,14.20,14.39,13.99,14.01,58300,13.87299
2014-09-16,14.17,14.37,14.12,14.21,37300,14.07104
2014-09-15,14.53,14.68,14.18,14.23,51200,14.09084
2014-09-12,14.42,14.56,14.32,14.51,59100,14.3681
2014-09-11,14.23,14.51,14.16,14.44,74500,14.23938
2014-09-10,14.20,14.38,14.10,14.34,27400,14.14077
2014-09-09,14.45,14.45,14.15,14.15,33400,13.9534
2014-09-08,14.25,14.68,14.11,14.52,59800,14.31826
2014-09-05,13.97,14.48,13.97,14.22,71500,14.02243
2014-09-04,14.07,14.41,14.00,14.04,90000,13.84493
2014-09-03,14.48,14.48,13.98,14.00,42600,13.80549
2014-09-02,14.15,14.41,14.04,14.36,49900,14.16049
2014-08-29,13.91,14.09,13.76,14.06,62900,13.86466
2014-08-28,14.02,14.08,13.88,13.91,20800,13.71674
2014-08-27,13.90,14.15,13.84,14.09,36500,13.89424
2014-08-26,13.75,13.93,13.75,13.91,146300,13.71674
2014-08-25,14.00,14.00,13.76,13.79,41400,13.59841
2014-08-22,13.97,14.05,13.79,13.84,62200,13.64771
2014-08-21,13.83,14.17,13.64,14.05,278900,13.85479
2014-08-20,13.84,13.90,13.76,13.79,67700,13.59841
2014-08-19,14.00,14.11,13.84,13.94,42100,13.74632
