Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,36.50,36.81,36.43,36.80,4700,36.80
2015-04-30,36.83,36.83,36.32,36.48,16900,36.48
2015-04-29,37.18,37.18,36.93,37.07,7300,37.07
2015-04-28,37.40,37.56,37.39,37.55,11700,37.55
2015-04-27,37.28,37.57,37.28,37.51,47700,37.51
2015-04-24,36.98,37.04,36.89,37.00,8100,37.00
2015-04-23,36.53,36.98,36.50,36.87,6700,36.87
2015-04-22,36.16,36.46,36.16,36.42,8000,36.42
2015-04-21,35.44,35.72,35.44,35.53,12600,35.53
2015-04-20,35.26,35.33,35.25,35.29,7300,35.29
2015-04-17,35.51,35.51,35.24,35.34,19800,35.34
2015-04-16,35.85,36.14,35.68,35.99,14500,35.99
2015-04-15,35.12,35.45,35.10,35.45,9900,35.45
2015-04-14,35.03,35.27,35.03,35.27,3500,35.27
2015-04-13,35.32,35.46,35.18,35.27,10900,35.27
2015-04-10,35.38,35.42,35.22,35.42,2100,35.42
2015-04-09,35.32,35.59,35.30,35.58,42700,35.58
2015-04-08,35.20,35.35,35.14,35.27,11000,35.27
2015-04-07,34.41,34.41,34.02,34.02,16500,34.02
2015-04-06,34.00,34.35,33.92,34.06,95100,34.06
2015-04-02,33.85,33.85,33.78,33.82,2600,33.82
2015-04-01,33.18,33.54,33.18,33.44,4600,33.44
2015-03-31,32.68,32.87,32.68,32.85,14700,32.85
2015-03-30,32.79,32.91,32.79,32.91,11200,32.91
2015-03-27,32.25,32.25,32.16,32.16,2400,32.16
2015-03-26,32.16,32.25,32.14,32.19,13100,32.19
2015-03-25,32.43,32.59,32.12,32.14,4200,32.14
2015-03-24,32.51,32.55,32.41,32.44,8900,32.44
2015-03-23,32.21,32.33,32.21,32.33,1800,32.33
2015-03-20,31.71,32.24,31.71,32.15,8700,32.15
2015-03-19,31.76,31.76,31.59,31.60,9100,31.60
2015-03-18,31.58,32.27,31.33,32.11,29200,32.11
2015-03-17,31.14,31.54,31.13,31.42,20700,31.42
2015-03-16,30.96,30.97,30.87,30.92,13800,30.92
2015-03-13,30.81,30.83,30.64,30.64,7500,30.64
2015-03-12,31.19,31.41,31.12,31.14,4700,31.14
2015-03-11,31.17,31.17,30.94,31.02,14600,31.02
2015-03-10,31.25,31.27,31.04,31.12,6100,31.12
2015-03-09,31.51,31.69,31.44,31.54,8700,31.54
2015-03-06,32.16,32.16,31.71,31.73,2900,31.73
2015-03-05,32.24,32.32,32.08,32.23,5500,32.23
2015-03-04,32.33,32.41,32.15,32.31,9500,32.31
2015-03-03,33.07,33.07,32.80,32.89,7700,32.89
2015-03-02,33.50,33.50,33.10,33.11,7400,33.11
2015-02-27,33.09,33.56,33.09,33.38,14100,33.38
2015-02-26,32.85,33.21,32.85,33.07,5500,33.07
2015-02-25,33.04,33.07,32.90,32.91,2000,32.91
2015-02-24,32.70,33.10,32.70,33.00,4900,33.00
2015-02-23,32.83,32.83,32.53,32.70,12500,32.70
2015-02-20,32.68,32.81,32.59,32.71,5100,32.71
2015-02-19,32.74,32.82,32.65,32.80,3700,32.80
2015-02-18,33.04,33.04,32.88,32.90,2500,32.90
2015-02-17,33.13,33.13,32.79,33.02,5100,33.02
2015-02-13,32.92,33.15,32.92,33.14,9400,33.14
2015-02-12,32.40,32.85,32.40,32.80,9500,32.80
2015-02-11,32.41,32.41,32.01,32.18,4300,32.18
2015-02-10,32.87,32.87,32.42,32.66,6800,32.66
2015-02-09,32.66,32.71,32.59,32.64,3200,32.64
2015-02-06,32.66,32.84,32.56,32.63,4500,32.63
2015-02-05,32.91,33.15,32.81,32.96,6200,32.96
2015-02-04,33.57,33.57,33.21,33.25,22800,33.25
2015-02-03,33.39,33.42,33.19,33.34,15900,33.34
2015-02-02,33.11,33.20,32.90,33.18,21800,33.18
2015-01-30,33.04,33.10,32.71,32.71,5500,32.71
2015-01-29,33.48,33.78,33.33,33.45,4300,33.45
2015-01-28,33.86,33.86,33.50,33.56,10600,33.56
2015-01-27,33.70,33.91,33.37,33.79,6500,33.79
2015-01-26,33.69,33.92,33.69,33.81,4300,33.81
2015-01-23,34.18,34.18,33.80,34.00,35000,34.00
2015-01-22,34.06,34.16,33.70,34.16,47300,34.16
2015-01-21,33.14,33.68,33.14,33.60,5900,33.60
2015-01-20,32.90,33.08,32.87,33.07,7200,33.07
2015-01-16,32.74,32.74,32.63,32.68,1800,32.68
2015-01-15,32.76,32.76,32.33,32.38,3700,32.38
2015-01-14,32.20,32.56,32.20,32.56,7900,32.56
2015-01-13,32.49,32.74,32.39,32.52,4300,32.52
2015-01-12,32.38,32.38,32.18,32.18,1900,32.18
2015-01-09,32.60,32.60,32.42,32.43,3500,32.43
2015-01-08,32.75,32.78,32.61,32.69,3600,32.69
2015-01-07,31.97,32.23,31.90,32.15,8400,32.15
