Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,77.91,78.62,77.87,78.62,11600,78.62
2015-04-30,78.49,79.30,77.45,77.60,22400,77.60
2015-04-29,79.50,79.50,78.31,78.58,13500,78.58
2015-04-28,79.20,80.46,79.20,79.93,20300,79.93
2015-04-27,79.59,79.59,78.01,78.64,63100,78.64
2015-04-24,80.70,81.18,80.53,81.17,17400,81.17
2015-04-23,80.20,80.69,80.20,80.57,27100,80.57
2015-04-22,80.20,80.50,80.20,80.26,10600,80.26
2015-04-21,81.52,81.52,79.89,80.29,38100,80.29
2015-04-20,82.58,83.42,80.58,83.00,53700,83.00
2015-04-17,79.70,79.70,78.53,79.25,27900,79.25
2015-04-16,78.68,79.15,78.01,79.12,39600,79.12
2015-04-15,78.19,78.75,77.64,78.69,70900,78.69
2015-04-14,75.75,76.50,75.54,76.13,49000,76.13
2015-04-13,73.24,75.84,73.12,74.65,81800,74.65
2015-04-10,73.17,73.19,72.66,72.66,27000,72.66
2015-04-09,73.75,74.23,73.34,73.40,11200,73.40
2015-04-08,74.13,74.43,73.69,73.80,11500,73.80
2015-04-07,74.14,74.60,74.05,74.55,12500,74.55
2015-04-06,74.42,74.67,74.38,74.43,14100,74.43
2015-04-02,74.22,74.61,73.83,74.22,18600,74.22
2015-04-01,73.01,73.63,72.71,73.38,16800,73.38
2015-03-31,72.50,72.95,72.16,72.21,17800,72.21
2015-03-30,72.78,72.93,72.39,72.88,15400,72.88
2015-03-27,70.54,70.93,70.11,70.17,5700,70.17
2015-03-26,71.39,71.39,70.19,70.35,10500,70.35
2015-03-25,71.55,71.72,70.78,71.37,21500,71.37
2015-03-24,72.45,72.49,71.62,71.75,15900,71.75
2015-03-23,71.62,72.53,71.41,72.42,56700,72.42
2015-03-20,70.60,72.79,70.60,70.61,9900,70.61
2015-03-19,71.03,72.00,70.30,70.41,15200,70.41
2015-03-18,69.95,71.00,69.53,70.83,17700,70.83
2015-03-17,68.54,69.94,68.54,68.92,5700,68.57
2015-03-16,68.92,69.05,68.52,68.62,18800,68.27152
2015-03-13,67.68,67.94,67.25,67.30,9200,66.95823
2015-03-12,67.47,68.00,67.35,68.00,22900,67.65467
2015-03-11,66.01,67.01,66.01,66.68,40700,66.34138
2015-03-10,65.01,65.16,64.56,64.84,43500,64.51071
2015-03-09,64.39,64.90,64.39,64.81,20200,64.48087
2015-03-06,63.01,63.02,62.75,62.85,4400,62.53082
2015-03-05,63.32,63.62,62.92,63.00,9900,62.68006
2015-03-04,63.60,63.71,63.19,63.32,7100,62.99844
2015-03-03,63.38,63.58,63.25,63.54,7700,63.21732
2015-03-02,64.70,64.82,64.34,64.45,22400,64.1227
2015-02-27,63.86,64.29,63.73,64.29,13700,63.96351
2015-02-26,64.09,64.16,63.72,63.72,18800,63.39641
2015-02-25,64.17,64.75,64.15,64.19,18300,63.86402
2015-02-24,64.52,64.94,64.29,64.83,8400,64.50077
2015-02-23,64.30,64.94,64.10,64.71,13500,64.38138
2015-02-20,64.10,64.29,63.82,64.29,6600,63.96351
2015-02-19,63.49,64.10,63.49,64.10,10600,63.77448
2015-02-18,62.91,63.43,62.91,63.19,5800,62.86909
2015-02-17,63.15,63.97,62.93,63.95,12700,63.62524
2015-02-13,61.60,62.59,61.60,61.81,8000,61.49611
2015-02-12,61.85,61.86,61.29,61.64,10300,61.32697
2015-02-11,62.99,62.99,62.20,62.27,11300,61.95377
2015-02-10,63.28,63.49,62.85,63.45,5400,63.12778
2015-02-09,62.50,62.74,62.42,62.66,6500,62.34179
2015-02-06,62.98,63.22,62.12,62.88,5300,62.56067
2015-02-05,63.75,64.00,63.27,63.74,10800,63.41631
2015-02-04,63.39,63.59,62.90,63.09,5700,62.7696
2015-02-03,62.75,63.75,62.75,63.75,12200,63.42625
2015-02-02,62.32,62.39,62.14,62.39,13700,62.07316
2015-01-30,61.62,61.98,61.10,61.73,4200,61.41651
2015-01-29,61.52,61.87,61.15,61.68,16100,61.36677
2015-01-28,61.49,61.59,60.78,60.95,14000,60.64047
2015-01-27,61.21,61.81,60.89,61.25,7100,60.93895
2015-01-26,61.19,61.81,60.76,60.90,13000,60.59073
2015-01-23,62.65,62.65,61.77,61.77,10600,61.45631
2015-01-22,62.50,62.78,62.25,62.74,26000,62.42138
2015-01-21,62.56,62.96,62.19,62.37,13200,62.05326
2015-01-20,63.45,63.49,62.60,62.66,36000,62.34179
2015-01-16,62.39,62.43,62.14,62.30,18200,61.98362
2015-01-15,63.30,63.30,62.06,62.73,22000,62.41143
2015-01-14,63.05,63.39,62.30,62.69,53700,62.37164
2015-01-13,61.65,61.69,60.75,61.12,18600,60.80961
2015-01-12,61.86,62.21,61.50,61.80,22500,61.48616
2015-01-09,60.83,61.07,60.06,60.92,32500,60.61062
2015-01-08,60.56,60.81,59.91,60.74,29600,60.43154
2015-01-07,61.20,61.29,60.30,60.44,33600,60.13306
2015-01-06,62.44,62.45,60.75,60.87,39700,60.56088
2015-01-05,62.79,62.83,62.29,62.55,36600,62.23235
2015-01-02,60.85,60.85,59.61,59.73,27900,59.42667
2014-12-31,61.80,61.88,60.67,60.74,24200,60.43154
2014-12-30,62.03,62.35,61.57,62.05,11000,61.73489
2014-12-29,61.42,61.97,61.22,61.75,17900,61.43641
2014-12-26,59.25,59.88,59.10,59.70,10500,59.39682
2014-12-24,59.34,59.43,59.17,59.21,5900,58.90931
2014-12-23,58.16,58.76,58.16,58.41,35500,58.11337
2014-12-22,57.34,57.73,57.01,57.60,57500,57.30748
2014-12-19,56.96,57.00,56.14,56.69,32000,56.40211
2014-12-18,57.84,57.99,56.90,57.00,64000,56.71053
2014-12-17,57.74,57.96,57.56,57.71,27800,57.41693
2014-12-16,57.20,57.58,56.78,57.21,12900,56.91946
2014-12-15,57.86,57.94,57.01,57.28,14300,56.98911
2014-12-12,57.22,57.93,57.22,57.75,29500,57.45672
2014-12-11,57.64,58.22,57.53,57.71,10700,57.41693
2014-12-10,57.10,57.10,56.22,56.31,23100,56.02404
2014-12-09,57.33,57.79,57.32,57.59,31300,57.29753
2014-12-08,57.16,57.33,56.95,57.06,23000,56.77023
2014-12-05,57.32,57.70,57.32,57.38,7500,57.0886
2014-12-04,57.22,57.67,57.20,57.31,20300,57.01896
2014-12-03,57.39,57.43,56.94,57.23,21900,56.93937
2014-12-02,57.67,57.73,57.35,57.42,10300,57.1284
2014-12-01,58.32,58.32,57.80,57.80,17300,57.50647
2014-11-28,58.20,58.33,57.88,57.98,13200,57.68555
2014-11-26,58.69,58.71,58.35,58.53,29500,58.23276
2014-11-25,58.27,58.35,57.75,57.99,20500,57.69551
2014-11-24,58.67,58.98,58.07,58.17,18200,57.87459
2014-11-21,58.76,58.76,58.00,58.21,14000,57.91439
2014-11-20,58.71,58.71,58.40,58.40,5300,57.78505
2014-11-19,58.33,58.62,57.98,58.10,9700,57.4882
2014-11-18,58.19,58.19,57.76,57.80,6700,57.19136
2014-11-17,58.47,58.73,57.77,58.20,23500,57.58715
2014-11-14,58.50,59.00,58.12,58.82,9600,58.20063
2014-11-13,59.52,59.64,58.15,58.35,28100,57.73557
2014-11-12,59.48,59.50,58.91,59.23,4800,58.60631
2014-11-11,58.46,58.98,58.15,58.95,18300,58.32926
2014-11-10,58.81,59.01,58.19,58.19,10200,57.57726
2014-11-07,59.48,59.59,59.16,59.25,4400,58.6261
2014-11-06,59.18,59.72,59.18,59.64,9500,59.01199
2014-11-05,58.67,58.77,58.00,58.04,14700,57.42884
2014-11-04,59.28,59.28,58.66,58.98,20100,58.35894
2014-11-03,60.11,60.26,59.76,60.21,9700,59.57599
2014-10-31,61.37,61.78,60.58,60.62,11000,59.98167
2014-10-30,60.65,60.99,60.03,60.79,9600,60.14988
2014-10-29,61.44,61.57,60.80,60.81,6700,60.16967
2014-10-28,60.63,61.29,60.20,61.29,11700,60.64462
2014-10-27,60.49,61.17,60.17,60.86,12000,60.21915
2014-10-24,61.08,61.08,60.38,60.55,7800,59.91241
2014-10-23,60.40,60.70,60.20,60.57,10700,59.9322
2014-10-22,61.05,61.05,60.41,60.41,16300,59.77388
2014-10-21,61.15,61.77,61.15,61.61,14400,60.96125
2014-10-20,60.50,61.21,60.22,60.69,26800,60.05093
2014-10-17,61.41,62.00,61.40,62.00,16200,61.34714
2014-10-16,60.10,61.19,60.10,60.97,21400,60.32799
2014-10-15,60.95,61.42,60.00,60.77,28100,60.13009
2014-10-14,61.89,61.89,60.75,60.80,20200,60.15977
2014-10-13,61.68,62.73,61.53,61.90,11500,61.2482
2014-10-10,61.96,62.20,61.79,61.94,15400,61.28777
2014-10-09,62.48,62.83,62.15,62.20,12700,61.54504
2014-10-08,62.48,62.92,62.14,62.92,12000,62.25745
2014-10-07,62.63,62.78,62.34,62.35,13500,61.69345
2014-10-06,63.28,63.33,62.60,62.60,14300,61.94082
2014-10-03,63.16,63.16,62.75,63.01,12600,62.3465
