Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,19.20,19.30,18.77,19.24,85900,19.24
2015-04-30,19.48,19.58,19.03,19.16,107200,19.16
2015-04-29,19.92,20.12,19.67,19.67,70600,19.67
2015-04-28,19.85,20.29,19.74,20.19,41200,20.19
2015-04-27,19.99,20.08,19.32,19.78,40800,19.78
2015-04-24,20.00,20.13,19.81,19.91,40000,19.91
2015-04-23,20.00,20.15,19.86,20.01,47700,20.01
2015-04-22,20.15,20.25,19.84,20.08,71000,20.08
2015-04-21,20.43,20.53,20.13,20.21,38600,20.21
2015-04-20,20.06,20.50,19.99,20.47,46200,20.47
2015-04-17,20.34,20.40,19.95,19.99,59100,19.99
2015-04-16,20.41,20.59,20.19,20.50,26400,20.50
2015-04-15,20.21,20.60,20.04,20.51,91100,20.51
2015-04-14,20.31,20.31,19.99,20.15,25900,20.15
2015-04-13,20.15,20.40,20.08,20.29,35100,20.29
2015-04-10,20.33,20.33,20.12,20.23,23800,20.23
2015-04-09,20.35,20.35,19.87,20.19,45400,20.19
2015-04-08,20.17,20.40,20.08,20.38,23700,20.38
2015-04-07,20.44,20.45,20.19,20.26,27600,20.26
2015-04-06,20.37,20.50,20.08,20.37,44900,20.37
2015-04-02,20.33,20.74,20.33,20.58,44000,20.58
2015-04-01,19.95,20.29,19.84,20.29,49100,20.29
2015-03-31,19.97,20.11,19.68,20.07,61500,20.07
2015-03-30,19.96,20.30,19.93,20.23,52500,20.23
2015-03-27,20.00,20.08,19.63,19.94,56600,19.94
2015-03-26,19.86,20.04,19.55,19.92,39300,19.92
2015-03-25,20.28,20.28,19.82,19.86,95000,19.86
2015-03-24,20.45,20.54,20.18,20.31,81200,20.31
2015-03-23,20.48,20.75,20.31,20.45,65700,20.45
2015-03-20,20.06,20.53,20.06,20.50,113200,20.50
2015-03-19,20.01,20.02,19.58,19.95,33900,19.95
2015-03-18,20.05,20.32,19.86,19.99,42300,19.99
2015-03-17,19.84,20.27,19.69,20.16,41100,20.16
2015-03-16,20.12,20.18,19.81,19.98,30000,19.98
2015-03-13,20.14,20.14,19.75,20.00,17000,20.00
2015-03-12,19.56,20.20,19.56,20.10,55900,20.10
2015-03-11,19.37,19.57,19.37,19.48,41900,19.48
2015-03-10,19.50,19.62,19.32,19.40,45200,19.40
2015-03-09,19.51,19.81,19.51,19.68,34600,19.68
2015-03-06,19.51,19.96,19.48,19.52,53000,19.52
2015-03-05,19.44,19.58,19.23,19.50,44200,19.50
2015-03-04,19.44,19.94,19.21,19.44,44900,19.44
2015-03-03,19.64,19.84,19.55,19.71,50400,19.55
2015-03-02,19.52,19.88,19.52,19.76,68100,19.59959
2015-02-27,19.77,19.85,19.56,19.58,51500,19.42105
2015-02-26,19.64,19.97,19.59,19.86,56200,19.69878
2015-02-25,19.93,19.93,19.56,19.72,37900,19.55992
2015-02-24,19.58,19.86,19.58,19.70,32400,19.54008
2015-02-23,19.67,19.67,19.40,19.66,29200,19.5004
2015-02-20,19.60,19.79,19.36,19.61,46800,19.45081
2015-02-19,19.59,19.85,19.39,19.68,44800,19.52024
2015-02-18,20.00,20.05,19.64,19.75,29300,19.58967
2015-02-17,19.87,19.99,19.59,19.99,47000,19.82773
2015-02-13,20.01,20.01,19.60,19.85,50500,19.68886
2015-02-12,19.73,19.99,19.56,19.93,31700,19.76821
2015-02-11,19.60,19.71,19.23,19.65,40400,19.49049
2015-02-10,19.53,19.66,19.05,19.58,35100,19.42105
2015-02-09,19.61,19.82,19.31,19.37,40600,19.21276
2015-02-06,19.54,19.97,19.51,19.74,67500,19.57976
2015-02-05,19.53,19.59,19.35,19.48,39500,19.32187
2015-02-04,19.39,19.59,19.15,19.29,63100,19.13341
2015-02-03,18.78,19.51,18.78,19.37,103400,19.21276
2015-02-02,18.11,18.84,17.99,18.79,72500,18.63747
2015-01-30,18.53,18.99,18.07,18.10,92800,17.95307
2015-01-29,18.43,18.77,18.26,18.77,63800,18.61763
2015-01-28,19.34,19.34,18.47,18.51,64900,18.35974
2015-01-27,19.32,19.34,19.00,19.11,55000,18.95487
2015-01-26,19.27,19.47,18.96,19.36,49900,19.20284
2015-01-23,19.67,19.67,19.18,19.31,24700,19.15325
2015-01-22,18.85,19.66,18.80,19.60,40400,19.44089
2015-01-21,18.86,18.97,18.73,18.80,45100,18.64739
2015-01-20,19.22,19.62,18.89,18.95,38100,18.79617
