Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,23.48,23.73,23.26,23.60,11900,23.60
2015-04-30,23.58,23.71,23.31,23.36,3700,23.36
2015-04-29,23.51,23.63,23.31,23.37,4100,23.37
2015-04-28,23.55,23.73,23.30,23.35,14900,23.35
2015-04-27,23.50,23.63,23.38,23.42,4100,23.42
2015-04-24,23.35,23.50,23.35,23.50,5200,23.50
2015-04-23,23.47,23.49,23.35,23.48,13700,23.48
2015-04-22,23.30,23.31,23.29,23.30,1500,23.30
2015-04-21,23.30,23.43,23.30,23.32,4100,23.32
2015-04-20,23.28,23.45,23.28,23.31,6200,23.31
2015-04-17,23.37,23.49,23.29,23.49,900,23.49
2015-04-16,23.22,23.49,23.22,23.38,6600,23.38
2015-04-15,23.23,23.44,23.21,23.33,1300,23.33
2015-04-14,23.23,23.45,23.23,23.41,1600,23.41
2015-04-13,23.32,23.46,23.23,23.28,6100,23.28
2015-04-10,23.38,23.45,23.27,23.43,3900,23.43
2015-04-09,23.48,23.48,23.18,23.45,10700,23.45
2015-04-08,23.40,23.47,23.27,23.39,3800,23.39
2015-04-07,23.47,23.48,23.31,23.47,1300,23.47
2015-04-06,23.50,23.50,23.18,23.22,5000,23.22
2015-04-02,23.31,23.50,23.29,23.39,22700,23.39
2015-04-01,23.25,23.34,23.20,23.24,18600,23.24
2015-03-31,23.16,23.25,23.12,23.25,11600,23.25
2015-03-30,23.25,23.25,23.23,23.23,600,23.23
2015-03-27,23.13,23.34,23.10,23.11,4300,23.11
2015-03-26,23.12,23.13,23.12,23.13,600,23.13
2015-03-25,23.25,23.34,23.19,23.25,2600,23.25
2015-03-24,23.25,23.25,23.15,23.25,900,23.25
2015-03-23,23.10,23.22,23.07,23.09,1500,23.09
2015-03-20,23.10,23.19,23.10,23.10,17100,23.10
2015-03-19,23.02,23.25,23.02,23.23,14600,23.23
2015-03-18,23.15,23.25,23.10,23.10,4900,23.10
2015-03-17,23.01,23.01,22.98,23.00,6500,23.00
