Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,33.32,33.83,33.29,33.65,2730500,33.65
2015-04-30,33.60,33.87,33.14,33.35,2327200,33.35
2015-04-29,33.53,34.31,33.53,33.78,2806600,33.78
2015-04-28,33.74,33.99,33.59,33.79,2090900,33.79
2015-04-27,34.01,34.27,33.66,33.81,2939000,33.81
2015-04-24,33.67,33.96,33.34,33.96,2332000,33.96
2015-04-23,33.18,33.84,33.17,33.65,4522300,33.65
2015-04-22,33.13,33.42,32.92,33.31,2457500,33.31
2015-04-21,33.21,33.41,33.04,33.13,1944100,33.13
2015-04-20,32.79,33.33,32.79,33.12,1412400,33.12
2015-04-17,32.76,32.88,32.46,32.62,3477100,32.62
2015-04-16,33.15,33.33,33.06,33.18,1290800,33.18
2015-04-15,33.15,33.48,33.06,33.18,1635100,33.18
2015-04-14,32.88,33.40,32.88,33.13,2588000,33.13
2015-04-13,33.51,33.51,33.14,33.17,2915400,33.17
2015-04-10,33.55,33.56,33.20,33.37,1867800,33.37
2015-04-09,33.33,33.55,33.03,33.44,1628000,33.44
2015-04-08,33.29,33.52,32.97,33.23,2415000,33.23
2015-04-07,33.54,33.63,33.20,33.29,2293300,33.29
2015-04-06,33.05,33.65,32.92,33.48,1752200,33.48
2015-04-02,32.88,33.32,32.62,33.24,2717800,33.24
2015-04-01,32.90,33.14,32.31,32.70,3924100,32.70
2015-03-31,33.13,33.45,32.83,32.88,2534600,32.88
2015-03-30,32.82,33.48,32.82,33.15,3450000,33.15
2015-03-27,32.94,33.20,32.72,32.74,1342500,32.74
2015-03-26,33.34,33.34,32.79,33.01,1773600,33.01
2015-03-25,34.08,34.18,33.23,33.26,1803200,33.26
2015-03-24,34.60,34.67,34.10,34.12,1552900,34.12
2015-03-23,34.34,34.81,34.34,34.65,1844700,34.65
2015-03-20,33.93,34.48,33.54,34.40,3355000,34.40
2015-03-19,33.88,34.04,33.52,33.58,1563700,33.58
2015-03-18,32.98,33.93,32.89,33.87,2248400,33.87
2015-03-17,33.28,33.28,32.85,32.98,1946800,32.98
2015-03-16,33.03,33.56,33.03,33.32,1834400,33.32
2015-03-13,33.22,33.48,32.61,32.98,3293900,32.98
2015-03-12,33.39,33.52,33.01,33.48,3889800,33.48
2015-03-11,33.20,33.29,32.87,33.17,3712100,33.17
2015-03-10,33.45,33.50,33.03,33.22,4547500,33.22
2015-03-09,33.47,33.77,33.42,33.65,2715000,33.65
2015-03-06,34.02,34.08,33.48,33.60,2874800,33.45
2015-03-05,34.24,34.30,33.95,34.03,2436100,33.87808
2015-03-04,34.70,34.70,33.78,34.07,1950000,33.9179
2015-03-03,34.02,34.65,34.02,34.63,1462800,34.4754
2015-03-02,33.73,34.32,33.73,34.26,2398100,34.10705
2015-02-27,33.98,34.14,33.62,34.04,2244900,33.88804
2015-02-26,33.75,33.89,33.54,33.80,1964000,33.64911
2015-02-25,34.14,34.35,33.88,33.96,1966100,33.80839
2015-02-24,34.17,34.57,34.06,34.06,2154000,33.90795
2015-02-23,34.33,34.45,34.01,34.40,2049800,34.24643
2015-02-20,33.95,34.28,33.63,34.28,1493000,34.12696
2015-02-19,33.75,33.89,33.49,33.85,1546600,33.69888
2015-02-18,34.24,34.39,33.53,33.62,3206900,33.46991
2015-02-17,33.65,34.00,33.44,34.00,2375800,33.84821
2015-02-13,33.74,33.86,33.30,33.66,3241300,33.50973
2015-02-12,33.66,33.76,33.16,33.32,2616900,33.17125
2015-02-11,33.10,33.58,33.01,33.57,7070400,33.42014
2015-02-10,33.16,33.45,32.85,33.26,4622300,33.11152
2015-02-09,32.56,33.18,32.32,33.00,4133500,32.85268
2015-02-06,31.95,32.83,31.74,32.57,5305900,32.4246
2015-02-05,31.77,32.13,31.50,31.78,9934400,31.63813
2015-02-04,33.33,33.81,32.94,33.43,4192700,33.28076
2015-02-03,34.01,34.01,32.50,33.33,2628900,33.18121
2015-02-02,31.89,32.52,31.53,32.46,2337000,32.31509
2015-01-30,32.36,32.39,31.76,31.85,2344100,31.70781
2015-01-29,32.29,32.75,31.95,32.57,2281600,32.4246
2015-01-28,32.93,33.15,32.30,32.35,2270900,32.20558
2015-01-27,33.08,33.33,32.88,32.99,1735800,32.84272
2015-01-26,33.01,33.44,32.89,33.42,1246900,33.2708
2015-01-23,33.57,33.68,32.89,33.24,2082400,33.09161
2015-01-22,32.87,33.49,32.68,33.39,3847400,33.24094
2015-01-21,32.72,32.85,32.41,32.65,3485400,32.50424
2015-01-20,33.65,33.80,32.68,32.78,3852500,32.63366
2015-01-16,33.21,33.69,33.03,33.59,3170900,33.44004
2015-01-15,33.29,33.58,32.88,33.12,1865800,32.97214
2015-01-14,33.31,33.56,32.93,33.30,3863600,33.15134
2015-01-13,34.04,34.54,33.35,33.56,5092300,33.41018
2015-01-12,33.82,34.32,33.33,33.81,3949400,33.65907
2015-01-09,34.19,34.31,33.80,33.84,2404600,33.68893
2015-01-08,34.05,34.39,34.00,34.12,7752400,33.96768
2015-01-07,35.37,35.39,33.75,33.96,7584100,33.80839
2015-01-06,35.91,35.92,35.12,35.27,1921700,35.11255
2015-01-05,36.50,36.50,35.70,35.77,1849800,35.61031
2015-01-02,36.98,37.16,36.30,36.52,1890200,36.35696
2014-12-31,37.12,37.44,36.86,36.89,1987900,36.72531
2014-12-30,37.40,37.40,36.95,37.18,2326500,37.01402
2014-12-29,37.21,37.53,37.12,37.49,2764300,37.32264
2014-12-26,37.43,37.52,37.26,37.32,2386600,37.15339
2014-12-24,37.42,37.51,37.24,37.33,847800,37.16335
2014-12-23,37.77,37.83,37.28,37.31,3396800,37.14344
2014-12-22,37.22,37.49,36.97,37.49,3312200,37.32264
2014-12-19,36.50,37.16,36.50,37.06,23317500,36.89455
2014-12-18,35.96,36.40,35.92,36.40,2961400,36.2375
2014-12-17,35.16,35.96,34.96,35.80,4302000,35.64018
2014-12-16,35.19,35.67,34.81,34.83,5216300,34.67451
2014-12-15,35.60,35.77,35.08,35.16,5611700,35.00304
2014-12-12,35.61,35.84,35.18,35.46,2961900,35.3017
2014-12-11,35.85,36.11,35.60,35.75,2767700,35.5904
2014-12-10,35.53,35.88,35.51,35.61,3324900,35.45103
2014-12-09,36.12,36.12,35.52,35.76,4692200,35.60036
2014-12-08,36.38,36.67,36.11,36.19,4445700,36.02844
2014-12-05,36.30,36.57,35.99,36.52,5101300,36.35696
2014-12-04,35.52,36.29,35.52,36.15,5713900,35.98862
2014-12-03,36.00,36.00,35.52,35.67,3108300,35.51076
2014-12-02,35.69,36.01,35.48,35.79,2902800,35.63023
2014-12-01,35.30,35.75,34.91,35.72,7401000,35.56054
2014-11-28,34.77,35.39,34.56,35.36,1469800,35.20214
2014-11-26,35.00,35.15,34.83,34.86,4892100,34.70438
2014-11-25,34.47,35.28,34.47,35.15,5172300,34.99308
2014-11-24,33.90,34.48,33.86,34.45,4903600,34.29621
2014-11-21,34.07,34.12,33.69,33.95,3620000,33.79844
2014-11-20,33.40,33.80,33.20,33.80,2931300,33.64911
2014-11-19,33.61,33.81,33.41,33.66,3314500,33.50973
2014-11-18,33.82,33.94,33.51,33.77,2536800,33.61924
2014-11-17,33.79,34.14,33.52,33.82,3021200,33.66902
2014-11-14,33.61,33.80,33.24,33.71,2143300,33.55951
2014-11-13,32.58,33.59,32.58,33.55,1591600,33.40022
2014-11-12,33.71,33.71,33.03,33.19,1882200,33.04183
2014-11-11,33.22,33.44,33.12,33.39,2429900,33.24094
2014-11-10,33.12,33.37,32.96,33.29,3825800,33.14138
2014-11-07,33.83,33.85,33.14,33.24,3875600,33.09161
2014-11-06,33.96,34.16,33.30,33.93,5377000,33.77853
2014-11-05,32.97,33.45,32.58,33.41,6531400,33.26085
