Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,111.14,114.50,111.14,113.21,264800,56.605
2015-04-30,113.45,114.04,110.53,111.18,320400,55.59
2015-04-29,114.88,115.92,112.11,113.93,378000,56.965
2015-04-28,117.47,117.47,114.33,115.58,422800,57.79
2015-04-27,119.00,119.61,117.22,117.74,455000,58.87
2015-04-24,117.04,119.99,116.31,118.53,443400,59.265
2015-04-23,116.32,117.69,115.68,116.63,338000,58.315
2015-04-22,117.79,117.79,115.63,116.32,177400,58.16
2015-04-21,117.05,117.97,116.50,117.47,172800,58.735
2015-04-20,116.84,117.81,115.41,116.56,306600,58.28
2015-04-17,117.51,117.91,115.97,116.07,253200,58.035
2015-04-16,117.51,118.68,117.40,118.63,190000,59.315
2015-04-15,118.30,119.32,117.50,117.69,187400,58.845
2015-04-14,118.15,118.58,116.54,117.48,256400,58.74
2015-04-13,117.58,120.32,117.03,118.21,272000,59.105
2015-04-10,117.97,117.97,115.97,117.49,231400,58.745
2015-04-09,116.52,118.28,115.94,117.64,328200,58.82
2015-04-08,115.16,116.51,115.16,116.38,313800,58.19
2015-04-07,113.80,116.35,113.80,114.97,422000,57.485
2015-04-06,113.10,115.73,112.55,113.57,283000,56.785
2015-04-02,113.54,115.43,113.24,114.01,530400,57.005
2015-04-01,112.00,114.62,110.02,113.19,369200,56.595
2015-03-31,112.11,113.60,111.35,112.65,551600,56.325
2015-03-30,112.22,114.10,111.74,112.47,255600,56.235
2015-03-27,109.55,112.24,109.51,111.78,271200,55.89
2015-03-26,109.95,110.87,108.05,109.82,414200,54.91
2015-03-25,114.20,114.84,110.25,110.77,760600,55.385
2015-03-24,115.28,115.28,109.10,112.92,1168600,56.46
2015-03-23,112.74,112.95,111.04,112.83,752600,56.415
2015-03-20,112.64,113.88,110.95,111.89,464600,55.945
2015-03-19,109.18,111.85,109.10,111.05,281600,55.525
2015-03-18,107.38,109.89,106.00,109.07,299800,54.535
2015-03-17,106.80,107.70,105.49,107.43,257000,53.715
2015-03-16,107.28,108.07,106.26,106.79,229200,53.395
2015-03-13,105.68,107.13,104.28,106.35,219400,53.175
2015-03-12,104.29,106.20,103.58,105.63,248600,52.815
2015-03-11,101.82,103.66,101.81,103.57,260600,51.785
2015-03-10,102.91,102.91,101.04,101.87,269200,50.935
2015-03-09,106.22,106.35,103.35,103.57,262000,51.785
2015-03-06,105.78,107.21,104.40,105.74,271800,52.87
2015-03-05,104.94,106.05,103.53,105.20,158400,52.60
2015-03-04,104.95,105.28,103.18,104.69,230600,52.345
2015-03-03,106.09,106.34,102.46,105.51,301400,52.755
2015-03-02,105.20,106.78,103.53,106.35,340000,53.175
2015-02-27,105.92,106.55,104.68,105.23,191200,52.615
2015-02-26,106.61,108.36,105.75,105.94,193200,52.97
2015-02-25,106.17,107.45,106.06,106.61,191200,53.305
2015-02-24,105.24,106.63,104.32,106.16,249200,53.08
2015-02-23,105.19,105.45,102.92,104.93,233000,52.465
2015-02-20,105.01,105.64,103.14,105.53,201800,52.765
2015-02-19,103.32,105.50,103.07,104.81,169200,52.405
2015-02-18,102.79,104.65,102.44,103.76,218800,51.88
2015-02-17,103.47,104.82,102.16,103.63,209600,51.815
2015-02-13,103.00,103.79,101.98,103.56,210200,51.78
2015-02-12,103.36,104.49,102.30,102.91,216600,51.455
2015-02-11,100.66,103.08,100.20,102.78,278800,51.39
2015-02-10,98.77,102.04,96.41,100.85,302600,50.425
2015-02-09,100.53,100.53,97.02,97.65,265800,48.825
2015-02-06,101.85,102.53,100.79,101.14,290000,50.57
2015-02-05,99.97,101.69,99.92,101.49,336400,50.745
2015-02-04,100.16,100.85,98.53,99.80,276000,49.90
2015-02-03,98.31,101.29,98.31,100.99,347000,50.495
2015-02-02,97.32,98.21,95.33,97.51,324800,48.755
2015-01-30,99.79,101.70,96.58,97.20,357800,48.60
2015-01-29,96.83,100.64,96.82,100.47,310800,50.235
2015-01-28,98.53,98.53,95.42,96.44,357000,48.22
2015-01-27,95.53,98.07,94.23,97.82,287200,48.91
2015-01-26,96.25,97.62,94.51,97.07,372000,48.535
2015-01-23,97.11,98.10,96.25,96.51,242400,48.255
2015-01-22,95.10,98.01,94.41,97.25,449200,48.625
2015-01-21,93.53,94.84,93.14,94.24,276000,47.12
2015-01-20,94.25,94.71,92.94,94.00,306400,47.00
2015-01-16,94.41,95.20,92.89,94.04,578600,47.02
2015-01-15,97.55,97.68,93.77,94.76,355600,47.38
2015-01-14,97.40,98.00,95.84,97.52,216400,48.76
2015-01-13,100.62,103.15,97.67,98.91,429800,49.455
2015-01-12,99.70,100.66,98.31,99.51,305200,49.755
2015-01-09,101.27,101.48,98.49,99.78,434000,49.89
2015-01-08,99.79,102.98,98.84,102.40,639000,51.20
2015-01-07,96.50,98.88,94.77,98.68,578200,49.34
2015-01-06,96.44,96.70,93.50,95.25,588600,47.625
2015-01-05,99.47,100.87,95.72,96.40,529800,48.20
2015-01-02,101.66,102.86,98.42,100.00,334400,50.00
2014-12-31,101.78,103.18,100.78,101.01,373000,50.505
2014-12-30,100.44,102.80,99.05,101.30,223400,50.65
2014-12-29,99.87,101.08,99.75,100.51,247600,50.255
2014-12-26,100.21,101.25,98.21,99.55,216200,49.775
2014-12-24,98.36,100.28,98.31,99.53,240800,49.765
2014-12-23,97.30,98.55,96.69,97.71,328800,48.855
