Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,50.51,50.57,50.37,50.37,3200,50.37
2015-04-30,50.40,50.71,50.38,50.60,2600,50.525
2015-04-29,50.57,50.64,50.44,50.44,4000,50.36524
2015-04-28,50.69,50.75,50.51,50.72,1800,50.64482
2015-04-27,50.63,50.72,50.53,50.63,4100,50.55496
2015-04-24,50.56,50.74,50.54,50.74,2700,50.66479
2015-04-23,50.60,50.72,50.49,50.68,3100,50.60488
2015-04-22,50.55,50.66,50.45,50.50,5100,50.42515
2015-04-21,50.72,50.72,50.50,50.52,3500,50.44512
2015-04-20,50.70,50.70,50.48,50.69,1700,50.61487
2015-04-17,50.68,50.72,50.66,50.72,1700,50.64482
2015-04-16,50.70,50.75,50.70,50.75,900,50.67478
2015-04-15,50.50,50.75,50.50,50.50,3000,50.42515
2015-04-14,50.73,50.75,50.49,50.70,3300,50.62486
2015-04-13,50.49,50.75,50.49,50.74,1400,50.66479
2015-04-10,50.64,50.71,50.60,50.60,1700,50.525
2015-04-09,50.71,50.73,50.39,50.42,4700,50.34526
2015-04-08,50.64,50.64,50.46,50.46,10100,50.38521
2015-04-07,50.60,50.62,50.43,50.62,1600,50.54497
2015-04-06,50.69,50.70,50.56,50.62,1900,50.54497
2015-04-02,50.64,50.64,50.54,50.54,1600,50.46509
2015-04-01,50.68,50.75,50.45,50.64,6700,50.56494
2015-03-31,50.59,50.67,50.34,50.56,2600,50.48506
2015-03-30,50.53,50.86,50.44,50.46,5000,50.38521
2015-03-27,50.52,50.67,50.35,50.47,12400,50.3952
2015-03-26,50.49,50.52,50.32,50.33,3600,50.2554
2015-03-25,50.43,50.85,50.43,50.53,18200,50.4551
2015-03-24,50.54,50.66,50.43,50.53,6000,50.4551
2015-03-23,50.35,50.69,50.35,50.69,4700,50.61487
2015-03-20,50.44,50.81,50.27,50.32,7700,50.24541
2015-03-19,50.70,51.66,50.33,50.39,47900,50.31531
2015-03-18,50.39,50.94,50.25,50.53,8300,50.4551
2015-03-17,50.32,50.39,50.25,50.25,6000,50.17552
2015-03-16,50.37,50.37,50.20,50.33,2000,50.2554
2015-03-13,50.23,50.33,50.04,50.33,2700,50.2554
2015-03-12,50.44,50.49,50.21,50.35,5800,50.27537
2015-03-11,50.10,50.33,50.01,50.32,7200,50.24541
2015-03-10,50.36,50.36,50.21,50.25,1700,50.17552
2015-03-09,49.97,50.20,49.85,50.12,15500,50.04571
2015-03-06,50.15,50.31,49.97,49.97,1800,49.89594
2015-03-05,50.22,50.33,50.06,50.32,3900,50.24541
2015-03-04,50.38,50.48,49.97,50.26,102300,50.1855
2015-03-03,50.43,50.45,50.25,50.44,12700,50.36524
2015-03-02,50.24,50.64,50.24,50.27,10100,50.19549
2015-02-27,50.38,50.45,50.30,50.33,8200,50.19649
2015-02-26,50.29,50.45,50.25,50.32,15900,50.18651
2015-02-25,50.62,50.67,50.18,50.65,72500,50.51564
2015-02-24,50.30,50.66,50.24,50.64,27100,50.50566
2015-02-23,50.15,50.61,50.11,50.36,45400,50.22641
2015-02-20,50.38,50.40,50.27,50.29,13500,50.15659
2015-02-19,50.29,50.45,50.19,50.45,1200,50.31617
2015-02-18,50.27,50.61,50.21,50.38,15500,50.24635
2015-02-17,50.29,50.49,50.13,50.14,6400,50.00699
2015-02-13,50.45,50.47,50.34,50.34,9000,50.20646
2015-02-12,50.39,50.73,50.30,50.60,6300,50.46577
2015-02-11,50.39,50.47,50.15,50.35,15600,50.21643
2015-02-10,50.37,50.47,50.30,50.42,3900,50.28625
2015-02-09,50.43,50.51,50.30,50.49,13200,50.35606
2015-02-06,50.31,50.41,50.16,50.30,75100,50.16656
2015-02-05,50.26,50.65,50.26,50.47,32300,50.33612
2015-02-04,50.43,50.52,50.39,50.52,25200,50.38598
2015-02-03,50.44,50.83,50.35,50.60,34300,50.46577
2015-02-02,50.54,50.62,50.52,50.56,1500,50.42588
2015-01-30,50.67,50.67,50.51,50.66,19800,50.4907
2015-01-29,50.63,50.68,50.37,50.46,3000,50.29137
2015-01-28,50.47,50.73,50.36,50.68,8000,50.51064
2015-01-27,50.70,50.70,50.59,50.62,13600,50.45084
2015-01-26,50.66,50.71,50.58,50.66,4200,50.4907
2015-01-23,50.50,50.63,50.49,50.53,25900,50.36114
2015-01-22,50.30,50.50,50.20,50.41,8000,50.24154
2015-01-21,50.36,50.58,50.18,50.22,10500,50.05218
2015-01-20,50.42,50.59,50.13,50.13,4400,49.96248
2015-01-16,50.56,50.64,50.40,50.40,9400,50.23158
2015-01-15,50.53,50.78,50.53,50.67,13000,50.50067
2015-01-14,50.53,50.67,50.53,50.67,4200,50.50067
2015-01-13,50.61,50.61,50.46,50.52,8300,50.35117
2015-01-12,50.51,50.70,50.39,50.64,4000,50.47077
2015-01-09,50.57,50.59,50.57,50.57,900,50.401
2015-01-08,50.32,50.61,50.32,50.61,3900,50.44087
2015-01-07,50.69,50.71,50.58,50.58,4600,50.41097
2015-01-06,50.75,50.85,50.62,50.80,22300,50.63024
2015-01-05,50.47,50.73,50.43,50.67,19900,50.50067
2015-01-02,50.32,50.61,50.21,50.46,7400,50.29137
2014-12-31,50.39,50.62,50.39,50.62,1500,50.45084
2014-12-30,50.52,50.99,50.44,50.99,5100,50.8196
2014-12-29,50.11,50.50,50.02,50.23,26700,50.06214
2014-12-26,50.25,50.34,49.93,50.27,28200,50.10201
2014-12-24,50.20,50.20,50.08,50.08,4000,49.91264
2014-12-23,50.41,50.53,50.37,50.49,57100,50.11696
2014-12-22,50.47,50.56,50.37,50.47,11000,50.09711
2014-12-19,50.43,50.57,50.36,50.49,11100,50.11696
2014-12-18,50.21,50.55,50.21,50.39,8600,50.0177
2014-12-17,50.45,50.68,50.27,50.55,11500,50.17651
2014-12-16,50.57,50.57,50.27,50.56,10000,50.18644
2014-12-15,50.46,50.59,50.34,50.48,3400,50.10703
2014-12-12,50.53,50.77,50.48,50.50,4500,50.12688
2014-12-11,50.61,50.78,50.17,50.41,35000,50.03755
2014-12-10,50.18,50.69,50.18,50.69,2200,50.31548
2014-12-09,50.59,50.59,50.49,50.54,3100,50.16659
2014-12-08,50.37,50.52,50.16,50.44,9400,50.06733
2014-12-05,50.47,50.47,50.25,50.26,5100,49.88866
2014-12-04,50.44,50.54,50.34,50.50,4200,50.12688
2014-12-03,50.39,50.53,50.35,50.44,11700,50.06733
2014-12-02,50.37,50.58,50.27,50.41,13300,50.03755
2014-12-01,50.64,50.64,50.37,50.43,3100,50.0574
2014-11-28,50.62,50.62,50.58,50.58,3300,50.14674
2014-11-26,50.65,50.67,50.64,50.65,6700,50.21614
2014-11-25,50.49,50.60,50.38,50.58,27200,50.14674
2014-11-24,50.42,50.63,50.29,50.50,12100,50.06742
2014-11-21,50.38,50.50,50.29,50.36,13600,49.92862
