Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,1361.01001,1367.93994,1360.00,1365.00,300,1365.00
2015-04-29,1368.00,1368.00,1368.00,1368.00,100,1368.00
2015-04-28,1367.00,1367.00,1350.00,1366.00,200,1366.00
2015-04-27,1360.00,1370.00,1360.00,1364.00,1100,1364.00
2015-04-24,1370.00,1370.00,1370.00,1370.00,000,1370.00
2015-04-23,1370.00,1370.00,1353.00,1370.00,300,1370.00
2015-04-22,1384.25,1384.25,1350.00,1350.00,100,1350.00
2015-04-21,1385.00,1385.00,1365.05005,1379.98999,300,1379.98999
2015-04-20,1360.00,1365.00,1360.00,1365.00,300,1365.00
2015-04-17,1345.00,1365.00,1345.00,1365.00,100,1365.00
2015-04-16,1370.00,1375.00,1370.00,1370.00,100,1370.00
2015-04-15,1374.94995,1374.94995,1374.94995,1374.94995,400,1374.94995
2015-04-14,1375.00,1375.00,1360.00,1375.00,100,1375.00
2015-04-13,1380.00,1380.00,1380.00,1380.00,300,1380.00
2015-04-10,1383.00,1383.00,1380.00,1380.00,100,1380.00
2015-04-09,1348.00,1348.00,1348.00,1348.00,000,1348.00
2015-04-08,1356.00,1356.00,1348.00,1348.00,100,1348.00
2015-04-07,1362.00,1370.00,1362.00,1370.00,100,1370.00
2015-04-06,1362.00,1362.00,1362.00,1362.00,100,1362.00
2015-04-02,1375.00,1375.00,1375.00,1375.00,100,1375.00
2015-04-01,1365.00,1380.00,1365.00,1380.00,100,1380.00
2015-03-31,1350.00,1350.00,1340.00,1350.00,100,1350.00
2015-03-30,1358.00,1358.00,1358.00,1358.00,000,1358.00
2015-03-27,1358.00,1358.00,1358.00,1358.00,000,1336.75
2015-03-26,1358.00,1358.00,1358.00,1358.00,000,1336.75
2015-03-25,1360.00,1360.00,1358.00,1358.00,100,1336.75
2015-03-24,1368.00,1368.00,1368.00,1368.00,000,1346.59351
2015-03-23,1368.00,1368.00,1368.00,1368.00,100,1346.59351
2015-03-20,1355.00,1355.00,1355.00,1355.00,100,1333.797
2015-03-19,1387.00,1387.00,1380.00,1380.00,100,1358.40576
2015-03-18,1375.00,1375.00,1375.00,1375.00,000,1353.48401
2015-03-17,1356.51001,1375.00,1356.00,1375.00,100,1353.48401
2015-03-16,1370.00,1370.00,1370.00,1370.00,100,1348.56226
2015-03-13,1375.00,1375.00,1375.00,1375.00,000,1353.48401
2015-03-12,1370.00,1380.00,1370.00,1375.00,100,1353.48401
2015-03-11,1375.00,1375.00,1375.00,1375.00,300,1353.48401
2015-03-10,1342.00,1342.00,1342.00,1342.00,000,1321.00037
2015-03-09,1332.00,1342.00,1332.00,1342.00,100,1321.00037
2015-03-06,1353.00,1353.00,1328.09998,1328.09998,300,1307.31787
2015-03-05,1370.00,1370.00,1370.00,1370.00,100,1348.56226
2015-03-04,1353.05005,1353.05005,1353.05005,1353.05005,000,1331.87756
2015-03-03,1352.00,1353.05005,1350.00,1353.05005,700,1331.87756
2015-03-02,1393.00,1393.00,1393.00,1393.00,100,1371.20227
2015-02-27,1352.00,1352.00,1352.00,1352.00,000,1330.84387
2015-02-26,1352.00,1352.00,1352.00,1352.00,000,1330.84387
2015-02-25,1352.00,1352.00,1352.00,1352.00,100,1330.84387
2015-02-24,1350.00,1395.00,1350.00,1395.00,200,1373.17102
2015-02-23,1350.05005,1350.05005,1350.05005,1350.05005,100,1328.92444
2015-02-20,1335.00,1335.00,1335.00,1335.00,100,1314.10986
2015-02-19,1395.00,1395.00,1395.00,1395.00,100,1373.17102
2015-02-18,1395.00,1395.00,1395.00,1395.00,000,1373.17102
2015-02-17,1355.00,1395.00,1355.00,1395.00,100,1373.17102
2015-02-13,1375.00,1375.00,1375.00,1375.00,000,1353.48401
2015-02-12,1375.00,1400.00,1375.00,1375.00,200,1353.48401
2015-02-11,1351.00,1351.00,1351.00,1351.00,000,1329.8595
2015-02-10,1351.00,1351.00,1351.00,1351.00,000,1329.8595
2015-02-09,1351.00,1351.00,1351.00,1351.00,000,1329.8595
2015-02-06,1351.00,1351.00,1351.00,1351.00,000,1329.8595
2015-02-05,1385.00,1385.00,1350.05005,1351.00,100,1329.8595
2015-02-04,1353.00,1385.00,1353.00,1385.00,100,1363.32751
2015-02-03,1375.00,1375.00,1346.00,1346.00,100,1324.93774
2015-02-02,1383.00,1383.00,1345.00,1345.00,100,1323.95337
2015-01-30,1385.00,1385.00,1385.00,1385.00,000,1363.32751
2015-01-29,1385.00,1385.00,1385.00,1385.00,100,1363.32751
2015-01-28,1361.00,1370.00,1361.00,1370.00,500,1348.56226
2015-01-27,1360.00,1380.00,1360.00,1380.00,100,1358.40576
2015-01-26,1349.00,1450.00,1349.00,1450.00,500,1427.31042
2015-01-23,1330.00,1330.00,1330.00,1330.00,100,1309.18811
2015-01-22,1345.00,1345.00,1345.00,1345.00,100,1323.95337
2015-01-21,1340.00,1340.00,1340.00,1340.00,500,1319.03162
2015-01-20,1340.00,1350.00,1320.00,1350.00,200,1328.87524
2015-01-16,1345.00,1345.00,1345.00,1345.00,000,1323.95337
2015-01-15,1345.00,1345.00,1345.00,1345.00,100,1323.95337
2015-01-14,1330.00,1344.98999,1330.00,1344.98999,100,1323.9436
2015-01-13,1340.00,1340.00,1340.00,1340.00,100,1319.03162
2015-01-12,1330.00,1330.00,1330.00,1330.00,200,1309.18811
2015-01-09,1320.00,1320.00,1320.00,1320.00,100,1299.3446
2015-01-08,1345.00,1350.00,1345.00,1350.00,100,1328.87524
2015-01-07,1335.00,1335.00,1335.00,1335.00,400,1314.10986
2015-01-06,1322.00,1334.90002,1322.00,1334.90002,100,1314.01147
2015-01-05,1324.00,1324.00,1324.00,1324.00,100,1303.28198
2015-01-02,1320.00,1320.00,1320.00,1320.00,100,1299.3446
2014-12-31,1320.00,1330.00,1320.00,1330.00,100,1309.18811
2014-12-30,1320.00,1335.00,1320.00,1335.00,100,1314.10986
2014-12-29,1330.00,1335.00,1330.00,1335.00,100,1314.10986
2014-12-26,1340.00,1340.00,1340.00,1340.00,100,1298.11426
2014-12-24,1317.10999,1317.10999,1317.10999,1317.10999,000,1275.9397
2014-12-23,1345.00,1345.00,1319.28003,1319.28003,100,1278.04187
2014-12-22,1315.00,1338.00,1315.00,1338.00,100,1296.17676
2014-12-19,1330.00,1330.00,1330.00,1330.00,300,1288.42676
2014-12-18,1330.00,1330.00,1330.00,1330.00,100,1288.42676
2014-12-17,1330.00,1335.00,1330.00,1330.00,100,1288.42676
2014-12-16,1330.00,1330.00,1330.00,1330.00,000,1288.42676
2014-12-15,1330.00,1330.00,1330.00,1330.00,100,1288.42676
2014-12-12,1320.00,1320.00,1320.00,1320.00,100,1278.73938
2014-12-11,1345.00,1345.00,1318.00,1319.00,600,1277.77063
2014-12-10,1345.00,1345.00,1345.00,1345.00,100,1302.95789
2014-12-09,1340.00,1340.00,1340.00,1340.00,100,1298.11426
2014-12-08,1335.00,1349.21997,1271.05005,1340.00,500,1298.11426
