Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,27.54,27.54,27.01,27.15,7800,27.08056
2015-04-30,27.93,28.10,27.34,27.50,11200,27.42967
2015-04-29,28.00,28.07,27.56,27.89,12100,27.81867
2015-04-28,27.59,28.10,27.59,28.05,51200,27.97826
2015-04-27,27.94,28.18,27.35,27.71,18100,27.63913
2015-04-24,28.02,28.17,27.77,27.77,10300,27.69898
2015-04-23,28.03,28.19,27.88,28.10,12000,28.02813
2015-04-22,28.11,28.34,27.67,28.08,42600,28.00818
2015-04-21,27.91,28.20,27.87,27.96,61000,27.88849
2015-04-20,27.44,28.12,27.44,27.85,16500,27.77877
2015-04-17,27.83,27.83,27.39,27.48,10800,27.40972
2015-04-16,28.09,28.27,27.85,28.01,10500,27.93836
2015-04-15,27.50,28.23,27.35,28.04,20600,27.96829
2015-04-14,27.59,27.64,27.28,27.49,12300,27.41969
2015-04-13,27.30,27.90,27.30,27.65,20900,27.57928
2015-04-10,27.59,27.81,27.38,27.38,12100,27.30997
2015-04-09,27.90,27.90,27.41,27.56,9100,27.48951
2015-04-08,28.28,28.28,27.55,27.82,21400,27.74885
2015-04-07,27.79,28.08,27.67,27.93,19900,27.85857
2015-04-06,27.77,27.94,27.64,27.64,11000,27.56931
2015-04-02,27.26,28.28,27.26,27.63,84500,27.55934
2015-04-01,27.52,27.58,27.02,27.19,26600,27.12046
2015-03-31,26.96,27.45,26.96,27.23,24900,27.16036
2015-03-30,26.97,27.56,26.97,26.98,16500,26.911
2015-03-27,26.79,27.02,26.64,26.83,12400,26.76138
2015-03-26,26.52,26.91,26.38,26.73,9800,26.66164
2015-03-25,26.86,26.90,26.50,26.71,23200,26.64169
2015-03-24,26.90,27.00,26.83,26.97,16300,26.90102
2015-03-23,26.76,27.07,26.67,26.84,17300,26.77136
2015-03-20,26.38,26.81,26.38,26.69,163500,26.62174
2015-03-19,26.32,26.64,26.19,26.39,20600,26.32251
2015-03-18,26.37,26.59,26.16,26.45,28500,26.38235
2015-03-17,26.26,26.50,26.07,26.38,38500,26.31253
2015-03-16,26.35,26.78,26.28,26.40,94600,26.33248
2015-03-13,26.30,26.40,26.06,26.14,73300,26.07315
2015-03-12,26.00,26.30,25.97,26.30,44400,26.23274
2015-03-11,26.04,26.08,25.44,25.95,18700,25.88363
2015-03-10,26.05,26.11,25.81,26.03,23500,25.96343
2015-03-09,26.01,26.42,25.86,26.24,19500,26.17289
2015-03-06,25.75,26.15,25.70,25.98,17200,25.91356
2015-03-05,25.56,25.85,25.54,25.80,57300,25.73401
2015-03-04,25.69,26.04,25.46,25.84,27300,25.77391
2015-03-03,25.85,26.06,25.56,25.83,32400,25.76394
2015-03-02,25.90,26.21,25.66,25.82,11200,25.75397
2015-02-27,26.22,26.38,25.84,25.89,18100,25.82379
2015-02-26,25.73,26.04,25.53,25.93,49900,25.86368
2015-02-25,25.70,25.75,25.45,25.70,22800,25.63427
2015-02-24,25.36,25.77,25.36,25.68,75300,25.61432
2015-02-23,25.11,25.38,25.07,25.38,21600,25.31509
2015-02-20,25.32,25.38,25.10,25.11,27200,25.04578
2015-02-19,25.13,25.32,25.03,25.29,71700,25.22532
2015-02-18,25.10,25.34,24.81,25.29,16400,25.22532
2015-02-17,24.84,25.38,24.77,25.20,11300,25.13555
2015-02-13,24.50,24.91,24.38,24.84,224400,24.77647
2015-02-12,24.60,24.84,24.44,24.70,108800,24.63683
2015-02-11,24.50,24.70,24.13,24.45,37800,24.38747
2015-02-10,24.47,24.71,24.06,24.51,85900,24.44732
2015-02-09,24.82,24.97,24.40,24.40,21200,24.3376
2015-02-06,24.79,25.09,24.56,24.74,122900,24.67673
2015-02-05,24.42,24.88,24.30,24.60,60800,24.53708
2015-02-04,24.46,24.56,24.20,24.20,21000,24.13811
2015-02-03,23.75,24.57,23.75,24.30,32700,24.23785
2015-02-02,23.75,24.44,23.75,24.23,39700,24.16803
2015-01-30,23.69,24.11,23.69,23.97,16200,23.83887
2015-01-29,23.83,24.38,23.71,23.89,23800,23.75931
2015-01-28,24.35,24.35,23.69,23.85,19100,23.71953
2015-01-27,24.30,24.30,24.19,24.19,10600,24.05767
2015-01-26,24.22,24.30,23.99,24.30,25000,24.16707
2015-01-23,23.99,24.73,23.99,24.32,33500,24.18696
2015-01-22,24.29,24.80,23.89,24.79,56200,24.65439
2015-01-21,24.29,24.60,23.95,24.23,23500,24.09745
2015-01-20,24.77,24.77,24.18,24.40,12300,24.26652
2015-01-16,24.28,25.07,24.28,24.61,28200,24.47537
2015-01-15,24.55,24.76,24.04,24.23,163100,24.09745
2015-01-14,24.52,24.94,24.08,24.55,145000,24.4157
2015-01-13,25.04,25.62,24.54,24.82,27500,24.68423
2015-01-12,25.23,25.23,24.68,24.98,37300,24.84335
2015-01-09,25.52,25.71,25.21,25.42,11100,25.28094
2015-01-08,25.45,25.85,25.10,25.59,68800,25.45001
2015-01-07,24.63,25.46,24.61,25.46,93200,25.32072
2015-01-06,25.35,25.49,24.47,24.49,20500,24.35603
2015-01-05,25.53,25.68,25.20,25.24,21800,25.10193
2015-01-02,25.73,25.82,25.06,25.59,22100,25.45001
2014-12-31,26.04,26.09,25.78,25.90,30900,25.75832
2014-12-30,25.88,26.11,25.47,25.87,83900,25.72848
2014-12-29,25.72,25.98,25.49,25.78,130600,25.63897
2014-12-26,25.75,25.80,25.47,25.80,83200,25.65886
2014-12-24,25.75,25.75,25.67,25.74,98500,25.59919
2014-12-23,25.37,25.93,25.31,25.68,169500,25.53952
2014-12-22,25.41,25.75,25.20,25.64,170800,25.49974
2014-12-19,25.60,25.75,25.21,25.21,89200,25.07209
2014-12-18,25.64,25.86,25.34,25.66,174100,25.51963
2014-12-17,25.22,25.40,25.04,25.38,153700,25.24116
2014-12-16,25.30,25.37,25.17,25.27,87100,25.13176
2014-12-15,25.38,25.55,24.93,25.33,54900,25.19143
2014-12-12,25.14,25.55,25.07,25.23,280200,25.09198
2014-12-11,25.52,26.10,25.32,25.40,501100,25.26105
2014-12-10,21.79,22.20,21.38,21.64,3300,21.52162
2014-12-09,21.56,22.20,21.52,21.69,7900,21.57135
2014-12-08,21.81,22.34,21.42,21.42,4900,21.30282
2014-12-05,22.00,22.25,21.68,21.96,26300,21.83987
2014-12-04,21.00,22.22,21.00,21.99,18600,21.86971
2014-12-03,20.89,21.09,20.89,21.09,4000,20.97463
