Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,16.91,16.97,16.63,16.85,351900,16.85
2015-04-30,17.09,17.22,16.87,16.90,91400,16.90
2015-04-29,17.33,17.43,17.08,17.21,43300,17.21
2015-04-28,17.25,17.44,17.19,17.40,103000,17.40
2015-04-27,17.25,17.42,17.10,17.19,45200,17.19
2015-04-24,17.28,17.30,17.10,17.29,46600,17.29
2015-04-23,17.27,17.50,17.14,17.22,65300,17.22
2015-04-22,17.25,17.45,17.12,17.33,21400,17.33
2015-04-21,17.29,17.44,17.15,17.30,42000,17.30
2015-04-20,17.10,17.39,17.10,17.26,35500,17.26
2015-04-17,17.12,17.13,17.00,17.02,85900,17.02
2015-04-16,17.37,17.37,17.15,17.25,18300,17.25
2015-04-15,17.21,17.37,17.04,17.32,49400,17.32
2015-04-14,17.13,17.16,16.93,17.12,29700,17.12
2015-04-13,17.14,17.18,17.09,17.12,24200,17.12
2015-04-10,17.22,17.39,17.10,17.21,66800,17.21
2015-04-09,17.13,17.26,16.92,17.14,82200,17.14
2015-04-08,17.11,17.34,17.11,17.22,33900,17.22
2015-04-07,16.87,17.44,16.78,17.17,86800,17.17
2015-04-06,16.87,16.98,16.72,16.84,35200,16.84
2015-04-02,16.93,17.23,16.79,17.04,38200,17.04
2015-04-01,16.92,17.03,16.64,17.00,102400,17.00
2015-03-31,16.96,17.04,16.85,17.00,58300,17.00
2015-03-30,16.80,17.15,16.80,17.00,67500,17.00
2015-03-27,16.70,16.88,16.69,16.82,121000,16.82
2015-03-26,16.53,16.83,16.44,16.79,76900,16.79
2015-03-25,16.55,17.07,16.41,16.68,297500,16.68
2015-03-24,16.55,16.82,16.48,16.59,102500,16.59
2015-03-23,16.35,16.60,16.35,16.57,131700,16.57
2015-03-20,16.40,16.51,16.32,16.45,159000,16.45
2015-03-19,16.25,16.37,16.16,16.35,24400,16.35
2015-03-18,16.49,16.65,16.22,16.35,51700,16.35
2015-03-17,16.45,16.61,16.42,16.56,91400,16.56
2015-03-16,16.41,16.58,16.38,16.50,84200,16.50
2015-03-13,16.45,16.52,16.29,16.40,72700,16.40
2015-03-12,16.44,16.61,16.06,16.47,161800,16.47
2015-03-11,16.12,16.45,16.12,16.40,38500,16.40
2015-03-10,16.30,16.30,16.11,16.12,37900,16.12
2015-03-09,16.10,16.59,16.10,16.49,109600,16.49
2015-03-06,15.90,16.20,15.90,16.15,159900,16.15
2015-03-05,16.03,16.09,15.81,16.07,41800,16.07
2015-03-04,16.00,16.09,15.87,16.00,41100,16.00
2015-03-03,16.00,16.13,15.97,16.09,106700,16.09
2015-03-02,16.07,16.16,15.93,16.09,174800,16.09
2015-02-27,16.23,16.34,16.12,16.12,49000,16.12
2015-02-26,16.22,16.34,16.16,16.29,42400,16.29
2015-02-25,16.39,16.45,16.28,16.28,41000,16.28
2015-02-24,16.26,16.50,16.26,16.47,75400,16.47
2015-02-23,16.18,16.28,16.11,16.26,53900,16.26
2015-02-20,16.38,16.38,16.05,16.29,48200,16.29
2015-02-19,16.43,16.44,16.27,16.35,18100,16.35
2015-02-18,16.39,16.45,16.26,16.43,31100,16.43
2015-02-17,16.54,16.54,16.34,16.43,20300,16.43
2015-02-13,16.55,16.65,16.36,16.48,72300,16.48
2015-02-12,16.50,16.60,16.37,16.60,32600,16.60
2015-02-11,16.22,16.46,15.93,16.41,38100,16.41
2015-02-10,16.10,16.36,16.02,16.21,40800,16.21
2015-02-09,16.33,16.44,16.09,16.13,37900,16.13
2015-02-06,16.45,16.65,16.35,16.43,45200,16.43
2015-02-05,16.11,16.63,16.11,16.57,32700,16.47
2015-02-04,16.00,16.22,16.00,16.10,54200,16.00284
2015-02-03,15.93,16.46,15.93,16.12,76700,16.02272
2015-02-02,15.51,16.01,15.44,15.92,97800,15.82392
2015-01-30,15.96,16.46,15.47,15.52,86900,15.42634
2015-01-29,15.67,16.34,15.67,16.30,76200,16.20163
2015-01-28,15.88,15.88,15.54,15.54,76200,15.44622
2015-01-27,15.86,16.16,15.71,15.76,37200,15.66489
2015-01-26,15.98,16.18,15.75,16.08,51900,15.98296
2015-01-23,15.92,16.23,15.92,16.03,66000,15.93326
2015-01-22,15.81,16.19,15.68,16.10,115000,16.00284
2015-01-21,15.87,16.02,15.76,15.76,33600,15.66489
2015-01-20,16.02,16.29,15.85,15.95,43800,15.85374
2015-01-16,15.69,16.03,15.69,15.98,51400,15.88356
2015-01-15,16.11,16.17,15.69,15.77,52900,15.67483
2015-01-14,16.27,16.71,16.07,16.14,40700,16.04259
2015-01-13,16.68,16.97,16.22,16.53,41700,16.43024
2015-01-12,16.70,16.70,16.43,16.50,24000,16.40042
2015-01-09,16.92,16.92,16.57,16.66,52700,16.55946
2015-01-08,16.99,17.19,16.86,16.99,29700,16.88746
2015-01-07,16.59,16.90,16.46,16.81,66100,16.70855
2015-01-06,17.08,17.11,16.45,16.49,66900,16.39048
2015-01-05,17.01,17.23,16.92,17.08,53300,16.97692
2015-01-02,17.66,17.67,16.96,17.16,49000,17.05644
2014-12-31,17.84,17.93,17.51,17.55,41200,17.44408
2014-12-30,17.76,17.92,17.65,17.85,31900,17.74228
2014-12-29,17.68,17.98,17.54,17.85,56800,17.74228
2014-12-26,17.68,17.68,17.47,17.64,49400,17.53354
2014-12-24,17.42,17.68,17.23,17.62,70900,17.51366
2014-12-23,17.34,17.55,17.03,17.44,85600,17.33475
2014-12-22,17.35,17.57,17.27,17.30,109400,17.19559
2014-12-19,17.51,17.51,17.22,17.29,174400,17.18566
2014-12-18,17.78,17.78,17.44,17.55,57800,17.44408
2014-12-17,17.20,17.69,17.13,17.61,90200,17.50372
2014-12-16,17.00,17.41,16.99,17.18,64600,17.07632
2014-12-15,17.15,17.28,16.85,16.98,47800,16.87753
2014-12-12,17.15,17.40,16.82,17.04,36300,16.93716
2014-12-11,17.52,17.69,17.35,17.40,41100,17.29499
2014-12-10,17.75,17.79,17.35,17.37,66500,17.26517
2014-12-09,17.34,17.77,17.34,17.76,105000,17.65282
2014-12-08,17.51,17.82,17.38,17.54,52200,17.43415
2014-12-05,17.16,17.75,17.16,17.60,70600,17.49378
2014-12-04,17.05,17.34,16.84,17.20,55700,17.0962
2014-12-03,16.94,17.29,16.78,17.11,61400,17.00674
2014-12-02,16.77,17.22,16.70,16.96,53400,16.85765
2014-12-01,16.84,17.10,16.34,16.71,98200,16.60915
2014-11-28,17.31,17.46,16.86,16.93,40400,16.82783
2014-11-26,17.55,17.61,17.37,17.43,65700,17.16578
2014-11-25,17.59,17.84,17.46,17.61,235600,17.34305
2014-11-24,17.23,17.89,17.23,17.59,294800,17.32335
2014-11-21,17.95,18.09,17.17,17.19,119600,16.92941
2014-11-20,17.22,17.79,17.22,17.74,114800,17.47108
2014-11-19,17.50,17.59,17.04,17.33,58400,17.06729
2014-11-18,17.35,17.68,17.35,17.58,80700,17.3135
2014-11-17,17.86,17.86,17.28,17.35,63000,17.08699
2014-11-14,17.85,18.07,17.78,17.94,82200,17.66805
2014-11-13,17.90,17.97,17.69,17.89,47500,17.6188
2014-11-12,17.70,17.98,17.70,17.91,50300,17.6385
2014-11-11,17.91,17.98,17.74,17.77,77600,17.50062
2014-11-10,17.75,17.97,17.63,17.97,67000,17.69759
2014-11-07,17.59,17.70,17.25,17.68,51100,17.41199
2014-11-06,17.55,17.66,17.49,17.59,75800,17.32335
2014-11-05,17.55,17.74,17.37,17.59,65900,17.32335
2014-11-04,17.13,17.55,16.97,17.49,48700,17.22486
2014-11-03,17.52,17.63,17.18,17.34,40800,16.9885
2014-10-31,17.71,17.71,17.49,17.55,70200,17.19425
2014-10-30,16.91,17.55,16.91,17.46,76400,17.10607
2014-10-29,17.07,17.22,16.71,17.02,113800,16.67499
2014-10-28,16.41,17.01,16.34,16.99,88100,16.6456
2014-10-27,16.23,16.43,16.08,16.41,63100,16.07736
2014-10-24,16.29,16.61,15.93,16.41,118200,16.07736
2014-10-23,16.64,16.87,16.40,16.67,36100,16.33208
2014-10-22,16.80,16.87,16.50,16.54,44400,16.20472
2014-10-21,16.59,16.82,16.56,16.79,38800,16.44965
2014-10-20,16.41,16.60,16.32,16.58,58400,16.24391
2014-10-17,17.00,17.11,16.40,16.52,52400,16.18513
