Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,11.47,11.58,10.72,10.80,293700,10.80
2015-04-29,11.93,12.07,11.55,11.55,249500,11.55
2015-04-28,12.57,12.66,11.92,12.00,317400,12.00
2015-04-27,14.04,14.31,12.61,12.61,375500,12.61
2015-04-24,14.32,14.37,14.08,14.18,94100,14.18
2015-04-23,14.15,14.35,13.92,14.24,114500,14.24
2015-04-22,14.20,14.39,13.88,14.17,106400,14.17
2015-04-21,14.07,14.48,13.96,14.19,161300,14.19
2015-04-20,13.39,14.13,13.26,14.02,133400,14.02
2015-04-17,14.10,14.23,12.94,13.30,364000,13.30
2015-04-16,14.24,14.39,14.21,14.23,341800,14.23
2015-04-15,14.58,14.58,14.20,14.25,244800,14.25
2015-04-14,14.90,14.93,14.40,14.51,146500,14.51
2015-04-13,14.82,15.03,14.82,14.90,286000,14.90
2015-04-10,14.60,15.00,14.55,14.87,98500,14.87
2015-04-09,14.53,15.06,14.33,14.64,145400,14.64
2015-04-08,14.23,14.77,14.21,14.57,336100,14.57
2015-04-07,14.07,14.60,13.89,14.26,208700,14.26
2015-04-06,14.02,14.25,13.61,14.12,360900,14.12
2015-04-02,14.32,14.79,14.01,14.07,166200,14.07
2015-04-01,14.47,14.47,13.90,14.22,145700,14.22
2015-03-31,14.35,14.80,14.27,14.55,114500,14.55
2015-03-30,14.21,14.59,14.08,14.43,123500,14.43
2015-03-27,14.02,14.79,13.93,14.22,165000,14.22
2015-03-26,14.10,14.45,13.72,13.99,180900,13.99
2015-03-25,15.08,15.72,14.07,14.21,234400,14.21
2015-03-24,15.75,16.01,15.01,15.09,295600,15.09
2015-03-23,15.91,16.15,15.63,15.73,221200,15.73
2015-03-20,16.31,16.49,15.65,16.11,490300,16.11
2015-03-19,15.98,16.23,15.12,16.15,527200,16.15
2015-03-18,15.01,15.17,14.83,14.96,97900,14.96
2015-03-17,14.75,15.00,14.57,14.94,156600,14.94
2015-03-16,14.41,14.78,14.29,14.75,130200,14.75
2015-03-13,13.93,14.93,13.44,14.62,224000,14.62
2015-03-12,15.09,15.09,13.60,13.99,339600,13.99
2015-03-11,14.70,15.15,14.46,14.84,171300,14.84
2015-03-10,14.35,15.08,14.08,14.62,273700,14.62
2015-03-09,14.64,14.79,14.29,14.55,473900,14.55
2015-03-06,15.31,15.33,14.25,14.58,499000,14.58
2015-03-05,14.12,15.86,13.96,15.47,1163900,15.47
2015-03-04,12.93,14.09,12.77,14.02,451400,14.02
2015-03-03,13.34,13.47,12.92,13.02,166000,13.02
2015-03-02,13.00,13.48,12.89,13.33,275100,13.33
2015-02-27,12.50,13.18,12.31,12.99,426700,12.99
2015-02-26,11.55,12.88,11.50,12.58,282900,12.58
2015-02-25,11.33,11.69,11.24,11.57,308200,11.57
2015-02-24,11.18,11.47,10.99,11.27,410800,11.27
2015-02-23,11.06,11.39,10.97,11.14,89000,11.14
2015-02-20,11.28,11.38,10.95,11.07,209900,11.07
2015-02-19,10.91,11.49,10.81,11.25,149200,11.25
2015-02-18,10.46,11.05,10.32,10.95,175900,10.95
2015-02-17,10.20,10.81,9.98,10.43,128200,10.43
2015-02-13,9.88,10.39,9.73,10.29,168500,10.29
2015-02-12,9.19,10.00,9.06,9.90,201800,9.90
2015-02-11,9.27,9.80,8.96,9.14,211200,9.14
2015-02-10,9.10,9.52,8.93,9.33,127400,9.33
2015-02-09,8.41,9.50,8.10,9.00,231600,9.00
2015-02-06,8.30,8.59,8.20,8.28,63500,8.28
2015-02-05,8.17,8.43,8.02,8.30,61500,8.30
2015-02-04,8.26,8.46,8.07,8.14,93600,8.14
2015-02-03,8.08,8.44,7.91,8.33,63800,8.33
2015-02-02,7.93,8.31,7.88,8.07,49200,8.07
2015-01-30,8.27,8.61,7.86,7.90,216700,7.90
2015-01-29,8.42,8.53,7.98,8.36,118200,8.36
2015-01-28,8.61,8.64,8.08,8.38,95500,8.38
2015-01-27,8.19,8.72,8.19,8.55,78300,8.55
2015-01-26,8.25,8.59,7.99,8.36,106300,8.36
2015-01-23,7.72,8.28,7.72,8.25,123000,8.25
2015-01-22,7.55,7.95,7.09,7.83,113300,7.83
2015-01-21,7.99,8.12,7.41,7.48,117100,7.48
2015-01-20,7.93,8.10,7.59,7.99,102800,7.99
2015-01-16,7.90,7.99,7.64,7.95,111100,7.95
2015-01-15,8.53,8.74,7.77,7.96,188800,7.96
2015-01-14,9.06,9.29,8.51,8.55,132900,8.55
2015-01-13,9.32,9.37,8.80,9.17,91700,9.17
2015-01-12,9.39,9.39,9.16,9.21,28400,9.21
2015-01-09,9.45,9.59,9.11,9.37,36500,9.37
2015-01-08,9.60,9.60,9.26,9.41,58400,9.41
2015-01-07,9.48,9.53,9.12,9.47,56500,9.47
2015-01-06,9.90,9.93,9.24,9.42,121500,9.42
2015-01-05,9.91,10.19,9.68,9.84,104700,9.84
2015-01-02,10.18,10.18,9.79,9.97,125600,9.97
2014-12-31,10.40,10.40,9.92,10.06,155100,10.06
2014-12-30,10.14,10.49,9.67,10.23,50100,10.23
2014-12-29,9.69,10.22,9.69,10.04,88600,10.04
2014-12-26,9.82,9.83,9.64,9.75,66700,9.75
2014-12-24,9.79,10.00,9.68,9.75,25000,9.75
2014-12-23,9.80,10.09,9.59,9.73,128600,9.73
2014-12-22,9.27,9.79,9.13,9.72,171400,9.72
2014-12-19,9.28,9.36,9.17,9.27,157800,9.27
2014-12-18,9.40,9.43,9.26,9.30,116000,9.30
2014-12-17,9.11,9.43,9.08,9.25,131600,9.25
2014-12-16,9.01,9.49,9.00,9.06,110000,9.06
2014-12-15,9.13,9.44,9.00,9.07,209200,9.07
2014-12-12,8.53,9.20,8.53,9.05,210300,9.05
2014-12-11,8.15,8.77,8.13,8.67,135600,8.67
2014-12-10,7.76,8.24,7.31,8.11,738700,8.11
2014-12-09,7.43,7.92,7.39,7.75,142900,7.75
2014-12-08,7.70,7.70,7.49,7.55,104500,7.55
2014-12-05,7.69,7.85,7.59,7.70,41500,7.70
2014-12-04,7.87,7.88,7.56,7.61,70400,7.61
2014-12-03,7.83,7.97,7.56,7.81,67900,7.81
2014-12-02,7.69,7.98,7.55,7.85,69100,7.85
2014-12-01,7.71,7.85,7.54,7.59,82100,7.59
2014-11-28,7.93,7.99,7.56,7.71,42800,7.71
2014-11-26,7.64,7.90,7.39,7.88,43200,7.88
