Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,100.33,100.86,100.05,100.59,1003600,100.59
2015-04-30,100.70,101.72,99.81,100.33,1267800,100.33
2015-04-29,100.92,102.09,100.80,101.18,1076800,101.18
2015-04-28,101.12,102.17,100.83,101.65,885800,101.65
2015-04-27,101.46,101.94,101.00,101.60,958900,101.60
2015-04-24,101.91,101.91,100.48,101.23,949300,101.23
2015-04-23,99.78,101.95,99.56,101.45,1526900,101.45
2015-04-22,98.55,100.25,98.50,100.16,2701100,100.16
2015-04-21,97.31,98.03,96.70,97.24,1061700,97.24
2015-04-20,96.40,97.16,96.05,96.65,1182600,96.65
2015-04-17,96.51,96.71,95.33,95.58,1550800,95.58
2015-04-16,97.29,97.49,96.91,97.39,1465000,97.39
2015-04-15,98.40,98.66,97.82,97.96,955500,97.96
2015-04-14,97.83,98.12,97.10,97.88,1823400,97.88
2015-04-13,98.00,99.18,97.89,97.89,1223000,97.89
2015-04-10,97.84,99.11,97.57,98.89,1666400,98.89
2015-04-09,97.88,98.40,97.29,97.93,806300,97.93
2015-04-08,97.02,98.33,97.02,97.92,1305800,97.92
2015-04-07,98.22,98.62,97.32,97.35,1231700,97.10
2015-04-06,97.45,98.78,96.92,97.85,1332300,97.59872
2015-04-02,97.69,98.71,97.35,98.50,1080600,98.24705
2015-04-01,96.82,97.70,96.25,97.68,1304100,97.42915
2015-03-31,97.34,98.63,96.96,96.96,1871600,96.711
2015-03-30,97.80,98.75,97.80,98.23,876100,97.97775
2015-03-27,96.65,97.29,96.04,97.06,1023100,96.81074
2015-03-26,96.74,97.60,96.32,96.95,788300,96.70102
2015-03-25,99.65,99.70,97.30,97.32,1437300,97.07008
2015-03-24,100.02,100.72,99.69,99.70,1476200,99.44396
2015-03-23,100.86,100.86,100.06,100.13,1166500,99.87286
2015-03-20,100.42,100.88,100.15,100.43,3435400,100.17209
2015-03-19,99.81,100.38,99.78,99.78,1195000,99.52376
2015-03-18,98.65,100.66,98.44,99.93,1437700,99.67337
2015-03-17,98.75,99.38,98.41,98.98,1453400,98.72581
2015-03-16,98.10,99.75,97.80,99.38,1451700,99.12479
2015-03-13,96.34,97.99,96.32,97.77,1736700,97.51891
2015-03-12,95.40,96.74,95.24,96.68,794000,96.43172
2015-03-11,95.44,96.12,95.01,95.18,1059000,94.93557
2015-03-10,96.66,96.95,95.38,95.39,1348100,95.14503
2015-03-09,97.66,97.90,96.91,97.65,1215800,97.39923
2015-03-06,97.64,98.26,97.13,97.41,1641700,97.15985
2015-03-05,97.58,98.18,96.83,98.12,1121600,97.86803
2015-03-04,97.41,98.08,96.88,97.45,1142900,97.19974
2015-03-03,98.33,98.55,97.60,98.00,1310800,97.74833
2015-03-02,97.56,98.69,97.24,98.68,997300,98.42658
2015-02-27,97.31,97.91,97.12,97.63,1298100,97.37928
2015-02-26,97.53,98.07,97.28,97.68,1061000,97.42915
2015-02-25,97.17,98.09,97.02,97.64,1380700,97.38925
2015-02-24,96.21,97.44,95.93,97.38,1400500,97.12992
2015-02-23,96.53,96.72,95.93,96.34,1831200,96.09259
2015-02-20,94.91,96.89,94.10,96.72,4828500,96.47162
2015-02-19,89.72,91.25,89.27,91.11,2810100,90.87602
2015-02-18,90.00,90.29,89.06,89.76,2404400,89.5295
2015-02-17,90.06,90.30,89.51,90.09,2884800,89.85864
2015-02-13,89.63,90.28,89.45,90.25,2357900,90.01823
2015-02-12,89.18,89.69,88.68,89.39,1969300,89.16044
2015-02-11,89.37,89.78,88.55,88.79,1863100,88.56198
2015-02-10,88.50,89.27,88.11,89.14,1817500,88.91108
2015-02-09,87.67,88.91,86.97,87.84,2200600,87.61442
2015-02-06,90.66,91.15,87.33,87.83,3867000,87.60445
2015-02-05,90.47,91.80,90.20,91.71,1084500,91.47448
2015-02-04,89.97,91.14,89.80,90.54,1483500,90.30749
2015-02-03,88.54,90.52,88.54,90.50,1998100,90.26759
2015-02-02,87.51,88.86,85.77,88.28,1772300,88.05329
2015-01-30,87.96,88.50,86.73,86.82,1900300,86.59704
2015-01-29,87.32,88.79,87.04,88.45,1617400,88.22285
2015-01-28,89.31,89.53,87.49,87.50,1541900,87.27529
2015-01-27,88.19,89.50,87.50,88.45,1520500,88.22285
2015-01-26,89.46,89.62,88.65,89.36,2058600,89.13052
2015-01-23,89.39,90.11,88.90,89.42,2138600,89.19036
2015-01-22,86.93,89.26,86.27,88.79,2997400,88.56198
2015-01-21,85.92,87.93,85.92,86.40,1770600,86.17812
2015-01-20,87.05,87.97,86.17,87.42,1843200,87.1955
2015-01-16,84.95,86.44,84.75,86.42,1393700,86.19807
2015-01-15,86.15,86.64,84.89,85.08,910500,84.86151
2015-01-14,85.20,86.26,85.08,86.23,1618100,86.00856
2015-01-13,87.59,88.92,85.63,86.31,1546800,86.08835
2015-01-12,87.90,88.27,86.48,86.72,1834600,86.4973
2015-01-09,90.33,90.50,87.86,87.97,2217700,87.74409
2015-01-08,89.18,90.63,89.12,89.86,1947100,89.62923
2015-01-07,87.97,89.04,87.87,88.67,1657600,88.44229
2015-01-06,90.81,91.20,87.61,88.06,2283800,87.5845
2015-01-05,90.30,91.34,89.74,90.85,2493300,90.35943
2015-01-02,92.21,93.16,90.37,91.21,1880300,90.71748
2014-12-31,93.18,93.89,92.16,92.19,1050500,91.6922
2014-12-30,93.17,94.04,92.64,93.11,903900,92.60723
2014-12-29,94.08,94.46,93.73,93.76,678400,93.25372
2014-12-26,94.52,94.95,94.11,94.19,638600,93.6814
2014-12-24,95.30,95.43,94.58,94.59,352500,94.07923
2014-12-23,95.10,95.37,94.69,95.15,935200,94.63622
2014-12-22,94.45,95.24,94.08,94.69,1201000,94.1787
2014-12-19,94.26,95.84,93.82,93.92,2988800,93.41285
2014-12-18,92.80,94.48,92.09,94.48,3064700,93.96983
2014-12-17,92.03,93.20,91.39,92.88,2382800,92.37846
2014-12-16,92.60,93.88,91.94,92.11,2249400,91.61263
2014-12-15,93.02,93.30,91.60,92.67,2290700,92.1696
2014-12-12,90.70,93.34,90.70,92.17,1934000,91.6723
2014-12-11,93.14,94.06,92.57,93.37,2180100,92.86583
2014-12-10,92.70,93.47,91.57,92.56,1631000,92.0602
2014-12-09,90.84,92.99,90.45,92.72,1283300,92.21934
2014-12-08,93.47,94.00,92.70,93.36,1032300,92.85588
2014-12-05,94.13,94.13,93.21,93.68,1083200,93.17415
2014-12-04,93.46,93.91,92.97,93.87,903900,93.36313
2014-12-03,93.24,94.01,93.02,93.70,1083300,93.19404
2014-12-02,94.15,94.25,93.21,93.33,2121200,92.82604
2014-12-01,93.25,94.90,93.24,94.12,1808700,93.61178
2014-11-28,92.77,94.34,92.68,93.87,949800,93.36313
2014-11-26,92.00,92.93,92.00,92.24,1411800,91.74192
2014-11-25,92.20,93.23,92.03,92.66,1330900,92.15966
2014-11-24,92.01,92.99,91.79,92.67,1717200,92.1696
2014-11-21,95.34,95.42,91.71,91.72,3773000,91.22473
2014-11-20,91.06,91.07,90.41,90.73,1677000,90.24008
2014-11-19,91.20,91.52,90.62,91.42,1302600,90.92635
2014-11-18,91.01,91.76,90.94,91.34,1577100,90.84678
2014-11-17,90.71,91.40,90.43,90.93,1806200,90.439
2014-11-14,90.37,90.71,89.72,90.69,917900,90.20029
2014-11-13,89.87,90.45,89.49,90.44,1133900,89.95164
2014-11-12,90.43,90.70,89.47,89.62,1287700,89.13608
2014-11-11,90.00,90.91,89.92,90.71,1324800,90.22018
2014-11-10,88.75,90.00,88.53,89.88,1032600,89.39467
2014-11-07,89.30,89.37,88.61,88.81,790700,88.33044
2014-11-06,88.87,89.19,88.48,89.13,950100,88.64872
2014-11-05,88.51,89.15,88.21,88.73,1193200,88.25089
2014-11-04,88.13,88.97,88.05,88.45,872800,87.97239
2014-11-03,88.24,88.81,87.87,88.34,858700,87.86298
2014-10-31,88.61,88.84,87.65,88.01,1537300,87.53477
2014-10-30,85.68,87.07,85.58,86.83,893600,86.36114
2014-10-29,86.02,86.45,85.44,85.88,1340000,85.41627
2014-10-28,85.46,86.44,85.40,86.33,1706300,85.86384
2014-10-27,84.88,85.64,84.70,85.01,1354200,84.55097
2014-10-24,84.09,85.04,83.66,84.96,1103100,84.50124
2014-10-23,82.96,83.88,82.06,83.53,1323500,83.07896
2014-10-22,83.34,83.69,81.94,81.96,1173100,81.51743
2014-10-21,81.79,83.38,81.06,83.37,1524000,82.91982
2014-10-20,80.72,81.25,80.18,81.04,1229300,80.6024
2014-10-17,79.66,81.37,79.25,81.03,2479800,80.59245
2014-10-16,78.15,79.32,78.01,78.64,1527100,78.21536
2014-10-15,78.25,79.99,77.96,79.50,2272200,79.07072
2014-10-14,80.28,80.61,79.19,79.39,1906300,78.96131
2014-10-13,79.96,80.40,78.78,79.68,3108300,79.24975
2014-10-10,81.80,83.22,80.17,80.17,1812000,79.7371
2014-10-09,83.68,83.68,81.42,81.81,1796100,81.36824
2014-10-08,82.31,83.90,81.63,83.80,1693300,83.3475
2014-10-07,84.03,84.65,82.44,82.47,1716700,81.77604
2014-10-06,85.63,85.86,84.36,84.66,1142900,83.94761
2014-10-03,84.88,85.45,84.78,85.26,1991300,84.54256
2014-10-02,85.03,85.44,83.32,84.52,2613600,83.80878
2014-10-01,87.36,87.72,85.52,85.72,2010300,84.99869
2014-09-30,87.48,88.79,87.33,87.65,2967600,86.91245
2014-09-29,85.11,87.96,85.05,87.78,2375700,87.04135
2014-09-26,84.82,86.13,84.62,86.05,2543900,85.32591
2014-09-25,86.27,86.50,84.81,84.85,2106700,84.13601
2014-09-24,85.50,87.31,85.41,86.69,2105900,85.96053
2014-09-23,85.69,86.22,85.41,85.42,1412300,84.70121
2014-09-22,86.19,86.50,84.96,85.52,1840000,84.80037
2014-09-19,86.13,86.88,85.86,86.72,3096700,85.99027
2014-09-18,84.54,85.68,84.37,85.66,1241200,84.93919
2014-09-17,83.61,84.68,83.59,84.31,1550800,83.60055
2014-09-16,83.67,86.75,83.45,83.78,1427400,83.07501
2014-09-15,84.00,84.20,83.17,83.62,1255400,82.91636
2014-09-12,84.81,85.11,83.83,83.99,2464300,83.28324
2014-09-11,84.37,85.37,84.27,85.16,1453500,84.44341
2014-09-10,83.72,84.70,83.53,84.58,1587900,83.86829
2014-09-09,83.85,84.01,83.28,83.45,908000,82.74779
2014-09-08,83.58,84.58,83.47,84.16,1116000,83.45182
2014-09-05,82.39,83.99,82.24,83.98,1484900,83.27333
2014-09-04,82.93,82.93,82.01,82.26,1230800,81.5678
2014-09-03,83.01,83.17,82.00,82.12,1616900,81.42899
2014-09-02,83.35,83.67,82.73,82.88,1429300,82.18259
2014-08-29,83.64,83.64,82.60,83.18,1267200,82.48006
2014-08-28,82.59,83.60,82.21,83.36,1750800,82.65855
2014-08-27,82.95,83.00,82.18,82.66,1837100,81.96444
2014-08-26,82.91,83.63,82.62,82.64,1750700,81.9446
2014-08-25,83.22,83.44,81.60,82.90,3519200,82.20242
2014-08-22,85.29,86.80,82.11,83.57,5152200,82.86678
2014-08-21,85.15,85.89,84.73,85.81,1697400,85.08793
2014-08-20,85.21,85.49,84.53,85.27,1394600,84.55247
2014-08-19,84.34,85.58,84.34,85.39,1614100,84.67146
2014-08-18,84.22,84.67,83.90,84.43,1411400,83.71954
2014-08-15,84.25,84.88,83.12,83.72,3122000,83.01552
2014-08-14,83.48,83.88,83.19,83.81,1089800,83.10476
2014-08-13,82.40,83.65,82.01,83.38,1260900,82.67838
2014-08-12,81.63,82.15,81.33,82.03,1190100,81.33974
2014-08-11,81.70,82.28,81.30,81.80,521100,81.11168
2014-08-08,80.93,81.48,80.51,81.38,745700,80.69521
2014-08-07,81.14,81.76,80.58,80.84,735200,80.15975
2014-08-06,80.39,81.15,80.11,80.96,869000,80.27874
2014-08-05,80.92,81.29,80.21,80.45,819500,79.77303
2014-08-04,80.62,81.16,80.26,81.02,871500,80.33823
2014-08-01,79.67,82.14,79.67,80.56,1226400,79.8821
2014-07-31,83.02,83.19,81.88,81.97,1638500,81.28024
2014-07-30,83.09,83.54,82.49,83.29,935600,82.58913
2014-07-29,82.99,83.49,82.52,82.68,1128400,81.98427
2014-07-28,82.51,83.08,82.18,82.85,530100,82.15284
2014-07-25,82.34,82.84,82.24,82.64,513500,81.9446
2014-07-24,82.06,83.09,81.99,82.59,1354500,81.89502
2014-07-23,81.97,82.30,81.69,82.03,829500,81.33974
2014-07-22,81.68,82.95,81.67,82.13,993600,81.4389
2014-07-21,81.65,81.93,80.83,81.43,1107700,80.74479
2014-07-18,81.25,81.96,80.80,81.92,1108100,81.23066
2014-07-17,81.12,81.62,80.73,80.78,1191000,80.10026
2014-07-16,81.24,81.90,81.21,81.53,968900,80.84395
2014-07-15,81.39,81.72,80.96,81.17,1128900,80.48698
2014-07-14,80.88,81.56,80.49,81.33,933000,80.64563
2014-07-11,80.69,80.78,80.17,80.45,1044700,79.77303
2014-07-10,80.11,80.77,80.06,80.42,1078100,79.74329
2014-07-09,81.35,81.67,80.73,81.06,922600,80.3779
2014-07-08,80.79,81.39,80.79,81.15,1594000,80.46715
2014-07-07,81.29,81.94,80.80,81.22,1393600,80.34815
