Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,11.75,12.33,11.54,12.18,933300,12.18
2015-04-30,12.05,12.47,11.65,11.93,312900,11.93
2015-04-29,12.41,12.89,12.10,12.12,575200,12.12
2015-04-28,12.00,12.49,11.43,12.07,627500,12.07
2015-04-27,12.39,12.47,11.85,12.00,484300,12.00
2015-04-24,12.40,12.51,12.22,12.34,523400,12.34
2015-04-23,12.65,12.80,12.13,12.42,629400,12.42
2015-04-22,12.00,12.50,11.89,12.50,733600,12.50
2015-04-21,12.00,12.40,11.90,12.00,440800,12.00
2015-04-20,12.25,12.34,10.90,11.98,917800,11.98
2015-04-17,12.00,12.26,12.00,12.15,217700,12.15
2015-04-16,12.28,12.40,12.15,12.20,279200,12.20
2015-04-15,12.27,12.50,12.00,12.25,417600,12.25
2015-04-14,12.55,12.67,12.13,12.23,317600,12.23
2015-04-13,12.39,12.90,12.23,12.49,461300,12.49
2015-04-10,12.40,12.48,11.95,12.39,916200,12.39
2015-04-09,12.34,12.71,12.15,12.39,274200,12.39
2015-04-08,12.15,12.56,11.86,12.39,1077900,12.39
2015-04-07,12.87,13.30,12.58,12.64,744000,12.64
2015-04-06,13.06,13.59,12.54,12.82,471000,12.82
2015-04-02,13.43,13.89,12.80,12.94,1034900,12.94
2015-04-01,11.94,13.28,11.45,12.55,1019300,12.55
2015-03-31,11.50,12.42,11.21,12.11,824700,12.11
2015-03-30,11.50,11.80,10.10,11.62,1373700,11.62
2015-03-27,11.47,11.86,10.92,11.20,369900,11.20
2015-03-26,11.00,11.70,10.69,11.59,592400,11.59
2015-03-25,12.29,12.43,10.50,11.06,871100,11.06
2015-03-24,12.23,12.85,12.18,12.24,680900,12.24
2015-03-23,13.12,13.40,12.10,12.17,1211600,12.17
2015-03-20,15.03,15.03,13.52,13.59,1319200,13.59
2015-03-19,13.30,14.65,13.15,14.49,1211600,14.49
2015-03-18,13.40,13.57,12.75,12.99,442900,12.99
2015-03-17,13.32,13.77,12.23,13.50,758600,13.50
2015-03-16,13.43,14.15,12.99,13.23,1001900,13.23
2015-03-13,12.45,13.30,11.80,13.12,875700,13.12
2015-03-12,11.40,12.75,11.20,12.40,1177400,12.40
2015-03-11,10.30,12.00,10.30,11.28,1254500,11.28
2015-03-10,9.14,10.25,8.89,10.24,603500,10.24
2015-03-09,9.60,10.15,9.01,9.14,660400,9.14
2015-03-06,9.57,9.70,8.98,9.00,283600,9.00
2015-03-05,9.64,9.84,9.39,9.56,228600,9.56
2015-03-04,9.45,10.19,9.25,9.42,611800,9.42
2015-03-03,9.02,9.60,8.94,9.49,343000,9.49
2015-03-02,9.00,9.19,8.80,9.04,189500,9.04
2015-02-27,9.00,9.25,8.63,8.98,496200,8.98
2015-02-26,8.57,9.31,8.25,8.85,2617000,8.85
2015-02-25,7.60,9.64,7.60,9.31,292200,9.31
2015-02-24,7.14,7.30,7.14,7.30,7000,7.30
2015-02-23,7.31,7.45,7.05,7.14,112300,7.14
2015-02-20,7.30,7.40,7.30,7.30,38900,7.30
2015-02-19,7.30,7.40,7.30,7.31,13100,7.31
2015-02-18,7.62,7.62,7.40,7.40,28700,7.40
2015-02-17,7.75,7.75,7.50,7.64,31700,7.64
2015-02-13,7.45,7.50,7.19,7.45,30700,7.45
2015-02-12,7.69,7.69,7.43,7.45,33100,7.45
2015-02-11,7.30,7.69,7.15,7.60,91700,7.60
2015-02-10,7.06,7.25,7.00,7.15,64500,7.15
2015-02-09,7.36,7.36,6.87,6.99,87200,6.99
2015-02-06,7.65,7.65,7.30,7.39,37600,7.39
2015-02-05,7.75,7.75,7.60,7.60,28100,7.60
2015-02-04,7.70,7.80,7.55,7.65,5800,7.65
2015-02-03,7.81,7.90,7.55,7.70,202500,7.70
2015-02-02,7.89,7.89,7.80,7.85,15700,7.85
2015-01-30,8.00,8.00,7.80,7.85,10200,7.85
2015-01-29,8.20,8.25,7.90,7.97,38000,7.97
2015-01-28,8.17,8.25,8.15,8.17,41300,8.17
2015-01-27,9.00,9.00,8.00,8.16,100700,8.16
2015-01-26,8.85,9.94,8.79,9.00,189600,9.00
2015-01-23,8.80,8.82,8.80,8.80,4200,8.80
2015-01-22,8.90,8.90,8.82,8.82,8600,8.82
2015-01-21,8.76,8.91,8.76,8.90,12700,8.90
2015-01-20,8.95,8.98,8.73,8.76,7700,8.76
2015-01-16,8.94,8.98,8.76,8.90,10900,8.90
2015-01-15,9.00,9.16,8.76,8.95,11200,8.95
2015-01-14,8.95,9.15,8.90,9.09,61900,9.09
2015-01-13,8.90,9.10,8.50,8.99,54900,8.99
2015-01-12,8.48,8.95,8.48,8.87,85800,8.87
2015-01-09,8.14,8.53,8.00,8.44,64800,8.44
2015-01-08,7.75,8.14,7.75,8.14,13200,8.14
2015-01-07,8.00,8.00,7.37,8.00,29000,8.00
2015-01-06,8.10,8.50,7.54,7.99,46700,7.99
2015-01-05,8.10,8.40,8.05,8.10,25000,8.10
2015-01-02,8.15,8.26,8.05,8.05,19800,8.05
2014-12-31,8.25,8.34,7.87,7.87,90500,7.87
2014-12-30,8.40,8.40,8.25,8.25,4800,8.25
2014-12-29,8.32,8.40,8.18,8.40,38700,8.40
2014-12-26,8.24,8.40,8.10,8.34,17000,8.34
2014-12-24,8.04,8.13,7.92,8.10,12200,8.10
2014-12-23,8.20,8.28,7.50,8.00,24100,8.00
2014-12-22,7.70,8.15,7.70,8.10,27300,8.10
2014-12-19,7.26,7.75,7.26,7.75,105700,7.75
2014-12-18,7.34,7.45,7.00,7.25,129500,7.25
2014-12-17,6.00,7.15,6.00,7.15,704900,7.15
2014-12-16,6.05,6.25,5.95,5.99,78000,5.99
2014-12-15,6.15,6.35,6.02,6.07,11600,6.07
2014-12-12,6.20,6.20,5.90,6.15,3900,6.15
2014-12-11,5.99,6.30,5.88,6.25,11400,6.25
2014-12-10,6.00,6.35,5.95,5.95,6400,5.95
2014-12-09,5.83,6.35,5.83,5.90,9300,5.90
2014-12-08,6.60,6.90,5.76,6.00,47500,6.00
2014-12-05,6.48,6.50,6.10,6.25,24000,6.25
2014-12-04,6.37,6.48,6.25,6.30,1200,6.30
2014-12-03,6.10,6.40,6.10,6.33,12800,6.33
2014-12-02,6.30,6.38,6.15,6.24,18300,6.24
2014-12-01,6.00,6.48,5.50,6.15,11900,6.15
2014-11-28,6.30,6.40,6.15,6.15,6000,6.15
2014-11-26,6.10,6.30,5.85,6.30,16700,6.30
2014-11-25,6.20,6.25,6.14,6.14,4500,6.14
2014-11-24,5.97,6.28,5.97,6.20,13800,6.20
2014-11-21,5.15,5.95,5.05,5.80,51600,5.80
2014-11-20,5.15,5.40,5.15,5.20,14800,5.20
2014-11-19,5.20,6.65,5.10,5.20,14300,5.20
2014-11-18,5.05,5.20,4.97,5.15,84400,5.15
2014-11-17,5.60,5.60,5.05,5.15,126000,5.15
2014-11-14,5.95,6.10,5.50,5.90,76300,5.90
2014-11-13,6.62,6.62,5.70,5.95,100600,5.95
2014-11-12,6.70,6.70,6.70,6.70,2000,6.70
2014-11-11,6.70,6.80,6.55,6.80,2800,6.80
2014-11-10,6.80,6.85,6.60,6.80,17400,6.80
2014-11-07,6.60,6.90,6.35,6.79,32500,6.79
2014-11-06,6.84,7.00,6.70,6.80,118400,6.80
2014-11-05,6.70,6.70,6.66,6.66,1500,6.66
2014-11-04,6.95,7.00,6.45,6.80,12300,6.80
2014-11-03,6.00,7.05,5.85,6.95,62300,6.95
2014-10-31,6.40,6.40,5.50,6.39,59800,6.39
2014-10-30,6.20,6.30,6.20,6.30,14300,6.30
2014-10-29,6.00,6.40,5.90,6.17,16000,6.17
2014-10-28,6.00,6.02,5.50,5.63,23800,5.63
2014-10-27,6.15,6.15,6.00,6.00,4800,6.00
2014-10-24,6.22,6.22,6.10,6.10,1200,6.10
2014-10-23,6.10,6.40,6.05,6.20,6100,6.20
2014-10-22,6.10,6.47,5.90,6.09,104800,6.09
2014-10-21,6.25,6.29,6.15,6.18,5100,6.18
2014-10-20,6.37,6.38,6.30,6.30,6100,6.30
2014-10-17,6.47,6.47,6.35,6.35,8200,6.35
2014-10-16,5.95,6.25,5.95,6.25,10500,6.25
2014-10-15,6.11,6.15,5.85,6.15,33800,6.15
2014-10-14,6.32,6.32,6.10,6.15,7300,6.15
2014-10-13,6.50,6.50,5.75,6.10,24100,6.10
2014-10-10,6.82,6.82,6.50,6.50,10700,6.50
2014-10-09,6.65,6.65,6.60,6.60,2000,6.60
2014-10-08,6.80,6.90,6.65,6.65,22200,6.65
2014-10-07,6.90,6.90,6.80,6.80,6000,6.80
2014-10-06,6.95,6.95,6.90,6.90,7200,6.90
2014-10-03,6.89,7.07,6.70,6.95,23300,6.95
2014-10-02,7.00,7.00,6.89,6.89,31900,6.89
2014-10-01,7.00,7.01,7.00,7.00,137400,7.00
2014-09-30,7.03,7.23,7.00,7.15,58300,7.15
2014-09-29,7.00,7.20,7.00,7.00,393100,7.00
2014-09-26,7.00,7.00,6.97,7.00,60900,7.00
2014-09-25,7.10,7.25,6.95,7.00,45300,7.00
2014-09-24,7.00,7.31,7.00,7.15,9700,7.15
2014-09-23,6.75,7.00,6.75,7.00,139100,7.00
2014-09-22,6.81,7.33,6.70,7.00,22700,7.00
2014-09-19,7.10,7.10,6.70,6.81,13700,6.81
2014-09-18,7.15,7.15,6.95,7.10,14500,7.10
2014-09-17,7.33,7.43,7.15,7.43,1500,7.43
2014-09-16,6.95,7.90,6.95,7.50,17800,7.50
2014-09-15,7.13,7.13,6.60,6.95,6000,6.95
2014-09-12,7.10,7.10,6.90,7.00,24400,7.00
2014-09-11,7.25,7.40,7.10,7.40,16700,7.40
2014-09-10,7.25,7.25,7.25,7.25,900,7.25
2014-09-09,7.45,7.58,7.10,7.20,25900,7.20
2014-09-08,7.05,7.45,7.00,7.45,74400,7.45
2014-09-05,7.00,7.05,6.95,7.05,149300,7.05
2014-09-04,6.88,7.00,6.85,6.95,9300,6.95
2014-09-03,6.95,7.00,6.90,7.00,7000,7.00
2014-09-02,6.87,7.41,6.46,7.30,279800,7.30
