Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,1.30,1.30,1.15,1.18,311700,1.18
2015-04-30,1.38,1.42,1.26,1.33,171000,1.33
2015-04-29,1.38,1.44,1.26,1.36,307900,1.36
2015-04-28,1.57,1.57,1.35,1.39,441500,1.39
2015-04-27,1.89,2.01,1.51,1.59,979700,1.59
2015-04-24,2.01,2.36,1.85,1.97,7733400,1.97
2015-04-23,1.75,1.75,1.40,1.60,1496800,1.60
2015-04-22,1.91,2.33,1.68,1.75,3566400,1.75
2015-04-21,0.60,2.33,0.60,2.26,4062700,2.26
2015-04-20,0.64,0.64,0.56,0.60,7700,0.60
2015-04-17,0.60,0.64,0.56,0.56,8300,0.56
2015-04-16,0.66,0.66,0.56,0.66,13700,0.66
2015-04-15,0.58,0.66,0.56,0.62,13300,0.62
2015-04-14,0.67,0.67,0.55,0.63,15900,0.63
2015-04-13,0.66,0.67,0.57,0.67,11500,0.67
2015-04-10,0.52,0.69,0.51,0.68,32800,0.68
2015-04-09,0.50,0.64,0.50,0.64,24800,0.64
2015-04-08,0.60,0.61,0.54,0.55,16400,0.55
2015-04-07,0.62,0.62,0.59,0.59,1400,0.59
2015-04-06,0.52,0.68,0.49,0.60,25100,0.60
2015-04-02,0.64,0.64,0.55,0.62,10800,0.62
2015-04-01,0.58,0.61,0.43,0.61,53800,0.61
2015-03-31,0.59,0.59,0.39,0.58,1800,0.58
2015-03-30,0.60,0.61,0.60,0.61,1900,0.61
2015-03-27,0.64,0.64,0.63,0.63,900,0.63
2015-03-26,0.62,0.62,0.62,0.62,300,0.62
2015-03-25,0.64,0.64,0.59,0.59,8700,0.59
2015-03-24,0.65,0.65,0.57,0.61,30800,0.61
2015-03-23,0.75,0.75,0.69,0.70,16200,0.70
2015-03-20,0.75,0.83,0.75,0.77,8500,0.77
2015-03-19,0.73,0.89,0.73,0.81,28700,0.81
2015-03-18,0.77,0.85,0.76,0.77,11600,0.77
2015-03-17,0.79,0.87,0.78,0.84,19100,0.84
2015-03-16,0.75,0.90,0.75,0.87,16100,0.87
2015-03-13,0.76,0.76,0.76,0.76,1000,0.76
2015-03-12,0.77,0.79,0.77,0.79,2500,0.79
2015-03-11,0.81,0.88,0.81,0.82,5200,0.82
2015-03-10,0.84,0.89,0.84,0.89,1900,0.89
2015-03-09,0.86,0.86,0.86,0.86,000,0.86
2015-03-06,0.94,0.94,0.76,0.86,4600,0.86
2015-03-05,0.79,0.97,0.75,0.97,5500,0.97
2015-03-04,0.86,0.99,0.80,0.83,36900,0.83
2015-03-03,0.79,0.95,0.72,0.89,52200,0.89
2015-03-02,0.75,0.75,0.74,0.74,3700,0.74
2015-02-27,0.74,0.76,0.67,0.74,10800,0.74
2015-02-26,0.72,0.75,0.72,0.75,7000,0.75
2015-02-25,0.72,0.72,0.72,0.72,2200,0.72
2015-02-24,0.72,0.72,0.72,0.72,6900,0.72
2015-02-23,0.70,0.70,0.70,0.70,600,0.70
2015-02-20,0.72,0.75,0.71,0.71,2300,0.71
2015-02-19,0.71,0.75,0.71,0.75,2500,0.75
2015-02-18,0.71,0.75,0.70,0.70,7600,0.70
2015-02-17,0.75,0.75,0.71,0.71,2400,0.71
2015-02-13,0.74,0.75,0.72,0.75,700,0.75
2015-02-12,0.75,0.79,0.70,0.71,14200,0.71
2015-02-11,0.75,0.75,0.75,0.75,5000,0.75
2015-02-10,0.71,0.75,0.71,0.73,7000,0.73
2015-02-09,0.70,0.72,0.70,0.71,2000,0.71
2015-02-06,0.72,0.72,0.70,0.70,4600,0.70
2015-02-05,0.71,0.72,0.70,0.72,900,0.72
2015-02-04,0.75,0.78,0.63,0.74,25200,0.74
2015-02-03,0.80,0.80,0.80,0.80,000,0.80
2015-02-02,0.80,0.80,0.80,0.80,200,0.80
2015-01-30,0.68,0.79,0.68,0.77,3400,0.77
2015-01-29,0.71,0.81,0.69,0.79,23100,0.79
2015-01-28,0.77,0.77,0.74,0.77,1100,0.77
2015-01-27,0.76,0.77,0.76,0.77,1400,0.77
2015-01-26,0.78,0.82,0.78,0.82,1100,0.82
2015-01-23,0.75,0.75,0.75,0.75,100,0.75
2015-01-22,0.83,0.84,0.83,0.84,400,0.84
2015-01-21,0.76,0.79,0.76,0.77,1300,0.77
2015-01-20,0.83,0.84,0.75,0.75,1400,0.75
2015-01-16,0.83,0.83,0.80,0.80,2900,0.80
2015-01-15,0.84,0.93,0.76,0.90,32100,0.90
2015-01-14,0.94,0.94,0.83,0.88,2300,0.88
2015-01-13,0.86,0.89,0.86,0.89,6200,0.89
2015-01-12,0.85,0.85,0.85,0.85,400,0.85
2015-01-09,0.86,0.95,0.80,0.85,29700,0.85
2015-01-08,1.01,1.01,0.83,0.89,21500,0.89
2015-01-07,0.82,1.18,0.82,0.99,82900,0.99
2015-01-06,0.76,0.93,0.75,0.93,31600,0.93
2015-01-05,0.78,0.83,0.77,0.80,26200,0.80
2015-01-02,0.72,0.86,0.72,0.86,21200,0.86
2014-12-31,0.69,0.76,0.68,0.72,49600,0.72
2014-12-30,0.66,0.74,0.66,0.67,23200,0.67
2014-12-29,0.80,0.90,0.79,0.79,11400,0.79
2014-12-26,0.85,0.92,0.82,0.82,6000,0.82
2014-12-24,0.90,0.94,0.81,0.81,11100,0.81
2014-12-23,0.94,0.94,0.92,0.92,5400,0.92
2014-12-22,0.95,0.95,0.94,0.94,7500,0.94
2014-12-19,0.94,0.94,0.94,0.94,1200,0.94
2014-12-18,0.94,0.95,0.94,0.95,2100,0.95
2014-12-17,0.93,0.95,0.93,0.95,800,0.95
2014-12-16,0.92,0.94,0.92,0.92,1400,0.92
2014-12-15,0.99,0.99,0.92,0.92,6500,0.92
2014-12-12,1.00,1.00,0.98,0.98,6100,0.98
2014-12-11,0.95,1.17,0.95,1.09,64600,1.09
2014-12-10,0.95,1.00,0.95,0.96,3800,0.96
2014-12-09,1.00,1.00,0.97,0.98,7000,0.98
2014-12-08,1.03,1.03,0.97,0.98,7800,0.98
2014-12-05,1.02,1.02,1.00,1.00,2100,1.00
2014-12-04,0.96,1.07,0.96,0.98,50000,0.98
2014-12-03,1.00,1.05,0.96,1.03,18700,1.03
2014-12-02,0.99,1.00,0.92,0.95,27400,0.95
2014-12-01,1.20,1.20,0.99,0.99,15600,0.99
2014-11-28,1.20,1.20,1.20,1.20,500,1.20
2014-11-26,1.22,1.23,1.21,1.23,2100,1.23
2014-11-25,1.21,1.21,1.21,1.21,300,1.21
2014-11-24,1.20,1.26,1.20,1.26,3400,1.26
2014-11-21,1.23,1.23,1.20,1.21,15400,1.21
2014-11-20,1.28,1.29,1.21,1.26,9200,1.26
2014-11-19,1.28,1.30,1.21,1.26,18200,1.26
2014-11-18,1.30,1.32,1.25,1.25,4000,1.25
2014-11-17,1.22,1.39,1.22,1.33,26500,1.33
2014-11-14,1.24,1.25,1.23,1.23,2500,1.23
2014-11-13,1.26,1.26,1.23,1.23,2300,1.23
2014-11-12,1.25,1.26,1.25,1.26,300,1.26
2014-11-11,1.23,1.27,1.23,1.24,4200,1.24
2014-11-10,1.22,1.25,1.22,1.23,500,1.23
