Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,40.79,41.09,40.06,40.35,1903700,40.10166
2015-04-30,41.10,41.44,39.99,40.47,2062700,40.22092
2015-04-29,40.86,41.18,40.40,41.06,2672900,40.80729
2015-04-28,40.79,41.09,39.89,40.83,1197300,40.57871
2015-04-27,40.91,41.05,40.43,40.65,993200,40.39982
2015-04-24,41.04,41.04,40.28,40.47,569300,40.22092
2015-04-23,40.92,41.21,40.79,41.03,670900,40.77748
2015-04-22,40.75,41.15,40.38,40.91,882700,40.65821
2015-04-21,41.07,41.14,40.69,40.71,1007400,40.45945
2015-04-20,40.67,41.08,40.61,40.85,681300,40.59858
2015-04-17,40.50,40.58,39.98,40.34,971300,40.09172
2015-04-16,40.75,41.17,40.67,40.71,1883200,40.45945
2015-04-15,41.99,41.99,39.41,40.87,5298200,40.61846
2015-04-14,40.52,43.45,40.23,41.99,4498700,41.73157
2015-04-13,40.79,41.67,40.49,40.70,1849500,40.44951
2015-04-10,41.73,41.73,39.59,40.73,6282500,40.47932
2015-04-09,43.31,43.73,41.48,41.72,4414800,41.46323
2015-04-08,43.23,43.40,42.87,43.38,1005700,43.11301
2015-04-07,44.00,44.20,42.89,43.27,1347400,43.00369
2015-04-06,43.79,44.34,43.37,44.10,710300,43.82858
2015-04-02,43.39,44.23,43.01,43.97,1038100,43.69938
2015-04-01,43.81,43.89,42.66,43.39,1380700,43.12295
2015-03-31,44.61,44.98,43.73,43.86,831900,43.59006
2015-03-30,44.89,45.31,44.78,44.99,2268800,44.71311
2015-03-27,45.56,45.56,44.46,44.79,957600,44.51434
2015-03-26,45.67,45.94,45.29,45.56,519400,45.2796
2015-03-25,46.36,46.36,45.56,45.81,850900,45.52806
2015-03-24,46.32,46.46,46.06,46.33,444200,46.04486
2015-03-23,46.35,46.71,46.00,46.31,400200,46.02498
2015-03-20,45.40,46.49,45.21,46.48,993700,46.19394
2015-03-19,45.00,45.34,44.46,45.28,639300,45.00132
2015-03-18,45.73,46.06,45.16,45.29,581900,45.01126
2015-03-17,45.76,46.18,45.76,45.96,676200,45.67714
2015-03-16,45.80,46.14,45.68,46.01,480600,45.72683
2015-03-13,46.04,46.20,45.23,45.69,607700,45.40879
2015-03-12,45.77,46.17,45.39,46.03,499500,45.7467
2015-03-11,45.15,45.67,44.99,45.40,594900,45.12058
2015-03-10,45.16,45.59,44.85,45.15,419900,44.87212
2015-03-09,45.81,46.06,45.67,45.79,498300,45.50818
2015-03-06,45.25,46.59,45.23,45.55,996100,45.26966
2015-03-05,45.44,45.64,44.86,45.25,747800,44.9715
2015-03-04,45.00,45.20,44.69,45.18,442500,44.90194
2015-03-03,45.50,45.60,45.15,45.31,371100,45.03114
2015-03-02,44.78,45.62,44.48,45.58,423600,45.29948
2015-02-27,44.84,45.23,44.74,44.86,426500,44.5839
2015-02-26,45.27,45.46,44.76,44.97,496200,44.69323
2015-02-25,45.48,45.80,45.25,45.46,516700,44.93175
2015-02-24,45.75,46.23,45.40,45.58,681100,45.05036
2015-02-23,45.67,45.74,44.83,45.50,577400,44.97129
2015-02-20,45.28,45.80,43.92,45.69,857400,45.15908
2015-02-19,47.06,47.38,44.25,44.91,1739200,44.38814
2015-02-18,45.56,45.81,44.49,44.95,1379800,44.42768
2015-02-17,45.50,45.97,45.35,45.76,681800,45.22826
2015-02-13,45.42,45.83,45.26,45.60,334900,45.07012
2015-02-12,45.31,45.94,45.00,45.46,380700,44.93175
2015-02-11,44.87,45.35,44.72,45.00,223600,44.4771
2015-02-10,44.92,45.11,44.37,45.00,348700,44.4771
2015-02-09,44.51,45.00,44.15,44.38,392800,43.8643
2015-02-06,44.05,45.29,43.67,44.85,733800,44.32884
2015-02-05,42.80,43.88,42.62,43.65,255200,43.14278
2015-02-04,42.70,43.19,42.60,42.66,318500,42.16429
2015-02-03,41.83,42.82,41.61,42.77,739400,42.27301
2015-02-02,41.42,42.04,41.15,41.45,736700,40.96835
2015-01-30,41.10,41.67,40.97,41.15,677300,40.67183
2015-01-29,41.14,41.59,40.68,41.55,587700,41.06718
2015-01-28,42.63,42.63,40.84,41.01,630400,40.53346
2015-01-27,42.70,42.71,41.59,42.31,614300,41.81836
2015-01-26,42.39,43.05,41.88,43.04,438200,42.53987
2015-01-23,42.88,43.12,42.47,42.49,519200,41.99626
2015-01-22,41.88,43.19,41.45,43.05,511200,42.54976
2015-01-21,41.02,41.84,40.56,41.73,614600,41.24509
2015-01-20,41.44,41.44,40.23,41.04,1019800,40.56311
2015-01-16,40.49,41.34,39.84,41.32,704500,40.83986
2015-01-15,40.73,41.02,40.00,40.52,857900,40.04915
2015-01-14,40.48,41.17,39.83,40.91,786400,40.43462
2015-01-13,42.25,42.86,40.39,41.19,1275500,40.71136
2015-01-12,42.59,42.99,41.74,42.08,550300,41.59103
2015-01-09,43.55,43.75,42.28,42.71,830100,42.2137
2015-01-08,43.98,44.31,43.36,43.62,570900,43.11313
2015-01-07,43.70,43.85,43.23,43.64,468100,43.1329
2015-01-06,44.31,44.79,42.84,43.19,803700,42.68813
2015-01-05,45.70,45.70,44.02,44.39,715100,43.87418
2015-01-02,44.84,45.00,44.41,44.77,472600,44.24977
2014-12-31,44.66,45.03,44.35,44.55,286300,44.03232
2014-12-30,44.81,44.82,44.19,44.67,492700,44.15093
2014-12-29,44.75,45.32,44.35,45.05,526800,44.52651
2014-12-26,45.13,45.17,44.81,44.88,200500,44.35849
2014-12-24,45.16,45.27,44.67,45.13,120900,44.60559
2014-12-23,44.58,45.14,44.57,45.01,308600,44.48698
2014-12-22,44.22,44.35,43.84,44.27,262400,43.75558
2014-12-19,44.63,44.75,43.87,43.98,989100,43.46895
2014-12-18,44.44,44.82,44.00,44.65,643300,44.13116
2014-12-17,42.35,43.72,42.05,43.70,781900,43.1922
2014-12-16,41.14,42.34,40.92,42.26,1022700,41.76893
2014-12-15,42.22,42.26,40.83,41.45,1280500,40.96835
2014-12-12,42.77,42.83,41.68,41.80,1620700,41.31428
2014-12-11,44.65,44.71,43.17,43.30,811900,42.79685
2014-12-10,44.99,45.11,43.98,44.50,1380700,43.98291
2014-12-09,44.27,45.69,43.81,45.58,1257800,45.05036
2014-12-08,44.58,45.15,44.55,44.87,786800,44.34861
2014-12-05,43.16,44.71,43.16,44.51,701500,43.99279
2014-12-04,42.67,42.95,42.48,42.91,299700,42.41138
2014-12-03,42.44,42.96,42.06,42.89,335900,42.39161
2014-12-02,42.00,42.64,41.98,42.50,241500,42.00615
2014-12-01,42.35,42.82,41.50,41.96,570600,41.47242
2014-11-28,43.27,43.52,42.63,42.67,167200,42.17417
2014-11-26,43.00,43.32,42.91,43.27,297700,42.7672
2014-11-25,42.60,43.28,42.54,43.16,625500,42.65848
2014-11-24,42.09,42.61,41.99,42.60,346200,42.10498
2014-11-21,42.69,42.69,41.66,41.91,579900,41.423
2014-11-20,41.89,42.26,41.70,42.17,331800,41.67998
2014-11-19,42.51,42.51,41.94,42.15,436600,41.66021
2014-11-18,43.07,43.34,42.61,42.66,587600,42.16429
2014-11-17,43.11,43.80,42.82,43.02,924400,42.5201
2014-11-14,43.08,43.56,42.91,43.28,419400,42.77708
2014-11-13,42.88,43.81,42.66,43.23,1153600,42.72766
2014-11-12,42.56,43.15,42.50,42.78,438900,42.28289
2014-11-11,42.32,43.30,42.18,42.83,765700,42.33231
2014-11-10,42.12,42.51,42.03,42.35,235200,41.85789
2014-11-07,41.99,42.32,41.72,42.04,560600,41.55149
2014-11-06,41.88,42.57,41.88,42.12,568200,41.63056
2014-11-05,41.68,42.22,41.59,42.19,663200,41.46254
2014-11-04,41.18,41.81,41.03,41.60,1035900,40.88271
