Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,1.24,1.31,1.20,1.20,21100,1.20
2015-04-30,1.28,1.33,1.20,1.23,31200,1.23
2015-04-29,1.37,1.39,1.25,1.25,76800,1.25
2015-04-28,1.45,1.47,1.37,1.39,49600,1.39
2015-04-27,1.60,1.66,1.38,1.45,77600,1.45
2015-04-24,1.40,1.57,1.40,1.52,122700,1.52
2015-04-23,1.41,1.44,1.35,1.41,59100,1.41
2015-04-22,1.33,1.60,1.20,1.45,299000,1.45
2015-04-21,1.3101,1.34,1.3101,1.33,9300,1.33
2015-04-20,1.3132,1.33,1.24,1.30,36400,1.30
2015-04-17,1.22,1.31,1.22,1.25,4600,1.25
2015-04-16,1.30,1.34,1.25,1.28,33800,1.28
2015-04-15,1.29,1.30,1.26,1.30,10500,1.30
2015-04-14,1.26,1.30,1.23,1.28,25500,1.28
2015-04-13,1.2999,1.36,1.26,1.29,46200,1.29
2015-04-10,1.2746,1.35,1.25,1.27,36000,1.27
2015-04-09,1.26,1.2799,1.26,1.27,4700,1.27
2015-04-08,1.263,1.2799,1.26,1.26,9800,1.26
2015-04-07,1.24,1.32,1.24,1.26,14200,1.26
2015-04-06,1.195,1.3378,1.19,1.23,12800,1.23
2015-04-03,1.19,1.19,1.19,1.19,000,1.19
2015-04-02,1.26,1.3144,1.17,1.19,43400,1.19
2015-04-01,1.25,1.52,1.22,1.2601,122300,1.2601
2015-03-31,1.14,1.24,1.14,1.24,42200,1.24
2015-03-30,1.09,1.15,1.1186,1.14,13200,1.14
2015-03-27,1.09,1.14,1.05,1.12,18800,1.12
2015-03-26,1.06,1.1294,1.04,1.11,48400,1.11
2015-03-25,1.0683,1.09,1.05,1.06,48600,1.06
2015-03-24,1.0411,1.09,1.0411,1.0728,12000,1.0728
2015-03-23,1.0601,1.14,1.03,1.09,47500,1.09
2015-03-20,1.08,1.11,1.05,1.05,86300,1.05
2015-03-19,1.14,1.14,1.07,1.09,42600,1.09
2015-03-18,1.19,1.19,1.14,1.14,50300,1.14
2015-03-17,1.2099,1.21,1.11,1.16,73700,1.16
2015-03-16,1.1417,1.22,1.14,1.20,46100,1.20
2015-03-13,1.18,1.18,1.11,1.14,23500,1.14
2015-03-12,1.06,1.1399,1.05,1.12,56600,1.12
2015-03-11,1.0601,1.12,1.05,1.06,49600,1.06
2015-03-10,1.06,1.1399,1.04,1.06,101900,1.06
2015-03-09,1.08,1.10,1.03,1.03,39000,1.03
2015-03-06,1.10,1.14,1.05,1.09,55900,1.09
2015-03-05,1.15,1.16,1.11,1.12,30000,1.12
