Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,19.50,19.50,19.49,19.50,800,19.50
2015-04-30,19.53,19.69,19.49,19.60,8000,19.60
2015-04-29,19.80,19.80,19.73,19.80,3100,19.80
2015-04-28,19.74,19.80,19.72,19.80,6000,19.80
2015-04-27,19.75,19.78,19.61,19.61,2100,19.61
2015-04-24,19.75,19.79,19.59,19.62,5200,19.62
2015-04-23,19.72,19.87,19.72,19.86,13700,19.86
2015-04-22,19.70,19.88,19.70,19.80,13200,19.80
2015-04-21,19.85,19.90,19.70,19.70,7700,19.70
2015-04-20,19.75,19.84,19.67,19.84,2500,19.84
2015-04-17,19.63,19.85,19.61,19.75,2300,19.75
2015-04-16,19.79,19.87,19.67,19.80,16500,19.80
2015-04-15,19.69,19.75,19.60,19.68,37600,19.68
2015-04-14,19.69,19.70,19.55,19.62,70500,19.62
2015-04-13,19.58,19.70,19.47,19.63,13300,19.63
2015-04-10,19.64,19.69,19.47,19.55,23100,19.55
2015-04-09,19.69,19.69,19.48,19.54,3000,19.54
2015-04-08,19.47,19.70,19.47,19.64,2700,19.64
2015-04-07,19.69,19.69,19.52,19.52,7100,19.52
2015-04-06,19.60,19.64,19.51,19.54,16600,19.54
2015-04-02,19.51,19.80,19.51,19.65,11400,19.65
2015-04-01,19.65,19.79,19.61,19.67,5400,19.55
2015-03-31,19.59,19.85,19.55,19.67,12800,19.55
2015-03-30,19.37,19.85,19.37,19.75,7800,19.62951
2015-03-27,19.59,19.59,19.52,19.53,6100,19.41085
2015-03-26,19.53,19.62,19.49,19.59,7200,19.47049
2015-03-25,19.66,19.79,19.56,19.57,3400,19.45061
2015-03-24,19.68,19.75,19.68,19.69,5000,19.56988
2015-03-23,19.78,19.83,19.73,19.73,1200,19.60963
2015-03-20,19.70,19.95,19.55,19.95,13500,19.82829
2015-03-19,19.72,19.72,19.61,19.68,800,19.55994
2015-03-18,19.74,19.93,19.58,19.58,7000,19.46055
2015-03-17,19.73,19.87,19.67,19.87,30400,19.74878
2015-03-16,19.68,19.85,19.51,19.75,7900,19.62951
2015-03-13,19.71,19.84,19.50,19.73,28500,19.60963
2015-03-12,19.46,19.89,19.42,19.79,45700,19.66927
2015-03-11,19.51,19.59,19.44,19.45,17900,19.33134
2015-03-10,19.48,19.78,19.47,19.60,9400,19.48043
2015-03-09,19.45,19.80,19.45,19.75,36100,19.62951
2015-03-06,19.65,19.87,19.45,19.63,119400,19.51024
2015-03-05,19.90,19.90,19.38,19.65,12700,19.53012
2015-03-04,19.51,19.86,19.51,19.86,5100,19.73884
2015-03-03,19.69,19.79,19.52,19.70,12500,19.57982
2015-03-02,19.97,19.98,19.11,19.95,85700,19.82829
2015-02-27,19.59,19.76,19.49,19.54,180400,19.42079
2015-02-26,19.30,19.69,19.11,19.59,183900,19.47049
2015-02-25,18.77,19.54,18.77,19.49,460300,19.3711
2015-02-24,12.97,13.25,12.88,13.25,7400,13.16917
2015-02-23,13.41,13.50,12.79,12.79,3200,12.71197
2015-02-20,13.12,13.38,12.83,13.12,8600,13.03996
2015-02-19,13.19,13.40,12.95,13.13,9900,13.0499
2015-02-18,13.20,13.20,13.15,13.15,1500,13.06978
2015-02-17,13.15,13.15,13.15,13.15,700,13.06978
2015-02-13,13.16,13.16,13.15,13.15,900,13.06978
2015-02-12,13.15,13.15,13.15,13.15,100,13.06978
2015-02-11,13.22,13.30,13.22,13.30,3400,13.21886
2015-02-10,13.17,13.17,13.17,13.17,000,13.08965
2015-02-09,13.18,13.18,13.15,13.17,1400,13.08965
2015-02-06,13.25,13.26,13.20,13.20,2900,13.11947
2015-02-05,13.20,13.20,13.17,13.17,1000,13.08965
2015-02-04,13.25,13.25,13.16,13.16,1400,13.07971
2015-02-03,13.18,13.18,13.18,13.18,200,13.09959
2015-02-02,13.18,13.18,13.18,13.18,200,13.09959
2015-01-30,13.17,13.20,13.12,13.17,2700,13.08965
2015-01-29,13.25,13.25,13.21,13.21,700,13.12941
2015-01-28,13.29,13.29,13.21,13.29,1000,13.20892
2015-01-27,13.33,13.33,13.20,13.20,300,13.11947
2015-01-26,13.19,13.34,13.15,13.15,3100,13.06978
2015-01-23,12.65,12.65,12.65,12.65,600,12.57283
2015-01-22,12.70,12.70,12.70,12.70,200,12.62252
2015-01-21,13.35,13.35,12.80,13.00,6700,12.92069
2015-01-20,12.90,13.43,12.69,12.69,9000,12.61258
2015-01-16,12.85,12.85,12.85,12.85,000,12.77161
2015-01-15,12.95,12.95,12.85,12.85,1800,12.77161
2015-01-14,12.80,12.95,12.52,12.95,4000,12.871
2015-01-13,12.53,12.53,12.53,12.53,000,12.45356
2015-01-12,12.95,12.95,12.51,12.53,6600,12.45356
2015-01-09,12.95,12.95,12.76,12.85,1400,12.77161
2015-01-08,12.75,12.75,12.75,12.75,000,12.67222
2015-01-07,12.80,12.80,12.59,12.75,1300,12.67222
2015-01-06,12.51,12.70,12.50,12.70,1200,12.62252
2015-01-05,13.00,13.00,12.60,12.62,4700,12.54301
2015-01-02,13.10,13.10,12.95,12.95,1400,12.871
2014-12-31,13.06,13.06,13.00,13.00,3400,12.80142
2014-12-30,12.80,13.05,12.80,13.05,4800,12.85066
2014-12-29,12.80,12.82,12.50,12.50,4200,12.30906
2014-12-26,12.80,12.80,12.80,12.80,000,12.60448
2014-12-24,12.70,12.80,12.50,12.80,1700,12.60448
2014-12-23,12.90,12.90,12.85,12.85,4100,12.65372
2014-12-22,12.74,12.85,12.74,12.85,400,12.65372
2014-12-19,12.90,12.98,12.54,12.75,700,12.55524
2014-12-18,12.95,12.95,12.87,12.95,1400,12.75219
2014-12-17,12.85,12.95,12.85,12.95,2300,12.75219
2014-12-16,12.95,12.95,12.95,12.95,100,12.75219
2014-12-15,12.91,12.95,12.90,12.95,1700,12.75219
2014-12-12,12.96,12.99,12.85,12.99,4500,12.79158
2014-12-11,13.05,13.05,12.88,12.88,5300,12.68326
2014-12-10,13.00,13.00,12.96,12.96,500,12.76203
2014-12-09,12.96,12.96,12.96,12.96,500,12.76203
2014-12-08,13.05,13.05,12.90,12.96,500,12.76203
2014-12-05,13.05,13.05,13.00,13.00,500,12.80142
2014-12-04,13.00,13.05,13.00,13.05,700,12.85066
2014-12-03,12.95,12.95,12.95,12.95,500,12.75219
2014-12-02,13.00,13.05,12.89,13.05,1400,12.85066
2014-12-01,12.91,13.00,12.90,13.00,2100,12.80142
2014-11-28,12.97,12.97,12.97,12.97,100,12.77188
2014-11-26,12.91,12.91,12.91,12.91,700,12.7128
2014-11-25,12.94,12.94,12.94,12.94,200,12.74234
2014-11-24,12.96,13.00,12.93,13.00,1100,12.80142
2014-11-21,13.05,13.05,12.97,12.97,2200,12.77188
2014-11-20,13.05,13.05,12.90,12.99,5200,12.79158
2014-11-19,13.05,13.05,13.01,13.05,2500,12.85066
2014-11-18,13.10,13.10,13.03,13.05,1000,12.85066
2014-11-17,13.15,13.15,13.15,13.15,400,12.94913
2014-11-14,13.01,13.01,13.01,13.01,300,12.81127
2014-11-13,13.13,13.15,13.00,13.00,5900,12.80142
2014-11-12,13.11,13.11,13.11,13.11,500,12.90974
2014-11-11,13.22,13.22,13.22,13.22,400,13.01806
2014-11-10,13.20,13.20,13.20,13.20,400,12.99837
2014-11-07,13.04,13.04,13.04,13.04,300,12.84081
2014-11-06,13.08,13.17,13.08,13.17,4600,12.96883
2014-11-05,13.04,13.06,13.04,13.06,700,12.86051
2014-11-04,13.05,13.10,13.05,13.10,1300,12.8999
2014-11-03,13.17,13.25,13.00,13.11,5700,12.90974
2014-10-31,13.05,13.17,13.05,13.11,1200,12.90974
2014-10-30,12.95,13.25,12.95,13.17,1900,12.96883
2014-10-29,13.33,13.33,13.33,13.33,1200,13.12638
2014-10-28,12.90,13.41,12.90,12.96,600,12.76203
2014-10-27,13.01,13.11,12.90,12.91,10000,12.7128
2014-10-24,13.35,13.36,13.00,13.25,3000,13.0476
2014-10-23,13.39,13.41,13.39,13.39,3200,13.18547
2014-10-22,13.42,13.42,13.39,13.40,4800,13.19531
2014-10-21,13.37,13.41,13.36,13.41,2300,13.20516
2014-10-20,13.22,13.38,13.22,13.37,1300,13.16577
2014-10-17,13.37,13.37,13.06,13.06,7400,12.86051
2014-10-16,13.41,13.41,12.90,12.90,4100,12.70295
2014-10-15,13.00,13.36,13.00,13.30,800,13.09684
2014-10-14,12.88,12.92,12.88,12.88,4200,12.68326
2014-10-13,13.20,13.22,12.88,13.22,2900,13.01806
2014-10-10,13.24,13.24,13.22,13.22,2500,13.01806
2014-10-09,13.39,13.39,13.37,13.37,2700,13.16577
2014-10-08,13.40,13.40,13.40,13.40,000,13.19531
2014-10-07,13.42,13.42,13.25,13.40,20700,13.19531
2014-10-06,13.40,13.40,13.40,13.40,400,13.19531
2014-10-03,13.35,13.40,13.35,13.40,2400,13.19531
2014-10-02,13.25,13.42,13.25,13.42,1100,13.09684
2014-10-01,13.25,13.25,13.25,13.25,300,12.93093
2014-09-30,13.41,13.41,13.41,13.41,000,13.08708
2014-09-29,13.42,13.42,13.30,13.41,1100,13.08708
2014-09-26,13.25,13.42,13.25,13.38,400,13.0578
2014-09-25,13.29,13.32,13.25,13.27,6500,12.95045
2014-09-24,13.25,13.26,13.25,13.26,200,12.94069
2014-09-23,13.32,13.32,13.32,13.32,300,12.99925
2014-09-22,13.22,13.23,13.22,13.23,600,12.91142
2014-09-19,13.22,13.41,13.22,13.22,6300,12.90166
2014-09-18,13.22,13.40,13.22,13.22,7300,12.90166
2014-09-17,13.20,13.23,13.10,13.23,4400,12.91142
2014-09-16,13.24,13.24,13.24,13.24,000,12.92118
2014-09-15,13.41,13.41,13.20,13.24,1400,12.92118
2014-09-12,13.41,13.41,13.36,13.36,500,13.03829
2014-09-11,13.29,13.29,13.20,13.20,1300,12.88214
2014-09-10,13.50,13.50,13.26,13.28,1500,12.96021
2014-09-09,13.49,13.49,13.49,13.49,500,13.16516
2014-09-08,13.22,13.50,13.22,13.50,400,13.17491
2014-09-05,13.49,13.49,13.05,13.05,200,12.73575
2014-09-04,13.26,13.26,13.26,13.26,1600,12.94069
2014-09-03,13.15,13.17,13.03,13.17,1200,12.85286
2014-09-02,13.11,13.27,13.00,13.02,2500,12.70647
2014-08-29,13.25,13.25,13.10,13.10,1700,12.78455
2014-08-28,13.26,13.26,13.26,13.26,300,12.94069
2014-08-27,13.25,13.25,13.25,13.25,800,12.93093
2014-08-26,13.10,13.20,13.10,13.20,800,12.88214
2014-08-25,13.19,13.19,13.19,13.19,000,12.87238
2014-08-22,13.35,13.49,13.10,13.19,8100,12.87238
2014-08-21,13.35,13.35,13.35,13.35,500,13.02853
2014-08-20,13.25,13.25,13.25,13.25,000,12.93093
2014-08-19,13.35,13.35,13.25,13.25,1500,12.93093
2014-08-18,13.32,13.38,13.01,13.06,5700,12.74551
2014-08-15,13.45,13.45,13.25,13.30,2900,12.97973
2014-08-14,13.48,13.48,13.26,13.30,2900,12.97973
2014-08-13,13.25,13.25,13.25,13.25,400,12.93093
2014-08-12,13.46,13.46,13.46,13.46,000,13.13588
2014-08-11,13.46,13.46,13.46,13.46,000,13.13588
2014-08-08,13.10,13.46,13.00,13.46,3800,13.13588
2014-08-07,13.23,13.46,13.10,13.39,1500,13.06756
2014-08-06,13.43,13.43,13.32,13.34,700,13.01877
2014-08-05,13.50,13.50,13.21,13.23,1900,12.91142
2014-08-04,13.45,13.53,13.45,13.50,3900,13.17491
2014-08-01,13.34,13.50,13.34,13.46,600,13.13588
2014-07-31,13.36,13.36,13.34,13.34,200,13.01877
