Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,16.93,17.35,16.93,17.30,6000,17.30
2015-04-30,17.13,17.13,17.13,17.13,100,17.13
2015-04-29,17.06,17.35,16.72,17.17,8800,17.17
2015-04-28,17.34,17.35,17.26,17.35,2800,17.35
2015-04-27,17.20,17.35,17.02,17.20,2700,17.20
2015-04-24,16.99,17.20,16.75,17.20,5700,17.20
2015-04-23,16.71,17.09,16.66,16.96,5900,16.96
2015-04-22,16.95,16.95,16.95,16.95,000,16.95
2015-04-21,16.80,16.98,16.75,16.95,11700,16.95
2015-04-20,16.77,16.95,16.76,16.95,4000,16.95
2015-04-17,16.89,16.90,16.89,16.90,200,16.90
2015-04-16,16.75,16.95,16.75,16.90,11200,16.90
2015-04-15,16.90,16.90,16.90,16.90,000,16.90
2015-04-14,16.92,16.92,16.89,16.90,8700,16.90
2015-04-13,17.09,17.09,17.00,17.09,1500,17.09
2015-04-10,17.09,17.09,16.91,17.08,600,17.08
2015-04-09,17.03,17.16,17.03,17.16,1400,17.16
2015-04-08,17.00,17.00,16.97,17.00,1500,17.00
2015-04-07,16.93,17.00,16.93,17.00,7000,17.00
2015-04-06,17.00,17.00,16.80,16.98,12300,16.98
2015-04-02,17.09,17.09,16.71,17.00,14200,17.00
2015-04-01,16.96,17.12,16.77,16.95,12200,16.95
2015-03-31,17.00,17.18,16.91,17.10,5400,17.10
2015-03-30,17.20,17.20,16.96,17.15,7300,17.15
2015-03-27,16.96,17.16,16.93,16.96,2300,16.96
2015-03-26,17.18,17.18,16.99,17.08,3300,17.08
2015-03-25,17.18,17.19,17.00,17.09,1900,17.09
2015-03-24,17.46,17.46,16.96,17.15,10300,17.15
2015-03-23,17.21,17.45,17.04,17.45,4800,17.45
2015-03-20,17.05,17.24,16.96,17.04,1700,17.04
2015-03-19,16.91,17.25,16.90,17.25,15100,17.25
2015-03-18,17.25,17.25,17.00,17.10,4800,17.10
2015-03-17,16.91,17.24,16.91,16.97,5600,16.97
2015-03-16,17.02,17.04,16.90,17.04,1600,17.04
2015-03-13,16.96,17.05,16.90,17.05,900,17.05
2015-03-12,17.08,17.08,16.98,17.00,6000,17.00
2015-03-11,16.92,16.95,16.86,16.95,25700,16.95
2015-03-10,17.00,17.00,16.80,16.87,32400,16.87
2015-03-09,16.83,16.83,16.80,16.80,800,16.80
2015-03-06,16.90,17.00,16.90,17.00,200,17.00
2015-03-05,16.96,16.96,16.80,16.88,1600,16.88
2015-03-04,16.65,16.80,16.65,16.80,400,16.80
2015-03-03,16.54,16.80,16.31,16.75,8700,16.75
2015-03-02,16.51,16.81,16.48,16.75,7400,16.75
2015-02-27,16.61,16.78,16.61,16.75,1600,16.75
2015-02-26,16.75,16.87,16.75,16.76,3900,16.76
2015-02-25,16.81,16.82,16.75,16.75,700,16.75
2015-02-24,16.92,16.94,16.76,16.76,8300,16.76
2015-02-23,16.94,16.94,16.77,16.82,4200,16.82
2015-02-20,16.77,16.77,16.76,16.77,1700,16.77
2015-02-19,16.77,16.78,16.77,16.78,300,16.78
2015-02-18,16.98,17.06,16.98,17.06,300,17.06
2015-02-17,16.97,16.98,16.81,16.98,4200,16.98
2015-02-13,16.79,16.97,16.79,16.97,300,16.97
2015-02-12,16.81,17.00,16.75,16.97,6100,16.97
2015-02-11,17.00,17.00,16.97,16.97,3600,16.97
2015-02-10,17.08,17.08,16.74,17.00,1700,17.00
2015-02-09,16.75,17.08,16.55,16.76,16300,16.76
2015-02-06,17.19,17.19,16.81,17.00,5600,17.00
2015-02-05,17.21,17.21,16.91,17.00,8000,17.00
2015-02-04,17.30,17.38,17.20,17.22,2700,17.22
2015-02-03,17.27,17.30,17.21,17.30,5800,17.30
2015-02-02,17.28,17.38,17.25,17.38,1700,17.38
2015-01-30,17.34,17.35,17.34,17.35,700,17.35
2015-01-29,17.35,17.35,17.25,17.35,4500,17.35
2015-01-28,17.49,17.49,17.25,17.26,5700,17.26
2015-01-27,17.06,17.43,17.06,17.35,2900,17.35
2015-01-26,17.26,17.50,17.26,17.47,8700,17.47
2015-01-23,17.12,17.34,16.98,17.26,5500,17.26
2015-01-22,16.74,17.46,16.72,16.97,9200,16.97
2015-01-21,16.60,16.74,16.60,16.67,2000,16.67
2015-01-20,16.62,16.79,16.53,16.63,4100,16.63
2015-01-16,16.76,16.83,16.61,16.61,3800,16.61
