Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,25.666,25.666,25.666,25.666,400,25.49046
2015-04-30,25.60,25.60,25.529,25.529,400,25.3544
2015-04-29,25.51,25.60,25.50,25.60,1100,25.42492
2015-04-28,25.82,25.82,25.82,25.82,000,25.64341
2015-04-27,25.56,25.83,25.42,25.82,1800,25.64341
2015-04-24,25.88,25.88,25.88,25.88,200,25.703
2015-04-23,25.585,25.60,25.585,25.60,400,25.42492
2015-04-22,25.641,25.65,25.42,25.42,3000,25.24615
2015-04-21,25.60,25.64,25.60,25.61,1000,25.43485
2015-04-20,25.67,25.67,25.60,25.60,2500,25.42492
2015-04-17,25.69,25.69,25.62,25.62,1900,25.44478
2015-04-16,25.77,25.77,25.77,25.77,000,25.59375
2015-04-15,25.77,25.77,25.77,25.77,000,25.59375
2015-04-14,25.88,25.88,25.68,25.77,3600,25.59375
2015-04-13,25.85,25.85,25.66,25.66,900,25.30871
2015-04-10,25.90,25.90,25.90,25.90,200,25.54543
2015-04-09,25.88,25.88,25.88,25.88,100,25.5257
2015-04-08,25.89,25.90,25.83,25.90,2100,25.54543
2015-04-07,25.88,25.89,25.72,25.89,1300,25.53557
2015-04-06,25.80,26.00,25.77,25.881,4200,25.52669
2015-04-02,25.86,25.86,25.86,25.86,000,25.50598
2015-04-01,25.86,25.86,25.86,25.86,000,25.50598
2015-03-31,25.858,25.86,25.85,25.86,2100,25.50598
2015-03-30,25.75,25.886,25.75,25.86,4800,25.50598
2015-03-27,25.75,25.75,25.61,25.694,2100,25.34225
2015-03-26,25.672,25.75,25.672,25.72,5000,25.36789
2015-03-25,25.73,25.73,25.69,25.69,500,25.3383
2015-03-24,25.73,25.73,25.691,25.72,1900,25.36789
2015-03-23,25.70,25.70,25.665,25.665,1000,25.31365
2015-03-20,25.73,25.73,25.57,25.66,2100,25.30871
2015-03-19,25.65,25.65,25.65,25.65,200,25.29885
2015-03-18,25.72,25.72,25.72,25.72,200,25.36789
2015-03-17,25.72,25.72,25.72,25.72,000,25.36789
2015-03-16,25.70,25.73,25.70,25.72,3100,25.36789
2015-03-13,25.60,25.60,25.60,25.60,200,25.24954
2015-03-12,25.74,25.74,25.60,25.60,600,25.07496
2015-03-11,25.67,25.67,25.67,25.67,200,25.14352
2015-03-10,25.50,25.74,25.50,25.74,400,25.21209
2015-03-09,25.50,25.60,25.50,25.60,400,25.07496
2015-03-06,25.58,25.62,25.55,25.60,6000,25.07496
2015-03-05,25.625,25.625,25.625,25.625,200,25.09945
2015-03-04,25.60,25.663,25.56,25.663,2000,25.13667
2015-03-03,25.74,25.74,25.60,25.60,600,25.07496
2015-03-02,25.74,25.74,25.613,25.613,1900,25.08769
2015-02-27,25.70,25.73,25.62,25.65,3200,25.12393
