Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,65.05,66.40,64.85,65.89,411400,65.89
2015-04-30,66.03,66.89,64.86,64.89,262900,64.89
2015-04-29,67.26,67.42,66.07,66.50,235200,66.50
2015-04-28,67.31,68.08,67.31,67.45,204700,67.45
2015-04-27,67.56,68.53,66.95,67.42,250500,67.42
2015-04-24,70.28,72.49,67.44,67.59,351400,67.59
2015-04-23,69.76,72.55,68.50,70.03,615500,70.03
2015-04-22,68.67,68.67,67.49,68.55,192000,68.55
2015-04-21,69.12,69.45,68.63,68.67,165300,68.67
2015-04-20,68.53,69.66,68.47,68.91,251200,68.91
2015-04-17,68.71,69.42,67.85,68.08,332200,68.08
2015-04-16,69.22,69.63,69.00,69.18,166200,69.18
2015-04-15,69.00,69.67,68.72,69.25,295600,69.25
2015-04-14,68.50,68.82,67.65,68.78,148800,68.78
2015-04-13,69.00,69.46,68.35,68.49,116800,68.49
2015-04-10,68.75,69.28,68.54,68.92,104900,68.92
2015-04-09,68.92,69.06,68.00,68.59,268700,68.59
2015-04-08,68.49,69.21,68.42,68.90,190900,68.90
2015-04-07,67.68,68.86,67.67,68.37,276600,68.37
2015-04-06,67.99,68.84,67.72,67.81,308100,67.81
2015-04-02,69.16,69.25,67.97,68.50,265400,68.50
2015-04-01,69.51,70.22,68.35,68.97,242300,68.97
2015-03-31,70.04,70.35,69.58,69.76,197100,69.76
2015-03-30,69.49,70.45,68.90,70.21,161300,70.21
2015-03-27,67.88,69.85,67.65,69.14,220500,69.14
2015-03-26,68.60,68.60,67.61,67.87,322800,67.87
2015-03-25,70.00,70.00,68.65,68.68,168500,68.68
2015-03-24,70.21,70.99,69.06,69.83,361300,69.83
2015-03-23,70.28,70.54,69.99,70.39,114600,70.39
2015-03-20,70.32,70.64,70.19,70.43,274100,70.43
2015-03-19,69.90,70.49,69.66,69.78,183500,69.78
2015-03-18,69.71,70.43,69.17,70.29,236900,70.29
2015-03-17,69.86,69.90,69.53,69.71,189300,69.71
2015-03-16,69.83,70.10,69.21,69.76,210100,69.76
2015-03-13,69.47,69.53,68.94,69.33,197900,69.33
2015-03-12,68.64,69.43,68.37,69.37,160800,69.37
2015-03-11,67.60,68.24,67.10,68.18,223500,68.18
2015-03-10,67.26,68.34,67.24,67.32,178700,67.32
