Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,52.58,52.58,52.23,52.23,1000,52.23
2015-04-30,52.40,52.40,52.40,52.40,400,52.40
2015-04-29,53.75,53.75,53.46,53.46,1400,53.46
2015-04-28,54.37,54.40,53.95,53.98,3000,53.98
2015-04-27,53.90,53.90,53.42,53.60,1500,53.60
2015-04-24,53.43,53.88,53.43,53.73,2300,53.73
2015-04-23,53.73,53.73,53.62,53.65,2500,53.65
2015-04-22,53.85,53.85,53.55,53.78,1900,53.78
2015-04-21,54.01,54.04,54.01,54.01,13600,54.01
2015-04-20,53.74,54.00,53.74,53.98,32200,53.98
2015-04-17,53.87,53.87,53.48,53.48,900,53.48
2015-04-16,54.22,54.41,54.22,54.41,2300,54.41
2015-04-15,54.39,54.39,54.38,54.38,400,54.38
2015-04-14,54.19,54.44,54.11,54.44,900,54.44
2015-04-13,54.26,54.32,54.26,54.32,300,54.32
2015-04-10,54.46,54.56,54.21,54.39,6700,54.39
2015-04-09,54.28,54.30,54.18,54.18,8300,54.18
2015-04-08,54.32,54.54,54.32,54.54,2000,54.54
2015-04-07,54.82,55.13,54.63,54.63,2300,54.63
2015-04-06,54.56,55.27,54.56,55.17,1700,55.17
2015-04-02,55.21,55.21,54.96,54.96,5200,54.96
2015-04-01,54.44,54.44,54.32,54.32,600,54.32
2015-03-31,54.07,54.07,54.07,54.07,400,54.07
2015-03-30,53.98,54.55,53.95,54.45,5400,54.45
2015-03-27,53.35,53.35,53.35,53.35,000,53.35
2015-03-26,53.27,53.40,53.27,53.35,800,53.35
2015-03-25,54.37,54.37,53.58,53.58,4300,53.58
2015-03-24,53.93,54.00,53.89,53.94,1800,53.94
2015-03-23,54.24,54.40,54.24,54.28,2500,54.28
2015-03-20,53.65,53.94,53.65,53.94,3500,53.94
2015-03-19,52.83,53.15,52.79,53.15,2400,53.15
2015-03-18,51.92,52.95,51.91,52.84,1300,52.84
2015-03-17,52.02,52.50,52.02,52.50,9700,52.50
2015-03-16,52.48,52.48,52.14,52.32,5900,52.32
2015-03-13,52.14,52.28,52.00,52.28,1600,52.28
2015-03-12,52.40,52.42,52.33,52.42,2500,52.42
2015-03-11,51.41,51.47,51.11,51.43,7200,51.43
2015-03-10,51.35,52.00,51.35,51.93,2000,51.93
2015-03-09,52.13,52.60,52.13,52.57,2200,52.57
2015-03-06,52.17,52.17,52.17,52.17,300,52.17
2015-03-05,52.60,52.94,52.60,52.94,600,52.94
2015-03-04,53.12,53.41,53.06,53.33,4200,53.33
2015-03-03,53.32,53.56,53.22,53.56,1700,53.56
2015-03-02,53.50,53.60,53.33,53.60,1800,53.60
2015-02-27,53.57,53.66,53.41,53.41,8400,53.41
