Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,18.42,18.42,18.31,18.31,200,18.27
2015-04-30,18.32,18.32,18.32,18.32,000,18.27998
2015-04-29,18.30,18.39,18.30,18.32,1100,18.27998
2015-04-28,18.33,18.33,18.33,18.33,000,18.28996
2015-04-27,18.49,18.49,18.33,18.33,800,18.28996
2015-04-24,18.45,18.50,18.37,18.50,2600,18.45959
2015-04-23,18.17,18.45,18.17,18.30,1800,18.26002
2015-04-22,18.22,18.22,18.22,18.22,300,18.1802
2015-04-21,18.35,18.40,18.35,18.40,500,18.3598
2015-04-20,18.34,18.34,18.20,18.22,800,18.1802
2015-04-17,18.32,18.32,18.20,18.30,1400,18.26002
2015-04-16,18.30,18.30,18.30,18.30,000,18.26002
2015-04-15,18.20,18.31,18.20,18.30,1700,18.26002
2015-04-14,18.23,18.23,18.08,18.16,900,18.12033
2015-04-13,17.96,18.50,17.96,18.50,1300,18.45959
2015-04-10,18.09,18.52,18.07,18.51,3200,18.46956
2015-04-09,18.55,18.55,18.15,18.52,500,18.47954
2015-04-08,17.77,18.78,17.77,18.55,6700,18.50948
2015-04-07,18.23,18.23,18.23,18.23,100,18.19017
2015-04-06,18.09,18.48,18.09,18.20,7400,18.16024
2015-04-02,18.02,18.02,17.86,18.00,800,17.96068
2015-04-01,18.06,18.15,17.66,18.08,22500,18.0405
2015-03-31,18.09,18.18,18.00,18.08,1300,18.0405
2015-03-30,17.98,18.18,17.98,18.18,600,18.14029
2015-03-27,18.03,18.08,17.97,18.08,1800,18.0405
2015-03-26,18.24,18.24,18.24,18.24,200,18.20015
2015-03-25,18.12,18.32,18.07,18.07,3000,18.03053
2015-03-24,18.25,18.47,18.14,18.44,3000,18.39972
2015-03-23,17.70,18.45,17.70,18.08,5000,18.0405
2015-03-20,18.42,19.24,17.69,17.69,29800,17.65136
2015-03-19,19.40,19.40,18.21,18.34,16200,18.29993
2015-03-18,19.40,19.40,18.98,19.40,3500,19.35762
2015-03-17,19.21,19.39,18.52,19.22,5400,19.17801
2015-03-16,19.36,19.40,19.02,19.37,7100,19.32769
2015-03-13,19.20,19.40,18.25,19.40,4100,19.35762
2015-03-12,18.82,19.40,18.70,19.38,8600,19.33766
2015-03-11,18.82,18.82,18.22,18.66,3000,18.61924
2015-03-10,18.75,18.75,18.70,18.75,2700,18.70904
2015-03-09,18.81,18.81,18.48,18.81,5400,18.76891
2015-03-06,19.27,19.64,18.30,18.50,1900,18.45959
2015-03-05,18.20,18.70,18.20,18.70,1200,18.65915
2015-03-04,18.19,18.70,18.19,18.69,2900,18.64917
2015-03-03,18.65,18.72,18.18,18.72,2700,18.6791
2015-03-02,18.59,18.81,18.45,18.81,600,18.76891
2015-02-27,18.25,18.81,18.00,18.81,8300,18.76891
2015-02-26,18.28,18.50,18.28,18.50,1100,18.45959
2015-02-25,18.81,18.81,17.97,18.35,5300,18.30991
2015-02-24,18.22,18.28,17.98,17.98,1200,17.94072
2015-02-23,18.55,18.55,18.00,18.32,9000,18.27998
2015-02-20,18.82,18.82,18.15,18.15,1900,18.11035
2015-02-19,18.77,18.77,18.77,18.77,300,18.729
2015-02-18,18.72,18.75,18.72,18.74,700,18.69906
2015-02-17,17.64,19.32,17.64,18.55,89500,18.50948
2015-02-13,17.76,18.05,17.64,18.02,18100,17.98063
2015-02-12,17.89,17.92,17.78,17.92,6000,17.88085
2015-02-11,17.62,17.75,17.60,17.75,400,17.71122
2015-02-10,18.12,18.12,17.71,18.10,9800,18.06046
2015-02-09,18.24,18.24,18.00,18.00,2100,17.96068
