Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,22.70,22.70,22.05,22.44,64900,22.44
2015-04-29,20.12,22.70,20.12,22.60,328600,22.60
2015-04-28,20.15,20.38,19.63,20.00,119500,20.00
2015-04-27,20.30,20.41,19.65,20.15,201600,20.15
2015-04-24,20.24,20.25,19.48,20.10,168100,20.10
2015-04-23,21.19,21.37,20.11,20.43,70800,20.43
2015-04-22,21.60,22.11,20.75,21.11,143900,21.11
2015-04-21,21.00,21.19,20.69,20.95,48300,20.95
2015-04-20,21.95,22.05,20.81,20.98,74300,20.98
2015-04-17,21.86,22.25,21.62,21.95,23000,21.95
2015-04-16,22.40,22.48,22.12,22.13,30500,22.13
2015-04-15,21.95,22.43,21.92,22.39,38600,22.39
2015-04-14,22.55,22.55,21.86,22.05,26400,22.05
2015-04-13,22.43,22.53,22.05,22.44,48700,22.44
2015-04-10,22.51,22.70,22.30,22.57,36600,22.57
2015-04-09,22.61,22.68,22.36,22.49,26100,22.49
2015-04-08,22.58,22.77,22.01,22.66,42200,22.66
2015-04-07,23.00,23.00,22.57,22.70,71300,22.70
2015-04-06,22.15,22.97,22.15,22.74,205100,22.74
2015-04-02,21.88,21.99,21.37,21.90,72500,21.90
2015-04-01,21.45,21.98,21.16,21.75,81900,21.75
2015-03-31,21.80,21.87,21.45,21.60,68600,21.60
2015-03-30,20.92,21.69,20.83,21.65,178000,21.65
2015-03-27,20.80,21.06,20.67,20.83,36400,20.83
2015-03-26,21.31,21.51,20.77,20.92,71700,20.92
2015-03-25,21.92,21.92,21.28,21.57,87600,21.57
2015-03-24,21.76,21.87,21.51,21.66,48300,21.66
2015-03-23,21.55,21.89,21.39,21.76,146000,21.76
2015-03-20,21.95,22.05,21.10,21.55,97200,21.55
2015-03-19,22.60,22.60,21.46,21.65,60400,21.65
2015-03-18,22.00,22.66,21.50,22.47,48600,22.47
2015-03-17,20.80,22.02,20.68,21.99,83100,21.99
2015-03-16,20.95,21.48,20.53,20.97,109300,20.97
2015-03-13,22.47,22.47,20.45,21.46,69900,21.46
2015-03-12,22.29,22.49,21.90,22.33,53200,22.33
2015-03-11,22.74,23.11,21.92,22.29,87300,22.29
2015-03-10,21.70,22.81,21.24,22.56,111100,22.56
2015-03-09,20.42,22.17,20.39,21.56,126000,21.56
2015-03-06,20.65,20.65,20.01,20.42,109800,20.42
2015-03-05,20.59,20.60,20.20,20.40,47900,20.40
2015-03-04,20.50,20.57,20.03,20.42,80100,20.42
2015-03-03,20.31,20.58,20.06,20.28,66100,20.28
2015-03-02,19.99,20.77,19.88,20.11,197000,20.11
2015-02-27,19.95,20.09,19.85,19.88,59900,19.88
2015-02-26,20.00,20.10,19.87,19.87,21000,19.87
2015-02-25,19.48,20.05,19.34,20.00,30900,20.00
2015-02-24,20.05,20.15,19.10,19.75,50900,19.65
2015-02-23,20.43,21.00,19.96,20.09,103700,19.98828
2015-02-20,20.27,20.30,19.80,20.16,76200,20.05792
2015-02-19,19.90,20.39,19.90,20.27,93200,20.16737
2015-02-18,20.00,20.25,19.40,20.00,104400,19.89874
2015-02-17,18.50,19.75,18.24,19.34,183800,19.24208
2015-02-13,15.07,18.49,15.07,18.43,198000,18.33668
2015-02-12,14.25,14.25,14.00,14.10,19000,14.02861
2015-02-11,14.05,14.40,14.03,14.24,30700,14.1679
2015-02-10,14.09,14.09,13.85,14.08,20900,14.00871
2015-02-09,13.72,14.10,13.72,14.03,10700,13.95896
2015-02-06,13.73,14.00,13.67,13.82,9700,13.75002
2015-02-05,13.63,13.85,13.63,13.85,9100,13.77987
2015-02-04,13.79,13.88,13.76,13.84,10900,13.76992
2015-02-03,13.52,13.97,13.31,13.67,15700,13.60079
2015-02-02,13.90,13.90,13.23,13.64,14400,13.57094
2015-01-30,14.39,14.46,13.37,13.71,37000,13.64058
2015-01-29,14.16,14.49,14.16,14.45,10800,14.37683
2015-01-28,14.05,14.37,13.89,14.16,9300,14.0883
2015-01-27,14.00,14.07,13.49,13.92,28800,13.84952
2015-01-26,13.53,14.10,13.31,13.97,24800,13.89927
2015-01-23,13.21,13.65,13.15,13.54,13800,13.47144
2015-01-22,12.99,13.52,12.99,13.46,16000,13.39185
2015-01-21,13.60,13.60,12.94,13.00,49800,12.93418
2015-01-20,13.60,13.81,13.50,13.50,24800,13.43165
2015-01-16,13.39,13.68,13.32,13.43,28200,13.362
2015-01-15,13.49,13.51,13.22,13.25,17000,13.18291
2015-01-14,13.52,13.61,13.27,13.38,19500,13.31225
2015-01-13,13.94,13.97,13.28,13.41,26300,13.3421
2015-01-12,13.33,13.99,13.21,13.94,29400,13.86942
2015-01-09,13.37,13.66,13.20,13.33,27000,13.26251
2015-01-08,13.45,13.60,13.31,13.33,25800,13.26251
2015-01-07,13.62,13.62,13.35,13.47,11600,13.4018
2015-01-06,13.65,13.65,13.26,13.53,25200,13.46149
2015-01-05,13.65,13.70,13.50,13.67,26700,13.60079
2015-01-02,13.47,13.69,13.24,13.60,11800,13.53114
2014-12-31,13.40,13.54,13.00,13.42,82400,13.35205
2014-12-30,13.55,13.74,13.25,13.46,24300,13.39185
2014-12-29,13.90,13.96,13.54,13.55,42800,13.48139
2014-12-26,14.00,14.03,13.95,13.99,12400,13.91916
2014-12-24,14.00,14.08,13.94,14.00,7300,13.92911
2014-12-23,14.20,14.23,13.93,14.00,18200,13.92911
2014-12-22,14.23,14.36,14.04,14.19,10600,14.11815
2014-12-19,14.36,14.44,14.14,14.14,20900,14.06841
2014-12-18,14.32,14.40,14.21,14.29,8500,14.21765
2014-12-17,14.40,14.40,14.01,14.19,16800,14.11815
2014-12-16,14.28,14.50,14.27,14.50,16700,14.42658
2014-12-15,14.40,14.47,14.30,14.35,9800,14.27734
2014-12-12,14.39,14.50,14.00,14.47,26500,14.39673
2014-12-11,14.40,14.50,14.31,14.50,9400,14.42658
2014-12-10,14.45,14.62,14.26,14.26,10900,14.1878
2014-12-09,14.40,14.68,14.40,14.53,8300,14.45643
2014-12-08,14.67,14.69,14.36,14.45,9100,14.37683
2014-12-05,14.59,14.70,14.54,14.59,6500,14.51613
2014-12-04,14.79,14.79,14.51,14.57,7100,14.49623
2014-12-03,14.82,14.82,14.65,14.77,10900,14.69522
2014-12-02,14.83,15.00,14.73,14.86,9900,14.78476
2014-12-01,15.00,15.00,14.75,14.90,61100,14.82456
2014-11-28,15.04,15.10,14.76,15.04,5400,14.96385
2014-11-26,14.70,15.15,14.65,15.15,54900,15.07329
2014-11-25,14.70,14.70,14.63,14.69,8500,14.61562
2014-11-24,14.58,14.74,14.58,14.63,8700,14.55592
2014-11-21,14.66,14.70,14.54,14.64,10800,14.46638
2014-11-20,14.60,14.75,14.60,14.68,16900,14.50591
2014-11-19,14.49,14.66,14.34,14.65,7300,14.47626
2014-11-18,14.56,14.68,14.27,14.59,11900,14.41697
2014-11-17,14.66,14.68,14.32,14.50,14600,14.32804
2014-11-14,14.61,14.69,14.50,14.68,12700,14.50591
2014-11-13,14.26,14.60,14.25,14.54,29400,14.36757
2014-11-12,14.06,14.35,14.06,14.30,12000,14.13041
2014-11-11,13.98,14.28,13.86,14.21,27200,14.04148
2014-11-10,13.98,14.10,13.60,13.95,31100,13.78456
2014-11-07,13.78,13.98,13.55,13.90,30100,13.73516
2014-11-06,13.20,13.75,13.18,13.75,9600,13.58694
2014-11-05,13.10,13.37,13.00,13.15,20300,12.99405
2014-11-04,13.45,13.45,13.00,13.02,17500,12.86559
2014-11-03,13.25,13.49,13.14,13.42,11700,13.26085
2014-10-31,12.76,13.25,12.76,13.14,25000,12.98417
2014-10-30,12.95,13.05,12.61,12.67,27200,12.51974
2014-10-29,13.01,13.29,12.88,12.88,26400,12.72725
2014-10-28,13.11,13.18,12.95,12.95,29400,12.79642
2014-10-27,13.16,13.41,13.01,13.06,36300,12.90512
2014-10-24,13.86,13.86,13.06,13.08,56200,12.92488
2014-10-23,14.14,14.14,13.65,13.75,26700,13.58694
2014-10-22,14.06,14.36,13.90,14.00,33400,13.83397
2014-10-21,14.04,14.14,13.89,13.99,13700,13.82409
2014-10-20,13.80,14.13,13.75,13.88,17100,13.71539
2014-10-17,14.18,14.33,13.69,13.76,37100,13.59682
2014-10-16,14.22,14.31,14.05,14.05,34500,13.88338
2014-10-15,14.06,14.48,13.80,14.22,20900,14.05136
2014-10-14,14.43,14.50,14.01,14.06,18200,13.89326
2014-10-13,14.48,14.57,14.28,14.33,44000,14.16006
2014-10-10,14.76,14.77,14.45,14.45,37000,14.27863
2014-10-09,14.70,14.77,14.55,14.65,38800,14.47626
2014-10-08,14.78,14.79,14.59,14.78,3900,14.60472
2014-10-07,14.62,14.79,14.51,14.77,6900,14.59484
2014-10-06,14.40,14.72,14.40,14.72,9800,14.54543
2014-10-03,14.30,14.49,14.18,14.38,23800,14.20946
2014-10-02,13.75,14.32,13.75,14.25,7200,14.08101
2014-10-01,14.05,14.09,13.88,14.00,16200,13.83397
2014-09-30,14.15,14.15,14.02,14.09,6300,13.9229
2014-09-29,14.20,14.43,14.07,14.17,13000,14.00195
2014-09-26,14.23,14.34,14.08,14.34,10400,14.16994
2014-09-25,14.40,14.41,14.08,14.23,18800,14.06124
2014-09-24,14.87,14.87,14.41,14.49,12800,14.31816
2014-09-23,15.13,15.14,14.80,14.83,12000,14.65413
2014-09-22,15.12,15.26,15.10,15.10,6000,14.92093
2014-09-19,15.29,15.33,15.21,15.25,7400,15.06915
2014-09-18,15.27,15.28,15.20,15.25,5100,15.06915
2014-09-17,15.14,15.28,15.10,15.21,5200,15.02962
2014-09-16,15.16,15.20,15.15,15.19,12200,15.00986
2014-09-15,15.27,15.27,15.15,15.16,2700,14.98021
2014-09-12,15.19,15.27,15.11,15.20,7400,15.01974
2014-09-11,15.33,15.33,15.13,15.17,8100,14.99009
2014-09-10,15.18,15.42,14.98,15.27,16400,15.08891
2014-09-09,14.80,15.12,14.80,15.12,9700,14.94069
2014-09-08,15.02,15.11,14.80,14.99,9900,14.81223
2014-09-05,15.05,15.18,14.99,15.09,5800,14.91104
2014-09-04,15.22,15.22,14.99,15.10,17100,14.92093
2014-09-03,15.13,15.20,15.02,15.19,9900,15.00986
2014-09-02,14.90,15.20,14.83,15.08,19400,14.90116
2014-08-29,14.93,15.07,14.80,14.88,15400,14.70353
2014-08-28,14.80,15.08,14.78,14.82,15100,14.64425
2014-08-27,15.05,15.18,14.71,14.72,11600,14.54543
2014-08-26,15.03,15.25,15.03,15.12,6500,14.94069
2014-08-25,14.72,15.12,14.70,15.04,12100,14.86164
2014-08-22,14.87,14.93,14.66,14.66,6300,14.38733
2014-08-21,14.93,14.96,14.75,14.90,8000,14.62286
2014-08-20,14.93,14.94,14.72,14.82,11000,14.54435
2014-08-19,14.81,14.99,14.80,14.87,4800,14.59342
2014-08-18,14.65,14.99,14.33,14.90,16500,14.62286
2014-08-15,14.44,14.61,14.29,14.52,10900,14.24993
2014-08-14,14.24,14.34,14.22,14.32,9100,14.05365
2014-08-13,14.35,14.49,14.15,14.24,17800,13.97514
2014-08-12,14.55,14.65,14.27,14.38,14500,14.11254
2014-08-11,14.50,14.78,14.33,14.59,32800,14.31863
2014-08-08,14.60,14.60,14.41,14.46,9800,14.19105
2014-08-07,14.86,14.88,14.69,14.70,10300,14.42658
2014-08-06,14.51,14.84,14.32,14.71,8100,14.4364
2014-08-05,14.58,14.78,14.48,14.62,9100,14.34807
2014-08-04,14.88,14.88,14.51,14.54,9400,14.26956
2014-08-01,14.99,15.01,14.78,14.91,18400,14.63268
2014-07-31,15.12,15.16,14.74,15.08,13000,14.79952
2014-07-30,15.08,15.24,15.00,15.23,10400,14.94673
2014-07-29,14.99,15.09,14.92,15.08,16600,14.79952
2014-07-28,14.99,14.99,14.72,14.99,27000,14.71119
2014-07-25,14.78,14.93,14.70,14.91,10500,14.63268
2014-07-24,14.28,14.87,14.28,14.79,32100,14.51491
2014-07-23,14.26,14.31,14.13,14.31,10000,14.04384
2014-07-22,14.15,14.25,14.05,14.22,6300,13.95551
2014-07-21,14.05,14.28,13.91,14.22,7100,13.95551
2014-07-18,13.89,14.17,13.81,14.12,15200,13.85737
2014-07-17,13.93,14.00,13.75,13.88,9900,13.62184
2014-07-16,13.81,14.02,13.75,13.92,11300,13.66109
2014-07-15,13.90,13.95,13.70,13.70,23700,13.44518
2014-07-14,13.95,13.95,13.82,13.82,14100,13.56295
2014-07-11,13.97,14.16,13.92,13.95,4600,13.69053
2014-07-10,14.06,14.14,14.00,14.01,13200,13.74942
2014-07-09,14.13,14.18,14.06,14.11,9400,13.84756
