Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,3.70,3.78,3.46,3.48,309400,3.48
2015-04-30,3.45,3.72,3.45,3.69,613400,3.69
2015-04-29,3.46,3.50,3.33,3.34,156300,3.34
2015-04-28,3.50,3.53,3.26,3.42,333600,3.42
2015-04-27,3.70,3.75,3.48,3.48,409500,3.48
2015-04-24,3.65,3.82,3.60,3.72,233300,3.72
2015-04-23,3.79,3.84,3.52,3.66,622700,3.66
2015-04-22,4.00,4.07,3.78,3.83,624000,3.83
2015-04-21,4.13,4.27,3.94,4.03,753200,4.03
2015-04-20,4.02,4.27,3.93,4.18,2430400,4.18
2015-04-17,4.08,4.19,3.91,3.92,3545400,3.92
2015-04-16,4.20,4.48,3.75,3.78,5981900,3.78
2015-04-15,3.27,3.75,3.18,3.70,1720100,3.70
2015-04-14,3.14,3.42,3.14,3.24,575800,3.24
2015-04-13,3.13,3.25,3.08,3.12,191000,3.12
2015-04-10,3.28,3.34,3.08,3.10,513900,3.10
2015-04-09,2.93,3.84,2.93,3.30,2427300,3.30
2015-04-08,2.98,3.02,2.90,2.95,40700,2.95
2015-04-07,2.96,3.09,2.91,2.91,136400,2.91
2015-04-06,2.95,3.08,2.92,2.95,133300,2.95
2015-04-02,2.97,3.00,2.90,2.95,70900,2.95
2015-04-01,3.04,3.12,2.90,2.95,147500,2.95
2015-03-31,2.94,3.12,2.83,3.08,285000,3.08
2015-03-30,2.99,2.99,2.90,2.94,96400,2.94
2015-03-27,3.06,3.08,2.93,2.98,94100,2.98
2015-03-26,3.07,3.10,2.91,3.05,379000,3.05
2015-03-25,2.96,3.08,2.80,2.82,160600,2.82
2015-03-24,2.91,2.92,2.81,2.89,141300,2.89
2015-03-23,2.99,3.09,2.88,2.90,121100,2.90
2015-03-20,2.87,3.06,2.86,2.96,242500,2.96
2015-03-19,2.86,2.94,2.84,2.84,151500,2.84
2015-03-18,3.02,3.02,2.82,2.86,336100,2.86
2015-03-17,3.27,3.40,2.91,3.02,460600,3.02
2015-03-16,3.41,3.41,3.22,3.31,179400,3.31
2015-03-13,3.37,3.52,3.30,3.36,251000,3.36
2015-03-12,3.21,3.49,3.16,3.40,298500,3.40
2015-03-11,3.29,3.29,3.14,3.21,154900,3.21
2015-03-10,3.13,3.24,3.05,3.24,189600,3.24
2015-03-09,3.23,3.25,3.05,3.13,346700,3.13
2015-03-06,3.29,3.32,3.20,3.24,151700,3.24
2015-03-05,3.35,3.46,3.18,3.28,366100,3.28
2015-03-04,3.32,3.53,3.32,3.35,268500,3.35
2015-03-03,3.43,3.50,3.33,3.35,323500,3.35
2015-03-02,3.43,3.56,3.30,3.47,449100,3.47
2015-02-27,3.52,3.59,3.32,3.41,500500,3.41
2015-02-26,3.72,3.81,3.46,3.51,547000,3.51
2015-02-25,3.38,3.70,3.30,3.56,934200,3.56
2015-02-24,3.54,3.73,3.38,3.40,828100,3.40
2015-02-23,3.60,3.90,3.50,3.62,893600,3.62
2015-02-20,3.65,3.88,3.65,3.68,988800,3.68
2015-02-19,3.74,4.09,3.65,3.82,1619400,3.82
2015-02-18,5.44,5.50,3.76,3.80,11883900,3.80
2015-02-17,3.98,5.55,3.98,4.80,14487900,4.80
2015-02-13,3.38,3.97,3.37,3.65,768500,3.65
2015-02-12,3.26,3.37,3.17,3.33,98400,3.33
2015-02-11,3.25,3.27,3.15,3.22,66100,3.22
2015-02-10,3.24,3.24,3.14,3.14,56400,3.14
2015-02-09,3.10,3.27,3.10,3.15,37200,3.15
2015-02-06,3.11,3.18,3.02,3.07,25200,3.07
2015-02-05,3.20,3.31,3.03,3.14,132200,3.14
2015-02-04,3.00,3.11,3.00,3.07,77300,3.07
2015-02-03,2.88,3.03,2.82,2.94,46700,2.94
2015-02-02,3.06,3.10,2.86,2.92,54000,2.92
2015-01-30,3.14,3.18,3.01,3.02,59900,3.02
2015-01-29,2.86,3.33,2.86,3.13,272200,3.13
2015-01-28,2.86,3.06,2.82,2.87,41600,2.87
2015-01-27,3.03,3.03,2.84,2.90,90100,2.90
2015-01-26,2.99,3.12,2.87,2.99,78800,2.99
2015-01-23,2.90,3.20,2.90,2.95,39500,2.95
2015-01-22,2.95,3.13,2.79,2.92,57800,2.92
2015-01-21,3.26,3.26,2.89,2.97,71400,2.97
2015-01-20,3.10,3.33,3.08,3.19,96300,3.19
2015-01-16,3.18,3.18,2.96,3.08,74700,3.08
2015-01-15,3.54,3.54,3.15,3.21,186000,3.21
2015-01-14,3.24,3.55,3.16,3.49,174700,3.49
2015-01-13,3.00,3.33,2.96,3.26,199400,3.26
2015-01-12,2.97,2.97,2.82,2.94,168600,2.94
2015-01-09,2.94,2.97,2.82,2.85,124600,2.85
2015-01-08,2.74,2.91,2.74,2.91,118800,2.91
2015-01-07,2.62,2.70,2.55,2.70,87300,2.70
2015-01-06,2.40,2.55,2.40,2.54,126600,2.54
2015-01-05,2.32,2.45,2.32,2.38,66800,2.38
2015-01-02,2.33,2.34,2.29,2.32,19700,2.32
2014-12-31,2.25,2.36,2.25,2.26,55900,2.26
2014-12-30,2.36,2.36,2.24,2.25,129400,2.25
2014-12-29,2.31,2.50,2.31,2.35,137000,2.35
2014-12-26,2.34,2.40,2.30,2.33,66500,2.33
2014-12-24,2.34,2.38,2.30,2.35,21900,2.35
2014-12-23,2.35,2.38,2.30,2.32,55900,2.32
2014-12-22,2.30,2.38,2.30,2.36,70000,2.36
2014-12-19,2.37,2.37,2.30,2.30,50200,2.30
2014-12-18,2.36,2.36,2.30,2.35,57400,2.35
2014-12-17,2.31,2.34,2.28,2.32,75500,2.32
2014-12-16,2.28,2.32,2.26,2.28,83300,2.28
2014-12-15,2.35,2.35,2.26,2.32,65500,2.32
2014-12-12,2.31,2.37,2.28,2.32,21800,2.32
2014-12-11,2.25,2.35,2.22,2.27,88000,2.27
2014-12-10,2.21,2.34,2.21,2.27,61200,2.27
2014-12-09,2.07,2.52,2.07,2.23,60800,2.23
2014-12-08,2.25,2.32,2.14,2.19,99600,2.19
2014-12-05,2.34,2.61,2.13,2.20,327000,2.20
2014-12-04,2.66,2.68,2.30,2.30,118900,2.30
2014-12-03,2.58,2.71,2.57,2.67,34300,2.67
2014-12-02,2.70,2.75,2.55,2.57,38400,2.57
2014-12-01,2.81,2.88,2.58,2.61,48400,2.61
2014-11-28,2.70,2.87,2.68,2.79,116700,2.79
2014-11-26,2.50,2.67,2.50,2.64,78200,2.64
2014-11-25,2.58,2.58,2.51,2.51,19000,2.51
2014-11-24,2.63,2.63,2.52,2.53,23500,2.53
2014-11-21,2.34,2.67,2.33,2.53,136900,2.53
2014-11-20,2.41,2.48,2.25,2.38,109400,2.38
2014-11-19,2.52,2.54,2.42,2.42,60000,2.42
2014-11-18,2.59,2.64,2.48,2.52,120300,2.52
2014-11-17,2.69,2.73,2.57,2.57,192900,2.57
2014-11-14,2.76,2.80,2.63,2.70,71600,2.70
2014-11-13,2.81,2.85,2.75,2.77,32800,2.77
2014-11-12,2.77,2.82,2.74,2.77,28400,2.77
2014-11-11,2.66,2.75,2.66,2.71,53300,2.71
2014-11-10,2.75,2.79,2.62,2.68,52600,2.68
2014-11-07,2.71,2.77,2.66,2.73,81800,2.73
2014-11-06,2.76,2.81,2.70,2.70,58700,2.70
2014-11-05,3.01,3.01,2.73,2.73,98900,2.73
2014-11-04,2.88,3.05,2.80,3.00,57000,3.00
2014-11-03,3.09,3.09,2.70,2.88,207600,2.88
2014-10-31,3.08,3.16,3.08,3.09,54600,3.09
2014-10-30,3.05,3.14,3.03,3.10,17000,3.10
2014-10-29,3.08,3.12,3.03,3.03,42700,3.03
2014-10-28,3.04,3.17,3.04,3.10,16400,3.10
2014-10-27,2.96,3.15,2.96,3.14,72000,3.14
2014-10-24,2.92,3.02,2.91,3.02,34300,3.02
2014-10-23,2.91,3.06,2.91,2.91,46400,2.91
2014-10-22,3.13,3.13,2.81,2.93,65000,2.93
2014-10-21,2.91,3.10,2.90,3.02,26900,3.02
2014-10-20,3.00,3.11,2.95,2.98,34900,2.98
2014-10-17,3.16,3.16,3.00,3.00,24600,3.00
2014-10-16,2.82,3.25,2.82,3.13,140400,3.13
2014-10-15,2.83,2.89,2.81,2.89,57100,2.89
2014-10-14,3.00,3.02,2.75,2.91,59100,2.91
2014-10-13,2.97,3.12,2.92,2.96,44900,2.96
2014-10-10,3.15,3.27,2.90,2.93,76700,2.93
2014-10-09,3.05,3.30,3.00,3.15,46800,3.15
2014-10-08,3.24,3.24,3.00,3.09,107600,3.09
2014-10-07,3.30,3.32,3.22,3.24,34800,3.24
2014-10-06,3.53,3.53,3.28,3.28,50300,3.28
2014-10-03,3.38,3.53,3.38,3.52,24800,3.52
2014-10-02,3.43,3.43,3.28,3.38,40100,3.38
2014-10-01,3.47,3.47,3.35,3.36,38600,3.36
2014-09-30,3.53,3.62,3.51,3.51,36100,3.51
2014-09-29,3.48,3.69,3.47,3.54,40700,3.54
2014-09-26,3.60,3.60,3.47,3.55,40600,3.55
2014-09-25,3.60,3.65,3.49,3.58,45900,3.58
2014-09-24,3.50,3.61,3.46,3.61,12300,3.61
2014-09-23,3.40,3.79,3.40,3.54,72400,3.54
2014-09-22,3.62,3.62,3.45,3.46,68800,3.46
2014-09-19,3.80,3.80,3.54,3.62,129200,3.62
2014-09-18,4.15,4.20,3.69,3.82,275000,3.82
2014-09-17,3.53,3.95,3.52,3.91,441100,3.91
2014-09-16,3.49,3.59,3.39,3.57,63700,3.57
2014-09-15,3.68,3.68,3.48,3.50,53500,3.50
2014-09-12,3.73,3.73,3.67,3.68,14000,3.68
2014-09-11,3.66,3.78,3.57,3.71,41400,3.71
2014-09-10,3.35,3.68,3.35,3.68,71000,3.68
2014-09-09,3.50,3.50,3.25,3.43,113000,3.43
2014-09-08,3.69,3.70,3.53,3.56,137900,3.56
2014-09-05,3.69,3.75,3.65,3.67,79800,3.67
2014-09-04,3.70,3.76,3.69,3.70,64800,3.70
2014-09-03,3.91,3.91,3.69,3.73,39200,3.73
2014-09-02,3.82,3.84,3.75,3.78,73500,3.78
2014-08-29,3.63,3.73,3.63,3.71,35200,3.71
2014-08-28,3.70,3.73,3.65,3.65,61000,3.65
2014-08-27,3.76,3.84,3.70,3.71,55700,3.71
2014-08-26,3.76,3.79,3.71,3.71,58500,3.71
2014-08-25,3.72,3.78,3.70,3.71,27000,3.71
2014-08-22,3.76,3.81,3.70,3.72,72900,3.72
2014-08-21,3.81,3.83,3.76,3.76,19900,3.76
2014-08-20,3.83,3.88,3.76,3.83,40600,3.83
2014-08-19,3.88,3.90,3.81,3.82,18600,3.82
2014-08-18,3.79,3.91,3.74,3.88,214700,3.88
2014-08-15,3.75,3.77,3.69,3.69,30700,3.69
2014-08-14,3.75,3.80,3.68,3.71,73900,3.71
2014-08-13,3.69,3.81,3.65,3.78,78000,3.78
2014-08-12,3.76,3.81,3.60,3.72,119400,3.72
2014-08-11,3.80,3.85,3.76,3.80,37700,3.80
2014-08-08,3.76,3.89,3.76,3.76,62200,3.76
