Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,1.65,1.65,1.62,1.63,7000,1.63
2015-04-30,1.63,1.66,1.63,1.64,7500,1.64
2015-04-29,1.64,1.64,1.57,1.61,15900,1.61
2015-04-28,1.59,1.61,1.56,1.57,19000,1.57
2015-04-27,1.65,1.66,1.58,1.59,22500,1.59
2015-04-24,1.67,1.69,1.65,1.66,23600,1.66
2015-04-23,1.63,1.68,1.57,1.67,49900,1.67
2015-04-22,1.64,1.66,1.56,1.56,33200,1.56
2015-04-21,1.66,1.69,1.64,1.66,12200,1.66
2015-04-20,1.73,1.74,1.67,1.68,16300,1.68
2015-04-17,1.69,1.73,1.69,1.72,11400,1.72
2015-04-16,1.70,1.75,1.64,1.75,60000,1.75
2015-04-15,1.66,1.78,1.65,1.75,117800,1.75
2015-04-14,1.70,1.73,1.67,1.67,43300,1.67
2015-04-13,1.80,1.82,1.69,1.72,73800,1.72
2015-04-10,1.74,1.79,1.73,1.77,14700,1.77
2015-04-09,1.79,1.80,1.73,1.74,39800,1.74
2015-04-08,1.75,1.82,1.71,1.82,40700,1.82
2015-04-07,1.63,1.84,1.63,1.72,141100,1.72
2015-04-06,1.62,1.70,1.62,1.64,14800,1.64
2015-04-02,1.67,1.70,1.64,1.69,14300,1.69
2015-04-01,1.69,1.69,1.57,1.65,24600,1.65
2015-03-31,1.66,1.72,1.56,1.59,37200,1.59
2015-03-30,1.69,1.74,1.65,1.69,28700,1.69
2015-03-27,1.66,1.70,1.65,1.65,3700,1.65
2015-03-26,1.68,1.70,1.65,1.68,10900,1.68
2015-03-25,1.61,1.71,1.60,1.66,10800,1.66
2015-03-24,1.64,1.71,1.63,1.66,35000,1.66
2015-03-23,1.62,1.64,1.61,1.62,24100,1.62
2015-03-20,1.63,1.65,1.61,1.62,21600,1.62
2015-03-19,1.60,1.62,1.60,1.61,11500,1.61
2015-03-18,1.65,1.65,1.60,1.60,51000,1.60
2015-03-17,1.73,1.73,1.65,1.67,18500,1.67
2015-03-16,1.55,1.75,1.55,1.71,66900,1.71
2015-03-13,1.56,1.58,1.55,1.55,25100,1.55
2015-03-12,1.58,1.58,1.56,1.56,26200,1.56
2015-03-11,1.60,1.60,1.55,1.55,25800,1.55
2015-03-10,1.60,1.62,1.60,1.60,35600,1.60
2015-03-09,1.60,1.66,1.60,1.62,31200,1.62
2015-03-06,1.67,1.68,1.59,1.61,37700,1.61
2015-03-05,1.70,1.71,1.66,1.66,13500,1.66
2015-03-04,1.67,1.73,1.60,1.70,55500,1.70
2015-03-03,1.65,1.70,1.65,1.66,24100,1.66
