Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,24.69,24.86,23.84,24.69,8600,24.69
2015-04-30,24.72,25.04,24.17,24.61,12700,24.61
2015-04-29,24.75,25.09,24.57,25.08,14700,25.08
2015-04-28,24.50,25.16,24.50,25.16,4000,25.16
2015-04-27,24.69,24.80,24.40,24.40,12100,24.40
2015-04-24,24.80,24.80,24.45,24.75,1000,24.75
2015-04-23,24.80,24.80,24.06,24.70,9600,24.70
2015-04-22,25.01,25.01,23.95,24.87,8200,24.87
2015-04-21,24.72,24.88,24.40,24.54,6900,24.54
2015-04-20,24.80,24.80,24.55,24.70,7000,24.70
2015-04-17,24.33,24.87,24.33,24.83,9700,24.83
2015-04-16,24.99,25.25,24.90,25.02,3600,25.02
2015-04-15,24.85,25.25,24.85,25.19,4700,25.19
2015-04-14,24.79,24.97,24.73,24.89,2100,24.89
2015-04-13,24.73,24.77,24.45,24.77,10700,24.77
2015-04-10,24.90,25.16,24.80,24.80,2800,24.80
2015-04-09,24.65,25.12,24.60,24.93,2600,24.93
2015-04-08,24.99,25.21,24.62,24.88,2400,24.88
2015-04-07,25.13,25.28,24.96,24.96,3100,24.96
2015-04-06,24.95,25.62,24.95,25.15,3000,25.15
2015-04-02,25.20,25.23,24.85,24.85,2200,24.85
2015-04-01,24.69,24.98,24.52,24.89,2200,24.89
2015-03-31,24.66,24.72,24.45,24.72,2700,24.72
2015-03-30,24.41,24.95,24.41,24.65,3000,24.65
2015-03-27,24.08,24.36,24.03,24.25,2700,24.25
2015-03-26,25.05,25.05,24.72,24.73,800,24.73
2015-03-25,25.00,25.00,25.00,25.00,400,25.00
2015-03-24,25.18,25.18,25.15,25.15,800,25.15
2015-03-23,24.57,25.37,24.57,25.37,3300,25.37
2015-03-20,24.93,24.93,24.51,24.51,18600,24.51
2015-03-19,25.11,25.14,24.84,24.84,900,24.84
2015-03-18,24.74,25.17,24.74,24.97,6200,24.97
2015-03-17,24.86,25.00,24.75,24.90,3100,24.90
2015-03-16,24.87,25.11,24.62,25.00,4400,25.00
2015-03-13,24.86,24.86,24.01,24.58,4500,24.58
2015-03-12,24.68,24.68,24.01,24.60,10800,24.60
2015-03-11,24.15,24.15,23.73,24.00,12200,24.00
2015-03-10,24.45,24.50,23.75,23.99,8700,23.99
2015-03-09,24.82,24.82,24.70,24.70,800,24.70
2015-03-06,24.35,24.66,24.35,24.38,3700,24.38
2015-03-05,24.35,24.78,24.35,24.48,1400,24.48
2015-03-04,24.94,24.98,24.11,24.32,10400,24.32
2015-03-03,25.02,25.03,24.63,24.98,6200,24.98
2015-03-02,25.50,25.69,25.17,25.21,11600,25.21
2015-02-27,25.03,25.49,25.03,25.49,5400,25.49
2015-02-26,25.50,25.71,24.92,25.25,1400,25.25
2015-02-25,25.80,25.82,25.21,25.21,7300,25.21
2015-02-24,25.16,26.38,24.51,25.68,12100,25.68
2015-02-23,26.00,26.00,26.00,26.00,000,26.00
2015-02-20,26.10,26.20,25.76,26.00,1900,26.00
2015-02-19,26.00,26.38,26.00,26.13,21300,26.13
2015-02-18,26.40,26.40,25.97,26.35,1700,26.35
2015-02-17,26.55,26.55,26.40,26.40,2500,26.40
2015-02-13,27.02,27.02,26.34,26.34,3100,26.34
2015-02-12,27.11,27.11,26.75,26.75,1600,26.75
2015-02-11,27.36,27.98,26.01,26.85,28400,26.85
2015-02-10,27.22,27.22,27.22,27.22,200,27.22
2015-02-09,27.20,27.20,27.00,27.04,2700,27.04
2015-02-06,27.38,27.62,27.38,27.41,2400,27.41
2015-02-05,27.20,27.20,27.20,27.20,000,27.20
2015-02-04,27.10,27.25,27.10,27.20,1400,27.20
2015-02-03,26.97,27.55,26.62,27.55,1500,27.55
