Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,17.53,17.72,16.98,17.14,369000,16.95145
2015-04-30,17.09,17.68,16.82,17.42,509500,17.22837
2015-04-29,17.08,17.21,16.75,17.10,338500,16.91189
2015-04-28,16.84,17.34,16.74,17.21,382400,17.02068
2015-04-27,17.00,17.13,16.67,16.77,539900,16.58552
2015-04-24,16.04,16.94,16.04,16.88,626200,16.69431
2015-04-23,15.42,16.05,15.42,15.94,481300,15.76465
2015-04-22,15.61,15.66,15.26,15.46,298800,15.28993
2015-04-21,15.87,16.08,15.54,15.59,261200,15.4185
2015-04-20,15.87,16.12,15.82,15.90,339700,15.72509
2015-04-17,15.76,16.05,15.60,15.86,461700,15.68553
2015-04-16,16.17,16.23,15.88,15.89,410400,15.7152
2015-04-15,15.60,16.36,15.50,16.16,634800,15.98223
2015-04-14,15.25,15.62,15.22,15.52,617900,15.34927
2015-04-13,15.46,15.54,15.06,15.15,439200,14.98334
2015-04-10,15.54,15.69,15.51,15.51,310200,15.33938
2015-04-09,15.77,15.77,15.45,15.56,474700,15.38883
2015-04-08,16.22,16.53,15.29,15.65,762500,15.47784
2015-04-07,15.50,16.94,15.40,16.25,721700,16.07124
2015-04-06,16.31,16.33,15.96,16.03,405800,15.85366
2015-04-02,15.83,16.41,15.83,16.33,411000,16.15036
2015-04-01,15.77,16.18,15.77,15.89,383700,15.7152
2015-03-31,15.66,15.93,15.30,15.86,373600,15.68553
2015-03-30,15.39,15.79,15.24,15.74,422600,15.56685
2015-03-27,15.34,15.46,15.20,15.27,381400,15.10202
2015-03-26,15.50,15.80,15.25,15.37,463700,15.20092
2015-03-25,15.68,15.94,15.50,15.54,451100,15.36905
2015-03-24,15.72,15.81,15.58,15.60,470700,15.42839
2015-03-23,15.60,15.93,15.58,15.73,630300,15.55696
2015-03-20,16.00,16.11,15.53,15.61,1003800,15.43828
2015-03-19,16.30,16.30,15.84,15.90,260700,15.72509
2015-03-18,15.51,16.62,15.46,16.37,349700,16.18992
2015-03-17,15.61,15.71,15.38,15.63,268700,15.45806
2015-03-16,16.30,16.42,15.46,15.53,385100,15.35916
2015-03-13,16.51,16.56,15.97,16.31,224900,16.13058
2015-03-12,16.44,16.65,16.20,16.59,251100,16.4075
2015-03-11,16.00,16.29,15.82,16.28,282200,16.10091
2015-03-10,16.02,16.31,15.83,15.99,293000,15.8141
