Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,58.98,60.09,58.85,59.63,3428600,59.63
2015-04-30,57.74,59.08,57.74,58.72,3902600,58.72
2015-04-29,57.85,58.63,56.68,58.17,3996600,58.17
2015-04-28,58.03,59.07,57.52,59.00,3685900,58.46
2015-04-27,58.35,58.49,57.70,57.92,2214800,57.38988
2015-04-24,58.96,59.03,57.90,58.34,2454400,57.80604
2015-04-23,58.70,59.39,58.21,58.75,2750200,58.21229
2015-04-22,58.10,58.46,57.83,58.23,2271300,57.69705
2015-04-21,59.61,59.61,57.92,58.41,3509800,57.8754
2015-04-20,58.00,59.48,57.71,59.14,4910500,58.59872
2015-04-17,56.16,58.57,56.06,57.43,9537500,56.90437
2015-04-16,56.10,56.55,55.45,55.96,4461700,55.44782
2015-04-15,56.27,57.04,56.25,56.67,3736100,56.15133
2015-04-14,55.97,56.20,55.23,55.77,2710600,55.25956
2015-04-13,55.56,56.18,55.34,55.41,1938700,54.90286
2015-04-10,54.58,55.99,54.56,55.58,3725700,55.0713
2015-04-09,52.88,54.81,52.88,54.69,3384000,54.18945
2015-04-08,53.84,54.30,53.07,53.31,4025900,52.82208
2015-04-07,52.97,54.10,52.94,53.75,3338900,53.25805
2015-04-06,52.05,53.00,52.00,52.74,2444900,52.2573
2015-04-02,51.57,53.04,51.32,52.45,3695500,51.96995
2015-04-01,52.05,52.33,51.05,51.79,3640900,51.31599
2015-03-31,52.68,52.68,51.74,52.03,3776400,51.55379
2015-03-30,53.23,53.35,52.53,53.08,2209400,52.59418
2015-03-27,53.74,53.91,52.58,52.76,2938000,52.27711
2015-03-26,52.50,54.26,52.12,53.53,4253900,53.04006
2015-03-25,55.45,55.83,53.44,53.61,4358300,53.11934
2015-03-24,55.54,56.12,55.26,55.33,2842400,54.82359
2015-03-23,56.51,57.12,55.61,55.85,2650800,55.33883
2015-03-20,56.16,56.70,55.70,56.51,4848700,55.99279
2015-03-19,55.30,55.88,55.30,55.71,2471200,55.20011
2015-03-18,54.65,55.75,53.89,55.30,4951900,54.79387
2015-03-17,54.46,54.59,53.65,53.67,3299200,53.17878
2015-03-16,54.80,54.98,53.97,54.84,4261700,54.33807
2015-03-13,54.24,54.64,52.82,53.76,4054600,53.26796
2015-03-12,52.81,55.13,52.55,54.54,5734400,54.04082
2015-03-11,54.39,54.73,53.50,54.36,4559600,53.86247
2015-03-10,56.67,56.80,54.17,54.41,6728400,53.91201
2015-03-09,56.93,57.87,56.82,56.98,3283400,56.45849
2015-03-06,58.11,58.49,56.75,56.90,3771700,56.37922
2015-03-05,58.12,58.75,57.40,58.44,3474300,57.90512
2015-03-04,58.48,58.49,57.23,58.08,4209500,57.54842
2015-03-03,60.30,60.49,57.81,58.82,6555700,58.28165
2015-03-02,61.21,63.39,61.02,61.56,4083600,60.99657
2015-02-27,60.51,61.18,60.17,61.12,2752300,60.5606
2015-02-26,60.14,60.87,60.13,60.68,2406000,60.12463
2015-02-25,60.05,60.23,59.53,60.02,3268900,59.47066
2015-02-24,61.73,61.87,60.00,60.70,3580900,60.14444
2015-02-23,62.32,62.43,61.70,61.99,1555500,61.42264
2015-02-20,61.43,62.20,60.87,62.18,1746900,61.6109
2015-02-19,60.93,61.56,60.93,61.46,1291300,60.89748
2015-02-18,61.06,61.37,60.44,61.18,2173700,60.62005
2015-02-17,61.63,61.80,60.79,61.15,2318300,60.59032
2015-02-13,61.83,62.61,61.49,61.84,2566200,61.27401
2015-02-12,61.34,61.71,60.86,61.16,1830000,60.60023
2015-02-11,60.27,61.12,59.93,60.80,3024800,60.24353
2015-02-10,60.44,61.16,59.51,60.20,3419200,59.64902
2015-02-09,59.52,60.75,59.00,60.40,3563200,59.84719
2015-02-06,60.05,61.25,59.80,59.94,4195800,59.3914
2015-02-05,60.12,60.70,59.79,60.41,2189500,59.32204
2015-02-04,58.98,60.46,58.98,59.93,4049100,58.85068
2015-02-03,57.91,59.38,57.86,59.25,4239000,58.18293
2015-02-02,56.51,57.94,55.89,57.80,5027900,56.75904
2015-01-30,58.27,58.69,56.31,56.44,5504500,55.42353
2015-01-29,57.14,58.97,57.00,58.70,5046000,57.64283
2015-01-28,58.08,58.77,57.48,57.53,7678200,56.4939
2015-01-27,59.00,59.00,56.50,57.07,8078000,56.04219
2015-01-26,58.92,60.24,56.52,59.06,15325600,57.99635
2015-01-23,64.15,64.42,63.47,63.98,2594200,62.82774
2015-01-22,63.15,64.46,62.32,63.94,3563300,62.78846
2015-01-21,62.71,63.65,62.40,63.29,1724000,62.15017
2015-01-20,63.63,63.98,62.34,63.12,1772100,61.98323
2015-01-16,62.36,63.53,61.76,63.41,2500300,62.26801
2015-01-15,64.61,64.96,62.10,62.28,3552200,61.15836
2015-01-14,64.22,64.73,63.61,64.59,1927000,63.42675
2015-01-13,65.69,66.91,64.13,64.75,2142700,63.58387
2015-01-12,66.25,66.45,64.76,65.04,2133100,63.86865
2015-01-09,65.75,66.97,65.47,66.44,2545900,65.24344
2015-01-08,65.00,66.17,64.51,65.43,3472500,64.25163
2015-01-07,64.11,64.80,63.18,64.27,1886500,63.11251
