Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,27.15,27.21,26.08,26.81,1103400,26.72848
2015-04-30,25.32,27.48,25.20,27.11,2197300,27.02757
2015-04-29,24.80,25.48,24.25,24.33,610200,24.25602
2015-04-28,25.06,25.14,24.87,25.00,473500,24.92398
2015-04-27,25.16,25.35,24.97,25.09,307500,25.01371
2015-04-24,25.05,25.16,24.76,25.14,402600,25.06356
2015-04-23,24.98,25.25,24.90,25.05,290500,24.97383
2015-04-22,25.00,25.15,24.88,24.98,386200,24.90404
2015-04-21,25.02,25.15,24.85,24.99,364600,24.91401
2015-04-20,24.87,25.03,24.79,24.95,335400,24.87414
2015-04-17,24.80,24.92,24.52,24.73,545400,24.6548
2015-04-16,24.61,25.30,24.50,25.00,523900,24.92398
2015-04-15,24.48,24.63,24.28,24.61,527300,24.53517
2015-04-14,24.23,24.46,24.17,24.36,612700,24.28593
2015-04-13,24.23,24.42,24.09,24.27,270400,24.1962
2015-04-10,24.33,24.39,24.11,24.29,211000,24.21614
2015-04-09,24.32,24.40,23.95,24.23,306300,24.15632
2015-04-08,24.35,24.45,24.13,24.31,418700,24.23608
2015-04-07,24.35,24.55,24.21,24.29,293400,24.21614
2015-04-06,24.01,24.44,24.00,24.33,316400,24.25602
2015-04-02,24.03,24.37,23.92,24.09,329200,24.01675
2015-04-01,24.00,24.09,23.87,24.00,396200,23.92702
2015-03-31,24.06,24.55,23.96,24.02,488800,23.94696
2015-03-30,24.27,24.38,24.10,24.15,571600,24.07657
2015-03-27,24.22,24.22,23.96,24.05,234200,23.97687
2015-03-26,24.24,24.49,24.14,24.19,276500,24.11645
2015-03-25,24.85,24.99,24.33,24.33,587400,24.25602
2015-03-24,24.80,24.94,24.60,24.84,340900,24.76447
2015-03-23,24.61,24.98,24.50,24.78,236300,24.70465
2015-03-20,24.62,24.70,24.47,24.68,671300,24.60496
2015-03-19,24.64,25.06,24.30,24.47,380300,24.39559
2015-03-18,24.57,24.92,24.42,24.79,286400,24.71462
2015-03-17,24.39,24.74,24.38,24.66,355900,24.58502
2015-03-16,24.52,24.60,24.33,24.54,310000,24.46538
2015-03-13,24.92,24.94,24.35,24.49,282900,24.41553
2015-03-12,24.77,24.97,24.56,24.95,256600,24.87414
2015-03-11,24.88,24.88,24.26,24.61,367200,24.53517
2015-03-10,25.10,25.23,24.69,24.78,298300,24.70465
2015-03-09,25.35,25.37,25.04,25.36,406300,25.28289
2015-03-06,25.69,25.87,25.23,25.29,560100,25.2131
2015-03-05,25.52,25.81,25.40,25.81,496900,25.73152
2015-03-04,25.46,25.61,25.14,25.52,373700,25.4424
2015-03-03,25.60,25.66,25.44,25.60,601600,25.52216
2015-03-02,25.43,25.72,25.29,25.64,461900,25.56204
2015-02-27,25.37,26.00,25.25,25.43,791600,25.35268
