Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,30.75,30.91,29.79,29.87,67700,29.87
2015-04-29,31.23,31.48,31.00,31.02,29800,31.02
2015-04-28,31.17,31.75,31.17,31.68,32100,31.68
2015-04-27,31.54,31.73,30.90,31.06,52800,31.06
2015-04-24,31.60,31.75,31.26,31.49,21400,31.49
2015-04-23,31.50,31.68,31.46,31.52,9800,31.52
2015-04-22,31.30,31.70,30.85,31.57,25400,31.57
2015-04-21,32.11,32.11,31.39,31.54,29000,31.54
2015-04-20,31.88,32.59,31.71,31.90,39300,31.90
2015-04-17,32.21,32.21,31.50,31.78,29600,31.78
2015-04-16,32.32,32.60,32.31,32.46,20200,32.46
2015-04-15,32.24,32.65,32.24,32.49,30000,32.49
2015-04-14,31.88,32.19,31.69,32.16,31100,32.16
2015-04-13,32.07,32.24,31.82,31.85,48100,31.85
2015-04-10,32.25,32.25,31.71,31.91,21300,31.91
2015-04-09,32.33,32.37,31.45,32.04,23700,32.04
2015-04-08,31.68,32.50,31.68,32.29,62900,32.29
2015-04-07,32.39,32.59,31.76,31.84,47800,31.84
2015-04-06,31.90,32.65,31.90,32.59,35900,32.59
2015-04-02,31.95,32.22,31.75,32.22,28200,32.22
2015-04-01,31.52,32.00,31.41,31.87,40200,31.87
2015-03-31,31.67,31.94,31.14,31.77,27300,31.77
2015-03-30,31.33,31.86,31.01,31.74,55000,31.74
2015-03-27,30.94,31.19,30.58,31.04,43600,31.04
2015-03-26,30.99,31.24,30.62,31.01,52600,31.01
2015-03-25,31.50,31.62,30.74,30.97,40800,30.97
2015-03-24,31.51,31.71,31.25,31.51,37800,31.51
2015-03-23,31.40,31.75,30.98,31.62,42700,31.62
2015-03-20,30.81,31.50,30.59,31.47,110100,31.47
2015-03-19,30.37,30.57,30.19,30.46,35200,30.46
2015-03-18,30.38,30.61,29.86,30.48,34200,30.48
2015-03-17,30.06,30.37,29.55,30.21,42900,30.21
2015-03-16,29.90,30.55,29.80,30.21,35800,30.21
2015-03-13,29.92,30.02,29.23,29.64,32200,29.64
2015-03-12,28.90,30.21,28.90,29.96,46100,29.96
2015-03-11,28.32,28.74,28.15,28.62,26100,28.62
2015-03-10,28.16,28.57,28.16,28.37,26300,28.37
2015-03-09,28.38,28.72,28.26,28.37,29300,28.37
2015-03-06,28.16,28.78,28.16,28.26,50200,28.26
2015-03-05,28.58,28.70,28.27,28.34,32800,28.34
2015-03-04,28.46,28.79,28.40,28.51,27100,28.51
2015-03-03,28.62,28.96,28.51,28.68,30900,28.68
2015-03-02,28.89,29.03,28.54,28.80,21900,28.80
2015-02-27,28.91,29.23,28.80,28.84,37000,28.84
2015-02-26,28.62,29.06,28.33,28.91,31000,28.91
2015-02-25,28.89,29.29,28.69,28.73,17000,28.53
2015-02-24,29.18,29.35,28.81,29.02,24200,28.81798
2015-02-23,29.06,29.10,28.70,28.99,35000,28.78819
2015-02-20,29.63,29.63,28.82,29.12,40800,28.91729
2015-02-19,28.90,29.91,28.81,29.56,29100,29.35422
2015-02-18,29.68,29.75,28.81,29.05,35300,28.84777
2015-02-17,30.00,30.84,29.58,29.82,33700,29.61241
2015-02-13,29.41,29.62,29.23,29.52,29100,29.3145
2015-02-12,29.34,29.84,29.19,29.30,35000,29.09603
2015-02-11,29.14,29.85,28.61,29.33,28400,29.12582
2015-02-10,29.82,29.82,29.22,29.31,40200,29.10596
2015-02-09,30.34,30.34,29.19,29.56,39400,29.35422
2015-02-06,30.91,30.91,30.37,30.45,44300,30.23803
2015-02-05,30.29,30.99,29.94,30.83,48500,30.61538
2015-02-04,29.67,30.44,29.67,30.26,82500,30.04935
2015-02-03,29.09,30.02,29.09,29.73,45400,29.52304
2015-02-02,28.39,29.50,27.98,29.05,50100,28.84777
2015-01-30,28.98,29.49,27.85,27.94,54800,27.7455
2015-01-29,28.32,29.28,28.19,29.28,58300,29.07617
2015-01-28,29.25,29.25,28.19,28.35,35600,28.15265
2015-01-27,28.83,29.43,28.60,29.15,22800,28.94708
2015-01-26,28.74,29.18,28.04,29.09,35200,28.8875
2015-01-23,29.00,29.21,28.57,28.84,46000,28.63923
2015-01-22,28.06,29.27,27.79,28.90,110900,28.69882
2015-01-21,28.21,28.34,27.60,27.78,20100,27.58661
2015-01-20,28.78,29.37,28.07,28.32,22200,28.12285
2015-01-16,27.62,28.94,27.62,28.87,36500,28.66903
2015-01-15,27.64,28.02,27.57,27.69,25000,27.49724
2015-01-14,28.02,28.38,27.74,28.04,11200,27.8448
2015-01-13,28.45,28.89,27.73,28.36,65900,28.16258
2015-01-12,28.30,28.74,27.91,28.20,30600,28.00369
2015-01-09,29.13,29.13,28.34,28.40,22900,28.2023
2015-01-08,28.94,29.37,28.80,29.09,66900,28.8875
2015-01-07,28.57,28.88,28.25,28.70,48700,28.50021
2015-01-06,28.81,28.96,28.19,28.29,44300,28.09307
2015-01-05,28.81,29.32,28.76,28.77,36600,28.56972
2015-01-02,30.01,30.02,28.82,28.98,37200,28.77826
