Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,24.58,25.49,24.54,25.41,37200,25.41
2015-04-30,26.13,26.40,24.30,24.56,48900,24.56
2015-04-29,26.55,27.09,26.08,26.14,34700,26.14
2015-04-28,26.67,27.37,26.05,26.72,48400,26.72
2015-04-27,28.99,29.08,26.53,26.77,58300,26.77
2015-04-24,28.83,28.98,28.13,28.96,46900,28.96
2015-04-23,28.34,28.97,27.70,28.68,41000,28.68
2015-04-22,28.70,28.93,27.74,28.35,21800,28.35
2015-04-21,27.98,28.64,27.85,28.57,36600,28.57
2015-04-20,27.05,27.80,27.05,27.73,56100,27.73
2015-04-17,27.30,27.83,26.91,27.00,45900,27.00
2015-04-16,28.31,28.41,27.59,27.61,53400,27.61
2015-04-15,27.55,28.44,26.80,28.24,57900,28.24
2015-04-14,27.51,27.63,27.24,27.52,51600,27.52
2015-04-13,27.01,27.98,26.83,27.63,31700,27.63
2015-04-10,26.75,27.24,26.39,26.99,51100,26.99
2015-04-09,26.60,26.88,25.60,26.74,49700,26.74
2015-04-08,25.16,26.67,25.16,26.51,39400,26.51
2015-04-07,25.75,26.73,25.01,25.07,100500,25.07
2015-04-06,27.25,27.68,24.80,25.68,124700,25.68
2015-04-02,27.97,28.53,27.24,27.43,48200,27.43
2015-04-01,27.70,28.00,27.16,27.99,47900,27.99
2015-03-31,27.09,27.82,26.78,27.69,48600,27.69
2015-03-30,27.30,27.81,26.80,27.31,37200,27.31
2015-03-27,26.10,27.54,26.10,27.20,43000,27.20
2015-03-26,26.55,27.61,25.77,26.01,84600,26.01
2015-03-25,29.00,29.00,27.03,27.11,28300,27.11
2015-03-24,28.25,29.00,28.00,28.90,26600,28.90
2015-03-23,28.51,29.02,28.04,28.44,47800,28.44
2015-03-20,28.65,29.00,27.76,28.53,95800,28.53
2015-03-19,28.77,29.24,28.46,28.66,74300,28.66
2015-03-18,27.95,29.00,27.57,28.89,58700,28.89
2015-03-17,28.32,29.14,27.68,27.97,88000,27.97
2015-03-16,28.84,29.48,28.20,28.31,106100,28.31
2015-03-13,28.56,29.12,28.27,28.56,42600,28.56
2015-03-12,28.68,29.13,28.07,28.70,72500,28.70
2015-03-11,28.00,29.00,27.89,28.37,69200,28.37
2015-03-10,28.53,28.90,28.00,28.05,78800,28.05
2015-03-09,28.33,29.70,28.14,28.98,81900,28.98
2015-03-06,29.07,29.39,28.31,28.43,34300,28.43
2015-03-05,29.09,29.60,28.15,29.30,32800,29.30
2015-03-04,29.19,29.50,28.93,29.14,34300,29.14
2015-03-03,29.15,29.82,28.85,29.36,45200,29.36
2015-03-02,30.31,30.83,29.04,29.44,93000,29.44
2015-02-27,30.58,31.06,30.21,30.45,28100,30.45
2015-02-26,31.22,31.50,30.73,30.74,38000,30.74
2015-02-25,31.24,31.50,31.00,31.13,27600,31.13
2015-02-24,31.35,31.88,30.20,31.24,26700,31.24
2015-02-23,31.30,31.50,30.78,31.37,38300,31.37
2015-02-20,31.35,32.14,31.16,31.31,41000,31.31
2015-02-19,31.85,31.98,31.08,31.39,38000,31.39
2015-02-18,31.75,31.80,31.22,31.79,38000,31.79
2015-02-17,31.95,31.99,30.58,31.74,107000,31.74
2015-02-13,30.00,30.91,29.96,30.27,79800,30.27
2015-02-12,29.51,30.50,29.46,30.20,54900,30.20
2015-02-11,30.00,31.99,29.04,29.97,138800,29.97
2015-02-10,27.58,28.05,26.86,27.67,64300,27.67
2015-02-09,28.08,28.17,27.27,27.42,45700,27.42
2015-02-06,28.47,29.60,28.15,28.32,54000,28.32
2015-02-05,28.17,29.23,28.09,28.55,34700,28.55
2015-02-04,27.90,28.83,27.80,28.13,25000,28.13
2015-02-03,27.50,28.48,25.43,28.18,40700,28.18
2015-02-02,27.59,27.72,25.95,27.50,101000,27.50
2015-01-30,28.86,29.38,27.42,27.80,40800,27.80
2015-01-29,29.45,29.45,28.82,29.00,34300,29.00
2015-01-28,29.92,30.15,29.00,29.11,50400,29.11
2015-01-27,29.03,30.51,28.25,29.65,31700,29.65
2015-01-26,29.30,29.64,28.91,29.35,65200,29.35
2015-01-23,29.52,29.74,29.10,29.30,64800,29.30
2015-01-22,28.72,29.95,28.45,29.61,36200,29.61
2015-01-21,28.92,29.44,27.70,28.54,31600,28.54
2015-01-20,29.50,29.50,28.84,28.96,54800,28.96
2015-01-16,28.27,29.30,28.27,28.99,36400,28.99
2015-01-15,29.94,29.94,28.00,28.41,90600,28.41
2015-01-14,29.63,30.42,29.57,29.80,58500,29.80
2015-01-13,28.96,30.33,28.86,30.15,190400,30.15
2015-01-12,27.89,28.75,27.43,28.67,79100,28.67
2015-01-09,27.74,28.02,27.24,27.88,111500,27.88
2015-01-08,27.65,27.85,27.14,27.74,83100,27.74
2015-01-07,25.34,27.38,25.01,27.26,48300,27.26
2015-01-06,27.39,27.45,25.73,26.59,51600,26.59
2015-01-05,27.80,28.08,27.12,27.24,73700,27.24
2015-01-02,28.71,28.73,26.63,27.89,55000,27.89
2014-12-31,28.39,28.70,27.95,28.40,65600,28.40
2014-12-30,27.26,28.39,26.64,28.19,68200,28.19
2014-12-29,26.70,27.27,25.94,27.21,46800,27.21
2014-12-26,26.03,26.85,25.90,26.68,36000,26.68
2014-12-24,25.46,26.19,25.46,25.88,51100,25.88
2014-12-23,24.12,26.00,22.31,25.42,86500,25.42
