Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,21.62,21.86,21.41,21.46,521400,21.46
2015-04-30,21.95,22.21,21.55,21.60,1454300,21.60
2015-04-29,22.04,22.19,21.97,22.03,333200,22.03
2015-04-28,21.77,22.12,21.71,22.10,356500,22.10
2015-04-27,21.92,21.97,21.46,21.72,624800,21.72
2015-04-24,22.15,22.20,21.90,21.94,491000,21.94
2015-04-23,22.27,22.31,21.95,22.22,561900,22.22
2015-04-22,22.16,22.42,22.00,22.28,322900,22.28
2015-04-21,22.37,22.53,22.16,22.26,391900,22.26
2015-04-20,22.03,22.41,22.03,22.24,348000,22.24
2015-04-17,22.16,22.19,21.86,21.95,584400,21.95
2015-04-16,22.17,22.75,21.87,22.34,559000,22.34
2015-04-15,21.92,22.70,21.92,22.39,974900,22.39
2015-04-14,21.69,21.81,21.44,21.77,259000,21.77
2015-04-13,21.58,21.86,21.58,21.76,211900,21.76
2015-04-10,21.66,21.72,21.53,21.64,203000,21.64
2015-04-09,21.65,21.72,21.35,21.61,230900,21.61
2015-04-08,21.58,21.76,21.50,21.70,255800,21.70
2015-04-07,21.66,21.80,21.55,21.59,270500,21.59
2015-04-06,21.58,21.81,21.31,21.70,646900,21.70
2015-04-02,21.57,21.87,21.51,21.82,540600,21.82
2015-04-01,21.73,22.00,21.30,21.61,401500,21.61
2015-03-31,21.69,21.87,21.58,21.81,337900,21.81
2015-03-30,21.56,21.91,21.56,21.83,341600,21.83
2015-03-27,21.54,21.54,21.28,21.45,360900,21.45
2015-03-26,21.72,21.86,21.48,21.58,540200,21.58
2015-03-25,21.98,22.03,21.71,21.77,474900,21.77
2015-03-24,21.98,22.10,21.74,21.99,489500,21.99
2015-03-23,22.14,22.26,21.90,22.00,486800,22.00
2015-03-20,21.96,22.23,21.11,22.14,1045700,22.14
2015-03-19,21.78,21.94,21.54,21.86,596600,21.86
2015-03-18,21.87,22.10,21.76,21.90,590700,21.90
2015-03-17,21.73,22.03,21.57,21.99,557300,21.99
2015-03-16,21.80,22.01,21.65,21.85,740600,21.85
2015-03-13,21.59,21.76,21.20,21.68,609000,21.68
2015-03-12,21.29,21.67,21.07,21.65,503300,21.65
2015-03-11,20.95,21.16,20.77,21.13,414500,21.13
2015-03-10,21.34,21.50,20.89,20.90,324900,20.90
2015-03-09,21.17,21.51,21.17,21.50,595700,21.50
2015-03-06,20.92,21.63,20.92,21.10,656300,21.10
2015-03-05,21.22,21.25,20.83,21.13,326400,21.13
2015-03-04,21.20,21.22,20.93,21.16,316300,21.16
2015-03-03,21.30,21.39,21.10,21.25,420700,21.25
2015-03-02,21.14,21.36,20.94,21.35,539600,21.35
2015-02-27,21.14,21.31,20.99,21.12,512700,21.12
2015-02-26,21.03,21.17,20.85,21.17,232600,21.17
2015-02-25,21.06,21.19,20.96,21.08,321400,21.08
2015-02-24,20.94,21.20,20.92,21.11,280100,21.11
2015-02-23,20.92,20.94,20.64,20.93,321200,20.93
2015-02-20,20.83,21.06,20.47,20.96,1079700,20.96
2015-02-19,20.90,21.03,20.63,20.83,423300,20.83
2015-02-18,21.20,21.27,20.95,20.99,475900,20.99
2015-02-17,21.19,21.30,21.05,21.21,283500,21.21
2015-02-13,21.05,21.25,20.95,21.13,278400,21.13
2015-02-12,20.82,21.12,20.73,21.06,236800,21.06
2015-02-11,20.79,20.84,20.62,20.73,316900,20.73
2015-02-10,20.97,20.97,20.59,20.86,237600,20.86
2015-02-09,21.03,21.09,20.76,20.77,336700,20.77
2015-02-06,20.97,21.35,20.92,21.14,455700,21.14
2015-02-05,20.61,21.00,20.61,20.89,477400,20.89
2015-02-04,20.63,20.97,20.45,20.52,391200,20.52
2015-02-03,20.35,20.83,20.35,20.78,677500,20.78
2015-02-02,19.95,20.34,19.87,20.31,636700,20.31
2015-01-30,20.14,20.29,19.84,19.86,752100,19.86
2015-01-29,20.06,20.38,19.97,20.34,468400,20.34
2015-01-28,20.69,20.76,20.07,20.12,803200,19.99
2015-01-27,20.49,20.75,20.35,20.58,476700,20.44703
2015-01-26,20.53,20.98,20.20,20.79,637200,20.65567
2015-01-23,21.02,21.04,20.41,20.59,569300,20.45696
2015-01-22,20.23,21.07,20.11,21.06,730700,20.92393
2015-01-21,20.03,20.29,19.85,20.04,597300,19.91052
2015-01-20,20.18,20.29,19.87,20.01,885100,19.88071
2015-01-16,19.83,20.18,19.72,20.09,1155800,19.96019
2015-01-15,20.26,20.44,19.89,19.90,1243300,19.77142
2015-01-14,20.73,20.73,20.17,20.36,538300,20.22845
2015-01-13,21.02,21.34,20.60,20.84,542500,20.70535
2015-01-12,20.94,21.05,20.62,20.80,581600,20.66561
2015-01-09,21.60,21.61,21.00,21.00,536400,20.86432
2015-01-08,21.57,21.76,21.47,21.62,1223300,21.48031
2015-01-07,21.51,21.66,21.14,21.39,666100,21.25179
2015-01-06,21.56,21.68,21.12,21.21,648900,21.07296
2015-01-05,21.77,21.94,21.53,21.53,619900,21.39089
2015-01-02,22.32,22.32,21.67,21.94,389700,21.79824
2014-12-31,22.46,22.54,22.13,22.15,355700,22.00688
2014-12-30,22.36,22.56,22.21,22.37,231300,22.22546
2014-12-29,22.24,22.65,22.24,22.49,423300,22.34469
2014-12-26,22.29,22.33,22.18,22.22,266800,22.07643
2014-12-24,22.16,22.26,22.00,22.17,170300,22.02675
2014-12-23,22.24,22.28,22.00,22.17,769400,22.02675
2014-12-22,22.15,22.22,21.93,22.07,645800,21.9274
2014-12-19,22.18,22.26,21.91,22.14,2753500,21.99695
2014-12-18,22.51,22.65,21.95,22.22,780000,22.07643
2014-12-17,21.75,22.23,21.53,22.22,686100,22.07643
2014-12-16,21.56,21.96,21.50,21.71,606300,21.56973
2014-12-15,21.97,22.02,21.51,21.65,668800,21.51011
2014-12-12,21.62,22.10,21.62,21.92,795000,21.77837
2014-12-11,21.73,22.04,21.73,21.89,499700,21.74856
2014-12-10,22.14,22.19,21.62,21.66,628600,21.52005
2014-12-09,21.63,22.29,21.52,22.27,366100,22.12611
2014-12-08,22.10,22.42,21.79,21.89,407200,21.74856
2014-12-05,22.02,22.48,22.02,22.16,453900,22.01682
2014-12-04,21.77,21.95,21.69,21.92,530100,21.77837
2014-12-03,21.90,22.00,21.67,21.85,561800,21.70882
2014-12-02,21.43,21.98,21.39,21.90,404600,21.7585
2014-12-01,21.52,21.68,21.26,21.41,419400,21.27167
2014-11-28,22.10,22.10,21.64,21.64,205400,21.50018
2014-11-26,22.07,22.14,21.77,22.08,233200,21.93734
2014-11-25,22.05,22.15,21.96,22.10,176300,21.95721
2014-11-24,21.83,22.05,21.57,22.05,296800,21.90753
2014-11-21,22.16,22.16,21.68,21.77,324800,21.62934
2014-11-20,21.59,21.98,21.31,21.97,235000,21.82805
2014-11-19,21.92,21.94,21.17,21.76,426000,21.6194
2014-11-18,21.79,22.05,21.72,21.95,452600,21.80818
2014-11-17,21.75,21.93,21.57,21.77,363400,21.62934
2014-11-14,21.91,22.14,21.76,21.77,379900,21.62934
2014-11-13,22.22,22.22,21.84,21.91,219600,21.76843
2014-11-12,21.78,22.18,21.78,22.15,299600,22.00688
2014-11-11,22.04,22.16,21.84,21.89,287400,21.74856
2014-11-10,21.82,22.06,21.82,22.06,235300,21.91747
2014-11-07,21.70,21.91,21.59,21.81,254400,21.66908
2014-11-06,21.74,21.94,21.47,21.78,307200,21.63928
2014-11-05,21.63,21.96,21.53,21.72,244200,21.57966
2014-11-04,21.63,21.69,21.35,21.51,355700,21.37102
2014-11-03,21.80,22.03,21.60,21.64,458800,21.50018
2014-10-31,21.96,21.99,21.52,21.83,560800,21.68895
2014-10-30,21.25,21.58,21.10,21.52,491000,21.38095
2014-10-29,21.47,21.57,21.10,21.34,543800,21.20212
2014-10-28,20.65,21.50,20.54,21.44,612000,21.30147
2014-10-27,20.51,20.63,20.36,20.59,372500,20.45696
2014-10-24,20.61,20.74,20.49,20.62,327700,20.48677
2014-10-23,20.92,20.99,20.56,20.61,521500,20.47684
2014-10-22,20.75,21.00,20.62,20.64,454100,20.50664
2014-10-21,20.50,20.85,20.50,20.77,569900,20.6358
2014-10-20,20.25,20.53,20.17,20.40,348400,20.26819
2014-10-17,20.61,20.61,20.23,20.36,551700,20.22845
2014-10-16,19.63,20.42,19.62,20.33,585300,20.19864
2014-10-15,19.88,20.15,19.52,19.95,844900,19.8211
2014-10-14,20.12,20.56,20.02,20.26,635000,20.1291
2014-10-13,19.76,20.20,19.60,19.95,505600,19.8211
2014-10-10,19.57,20.08,19.57,19.72,550200,19.59258
2014-10-09,20.09,20.15,19.67,19.67,1023200,19.54291
2014-10-08,19.75,20.19,19.67,20.17,556200,20.03968
2014-10-07,20.00,20.02,19.79,19.80,953600,19.67207
2014-10-06,20.01,20.22,19.79,20.09,1275800,19.96019
2014-10-03,20.20,20.21,19.90,19.99,845800,19.86084
2014-10-02,19.87,20.12,19.70,20.00,1003600,19.87078
2014-10-01,20.16,20.42,19.75,19.86,1624100,19.73168
2014-09-30,20.57,20.65,20.35,20.36,631900,20.0824
2014-09-29,20.38,20.67,20.36,20.60,342400,20.31913
2014-09-26,20.38,20.62,20.33,20.62,431300,20.33886
2014-09-25,20.64,20.70,20.28,20.36,413100,20.0824
2014-09-24,20.65,20.77,20.47,20.71,490600,20.42763
2014-09-23,20.86,20.98,20.58,20.59,564700,20.30926
2014-09-22,21.01,21.16,20.88,20.91,570800,20.6249
2014-09-19,21.38,21.46,21.01,21.08,1968400,20.79258
2014-09-18,21.29,21.45,21.17,21.37,481100,21.07863
2014-09-17,21.28,21.58,21.15,21.22,773700,20.93067
2014-09-16,21.38,21.57,21.18,21.27,523300,20.97999
2014-09-15,21.68,21.68,21.27,21.39,351400,21.09835
2014-09-12,21.72,21.87,21.41,21.64,384700,21.34495
2014-09-11,21.50,21.88,21.31,21.70,439400,21.40413
2014-09-10,21.11,21.61,20.94,21.60,793900,21.30549
2014-09-09,21.71,21.71,21.32,21.34,511500,21.04904
2014-09-08,21.76,21.93,21.64,21.80,391400,21.50276
2014-09-05,21.56,21.86,21.44,21.84,278100,21.54222
2014-09-04,21.78,21.91,21.59,21.64,217700,21.34495
2014-09-03,22.05,22.20,21.70,21.74,343900,21.44358
2014-09-02,21.86,22.13,21.72,21.99,571600,21.69017
2014-08-29,21.59,21.76,21.46,21.75,259600,21.45345
2014-08-28,21.56,21.69,21.39,21.57,224300,21.2759
