Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,26.85,27.32,26.82,27.26,944600,27.26
2015-04-30,27.29,27.40,26.56,26.87,1344300,26.87
2015-04-29,28.01,28.05,27.43,27.45,933900,27.45
2015-04-28,27.98,28.43,27.72,28.15,1191500,28.15
2015-04-27,29.50,30.05,27.42,27.85,2840900,27.85
2015-04-24,30.24,30.30,29.22,29.58,1306400,29.58
2015-04-23,30.28,30.84,29.96,30.26,1923500,30.26
2015-04-22,31.29,31.29,29.45,30.29,1454500,30.29
2015-04-21,30.95,31.52,30.79,31.40,779400,31.40
2015-04-20,30.62,30.99,30.62,30.84,623800,30.84
2015-04-17,30.55,30.70,30.23,30.50,468300,30.50
2015-04-16,31.19,31.38,30.67,30.70,569700,30.70
2015-04-15,31.37,31.62,30.99,31.28,455800,31.23
2015-04-14,30.92,31.45,30.72,31.29,599000,31.23998
2015-04-13,31.05,31.31,30.83,30.92,461200,30.87057
2015-04-10,30.53,31.17,30.40,31.01,755600,30.96043
2015-04-09,30.32,30.47,30.06,30.44,565500,30.39134
2015-04-08,30.04,30.28,29.64,30.24,877300,30.19166
2015-04-07,29.68,30.20,29.64,29.96,464100,29.91211
2015-04-06,30.10,30.34,29.83,29.90,734600,29.85221
2015-04-02,31.49,31.53,30.21,30.24,826900,30.19166
2015-04-01,31.29,31.70,30.91,31.42,695300,31.36978
2015-03-31,30.75,31.55,30.57,31.41,948900,31.35979
2015-03-30,30.92,31.08,30.67,30.89,555800,30.84062
2015-03-27,30.90,30.90,30.39,30.64,852800,30.59102
2015-03-26,31.58,31.58,30.54,30.98,1009900,30.93048
2015-03-25,32.26,32.34,31.65,31.76,662400,31.70923
2015-03-24,32.58,32.68,32.13,32.22,411200,32.1685
2015-03-23,33.07,33.20,32.46,32.48,443800,32.42808
2015-03-20,33.24,33.30,32.82,33.09,852000,33.03711
2015-03-19,32.85,33.42,32.73,33.13,630900,33.07704
2015-03-18,32.43,32.93,32.31,32.84,497200,32.78751
2015-03-17,32.44,32.67,32.15,32.51,353100,32.45803
2015-03-16,32.17,32.97,31.94,32.49,604000,32.43807
2015-03-13,32.17,32.22,31.63,31.94,425200,31.88894
2015-03-12,32.11,32.31,31.79,32.19,765400,32.13854
2015-03-11,30.61,32.03,30.34,31.86,1221600,31.80907
2015-03-10,30.95,31.04,30.53,30.64,525800,30.59102
2015-03-09,31.28,31.38,31.09,31.18,515200,31.13016
2015-03-06,31.41,31.65,31.11,31.22,596500,31.1701
2015-03-05,31.19,31.66,30.94,31.51,349200,31.45963
2015-03-04,31.35,31.36,31.02,31.22,316900,31.1701
2015-03-03,31.94,31.94,31.23,31.44,454200,31.38974
2015-03-02,32.13,32.32,31.72,31.96,631400,31.90891
2015-02-27,32.00,32.27,31.79,32.07,689400,32.01874
2015-02-26,31.88,32.21,31.75,32.04,334200,31.98878
2015-02-25,32.34,32.46,31.74,31.84,745300,31.7891
2015-02-24,32.26,32.65,31.88,32.34,1158900,32.28831
2015-02-23,31.75,31.83,31.37,31.77,533100,31.71922
2015-02-20,31.58,31.95,31.25,31.69,504400,31.63935
2015-02-19,32.15,32.15,31.26,31.55,756900,31.49957
2015-02-18,30.81,31.29,30.70,31.26,574800,31.21003
2015-02-17,31.00,31.32,30.73,31.10,497200,31.05029
2015-02-13,30.52,31.10,30.36,31.06,498000,31.01035
2015-02-12,29.88,30.60,29.69,30.56,677900,30.51115
2015-02-11,29.30,29.84,29.07,29.78,422500,29.7324
2015-02-10,29.13,29.38,28.88,29.37,248100,29.32305
2015-02-09,28.92,29.12,28.59,28.87,598500,28.82385
2015-02-06,29.33,29.42,29.01,29.12,324000,29.07345
2015-02-05,28.94,29.59,28.91,29.20,407900,29.15333
2015-02-04,29.10,29.13,28.70,28.76,434200,28.71403
2015-02-03,28.77,29.22,28.70,29.15,796000,29.1034
2015-02-02,28.08,28.79,28.08,28.73,1065500,28.68407
2015-01-30,29.26,29.70,28.37,28.53,1124900,28.4844
2015-01-29,30.13,30.35,28.95,29.25,1037100,29.20325
2015-01-28,31.09,31.27,29.97,30.10,611700,30.05189
2015-01-27,30.31,30.87,30.14,30.75,476800,30.70085
2015-01-26,30.45,30.78,30.13,30.76,490100,30.71083
2015-01-23,30.57,30.77,30.19,30.49,442400,30.44126
2015-01-22,29.99,30.70,29.74,30.66,515200,30.61099
2015-01-21,30.50,30.62,29.59,29.73,483500,29.68248
2015-01-20,30.83,30.98,30.23,30.52,605200,30.47121
2015-01-16,29.98,30.29,29.78,30.23,544300,30.18168
2015-01-15,30.61,30.79,30.09,30.09,465600,30.0419
2015-01-14,30.32,30.84,30.05,30.48,394700,30.43128
2015-01-13,30.72,31.09,30.12,30.88,624100,30.83064
2015-01-12,30.08,30.47,29.91,30.39,436300,30.34142
2015-01-09,30.56,30.82,29.93,29.96,374300,29.91211
2015-01-08,30.04,30.66,29.94,30.53,665600,30.4812
2015-01-07,29.89,30.03,29.54,29.87,509800,29.82225
2015-01-06,30.53,30.67,29.61,29.74,679000,29.69246
2015-01-05,31.09,31.09,30.44,30.49,461400,30.44126
2015-01-02,31.34,31.55,30.57,31.13,291000,31.08024
2014-12-31,31.32,31.69,31.15,31.15,360300,31.10021
2014-12-30,31.31,31.59,31.07,31.19,415400,31.09023
2014-12-29,31.42,31.66,31.30,31.34,218100,31.23974
2014-12-26,31.34,31.71,31.34,31.46,230100,31.35936
2014-12-24,31.30,31.52,31.24,31.26,203800,31.16
2014-12-23,31.11,31.33,30.81,31.27,326200,31.16997
2014-12-22,30.94,31.18,30.77,30.94,292600,30.84102
2014-12-19,31.17,31.43,30.88,30.89,922100,30.79118
2014-12-18,31.06,31.25,30.80,31.09,597400,30.99054
2014-12-17,30.64,30.86,29.99,30.84,798000,30.74134
2014-12-16,30.49,30.99,30.22,30.68,784100,30.58186
2014-12-15,30.45,30.99,30.38,30.56,683200,30.46224
2014-12-12,30.06,30.61,29.91,30.38,580100,30.28281
2014-12-11,30.28,30.69,30.28,30.34,499300,30.24294
2014-12-10,30.00,30.36,29.68,30.16,677800,30.06352
2014-12-09,29.97,30.36,29.31,30.14,822200,30.04358
2014-12-08,30.69,30.81,30.13,30.38,554100,30.28281
2014-12-05,30.98,31.33,30.63,30.81,674400,30.71144
2014-12-04,30.89,31.12,30.76,30.98,593100,30.8809
2014-12-03,30.69,31.08,30.49,30.98,701100,30.8809
2014-12-02,30.40,30.79,30.01,30.63,446400,30.53201
2014-12-01,31.04,31.12,30.25,30.43,698900,30.33265
2014-11-28,30.51,31.30,30.43,31.02,468600,30.92077
2014-11-26,30.05,30.53,29.92,30.33,559900,30.23298
2014-11-25,30.36,31.64,29.82,30.07,1073200,29.97381
2014-11-24,29.11,29.45,29.11,29.43,485200,29.33585
2014-11-21,29.03,29.39,28.70,29.08,539400,28.98697
2014-11-20,28.27,28.76,28.23,28.74,281700,28.64806
2014-11-19,28.32,28.56,28.02,28.45,505200,28.35899
2014-11-18,28.37,28.76,28.18,28.39,650500,28.29918
2014-11-17,28.37,28.56,28.29,28.40,415300,28.30915
2014-11-14,28.62,28.84,28.23,28.50,441200,28.40883
2014-11-13,28.58,28.70,28.33,28.66,318200,28.56832
2014-11-12,28.29,28.63,28.21,28.57,517200,28.47861
2014-11-11,28.31,28.48,28.23,28.43,274100,28.33905
2014-11-10,28.29,28.48,28.17,28.34,357700,28.24934
2014-11-07,28.38,28.49,28.14,28.29,545900,28.1995
2014-11-06,27.89,28.37,27.66,28.36,424900,28.26928
2014-11-05,28.05,28.47,27.75,27.89,599000,27.80078
2014-11-04,27.63,28.32,27.62,27.91,531600,27.82072
2014-11-03,27.52,27.84,27.37,27.74,615200,27.65126
2014-10-31,27.42,27.65,27.20,27.54,1004900,27.4519
2014-10-30,26.89,27.13,26.71,27.12,658300,27.03325
2014-10-29,26.80,27.49,26.75,26.98,956400,26.89369
2014-10-28,26.63,26.85,26.40,26.77,452200,26.68436
2014-10-27,25.67,26.52,25.50,26.48,811900,26.39529
