Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,4.20,4.37,4.20,4.33,6000,4.33
2015-04-30,4.35,4.69,4.20,4.26,158100,4.26
2015-04-29,4.29,4.30,4.11,4.15,33000,4.15
2015-04-28,4.35,4.53,4.29,4.30,29200,4.30
2015-04-27,4.59,4.69,4.32,4.33,60200,4.33
2015-04-24,4.55,4.70,4.55,4.62,6600,4.62
2015-04-23,4.68,4.78,4.57,4.57,24300,4.57
2015-04-22,4.71,4.73,4.64,4.66,8000,4.66
2015-04-21,4.73,4.78,4.55,4.74,70400,4.74
2015-04-20,4.93,4.93,4.51,4.63,63200,4.63
2015-04-17,4.66,4.79,4.51,4.74,30300,4.74
2015-04-16,4.62,4.82,4.56,4.63,76800,4.63
2015-04-15,4.80,4.80,4.66,4.66,18800,4.66
2015-04-14,4.74,4.91,4.55,4.68,100500,4.68
2015-04-13,4.70,4.75,4.59,4.69,30200,4.69
2015-04-10,4.46,4.75,4.43,4.68,57800,4.68
2015-04-09,4.52,4.59,4.44,4.47,10100,4.47
2015-04-08,4.50,4.60,4.43,4.48,30300,4.48
2015-04-07,4.41,4.61,4.38,4.46,56700,4.46
2015-04-06,4.34,4.46,4.31,4.34,12200,4.34
2015-04-02,4.30,4.41,4.15,4.31,37200,4.31
2015-04-01,4.49,4.49,4.20,4.43,44400,4.43
2015-03-31,4.46,4.56,4.30,4.53,90000,4.53
2015-03-30,4.44,4.58,4.30,4.51,29000,4.51
2015-03-27,4.28,4.68,4.24,4.35,114200,4.35
2015-03-26,4.78,5.05,4.33,4.38,1203200,4.38
2015-03-25,4.24,4.24,4.10,4.10,43000,4.10
2015-03-24,4.20,4.25,4.15,4.15,18300,4.15
2015-03-23,4.06,4.31,4.06,4.30,64200,4.30
2015-03-20,4.09,4.19,3.98,4.17,36600,4.17
2015-03-19,3.99,4.17,3.79,4.11,96600,4.11
2015-03-18,4.08,4.21,4.01,4.02,42800,4.02
2015-03-17,5.05,5.05,3.96,4.18,267700,4.18
2015-03-16,5.07,5.07,4.35,4.80,89200,4.80
2015-03-13,4.74,5.10,4.55,4.95,155800,4.95
2015-03-12,4.50,4.85,4.50,4.72,58000,4.72
2015-03-11,4.49,4.57,4.38,4.50,66400,4.50
2015-03-10,4.53,4.60,4.35,4.47,76500,4.47
2015-03-09,4.75,4.83,4.52,4.65,80200,4.65
2015-03-06,4.93,4.93,4.40,4.71,207300,4.71
2015-03-05,4.83,4.89,4.60,4.74,86100,4.74
2015-03-04,4.79,5.05,4.55,4.80,105400,4.80
2015-03-03,4.95,5.10,4.72,4.85,110900,4.85
2015-03-02,5.48,5.48,4.94,4.95,258500,4.95
2015-02-27,4.63,5.34,4.52,4.98,442700,4.98
2015-02-26,4.56,4.79,4.41,4.58,421200,4.58
2015-02-25,5.85,5.89,4.67,4.83,3783200,4.83
2015-02-24,4.50,4.53,4.10,4.21,117700,4.21
2015-02-23,4.55,4.65,4.38,4.58,91700,4.58
2015-02-20,4.38,4.81,4.35,4.58,130500,4.58
2015-02-19,4.95,5.36,4.61,4.77,963600,4.77
2015-02-18,4.60,5.50,4.42,5.00,982800,5.00
2015-02-17,4.71,4.99,4.40,4.60,815900,4.60
2015-02-13,3.37,4.45,3.23,4.40,603800,4.40
2015-02-12,3.37,3.38,3.36,3.38,600,3.38
2015-02-11,3.30,3.32,3.18,3.30,10700,3.30
2015-02-10,3.30,3.30,3.19,3.25,5100,3.25
2015-02-09,3.32,3.40,3.23,3.38,4800,3.38
2015-02-06,3.38,3.40,3.16,3.24,26300,3.24
2015-02-05,3.33,3.55,3.21,3.47,39500,3.47
2015-02-04,3.48,3.59,3.33,3.33,49400,3.33
2015-02-03,3.33,3.49,3.18,3.48,10200,3.48
2015-02-02,3.33,3.33,3.20,3.32,900,3.32
2015-01-30,3.21,3.34,3.21,3.34,2200,3.34
2015-01-29,3.18,3.33,3.12,3.12,9000,3.12
2015-01-28,3.30,3.32,3.13,3.13,17800,3.13
2015-01-27,3.28,3.30,3.10,3.17,13900,3.17
2015-01-26,3.15,3.28,3.15,3.23,2500,3.23
2015-01-23,3.07,3.32,3.07,3.10,5800,3.10
2015-01-22,3.05,3.32,3.05,3.08,19800,3.08
2015-01-21,3.46,3.46,3.10,3.16,17000,3.16
2015-01-20,3.49,3.55,3.14,3.30,50200,3.30
2015-01-16,3.36,3.58,3.35,3.50,3100,3.50
2015-01-15,3.40,3.59,3.40,3.57,4800,3.57
2015-01-14,3.63,3.64,3.48,3.64,6700,3.64
2015-01-13,3.66,3.68,3.48,3.66,12400,3.66
2015-01-12,3.67,3.68,3.41,3.62,33600,3.62
2015-01-09,3.44,3.61,3.34,3.53,64600,3.53
2015-01-08,3.34,3.41,3.11,3.35,19300,3.35
2015-01-07,3.45,3.45,3.10,3.33,10300,3.33
2015-01-06,3.37,3.47,3.30,3.40,22300,3.40
2015-01-05,3.27,3.49,3.17,3.33,23000,3.33
2015-01-02,3.05,3.33,2.95,3.19,24400,3.19
2014-12-31,3.21,3.28,2.85,3.00,298100,3.00
2014-12-30,3.22,3.40,3.10,3.15,84900,3.15
2014-12-29,3.24,3.36,3.10,3.20,12700,3.20
2014-12-26,3.31,3.34,3.20,3.23,8400,3.23
2014-12-24,3.32,3.37,3.25,3.30,10300,3.30
2014-12-23,3.45,3.45,3.21,3.33,26400,3.33
2014-12-22,3.20,3.50,3.20,3.45,14900,3.45
2014-12-19,3.48,3.49,3.10,3.16,62700,3.16
2014-12-18,3.49,3.50,3.18,3.18,33700,3.18
2014-12-17,3.35,3.47,3.16,3.26,487000,3.26
2014-12-16,3.46,3.54,3.25,3.32,130800,3.32
2014-12-15,3.50,3.72,3.45,3.50,30200,3.50
2014-12-12,3.49,3.58,3.36,3.51,13100,3.51
2014-12-11,3.29,3.57,3.29,3.54,24000,3.54
2014-12-10,3.55,3.58,3.38,3.49,55800,3.49
2014-12-09,3.38,3.63,3.38,3.59,22100,3.59
2014-12-08,3.44,3.61,3.44,3.49,25400,3.49
2014-12-05,3.46,3.64,3.40,3.51,47600,3.51
2014-12-04,3.64,3.73,3.48,3.50,221800,3.50
2014-12-03,3.53,3.90,3.48,3.50,178700,3.50
2014-12-02,3.65,3.70,3.42,3.53,127200,3.53
2014-12-01,3.93,3.93,3.60,3.70,56600,3.70
2014-11-28,3.76,3.90,3.70,3.76,52300,3.76
2014-11-26,4.03,4.03,3.71,3.96,39400,3.96
2014-11-25,3.69,4.02,3.67,3.80,83400,3.80
2014-11-24,3.99,4.02,3.68,3.72,38200,3.72
2014-11-21,3.90,4.00,3.85,3.98,32200,3.98
2014-11-20,4.15,4.15,3.66,3.83,38400,3.83
2014-11-19,3.98,3.98,3.84,3.87,3500,3.87
2014-11-18,3.89,4.19,3.89,3.89,41200,3.89
2014-11-17,4.18,4.18,3.86,3.86,118600,3.86
2014-11-14,4.10,4.10,3.99,4.06,88000,4.06
2014-11-13,4.08,4.10,3.95,4.00,81000,4.00
2014-11-12,4.13,4.28,3.98,4.02,84400,4.02
2014-11-11,4.01,4.20,3.95,4.10,81800,4.10
2014-11-10,4.17,4.20,3.92,3.99,38300,3.99
2014-11-07,4.17,4.25,4.17,4.20,21300,4.20
2014-11-06,4.09,4.15,3.89,4.15,83900,4.15
2014-11-05,4.24,4.24,3.90,4.05,56900,4.05
2014-11-04,4.03,4.22,4.00,4.08,23600,4.08
2014-11-03,4.25,4.31,4.02,4.05,36000,4.05
2014-10-31,4.32,4.32,4.09,4.29,78500,4.29
2014-10-30,4.00,4.33,4.00,4.32,39500,4.32
2014-10-29,4.27,4.34,4.04,4.29,161500,4.29
2014-10-28,4.17,4.30,4.02,4.30,59100,4.30
2014-10-27,3.99,4.25,3.65,4.02,62000,4.02
2014-10-24,3.80,4.20,3.80,4.10,109000,4.10
2014-10-23,3.33,3.80,3.25,3.65,115900,3.65
2014-10-22,3.44,3.44,3.25,3.32,20700,3.32
2014-10-21,3.29,3.47,3.29,3.39,17100,3.39
2014-10-20,3.37,3.53,3.25,3.25,19400,3.25
2014-10-17,3.07,3.39,3.06,3.23,71100,3.23
2014-10-16,3.21,3.25,3.05,3.05,85800,3.05
2014-10-15,3.23,3.34,2.95,3.10,60100,3.10
2014-10-14,3.59,3.59,3.17,3.28,91300,3.28
2014-10-13,3.63,3.83,3.33,3.67,30900,3.67
2014-10-10,3.87,3.95,3.35,3.80,56000,3.80
2014-10-09,3.82,3.94,3.74,3.79,40100,3.79
2014-10-08,4.30,4.30,3.70,3.85,126200,3.85
2014-10-07,4.48,4.48,4.00,4.28,100200,4.28
2014-10-06,4.18,4.64,3.75,4.60,623400,4.60
2014-10-03,4.89,5.25,4.17,4.25,3393100,4.25
2014-10-02,4.38,4.70,4.15,4.63,209200,4.63
2014-10-01,4.35,4.42,4.21,4.38,39800,4.38
2014-09-30,4.35,4.36,4.35,4.35,5000,4.35
2014-09-29,4.38,4.40,4.38,4.38,2600,4.38
2014-09-26,4.30,4.50,4.30,4.50,22300,4.50
2014-09-25,4.35,4.40,4.26,4.31,10800,4.31
2014-09-24,4.41,4.52,4.37,4.42,40200,4.42
2014-09-23,4.30,4.40,4.15,4.39,18300,4.39
2014-09-22,4.30,4.45,4.30,4.40,30800,4.40
2014-09-19,4.40,4.41,4.25,4.35,21700,4.35
2014-09-18,4.43,4.47,4.30,4.30,4700,4.30
2014-09-17,4.27,4.40,4.14,4.40,23100,4.40
2014-09-16,4.25,4.55,4.25,4.26,18200,4.26
2014-09-15,4.50,4.50,4.31,4.45,4400,4.45
2014-09-12,4.40,4.40,4.35,4.35,9300,4.35
2014-09-11,4.50,4.50,4.25,4.35,9700,4.35
2014-09-10,4.40,4.50,4.40,4.45,16800,4.45
2014-09-09,4.45,4.50,4.40,4.48,2700,4.48
2014-09-08,4.30,4.57,4.30,4.49,11500,4.49
2014-09-05,4.57,4.57,4.05,4.45,25300,4.45
2014-09-04,4.40,4.50,4.40,4.50,9800,4.50
2014-09-03,4.51,4.51,4.00,4.42,27100,4.42
2014-09-02,4.66,4.70,4.25,4.50,17900,4.50
2014-08-29,4.50,4.60,4.50,4.50,17300,4.50
2014-08-28,4.70,4.70,4.55,4.55,10600,4.55
2014-08-27,4.70,4.70,4.51,4.60,28300,4.60
2014-08-26,4.60,4.70,4.53,4.57,34000,4.57
2014-08-25,4.90,4.90,4.53,4.65,89200,4.65
2014-08-22,5.00,5.00,4.60,4.95,308700,4.95
2014-08-21,10.00,10.00,10.00,10.00,2800,10.00
2014-08-20,10.00,10.00,10.00,10.00,200,10.00
2014-08-19,10.00,10.00,10.00,10.00,000,10.00
2014-08-18,10.00,10.00,10.00,10.00,1200,10.00
2014-08-15,8.70,8.75,8.50,8.75,1800,8.75
2014-08-14,12.50,12.50,10.50,10.50,200,10.50
2014-08-13,11.00,11.00,11.00,11.00,000,11.00
2014-08-12,11.00,11.00,11.00,11.00,500,11.00
2014-08-11,12.50,12.50,12.50,12.50,500,12.50
2014-08-08,15.00,15.00,15.00,15.00,000,15.00
2014-08-07,18.00,18.00,15.00,15.00,900,15.00
2014-08-06,12.50,12.50,12.50,12.50,000,12.50
2014-08-05,11.50,12.50,11.50,12.50,200,12.50
2014-08-04,13.00,13.00,13.00,13.00,000,13.00
2014-08-01,13.00,13.00,13.00,13.00,000,13.00
2014-07-31,13.00,13.00,13.00,13.00,000,13.00
2014-07-30,13.00,13.00,13.00,13.00,100,13.00
2014-07-29,12.50,12.50,12.50,12.50,300,12.50
2014-07-28,7.00,7.00,7.00,7.00,000,7.00
2014-07-25,7.00,7.00,7.00,7.00,000,7.00
2014-07-24,7.00,7.00,7.00,7.00,000,7.00
2014-07-23,7.00,7.00,7.00,7.00,000,7.00
2014-07-22,7.00,7.00,7.00,7.00,000,7.00
2014-07-21,7.00,7.00,7.00,7.00,200,7.00
2014-07-18,16.00,16.00,16.00,16.00,100,16.00
2014-07-17,25.00,25.00,25.00,25.00,000,25.00
2014-07-16,25.00,25.00,25.00,25.00,000,25.00
2014-07-15,25.00,25.00,25.00,25.00,000,25.00
2014-07-14,25.00,25.00,25.00,25.00,000,25.00
2014-07-11,25.00,25.00,25.00,25.00,000,25.00
2014-07-10,25.00,25.00,25.00,25.00,000,25.00
2014-07-09,25.00,25.00,25.00,25.00,000,25.00
2014-07-08,25.00,25.00,25.00,25.00,000,25.00
2014-07-07,25.00,25.00,25.00,25.00,000,25.00
2014-07-03,25.00,25.00,25.00,25.00,000,25.00
2014-07-02,25.00,25.00,25.00,25.00,200,25.00
2014-07-01,12.50,12.50,12.50,12.50,000,12.50
2014-06-30,1.25,1.25,1.25,1.25,100,12.50
2014-06-27,1.30,1.30,1.30,1.30,000,13.00
2014-06-26,1.30,1.30,1.30,1.30,000,13.00
2014-06-25,1.30,1.30,1.30,1.30,000,13.00
2014-06-24,1.30,1.30,1.30,1.30,000,13.00
2014-06-23,1.22,1.22,1.22,1.22,000,12.20
2014-06-20,1.22,1.22,1.22,1.22,000,12.20
2014-06-19,1.22,1.22,1.22,1.22,000,12.20
2014-06-18,1.40,1.40,1.40,1.40,000,14.00
2014-06-17,1.40,1.40,1.40,1.40,000,14.00
2014-06-16,1.40,1.40,1.40,1.40,000,14.00
2014-06-13,1.30,1.30,1.30,1.30,000,13.00
2014-06-12,1.45,1.45,1.30,1.30,000,13.00
2014-06-11,1.30,1.30,1.30,1.30,000,13.00
2014-06-10,1.30,1.30,1.30,1.30,000,13.00
2014-06-09,1.30,1.30,1.30,1.30,000,13.00
2014-06-06,1.30,1.30,1.30,1.30,300,13.00
2014-06-05,1.45,1.45,1.45,1.45,000,14.50
2014-06-04,1.21,1.45,1.21,1.45,200,14.50
2014-06-03,1.20,1.20,1.20,1.20,000,12.00
2014-06-02,1.10,1.20,1.10,1.20,900,12.00
2014-05-30,1.40,1.70,0.85,1.00,2000,10.00
2014-05-29,1.03,1.40,1.03,1.40,600,14.00
2014-05-28,1.07,1.25,0.79,1.25,2600,12.50
2014-05-27,1.54,1.54,1.47,1.47,000,14.70
2014-05-23,1.98,1.98,1.98,1.98,000,19.80
2014-05-22,1.21,1.98,1.00,1.98,1300,19.80
2014-05-21,1.21,1.21,1.21,1.21,000,12.10
2014-05-20,1.37,1.44,1.00,1.21,2200,12.10
2014-05-19,1.37,1.37,1.37,1.37,000,13.70
2014-05-16,1.50,1.50,1.50,1.50,000,15.00
2014-05-15,1.50,1.50,1.50,1.50,000,15.00
2014-05-14,1.50,1.50,1.50,1.50,200,15.00
2014-05-13,1.50,1.50,1.50,1.50,000,15.00
2014-05-12,1.50,1.50,1.50,1.50,000,15.00
2014-05-09,1.50,1.50,1.50,1.50,100,15.00
2014-05-08,1.37,1.37,1.37,1.37,000,13.70
2014-05-07,1.64,1.65,1.64,1.65,100,16.50
2014-05-06,1.50,1.50,1.50,1.50,300,15.00
2014-05-05,1.27,1.27,1.27,1.27,000,12.70
2014-05-02,1.75,1.75,1.75,1.75,000,17.50
2014-05-01,1.75,1.75,1.75,1.75,300,17.50
2014-04-30,1.80,1.80,1.80,1.80,000,18.00
2014-04-29,1.80,1.80,1.80,1.80,000,18.00
2014-04-28,1.80,1.80,1.80,1.80,000,18.00
2014-04-25,1.90,1.90,1.80,1.80,000,18.00
2014-04-24,1.80,1.80,1.80,1.80,000,18.00
2014-04-23,1.90,1.90,1.80,1.80,100,18.00
2014-04-22,1.80,1.80,1.80,1.80,000,18.00
2014-04-21,1.80,1.80,1.80,1.80,000,18.00
2014-04-17,1.80,1.80,1.80,1.80,100,18.00
2014-04-16,1.80,1.80,1.80,1.80,000,18.00
2014-04-15,1.80,1.80,1.80,1.80,000,18.00
2014-04-14,1.45,1.80,1.45,1.80,200,18.00
2014-04-11,1.45,1.50,1.45,1.50,100,15.00
2014-04-10,1.63,1.63,1.63,1.63,000,16.30
2014-04-09,1.63,1.65,1.63,1.65,000,16.50
2014-04-08,1.70,1.70,1.70,1.70,000,17.00
2014-04-07,1.71,1.71,1.70,1.70,100,17.00
2014-04-04,1.95,1.95,1.70,1.70,800,17.00
2014-04-03,2.00,2.00,2.00,2.00,000,20.00
