Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,47.10,47.82,46.84,47.35,191600,47.35
2015-04-30,48.06,48.28,46.96,47.05,369600,47.05
2015-04-29,48.78,48.96,48.27,48.52,151400,48.52
2015-04-28,48.80,49.11,48.48,48.96,131200,48.96
2015-04-27,48.54,49.15,48.45,48.79,261100,48.79
2015-04-24,49.20,49.42,48.33,48.46,202200,48.46
2015-04-23,48.67,49.14,48.61,49.00,164500,49.00
2015-04-22,48.68,49.16,47.90,48.93,395900,48.93
2015-04-21,48.85,50.67,48.25,49.13,460900,49.13
2015-04-20,48.07,49.05,48.07,48.58,330100,48.58
2015-04-17,49.08,49.15,48.32,48.79,344200,48.79
2015-04-16,49.44,49.70,49.22,49.36,170700,49.36
2015-04-15,49.44,50.04,49.24,49.71,215800,49.71
2015-04-14,49.26,49.63,48.86,49.30,187700,49.30
2015-04-13,49.19,49.78,49.18,49.26,136200,49.26
2015-04-10,49.05,49.26,48.83,49.20,183900,49.20
2015-04-09,48.34,49.05,48.29,48.74,350400,48.74
2015-04-08,48.34,48.56,47.91,48.53,290000,48.53
2015-04-07,50.03,50.03,48.29,48.36,678000,48.36
2015-04-06,50.51,51.55,50.50,51.42,341400,51.42
2015-04-02,50.91,51.49,50.46,50.95,151700,50.95
2015-04-01,50.81,51.08,50.15,50.91,155800,50.91
2015-03-31,50.64,51.11,50.41,51.01,288900,51.01
2015-03-30,50.61,51.17,50.53,50.98,148500,50.98
2015-03-27,50.05,50.48,49.91,50.41,177700,50.41
2015-03-26,50.47,50.90,50.05,50.29,434400,50.29
2015-03-25,51.00,51.43,50.58,50.60,453200,50.60
2015-03-24,50.61,50.99,50.30,50.92,138500,50.92
2015-03-23,50.53,50.89,50.05,50.71,218700,50.71
2015-03-20,50.31,50.85,50.10,50.73,525000,50.73
2015-03-19,50.13,50.30,49.79,49.93,117500,49.93
2015-03-18,49.34,50.70,48.96,50.43,200100,50.43
2015-03-17,49.19,49.57,48.64,49.42,208600,49.42
2015-03-16,49.06,49.64,48.88,49.48,222100,49.48
2015-03-13,49.38,49.38,48.07,48.78,212000,48.78
2015-03-12,48.63,49.53,48.25,49.39,322600,49.39
2015-03-11,47.86,48.23,47.54,48.19,286900,48.19
2015-03-10,48.40,48.64,47.86,47.92,233600,47.92
2015-03-09,48.04,49.08,47.51,48.92,301400,48.92
2015-03-06,48.06,48.51,47.55,47.83,199600,47.83
2015-03-05,48.81,49.15,48.05,48.65,215700,48.65
2015-03-04,48.22,48.71,47.88,48.63,213100,48.63
2015-03-03,48.67,48.97,48.34,48.54,207400,48.54
2015-03-02,48.55,49.04,48.27,48.98,276800,48.98
2015-02-27,49.00,49.33,48.52,48.55,179600,48.55
2015-02-26,49.02,49.61,48.81,49.16,195500,49.16
2015-02-25,49.45,49.69,48.90,49.21,304100,49.21
2015-02-24,48.73,49.40,48.70,49.39,314900,49.39
2015-02-23,48.49,48.75,48.13,48.60,213300,48.60
2015-02-20,48.33,48.91,47.51,48.75,313800,48.75
2015-02-19,48.37,48.63,47.16,48.25,311000,48.25
2015-02-18,48.77,49.61,48.14,48.65,437900,48.65
2015-02-17,48.49,49.51,48.11,49.02,324000,49.02
2015-02-13,48.41,49.42,48.14,48.59,331700,48.59
2015-02-12,48.49,48.80,48.05,48.48,226600,48.48
2015-02-11,48.05,48.33,47.74,48.13,294100,48.13
2015-02-10,48.57,48.58,47.99,48.22,385900,48.12
2015-02-09,47.39,48.46,47.03,48.12,400700,48.02021
2015-02-06,47.16,47.91,46.69,47.66,321100,47.56116
2015-02-05,46.58,47.07,46.22,47.04,308300,46.94245
2015-02-04,46.53,46.91,45.94,46.09,248700,45.99442
2015-02-03,45.65,46.92,45.37,46.91,359200,46.81272
2015-02-02,44.69,45.33,44.17,45.31,255000,45.21604
2015-01-30,45.17,45.62,44.56,44.61,271500,44.51749
2015-01-29,45.17,45.72,44.55,45.63,243800,45.53537
2015-01-28,45.57,45.82,44.75,44.94,355900,44.8468
2015-01-27,45.09,45.76,44.86,45.19,267700,45.09628
2015-01-26,45.47,46.63,44.55,45.81,470600,45.715
2015-01-23,45.83,46.03,44.70,45.36,427600,45.26593
2015-01-22,45.37,45.93,44.00,45.91,483000,45.81479
2015-01-21,47.12,47.50,44.01,44.99,1103500,44.8967
2015-01-20,42.57,43.08,41.86,42.50,628700,42.41186
2015-01-16,41.84,42.64,41.51,42.26,766700,42.17236
2015-01-15,42.75,43.70,41.01,42.27,735100,42.18234
2015-01-14,43.15,43.62,42.95,43.49,658500,43.39981
2015-01-13,45.10,45.32,43.31,43.45,706400,43.35989
2015-01-12,46.12,46.21,44.55,44.64,595000,44.54742
2015-01-09,47.40,48.06,46.19,46.25,341700,46.15409
2015-01-08,48.13,48.41,47.36,47.39,393800,47.29172
2015-01-07,47.62,47.82,47.18,47.63,368400,47.53122
2015-01-06,47.76,47.83,46.75,47.19,352300,47.09214
2015-01-05,48.19,48.36,47.26,47.53,438200,47.43143
2015-01-02,49.50,49.58,48.06,48.58,203300,48.47926
2014-12-31,50.13,50.58,49.20,49.23,177100,49.12791
2014-12-30,50.10,50.39,49.68,49.87,242300,49.76658
2014-12-29,50.27,50.70,50.03,50.25,185700,50.14579
2014-12-26,50.62,50.78,50.23,50.30,137300,50.19569
2014-12-24,50.20,50.68,49.74,50.44,70300,50.3354
2014-12-23,50.16,50.40,49.79,50.00,211600,49.89631
2014-12-22,49.81,50.10,49.44,50.04,230100,49.93623
2014-12-19,49.49,49.92,49.08,49.80,518300,49.69672
2014-12-18,49.48,49.82,48.76,49.60,331800,49.49714
2014-12-17,47.55,48.82,47.27,48.78,340300,48.67884
2014-12-16,47.02,48.22,46.58,47.50,659100,47.40149
2014-12-15,48.44,48.67,46.91,47.02,418700,46.92249
2014-12-12,49.00,49.28,47.79,48.04,302000,47.94038
2014-12-11,50.00,50.34,49.55,49.70,184300,49.59693
2014-12-10,50.83,51.31,49.59,49.61,195300,49.50712
2014-12-09,50.08,51.42,50.08,51.19,305500,51.08384
2014-12-08,51.40,51.63,50.48,50.70,195900,50.59486
2014-12-05,51.49,52.08,51.36,51.56,289100,51.45308
2014-12-04,51.95,52.03,51.24,51.52,203900,51.41316
2014-12-03,51.56,52.43,50.99,51.96,309800,51.85224
2014-12-02,51.33,51.67,51.00,51.49,229300,51.38322
2014-12-01,51.62,51.85,50.87,51.13,309000,51.02397
2014-11-28,52.71,52.72,51.53,51.68,145500,51.57283
2014-11-26,52.87,52.87,52.37,52.60,194900,52.49092
2014-11-25,53.03,53.13,52.59,52.77,202000,52.66056
2014-11-24,52.11,53.03,51.67,53.03,266700,52.92002
2014-11-21,52.27,52.33,51.69,51.82,227300,51.71254
2014-11-20,50.69,51.59,50.57,51.53,299700,51.42313
2014-11-19,51.07,51.33,50.61,51.08,287200,50.97407
2014-11-18,51.35,52.07,51.15,51.29,287000,51.18364
2014-11-17,51.10,51.76,51.10,51.19,313800,51.08384
2014-11-14,50.32,51.21,50.32,51.03,378600,50.92417
2014-11-13,51.07,51.25,50.08,50.14,386900,50.03602
2014-11-12,48.49,51.27,48.49,51.23,474500,51.04392
2014-11-11,51.52,51.52,47.17,48.70,1184500,48.52311
2014-11-10,51.60,51.83,51.10,51.81,325800,51.62182
2014-11-07,51.68,51.74,51.19,51.58,221200,51.39265
2014-11-06,51.42,51.88,51.08,51.75,152000,51.56203
2014-11-05,51.24,51.65,50.81,51.21,122400,51.02399
2014-11-04,50.88,51.57,50.64,50.80,254800,50.61548
2014-11-03,51.17,51.48,50.60,51.07,300900,50.8845
2014-10-31,51.60,51.60,50.39,51.21,304100,51.02399
2014-10-30,49.54,50.68,48.66,50.44,275500,50.25679
2014-10-29,49.88,50.20,49.37,49.84,234600,49.65897
2014-10-28,48.45,49.74,48.45,49.66,380400,49.47963
2014-10-27,48.14,48.36,47.84,48.31,185900,48.13453
2014-10-24,48.65,48.95,48.29,48.47,181900,48.29395
2014-10-23,48.26,49.28,48.26,48.50,268700,48.32384
2014-10-22,48.50,48.69,47.58,47.64,168400,47.46696
2014-10-21,47.75,48.89,47.57,48.50,210500,48.32384
2014-10-20,46.52,47.59,46.47,47.54,272200,47.36732
2014-10-17,47.45,47.75,46.45,46.60,222100,46.43074
2014-10-16,45.68,47.02,45.68,46.77,362100,46.60012
