Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,43.74,44.11,43.66,43.98,3311600,43.98
2015-04-30,43.20,43.81,42.99,43.36,2629200,43.36
2015-04-29,43.01,43.63,42.83,43.34,1999400,43.34
2015-04-28,43.22,43.58,42.70,43.33,2336400,43.33
2015-04-27,43.03,43.66,42.87,43.25,2776000,43.25
2015-04-24,43.89,43.89,42.59,42.89,3310100,42.89
2015-04-23,43.82,44.18,43.05,43.76,4848300,43.76
2015-04-22,44.25,44.60,43.74,44.37,3927600,44.37
2015-04-21,44.28,44.73,43.99,44.23,3140000,44.23
2015-04-20,43.88,44.12,43.60,43.76,1925000,43.76
2015-04-17,43.88,43.98,43.21,43.59,2274800,43.59
2015-04-16,43.12,45.26,43.10,44.33,4941600,44.33
2015-04-15,43.18,44.23,43.14,43.90,3545700,43.90
2015-04-14,43.37,43.57,42.77,43.14,2612300,43.14
2015-04-13,43.90,44.28,43.69,43.73,3090300,43.73
2015-04-10,43.01,43.92,42.97,43.83,3546600,43.83
2015-04-09,42.17,43.38,41.79,43.33,4355000,43.33
2015-04-08,42.40,42.83,42.25,42.55,1746500,42.55
2015-04-07,42.02,42.56,41.81,42.33,2116700,42.33
2015-04-06,41.69,42.39,41.50,41.99,3107000,41.99
2015-04-02,41.98,42.39,41.72,42.06,3459400,42.06
2015-04-01,42.42,42.50,41.63,41.85,3714000,41.85
2015-03-31,42.56,42.56,41.82,42.30,5002600,42.30
2015-03-30,41.56,43.39,40.99,42.68,12965000,42.68
2015-03-27,40.17,42.67,39.61,42.32,8547100,42.32
2015-03-26,39.31,40.20,39.27,39.98,3866700,39.98
2015-03-25,41.11,41.15,39.77,39.83,4379800,39.83
2015-03-24,41.44,41.61,41.06,41.11,2495400,41.11
2015-03-23,42.25,42.25,41.45,41.46,2713700,41.46
2015-03-20,42.08,42.35,41.84,42.27,5646300,42.27
2015-03-19,41.31,41.83,41.21,41.80,3519900,41.80
2015-03-18,40.79,41.73,40.57,41.60,2952000,41.60
2015-03-17,41.23,41.29,40.63,40.98,3054500,40.98
2015-03-16,40.33,41.51,40.33,41.41,5226600,41.41
2015-03-13,40.11,40.40,39.48,39.76,3848600,39.76
2015-03-12,39.84,40.33,39.50,40.30,3198100,40.30
2015-03-11,39.89,40.05,39.35,39.71,4768200,39.71
2015-03-10,40.56,40.74,39.64,39.67,5100200,39.67
2015-03-09,40.64,41.19,40.58,40.65,3724400,40.65
2015-03-06,41.06,41.24,40.47,40.58,3072400,40.58
2015-03-05,41.12,41.72,41.05,41.38,3522000,41.38
2015-03-04,41.47,41.84,40.78,41.05,5350700,41.05
2015-03-03,41.79,42.11,41.50,41.61,3436700,41.61
2015-03-02,42.30,42.76,41.87,42.11,4204800,42.11
2015-02-27,41.93,42.45,41.83,42.37,2808800,42.37
2015-02-26,42.22,42.35,41.73,41.83,2157700,41.83
2015-02-25,42.21,42.39,41.93,42.05,1694100,42.05
2015-02-24,41.33,42.53,41.17,42.48,3632500,42.48
2015-02-23,41.68,41.72,41.07,41.29,1501300,41.29
2015-02-20,41.44,41.77,41.19,41.68,2106200,41.68
2015-02-19,41.71,41.71,41.49,41.61,1670000,41.61
2015-02-18,41.78,41.87,41.44,41.66,2574400,41.66
2015-02-17,41.49,41.93,41.29,41.93,3332000,41.93
2015-02-13,40.98,41.57,40.85,41.51,3406200,41.51
2015-02-12,40.06,41.02,39.97,41.00,3353600,41.00
2015-02-11,40.01,40.15,39.74,39.93,2229700,39.93
2015-02-10,39.81,40.19,39.47,40.16,2013100,40.16
2015-02-09,39.35,39.64,39.23,39.51,2769500,39.51
2015-02-06,39.76,40.00,39.29,39.40,2790500,39.40
2015-02-05,39.87,39.99,39.14,39.57,3578400,39.57
2015-02-04,39.26,40.13,38.99,39.84,3895000,39.84
2015-02-03,38.64,39.53,38.64,39.31,2861400,39.31
2015-02-02,38.33,38.91,38.07,38.83,4665900,38.83
2015-01-30,38.57,39.06,38.53,38.58,4492900,38.29
2015-01-29,38.75,39.37,38.51,38.99,3015400,38.69692
2015-01-28,39.55,40.04,38.76,38.77,4501100,38.47857
2015-01-27,38.57,39.57,38.57,39.45,4732400,39.15346
2015-01-26,38.37,39.26,38.37,38.99,4154500,38.69692
2015-01-23,38.90,39.41,38.79,39.28,4296200,38.98474
2015-01-22,38.11,39.84,37.20,38.96,20467400,38.66714
2015-01-21,40.81,41.63,40.78,41.51,5524900,41.19798
2015-01-20,41.45,41.86,40.98,41.06,3823400,40.75136
2015-01-16,40.74,41.37,40.48,41.22,4244800,40.91016
2015-01-15,41.40,41.94,40.96,41.04,4180600,40.73151
2015-01-14,40.26,41.58,40.04,41.37,6150600,41.05902
2015-01-13,42.86,43.27,41.39,41.85,4836200,41.53542
2015-01-12,43.10,43.18,42.25,42.47,2560400,42.15076
2015-01-09,43.15,43.35,42.72,43.10,1452100,42.77602
2015-01-08,42.50,43.34,42.45,43.14,2824200,42.81572
2015-01-07,42.49,42.62,42.07,42.20,2110600,41.88279
2015-01-06,42.83,42.92,41.97,42.18,3430500,41.86294
2015-01-05,43.48,43.57,42.76,42.80,2611100,42.47828
2015-01-02,43.51,43.93,43.11,43.60,2402400,43.27226
2014-12-31,43.81,44.00,43.27,43.29,2827400,42.9646
2014-12-30,43.48,43.83,43.37,43.55,2805400,43.22264
2014-12-29,43.92,43.96,43.59,43.79,1868700,43.46084
2014-12-26,44.20,44.35,43.88,43.92,1244100,43.58986
2014-12-24,43.98,44.33,43.86,44.09,703700,43.75858
2014-12-23,44.29,44.54,43.90,43.91,1830300,43.57993
2014-12-22,43.27,43.91,43.27,43.87,2508000,43.54023
2014-12-19,43.41,43.80,42.34,43.01,7023800,42.6867
2014-12-18,44.23,44.24,43.31,43.71,6461700,43.38144
2014-12-17,43.85,43.99,42.72,43.42,12579700,43.09362
2014-12-16,44.17,44.66,43.67,43.71,5930500,43.38144
2014-12-15,45.57,45.68,44.08,44.16,4404600,43.82806
2014-12-12,45.78,45.98,45.13,45.16,2515800,44.82054
2014-12-11,46.81,46.82,45.91,46.04,3158400,45.69392
2014-12-10,46.98,47.17,46.29,46.40,3377500,46.05122
2014-12-09,46.49,47.22,46.32,47.20,1958400,46.8452
2014-12-08,47.06,47.18,46.73,46.90,3243000,46.54746
2014-12-05,47.00,47.30,46.70,47.16,2144000,46.8055
2014-12-04,46.72,47.03,46.36,46.91,4042600,46.55738
2014-12-03,45.50,46.93,45.17,46.85,5606100,46.49783
2014-12-02,45.19,45.84,45.05,45.81,1773700,45.46565
2014-12-01,45.33,45.58,45.00,45.29,2638100,44.94956
2014-11-28,45.60,45.67,44.94,45.44,1423100,45.09843
2014-11-26,44.32,45.55,44.32,45.49,2356500,45.14806
2014-11-25,44.86,44.87,44.36,44.39,1612900,44.05633
2014-11-24,44.81,45.00,44.47,44.67,1699300,44.33422
2014-11-21,44.82,44.85,44.29,44.78,2699500,44.44339
2014-11-20,43.80,44.37,43.77,44.25,1736100,43.91738
2014-11-19,44.24,44.40,43.83,44.24,2435300,43.90746
2014-11-18,44.09,44.52,43.57,44.32,2697000,43.98685
2014-11-17,43.73,43.79,43.05,43.41,1612600,43.08369
2014-11-14,42.97,43.66,42.67,43.61,2895300,43.28219
2014-11-13,43.52,43.62,42.79,42.83,2894400,42.50805
2014-11-12,43.42,43.52,43.16,43.36,1703100,43.03407
2014-11-11,43.79,43.80,43.27,43.40,1418300,43.07377
2014-11-10,43.36,43.91,43.23,43.67,2234800,43.34174
2014-11-07,43.98,43.98,43.27,43.61,2839800,43.28219
