uri:/instrument/1.0/ALLT/chartdata;type=quote;range=500d/csv
ticker:allt
Company-Name:Allot Communications Ltd.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:7.6900
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:7.5500,9.0800
high:7.5500,9.0948
low:7.5300,9.0800
open:7.5500,9.0948
volume:0,132200
1429882442,9.0100,9.0100,9.0100,9.0100,1200
1429882714,9.0800,9.0948,9.0800,9.0948,300
1429883042,8.9100,9.0400,8.8600,9.0400,12700
1429883275,8.9400,8.9400,8.9400,8.9400,200
1429884846,8.9300,8.9600,8.9300,8.9600,1400
1429886061,8.9200,8.9300,8.9000,8.9200,1100
1429886302,8.9200,8.9300,8.9200,8.9300,300
1429886472,8.9200,8.9200,8.9200,8.9200,100
1429886961,8.9000,8.9001,8.9000,8.9001,800
1429887218,8.9000,8.9000,8.8800,8.9000,2000
1429887327,8.9200,8.9200,8.9200,8.9200,200
1429888193,8.9200,8.9200,8.9100,8.9100,2500
1429888626,8.9100,8.9100,8.9100,8.9100,100
1429889400,8.8900,8.8900,8.8900,8.8900,100
1429889886,8.9000,8.9200,8.9000,8.9200,1200
1429890858,8.8500,8.8600,8.8500,8.8600,600
1429890998,8.8400,8.8400,8.8300,8.8300,400
1429891303,8.8400,8.8400,8.8400,8.8400,200
1429891572,8.8300,8.8300,8.8300,8.8300,100
1429892647,8.8200,8.8200,8.8200,8.8200,100
1429893279,8.8250,8.8300,8.8200,8.8200,7800
1429893577,8.8400,8.8500,8.8200,8.8200,2800
1429894072,8.8000,8.8400,8.8000,8.8400,400
1429894534,8.8000,8.8000,8.8000,8.8000,100
1429894974,8.8100,8.8200,8.8100,8.8200,500
1429895295,8.8100,8.8100,8.8099,8.8100,600
1429895525,8.7700,8.8050,8.7700,8.8000,1300
1429895954,8.7400,8.7700,8.7400,8.7700,1500
1429896071,8.7500,8.7500,8.7300,8.7300,2300
1429896832,8.7300,8.7300,8.7300,8.7300,200
1429897178,8.7300,8.7300,8.7300,8.7300,400
1429897265,8.7200,8.7350,8.7200,8.7350,1700
1429897671,8.7200,8.7200,8.7200,8.7200,100
1429897967,8.7100,8.7100,8.7100,8.7100,100
1429898357,8.6600,8.7000,8.6600,8.6960,2600
1429898836,8.6800,8.6900,8.6650,8.6650,1900
1429899594,8.6600,8.6800,8.6600,8.6800,2200
1429900441,8.6900,8.7000,8.6750,8.6800,5000
1429900640,8.7000,8.7300,8.7000,8.7300,200
1429901392,8.7000,8.7100,8.7000,8.7100,1700
1429901423,8.7000,8.7000,8.7000,8.7000,100
1429901996,8.7200,8.7200,8.7000,8.7000,2600
1429902078,8.7100,8.7100,8.7100,8.7100,200
1429902309,8.7200,8.7200,8.7200,8.7200,1000
1429902874,8.7050,8.7100,8.7000,8.7000,1400
1429902967,8.7000,8.7100,8.7000,8.7100,300
1429903450,8.7100,8.7100,8.7000,8.7000,2600
1429903725,8.7100,8.7150,8.7100,8.7150,1000
1429903951,8.7100,8.7100,8.7100,8.7100,500
1429904383,8.7200,8.7200,8.7100,8.7200,2300
1429904687,8.7100,8.7200,8.7100,8.7200,1700
1429904998,8.7150,8.7200,8.7100,8.7100,1600
1429905284,8.6532,8.7100,8.6400,8.7100,10100
1429905558,8.7100,8.7100,8.6500,8.6500,13100
1429905600,8.6800,8.6800,8.6800,8.6800,0
1430141585,8.8000,8.8000,8.8000,8.8000,0
1430141830,8.7800,8.7800,8.7500,8.7600,3900
1430142250,8.7000,8.7600,8.6800,8.7590,7400
1430142545,8.6899,8.6900,8.6800,8.6800,1000
1430143172,8.7000,8.7200,8.7000,8.7200,3800
1430143449,8.6800,8.7000,8.6800,8.7000,5800
1430143527,8.7000,8.7100,8.6900,8.6900,2400
1430144024,8.7100,8.7100,8.6950,8.6950,1700
1430144183,8.7100,8.7100,8.6900,8.6900,400
1430144668,8.7500,8.7800,8.7500,8.7600,2800
1430144994,8.7600,8.7600,8.7500,8.7500,500
1430145210,8.7500,8.7600,8.7500,8.7500,7200
1430145442,8.7700,8.7700,8.7550,8.7600,4400
