uri:/instrument/1.0/ALXN/chartdata;type=quote;range=1d/csv
ticker:alxn
Company-Name:Alexion Pharmaceuticals, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:161.0400
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:159.3800,162.2400
high:159.6900,162.4400
low:159.1600,162.1500
open:159.1797,162.2400
volume:100,154600
1431437400,161.0000,161.0100,161.0000,161.0100,600
1431437496,159.9300,160.1300,159.9300,159.9300,30600
1431437631,159.8200,159.8200,159.1600,159.7500,4700
1431437655,159.3800,159.8200,159.1797,159.1797,2200
1431437703,159.8100,160.0200,159.3100,159.5400,5900
1431437762,159.9000,160.0400,159.6900,160.0400,6800
1431437861,159.8500,159.9000,159.3300,159.8800,7300
1431437890,159.6900,159.6900,159.5500,159.6000,5300
1431437940,159.6000,159.7500,159.5100,159.6000,2600
1431438055,160.0000,160.0700,159.5000,159.5100,15000
1431438065,159.8800,160.1150,159.7300,160.1150,5300
1431438177,159.9000,159.9300,159.6200,159.8600,4100
1431438189,159.7100,159.8800,159.6500,159.7100,7400
1431438247,159.6000,159.8400,159.5500,159.6500,3600
1431438300,159.9500,159.9500,159.5100,159.6000,14900
1431438418,159.9500,159.9900,159.7000,159.9100,7800
1431438420,160.6300,160.6600,159.8371,159.8371,6600
1431438485,160.1500,160.6600,160.1500,160.6600,7400
1431438578,160.4700,160.4700,160.1700,160.1700,1700
1431438600,160.7700,160.7800,160.4400,160.4400,3400
1431438660,161.0300,161.0300,160.7700,160.7700,4000
1431438772,161.2800,161.2800,161.0500,161.0900,7400
1431438784,161.0500,161.3000,161.0400,161.2100,3500
1431438848,160.4700,161.2250,160.4700,161.1300,3900
1431438921,160.9690,160.9690,160.7300,160.7600,1400
1431438976,160.6400,161.1450,160.6400,161.1450,2100
1431439078,160.4750,160.8950,160.2600,160.8700,4900
1431439113,160.5300,160.5300,160.4700,160.4700,400
1431439199,160.3450,160.4800,160.2200,160.4400,3300
1431439200,160.8600,160.8600,160.2450,160.3500,4600
1431439269,160.5500,160.7400,160.3500,160.6300,5500
1431439320,160.5400,160.5400,160.4200,160.5300,400
1431439437,160.8400,160.8400,160.6500,160.6500,2900
1431439489,160.7300,160.9350,160.5600,160.7100,4900
1431439556,160.9400,160.9400,160.6800,160.6800,1400
1431439616,160.8000,160.9600,160.7100,160.9500,8800
1431439667,161.0000,161.0000,160.7100,160.8400,2900
1431439739,161.5600,161.5600,160.9450,160.9450,2100
1431439740,161.3100,161.5400,161.2900,161.4600,4900
1431439859,161.1700,161.5700,160.9800,161.4000,7400
1431439865,161.1950,161.1950,160.8900,160.9800,500
1431439968,161.0950,161.2100,160.8900,161.1800,800
1431439981,160.8600,161.1500,160.8400,160.9500,6200
1431440073,160.9700,160.9800,160.7900,160.8400,2400
1431440157,160.7825,160.9300,160.7825,160.8200,300
1431440181,161.0500,161.0600,160.9150,161.0000,1600
1431440220,160.7700,161.0500,160.7700,161.0500,5400
1431440283,160.5900,160.8000,160.5900,160.6300,700
1431440384,160.5600,160.6800,160.4800,160.5800,2200
1431440409,160.5600,160.6700,160.5100,160.5700,5900
1431440518,160.8400,161.0100,160.5100,160.5100,19200
1431440571,160.6500,160.8300,160.4700,160.8300,3800
1431440593,160.7500,160.7500,160.5100,160.6000,3300
1431440645,160.8700,160.8800,160.6900,160.7200,4700
1431440756,160.9500,161.0200,160.8700,160.8700,3900
1431440818,161.0000,161.1800,160.9600,161.0200,5000
1431440871,161.1300,161.1900,161.0100,161.1100,2200
1431440939,161.2400,161.2400,161.0400,161.1700,2800
1431440940,161.2700,161.2800,161.0900,161.2400,2400
1431441046,161.4150,161.4300,161.2400,161.2500,3700
1431441063,161.3800,161.4300,161.3000,161.3850,5300
1431441176,161.2700,161.4300,161.2400,161.3900,9800
1431441239,161.3700,161.4000,161.3000,161.4000,5400
1431441299,161.5900,161.7800,161.4100,161.4100,10100
1431441357,161.5600,161.6450,161.4700,161.6000,4100
1431441416,161.5200,161.6700,161.5200,161.5800,5500
1431441469,161.6300,161.6800,161.5600,161.6100,2400
1431441538,161.7400,161.8000,161.6400,161.6500,2700
1431441577,161.7250,161.8150,161.7250,161.7600,1700
1431441656,162.1000,162.1300,161.7800,161.8100,6200
1431441717,162.1490,162.2050,162.0100,162.1000,3900
1431441770,161.8900,162.1300,161.8400,162.0200,5100
1431441833,161.7300,161.9400,161.6500,161.9400,3200
1431441897,162.0100,162.0100,161.6900,161.7592,10600
1431441959,162.2400,162.4400,162.0600,162.0800,15200
1431442019,161.6700,162.2700,161.6700,162.2400,8500
1431442020,161.5500,161.7700,161.5300,161.6300,5600
1431442139,161.7400,161.8300,161.5300,161.5500,8600
1431442143,161.6400,161.7500,161.5400,161.7400,1700
1431442258,161.3600,161.5100,161.3300,161.5100,3700
1431442316,161.3100,161.3900,161.2400,161.3300,3900
1431442373,161.3400,161.4000,161.2700,161.2800,1100
1431442397,161.2700,161.3201,161.2700,161.3200,1400
1431442450,161.2900,161.3900,161.2700,161.3800,1700
1431442504,161.2001,161.2700,161.1750,161.2400,18300
1431442597,161.2000,161.2300,161.2000,161.2300,1100
1431442629,160.9900,161.1700,160.9600,161.1000,8800
1431442729,161.0300,161.1100,160.9600,161.0700,3900
1431442743,161.0100,161.1400,160.9700,161.0200,6900
1431442814,160.9800,161.1100,160.9800,161.0900,2300
1431442871,161.1100,161.2000,161.0000,161.0400,2800
1431442924,161.1100,161.1500,160.9800,161.1200,3600
1431443022,161.0400,161.0400,161.0400,161.0400,200
1431443087,161.2000,161.2000,161.0300,161.0300,900
1431443100,161.2000,161.4300,161.0900,161.0900,11300
1431443218,161.2200,161.4200,161.1900,161.2800,6100
1431443273,160.9100,161.3250,160.9000,161.2200,7600
1431443283,160.6400,160.9410,160.6200,160.9000,5400
1431443358,160.6000,160.7600,160.4900,160.6200,2900
1431443404,160.6536,160.7100,160.5700,160.5700,1700
1431443492,160.5500,160.6200,160.5500,160.6200,600
1431443523,160.5500,160.6500,160.5500,160.5600,2100
1431443598,160.5400,160.6700,160.5100,160.5100,2500
1431443650,160.6200,160.7100,160.5500,160.6500,5200
1431443756,160.8000,160.8800,160.6400,160.6400,1500
1431443767,160.6400,160.7800,160.6400,160.7800,1600
1431443851,160.4800,160.5500,160.4800,160.5400,2400
1431443882,160.1901,160.4800,160.1900,160.4800,3100
1431443978,160.3110,160.3110,160.1700,160.1700,300
1431444017,160.3700,160.3700,160.1500,160.2450,1300
1431444063,160.8400,160.8400,160.4700,160.4700,1000
1431444161,160.5250,160.7000,160.5250,160.7000,3200
1431444224,160.6600,160.6600,160.4500,160.4500,2300
1431444242,160.6800,160.6800,160.6800,160.6800,300
1431444411,160.4800,160.7100,160.4800,160.7100,1800
1431444477,160.4250,160.5050,160.3300,160.4800,2200
1431444485,160.3400,160.3800,160.2800,160.2800,700
1431444577,160.2800,160.3000,160.2800,160.3000,400
1431444618,160.5400,160.6100,160.2600,160.2600,3800
1431444718,160.6700,160.6800,160.6700,160.6800,200
1431444766,160.6500,160.7700,160.6300,160.7700,400
1431444786,160.7200,160.7500,160.5600,160.7500,1600
1431444899,160.7200,160.7200,160.7200,160.7200,300
1431444924,160.7050,160.7200,160.7050,160.7200,200
1431445012,160.4900,160.7700,160.4900,160.7150,3200
1431445061,160.4000,160.4300,160.3100,160.4300,1500
1431445096,160.4500,160.4500,160.4500,160.4500,1800
1431445179,160.5100,160.5500,160.4650,160.4650,4400
1431445202,160.2600,160.4900,160.2000,160.4900,2400
1431445318,160.2200,160.2200,160.2200,160.2200,100
1431445328,160.2300,160.3100,160.2300,160.3100,600
1431445439,160.3800,160.3800,160.3000,160.3100,1000
1431445440,160.3550,160.3550,160.3286,160.3420,5200
1431445545,160.5600,160.5600,160.5600,160.5600,100
1431445574,160.5300,160.7300,160.5300,160.7300,2600
1431445672,160.6700,160.6700,160.6700,160.6700,100
1431445694,160.6900,160.6900,160.6900,160.6900,300
1431445799,160.6500,160.7200,160.5800,160.6700,4500
1431445801,160.3200,160.5900,160.2900,160.5900,3600
1431445906,160.3700,160.4000,160.3000,160.3200,4700
1431445922,160.0700,160.2935,160.0700,160.2935,3000
1431445997,160.2100,160.3300,160.1000,160.1200,3400
1431446137,160.1600,160.1700,160.1600,160.1700,600
1431446160,160.1900,160.1900,160.1100,160.1200,900
1431446231,160.2171,160.2171,160.2171,160.2171,200
1431446284,160.2100,160.2300,160.1100,160.2300,900
1431446392,160.0900,160.3000,160.0900,160.1200,3100
1431446416,160.1397,160.2000,160.0900,160.1900,1300
1431446492,160.2700,160.2900,160.2600,160.2600,1300
1431446521,160.1000,160.2200,160.1000,160.2200,1700
1431446634,160.0700,160.0700,160.0700,160.0700,200
1431446658,160.0600,160.0600,160.0600,160.0600,100
1431446701,160.1250,160.1250,160.0400,160.0800,1300
1431446819,160.1600,160.1600,160.1550,160.1550,300
1431446838,160.1200,160.1300,160.1200,160.1300,400
1431446937,160.2600,160.2600,160.1600,160.1600,1100
1431446940,160.0400,160.2800,160.0300,160.2800,4800
1431447029,160.0700,160.1000,159.9600,160.0200,29000
1431447115,160.3300,160.4300,160.0600,160.0600,2900
1431447123,160.2400,160.2400,160.2400,160.2400,100
1431447180,160.3400,160.4300,160.3300,160.3300,400
1431447276,160.3400,160.4600,160.3400,160.3750,400
1431447313,160.4000,160.4000,160.2600,160.3700,2700
1431447412,160.6500,160.6900,160.2400,160.2400,3500
1431447467,160.6300,160.7100,160.5300,160.5900,900
1431447498,160.6300,160.7200,160.6200,160.7200,800
1431447544,160.6000,160.6000,160.5200,160.5400,1100
1431447659,160.5900,160.6400,160.4500,160.5000,5700
1431447661,160.8200,160.8200,160.5900,160.5900,4900
1431447727,160.8600,160.8600,160.8400,160.8400,700
1431447780,160.7600,160.9200,160.7300,160.9200,4000
1431447891,160.8600,160.8600,160.7300,160.7300,600
1431447911,161.0500,161.0500,160.8700,160.8700,1700
1431447975,160.9700,161.0000,160.9400,161.0000,2000
1431448130,160.9700,161.0300,160.9700,160.9800,1700
1431448168,160.9950,160.9950,160.9696,160.9696,300
1431448216,160.8900,161.0500,160.8900,161.0500,4000
1431448314,161.0800,161.0800,160.9100,161.0100,1800
1431448367,160.9613,161.0800,160.9100,161.0800,800
1431448383,161.0600,161.0700,160.9900,160.9900,500
1431448452,161.0200,161.0800,160.9700,161.0800,500
1431448544,161.0800,161.1100,160.9500,160.9900,1300
1431448567,161.1900,161.3700,161.0000,161.1100,8400
1431448624,161.1100,161.3000,161.0900,161.2000,6300
1431448738,161.1000,161.1500,161.0900,161.1400,4400
1431448785,161.0800,161.0900,161.0500,161.0800,3700
1431448840,161.1300,161.1500,161.0800,161.0800,1800
1431448869,161.2100,161.2100,161.1500,161.2000,3400
1431448941,161.1900,161.2100,161.1000,161.2100,1200
1431449023,161.0700,161.2400,161.0700,161.1800,2500
1431449056,161.0500,161.0500,161.0350,161.0350,1200
1431449104,161.0900,161.1100,160.9700,161.0500,4800
1431449168,161.1100,161.1100,161.0100,161.0600,2300
1431449224,161.0400,161.1600,161.0400,161.1600,1900
1431449329,161.1300,161.1600,161.1300,161.1600,400
1431449394,161.2800,161.3200,161.1800,161.1800,1400
1431449406,161.4100,161.4100,161.3400,161.3400,900
1431449473,161.6000,161.6600,161.3900,161.4600,4900
1431449578,161.6100,161.6300,161.5000,161.5200,4400
1431449595,161.5000,161.5670,161.4600,161.5000,1700
1431449644,161.4200,161.4200,161.4200,161.4200,200
1431449705,161.1900,161.5000,161.1800,161.5000,4900
1431449761,161.2500,161.2500,161.1300,161.1500,1500
1431449875,161.1500,161.2500,161.1500,161.2200,1400
1431449904,161.1500,161.1500,161.0500,161.1000,1200
1431449942,161.0000,161.0400,161.0000,161.0400,4100
1431450045,161.0200,161.0200,161.0001,161.0001,200
1431450117,161.0850,161.2000,161.0800,161.1500,4600
1431450177,161.0000,161.1500,161.0000,161.0850,3900
1431450237,161.0500,161.1200,161.0000,161.0000,21500
1431450247,161.1200,161.1200,161.0000,161.0100,3900
1431450357,161.1100,161.1200,161.0200,161.0600,2000
1431450377,161.1700,161.1700,161.0750,161.0750,3800
1431450477,161.2500,161.2600,161.2200,161.2600,1200
1431450480,161.3300,161.3300,161.2200,161.2500,3000
1431450594,161.4600,161.4600,161.2800,161.2800,1700
1431450614,161.5800,161.5800,161.3600,161.4700,3000
1431450676,161.6800,161.6800,161.6700,161.6700,400
1431450740,161.7600,161.7600,161.7600,161.7600,400
1431450839,161.7000,161.7600,161.5300,161.7600,2600
1431450883,161.5900,161.7800,161.5900,161.7100,2700
1431450900,161.3950,161.6500,161.3500,161.6500,5500
1431451015,161.4000,161.5300,161.3500,161.4200,3100
1431451024,161.4625,161.4800,161.3500,161.3999,3500
1431451088,161.3400,161.3400,161.2700,161.2800,700
1431451177,161.3400,161.3500,161.2900,161.3000,2600
1431451205,161.4200,161.4200,161.3600,161.3800,900
1431451272,161.4000,161.4400,161.3425,161.3425,2300
1431451403,161.2400,161.4000,161.2400,161.3500,3300
1431451442,161.2701,161.3600,161.1300,161.1600,1500
1431451500,161.3600,161.3600,161.3600,161.3600,100
1431451598,161.1500,161.3300,161.1300,161.2700,2100
1431451629,161.2200,161.2200,161.1200,161.1500,1000
1431451749,161.2220,161.2220,161.2220,161.2220,100
1431451803,161.2576,161.3500,161.1700,161.1800,8900
1431451914,161.3400,161.3400,161.3400,161.3400,100
1431451926,161.2100,161.3400,161.2100,161.2300,2100
1431452032,161.3000,161.3000,161.2000,161.2001,1100
1431452059,161.3000,161.4000,161.3000,161.3000,2500
1431452120,161.3400,161.4100,161.3400,161.4000,300
1431452169,161.1850,161.2400,161.1300,161.2400,6200
1431452222,161.2300,161.2900,161.1900,161.2400,4500
1431452287,161.2100,161.2300,161.1250,161.2300,7000
1431452444,161.1800,161.1800,161.1300,161.1300,800
1431452499,161.2000,161.2200,161.1500,161.2200,1400
1431452568,161.1900,161.2300,161.1900,161.2200,6000
1431452638,161.1400,161.2400,161.1200,161.2000,9100
1431452641,161.1400,161.1525,161.0600,161.1500,9100
1431452759,161.1000,161.1000,160.9500,161.0600,6200
1431452813,161.2000,161.2000,161.0300,161.1500,4800
1431452833,161.0900,161.1800,161.0900,161.1800,7900
1431452893,161.0950,161.1100,161.0500,161.0600,1900
1431452997,161.0800,161.1200,161.0800,161.1100,800
1431453012,161.2000,161.2000,161.0600,161.0600,3000
1431453104,161.3500,161.3500,161.1350,161.1500,1400
1431453125,161.1300,161.3500,161.1300,161.3000,4400
1431453180,161.2500,161.2500,161.1300,161.1300,1400
1431453249,161.2400,161.2400,161.1500,161.1500,2100
1431453359,161.2950,161.2950,161.1800,161.1900,2900
1431453403,161.3070,161.3070,161.3070,161.3070,300
1431453465,161.2800,161.3200,161.2800,161.3200,200
1431453493,161.3100,161.3200,161.2800,161.3200,400
1431453540,161.3200,161.3200,161.2200,161.2200,1600
1431453658,161.4600,161.4600,161.3301,161.4000,1800
1431453662,161.6200,161.6200,161.4600,161.4600,1100
