uri:/instrument/1.0/AMBA/chartdata;type=quote;range=1d/csv
ticker:amba
Company-Name:Ambarella, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:73.1100
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:73.3748,75.5000
high:73.5700,75.5000
low:73.3400,75.4700
open:73.4000,75.4800
volume:0,25600
1431610258,73.5700,73.5700,73.4100,73.4100,15000
1431610318,73.6300,73.7900,73.5500,73.5500,4400
1431610328,73.3748,73.6400,73.3400,73.6300,13400
1431610398,73.7450,73.7450,73.4000,73.4000,4900
1431610483,73.6800,73.8500,73.6800,73.7500,8300
1431610500,73.5400,73.7295,73.4900,73.4900,3200
1431610607,73.6301,73.6301,73.6000,73.6000,3700
1431610665,73.7100,73.7400,73.7010,73.7400,1200
1431610690,73.6800,73.7200,73.5900,73.6910,3900
1431610797,73.8100,73.8100,73.7860,73.7860,2000
1431610855,73.8000,73.8800,73.7500,73.8300,5200
1431610908,74.1100,74.1100,73.8156,73.8800,18600
1431610922,73.8020,74.1025,73.8020,74.0600,6200
1431610991,73.8200,73.9900,73.8200,73.9900,3400
1431611086,73.9500,73.9500,73.9200,73.9400,900
1431611154,73.8600,73.8925,73.8500,73.8695,1300
1431611164,73.8600,73.9500,73.8500,73.9100,3300
1431611230,73.8800,73.9810,73.8700,73.8700,1600
1431611286,73.8400,74.0000,73.8400,73.9900,4500
1431611380,73.9250,73.9250,73.8400,73.8600,1400
1431611412,74.1560,74.1900,73.9700,73.9900,15300
1431611462,74.1900,74.1900,74.1900,74.1900,3300
1431611548,74.2500,74.2500,74.1100,74.1949,4900
1431611596,74.1000,74.1700,74.1000,74.1347,2600
1431611697,74.2200,74.2200,74.1001,74.1890,8900
1431611707,74.2600,74.2600,74.1940,74.2300,5800
1431611761,74.2492,74.2800,74.1800,74.2000,4600
1431611858,74.0100,74.2425,74.0100,74.2100,25600
1431611905,74.0700,74.0700,74.0400,74.0700,400
1431611944,74.1800,74.1800,74.0201,74.0300,1600
1431612059,74.1100,74.1550,74.0600,74.0600,1000
1431612060,74.2656,74.2900,74.1200,74.1200,6800
1431612178,74.0700,74.2350,74.0700,74.2350,4500
1431612186,74.2300,74.2300,74.0400,74.0500,3300
1431612296,74.3400,74.3400,74.2799,74.2799,2100
1431612359,74.3900,74.4500,74.2837,74.2837,4300
1431612362,74.4302,74.4500,74.3200,74.3810,7600
1431612473,74.2601,74.4550,74.2601,74.4400,7400
1431612526,74.4699,74.4700,74.3000,74.4200,6300
1431612569,74.4200,74.4900,74.4200,74.4700,3200
1431612652,74.4300,74.4500,74.4000,74.4100,1400
1431612706,74.3500,74.4900,74.3500,74.4899,6400
1431612739,74.4500,74.4500,74.3100,74.3722,3000
1431612838,74.4600,74.5000,74.4001,74.4141,3900
1431612899,74.5000,74.5000,74.4300,74.4600,6300
1431612901,74.6940,74.7000,74.5000,74.5000,23300
1431612966,74.8500,74.9000,74.7200,74.7200,14400
1431613075,74.7300,74.9100,74.7300,74.8600,6100
1431613083,74.6700,74.7400,74.6400,74.7245,4900
