uri:/instrument/1.0/AMRS/chartdata;type=quote;range=500d/csv
ticker:amrs
Company-Name:Amyris, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1.9900
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:1.9400,2.6660
high:1.9450,2.7100
low:1.9400,2.5999
open:1.9401,2.6310
volume:0,315400
1429882594,2.5500,2.5900,2.5500,2.5900,35300
1429883161,2.5700,2.5700,2.5700,2.5700,500
1429883581,2.5800,2.5800,2.5800,2.5800,400
1429884266,2.5699,2.5900,2.5600,2.5700,2000
1429884463,2.5800,2.5800,2.5600,2.5650,6900
1429884697,2.5800,2.5800,2.5600,2.5600,600
1429885177,2.5600,2.5600,2.5600,2.5600,2400
1429885417,2.5400,2.5600,2.5400,2.5600,14100
1429885737,2.5100,2.5300,2.5100,2.5300,800
1429885953,2.5100,2.5100,2.5100,2.5100,600
1429886372,2.5000,2.5300,2.5000,2.5200,7300
1429886599,2.4950,2.5000,2.4950,2.5000,4700
1429886827,2.4800,2.5000,2.4800,2.5000,600
1429887277,2.4800,2.4899,2.4800,2.4800,2200
1429887517,2.4800,2.4800,2.4800,2.4800,600
1429887789,2.4700,2.4700,2.4700,2.4700,500
1429887931,2.4850,2.4900,2.4850,2.4900,2400
1429888246,2.4950,2.5000,2.4950,2.5000,400
1429888757,2.5000,2.5000,2.5000,2.5000,600
1429889059,2.5300,2.5499,2.5000,2.5000,4800
1429889306,2.5260,2.5300,2.5200,2.5300,700
1429889637,2.5200,2.5200,2.5200,2.5200,600
1429889891,2.5000,2.5200,2.5000,2.5200,2600
1429890127,2.5000,2.5000,2.5000,2.5000,600
1429890367,2.5000,2.5000,2.5000,2.5000,500
1429890617,2.5000,2.5000,2.5000,2.5000,600
1429891187,2.5000,2.5001,2.5000,2.5000,1700
1429891392,2.5000,2.5000,2.5000,2.5000,800
1429891687,2.4900,2.4900,2.4900,2.4900,400
1429892087,2.4700,2.4900,2.4700,2.4800,2800
1429892327,2.4600,2.4700,2.4600,2.4700,1100
1429892656,2.4700,2.4700,2.4700,2.4700,800
1429892986,2.4700,2.4700,2.4700,2.4700,700
1429893227,2.4700,2.4700,2.4700,2.4700,600
1429893567,2.4700,2.4800,2.4700,2.4700,900
1429893857,2.4700,2.4900,2.4700,2.4700,2300
1429894123,2.4700,2.4700,2.4700,2.4700,100
1429894332,2.4700,2.4700,2.4700,2.4700,100
1429895620,2.4600,2.4800,2.4600,2.4800,2400
1429896884,2.4760,2.4899,2.4700,2.4700,1500
1429897584,2.4900,2.4900,2.4900,2.4900,100
1429898385,2.4899,2.5000,2.4899,2.5000,1000
1429898602,2.5100,2.5100,2.4900,2.4999,4400
1429899570,2.5101,2.5101,2.5101,2.5101,200
1429900102,2.5100,2.5200,2.5100,2.5200,700
1429901225,2.5100,2.5200,2.5100,2.5190,1100
1429901625,2.4800,2.5149,2.4800,2.5149,5700
1429901955,2.4648,2.4832,2.4648,2.4832,600
1429902154,2.4732,2.4732,2.4732,2.4732,200
1429902552,2.4600,2.4648,2.4600,2.4610,1100
1429902817,2.4600,2.4603,2.4600,2.4600,1200
1429903087,2.4700,2.4900,2.4700,2.4900,300
1429903722,2.4900,2.4900,2.4900,2.4900,300
1429903986,2.5000,2.5000,2.5000,2.5000,100
1429904216,2.4900,2.5000,2.4900,2.5000,300
1429904430,2.5100,2.5100,2.5100,2.5100,100
1429904897,2.5000,2.5000,2.5000,2.5000,200
1429905107,2.5100,2.5300,2.5100,2.5100,300
1429905486,2.5300,2.5400,2.5300,2.5300,3400
1429905600,2.5200,2.5200,2.5200,2.5200,0
1430141949,2.5300,2.5500,2.5300,2.5500,0
1430142072,2.5100,2.5100,2.5100,2.5100,200
1430142502,2.5400,2.5400,2.5400,2.5400,100
1430142604,2.5100,2.5100,2.5100,2.5100,100
1430143180,2.5300,2.5400,2.5300,2.5400,2600
1430143247,2.5300,2.5400,2.5300,2.5399,900
1430143760,2.5500,2.5500,2.5500,2.5500,300
1430144090,2.5468,2.5468,2.5400,2.5400,2600
1430144640,2.5800,2.5800,2.5401,2.5468,2800
1430144708,2.5550,2.5600,2.5550,2.5600,300
1430145761,2.5500,2.5500,2.5500,2.5500,200
1430146101,2.5600,2.5800,2.5600,2.5800,300
1430146357,2.5700,2.5800,2.5600,2.5800,1000
1430146521,2.5699,2.5699,2.5699,2.5699,2000
1430147003,2.5400,2.5700,2.5400,2.5700,3600
1430149755,2.5700,2.5700,2.5700,2.5700,500
1430149906,2.5502,2.5502,2.5502,2.5502,100
1430151185,2.5400,2.5400,2.5400,2.5400,600
1430151568,2.5300,2.5400,2.5300,2.5400,4300
1430152408,2.5300,2.5300,2.5300,2.5300,100
1430153042,2.5100,2.5100,2.5100,2.5100,400
1430153197,2.5270,2.5300,2.5000,2.5150,2000
1430153960,2.5000,2.5300,2.5000,2.5300,500
1430154024,2.4900,2.5000,2.4900,2.5000,1400
1430155188,2.4900,2.4900,2.4800,2.4800,300
1430155297,2.4900,2.5000,2.4800,2.4850,2200
1430157747,2.4850,2.4900,2.4850,2.4900,300
1430158848,2.4700,2.4700,2.4700,2.4700,100
1430159298,2.4699,2.4700,2.4699,2.4700,900
1430159514,2.4200,2.4400,2.4200,2.4400,1700
1430159906,2.4500,2.4500,2.4500,2.4500,100
1430160649,2.4200,2.4200,2.4200,2.4200,100
1430162098,2.4329,2.4329,2.4329,2.4329,500
1430162148,2.4200,2.4200,2.4200,2.4200,100
1430162426,2.4200,2.4200,2.4200,2.4200,100
1430162729,2.4600,2.4696,2.4400,2.4400,5100
1430163295,2.4500,2.4700,2.4400,2.4400,400
1430163550,2.4400,2.4500,2.4400,2.4500,200
1430163791,2.4300,2.4300,2.4300,2.4300,100
1430164196,2.4300,2.4300,2.4300,2.4300,400
1430164391,2.4400,2.4400,2.4400,2.4400,300
1430164750,2.4400,2.4400,2.4400,2.4400,10900
1430164800,2.4600,2.4600,2.4600,2.4600,0
1430229301,2.4600,2.4600,2.4600,2.4600,0
1430230176,2.4600,2.4600,2.4600,2.4600,300
1430230201,2.4600,2.4700,2.4600,2.4700,300
1430230799,2.4500,2.4600,2.4500,2.4600,2500
1430231074,2.4500,2.4600,2.4500,2.4600,200
1430231101,2.4500,2.4500,2.4500,2.4500,100
1430232289,2.4600,2.4610,2.4600,2.4610,1200
1430232652,2.4600,2.4700,2.4600,2.4700,500
1430232925,2.4700,2.4700,2.4600,2.4600,200
1430233306,2.4900,2.4900,2.4700,2.4700,700
1430233949,2.4900,2.4900,2.4850,2.4850,300
1430234701,2.4900,2.4900,2.4900,2.4900,100
1430235301,2.4800,2.4800,2.4800,2.4800,200
1430236342,2.5000,2.5000,2.4900,2.4900,200
1430236501,2.5000,2.5000,2.5000,2.5000,100
1430237026,2.5000,2.5000,2.4901,2.4901,400
1430237385,2.5000,2.5000,2.5000,2.5000,400
1430237401,2.4950,2.4950,2.4950,2.4950,100
1430237974,2.5000,2.5000,2.4900,2.4900,200
1430238777,2.4900,2.4950,2.4900,2.4950,300
1430239071,2.4900,2.4900,2.4900,2.4900,200
1430239390,2.5000,2.5000,2.4900,2.4900,300
1430239932,2.4900,2.4900,2.4900,2.4900,200
1430240339,2.5000,2.5000,2.4900,2.4900,200
1430240680,2.5000,2.5000,2.4900,2.4900,300
1430240840,2.5000,2.5000,2.5000,2.5000,800
1430241258,2.5100,2.5100,2.5000,2.5000,200
1430241301,2.5100,2.5100,2.5100,2.5100,100
1430242130,2.5150,2.5150,2.5150,2.5150,500
1430242501,2.5200,2.5200,2.5200,2.5200,100
1430243976,2.5300,2.5300,2.5200,2.5200,1300
1430244081,2.5300,2.5300,2.5300,2.5300,400
1430244483,2.5349,2.5400,2.5300,2.5300,600
1430244647,2.5400,2.5400,2.5400,2.5400,100
1430245096,2.5100,2.5100,2.5100,2.5100,100
1430245416,2.5000,2.5000,2.5000,2.5000,200
1430245741,2.5000,2.5000,2.5000,2.5000,200
1430246035,2.5000,2.5000,2.5000,2.5000,100
1430246124,2.5000,2.5000,2.5000,2.5000,100
1430246474,2.5050,2.5050,2.5000,2.5000,400
1430247036,2.5066,2.5100,2.5065,2.5100,1000
1430247731,2.5045,2.5045,2.5045,2.5045,2000
1430248153,2.5000,2.5000,2.5000,2.5000,100
1430248593,2.5100,2.5100,2.5100,2.5100,200
1430249255,2.5000,2.5000,2.4900,2.5000,1000
1430249568,2.4900,2.4910,2.4900,2.4910,200
1430249826,2.4900,2.5000,2.4900,2.5000,200
1430250267,2.4760,2.4900,2.4760,2.4900,2300
1430250517,2.4700,2.4700,2.4700,2.4700,100
1430250863,2.4900,2.4900,2.4700,2.4800,6900
1430251098,2.4900,2.4900,2.4700,2.4700,10800
1430251200,2.5000,2.5000,2.5000,2.5000,0
1430314764,2.4900,2.4900,2.4900,2.4900,0
1430316809,2.4800,2.4800,2.4800,2.4800,1700
1430317001,2.4600,2.4700,2.4600,2.4700,500
1430317386,2.4700,2.4900,2.4700,2.4900,200
1430317819,2.4500,2.4800,2.4500,2.4500,4200
1430318382,2.4500,2.4500,2.4500,2.4500,700
1430319440,2.4500,2.4500,2.4400,2.4400,1900
1430319863,2.4500,2.4500,2.4500,2.4500,500
1430320122,2.4500,2.4500,2.4500,2.4500,1600
1430320710,2.4600,2.4600,2.4500,2.4600,5600
1430320966,2.4600,2.4600,2.4500,2.4600,2000
1430321572,2.4500,2.4600,2.4500,2.4600,2100
1430322684,2.4700,2.4700,2.4700,2.4700,100
1430323622,2.4799,2.4800,2.4600,2.4700,900
1430324020,2.4900,2.4900,2.4800,2.4900,1000
1430324771,2.5000,2.5000,2.4950,2.5000,800
1430325020,2.5000,2.5000,2.5000,2.5000,200
1430325581,2.4800,2.4800,2.4800,2.4800,100
1430325887,2.4900,2.4970,2.4800,2.4950,3300
1430326181,2.4900,2.4900,2.4900,2.4900,200
1430326245,2.4900,2.4900,2.4900,2.4900,200
1430326765,2.4800,2.4900,2.4800,2.4900,3300
1430327023,2.4600,2.4610,2.4600,2.4610,3300
1430328724,2.4500,2.4600,2.4500,2.4600,32700
1430329034,2.4500,2.4500,2.4500,2.4500,200
1430329439,2.4500,2.4700,2.4500,2.4700,4200
1430329770,2.4500,2.4500,2.4500,2.4500,1300
1430331138,2.4500,2.4600,2.4500,2.4600,300
1430331828,2.4700,2.4700,2.4500,2.4500,200
1430332492,2.4700,2.4700,2.4700,2.4700,100
1430332775,2.5000,2.5200,2.4700,2.4700,6900
1430332802,2.5000,2.5200,2.5000,2.5200,900
1430333633,2.4901,2.4901,2.4901,2.4901,6000
1430334847,2.4900,2.4900,2.4900,2.4900,2900
1430335095,2.4800,2.4800,2.4800,2.4800,100
1430335371,2.4600,2.4600,2.4600,2.4600,100
1430336375,2.4800,2.4800,2.4800,2.4800,100
1430336689,2.4601,2.4601,2.4600,2.4600,1300
1430336876,2.4500,2.4500,2.4500,2.4500,100
1430337252,2.4200,2.4500,2.4200,2.4500,2800
