uri:/instrument/1.0/AREX/chartdata;type=quote;range=500d/csv
ticker:arex
Company-Name:Approach Resources Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:7.7300
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:7.4099,8.9300
high:7.4100,8.9350
low:7.3700,8.9100
open:7.4100,8.9200
volume:0,239200
1429882435,8.2900,8.2900,8.2900,8.2900,10000
1429882795,8.2500,8.3900,8.2500,8.3600,34100
1429883041,8.3000,8.3200,8.1300,8.2500,11100
1429883349,8.2700,8.3310,8.2700,8.3200,5500
1429883666,8.2900,8.3200,8.2700,8.3200,3100
1429883999,8.2700,8.2900,8.2300,8.2800,11100
1429884250,8.1900,8.2800,8.1800,8.2790,16000
1429884582,8.1200,8.1900,8.1200,8.1900,5100
1429884879,8.1500,8.1500,8.1200,8.1290,4600
1429885161,8.2250,8.2500,8.1400,8.1500,8300
1429885454,8.1900,8.2200,8.1700,8.2200,11400
1429885752,8.1902,8.2100,8.1500,8.2100,8900
1429886071,8.3200,8.3200,8.1900,8.1900,10400
1429886370,8.1900,8.3100,8.1800,8.3100,15400
1429886683,8.2200,8.2400,8.2000,8.2000,4600
1429886995,8.2190,8.2490,8.2100,8.2300,9600
1429887241,8.2200,8.2500,8.1900,8.2100,17500
1429887595,8.2600,8.2800,8.2200,8.2300,77400
1429887899,8.2100,8.2700,8.1900,8.2700,30700
1429888199,8.1599,8.2500,8.1350,8.2100,132100
1429888442,8.1600,8.2200,8.1350,8.1600,73100
1429888798,8.1750,8.1900,8.1600,8.1900,5200
1429889097,8.2000,8.2000,8.1700,8.1750,7300
1429889380,8.1900,8.2300,8.1800,8.2300,5700
1429889668,8.1700,8.2100,8.1700,8.2000,3900
1429889976,8.1700,8.1899,8.1600,8.1700,4500
1429890282,8.1600,8.1700,8.1500,8.1700,2100
1429890511,8.1300,8.1600,8.1300,8.1600,18400
1429890892,8.0990,8.1299,8.0800,8.1299,7400
1429891170,8.1000,8.1080,8.0900,8.0900,2500
1429891463,8.1400,8.1400,8.1000,8.1000,6700
1429891716,8.1100,8.1300,8.0900,8.1300,3500
1429892098,8.0900,8.1000,8.0900,8.1000,3500
1429892390,8.0869,8.0900,8.0600,8.0800,11500
1429892674,8.0800,8.1000,8.0800,8.0899,5300
1429892936,8.0800,8.1000,8.0600,8.0800,3400
1429893257,8.0700,8.0700,8.0600,8.0700,2700
1429893541,8.0600,8.0800,8.0600,8.0700,8900
1429893790,8.0800,8.0800,8.0700,8.0700,1500
1429894168,8.0700,8.1000,8.0690,8.0800,13900
1429894472,8.0800,8.0800,8.0750,8.0750,3500
1429894768,8.0800,8.0800,8.0700,8.0700,200
1429895082,8.0900,8.1200,8.0800,8.0800,19900
1429895331,8.1000,8.1100,8.0600,8.0800,8100
1429895593,8.1000,8.1100,8.0800,8.1000,5700
1429895942,8.1400,8.1400,8.1000,8.1000,3600
1429896292,8.1700,8.1700,8.1100,8.1400,3100
1429896586,8.1300,8.1800,8.1200,8.1601,6100
1429896879,8.1400,8.1600,8.1300,8.1400,19400
1429897035,8.1400,8.1600,8.1100,8.1500,7500
1429897451,8.1300,8.1400,8.1000,8.1300,25900
1429897770,8.0900,8.1300,8.0900,8.1300,6700
1429897895,8.1100,8.1100,8.0800,8.0800,2500
1429898398,8.0500,8.0900,8.0300,8.0900,44500
1429898601,8.0800,8.0800,8.0499,8.0500,9400
1429898943,8.0600,8.0700,8.0600,8.0700,2200
1429899263,8.0600,8.0700,8.0579,8.0579,5100
1429899599,8.0700,8.0700,8.0300,8.0500,7900
1429899894,8.0500,8.0770,8.0500,8.0700,5100
1429900163,8.0101,8.0400,8.0100,8.0400,6100
1429900494,8.0299,8.0299,8.0100,8.0140,1100
1429900698,8.0100,8.0300,8.0100,8.0300,11000
1429900938,8.0300,8.0300,8.0199,8.0200,3500
1429901364,8.0300,8.0600,8.0300,8.0400,8700
1429901642,8.0300,8.0400,8.0200,8.0400,2500
1429901955,7.9984,8.0300,7.9900,8.0284,14600
1429902292,7.9800,8.0168,7.9800,8.0000,8900
1429902560,7.9584,7.9800,7.9490,7.9800,11500
1429902878,7.9600,7.9700,7.9600,7.9600,1200
1429903153,7.9700,7.9700,7.9600,7.9684,3300
1429903470,7.9800,7.9900,7.9700,7.9700,11100
1429903790,7.9800,7.9926,7.9616,7.9700,17100
1429904063,7.9800,7.9800,7.9700,7.9800,16600
1429904394,8.0500,8.0500,7.9800,7.9800,7700
1429904678,8.0455,8.0900,8.0400,8.0450,20400
1429904942,8.0200,8.0700,8.0100,8.0450,27600
1429905297,7.9300,8.0200,7.9200,8.0100,107300
1429905540,8.0000,8.0100,7.9200,7.9400,166100
1429905600,7.9800,7.9800,7.9800,7.9800,0
1430141697,7.9400,8.0900,7.9200,7.9800,0
1430141948,7.9697,7.9900,7.9100,7.9500,6400
1430142297,7.9300,7.9700,7.8600,7.9700,13400
1430142577,7.9248,7.9500,7.8700,7.9000,11000
1430142844,8.0200,8.0200,7.9400,7.9400,13300
1430143143,8.0302,8.0400,8.0000,8.0200,17900
1430143499,8.1000,8.1300,8.0400,8.0500,11500
1430143788,8.1000,8.1300,8.0900,8.1000,4600
1430144078,8.1183,8.1400,8.1000,8.1000,6900
1430144299,8.0600,8.1400,8.0600,8.1250,9200
1430144653,8.1400,8.1400,8.0800,8.0900,5500
1430144884,8.1200,8.1400,8.1100,8.1400,4500
1430145265,8.1700,8.1800,8.1000,8.1200,4900
1430145558,8.1700,8.1870,8.1500,8.1500,14000
1430145847,8.1900,8.2200,8.1600,8.1750,21300
1430146185,8.1200,8.1781,8.1000,8.1781,12400
1430146472,8.0400,8.1100,8.0400,8.1000,12600
1430146645,8.0500,8.0500,8.0300,8.0300,600
1430147037,8.0300,8.0500,8.0300,8.0500,5600
1430147399,8.0200,8.0500,8.0200,8.0400,4800
1430147521,8.0700,8.0700,8.0300,8.0300,2700
1430147882,8.0200,8.0401,8.0200,8.0401,3800
1430148278,8.0100,8.0300,8.0000,8.0200,8600
1430148568,7.9900,8.0200,7.9800,8.0200,6300
1430148837,8.0000,8.0200,7.9850,7.9900,6400
1430149157,7.9850,8.0100,7.9850,8.0100,2400
1430149485,8.0200,8.0300,7.9900,7.9900,19800
1430149743,7.9950,8.0450,7.9950,8.0100,10200
1430150068,8.0100,8.0200,8.0000,8.0000,1300
1430150387,8.0000,8.0400,8.0000,8.0100,3600
1430150593,8.0100,8.0200,8.0000,8.0000,1600
1430150978,8.0050,8.0350,8.0000,8.0100,7400
1430151258,8.0100,8.0200,8.0100,8.0100,1500
1430151588,7.9700,8.0100,7.9700,8.0100,9300
1430151794,7.9900,8.0100,7.9750,7.9900,4400
1430152089,7.9900,7.9900,7.9700,7.9700,11300
1430152499,7.9600,7.9850,7.9500,7.9800,9800
1430152761,7.9100,7.9650,7.8900,7.9600,16400
1430153092,7.9100,7.9350,7.9000,7.9200,4900
1430153389,7.8700,7.9100,7.8700,7.9100,2800
1430153653,7.8800,7.9000,7.8600,7.8700,9500
1430153975,7.8603,7.9100,7.8603,7.8900,2800
1430154272,7.8600,7.8900,7.8500,7.8800,7200
1430154542,7.8500,7.8800,7.8500,7.8600,2300
1430154896,7.8150,7.8630,7.7943,7.8630,20000
1430155198,7.8600,7.8700,7.8100,7.8177,14300
1430155419,7.8300,7.8600,7.8300,7.8400,6200
1430155717,7.8000,7.8300,7.8000,7.8200,3300
1430156051,7.7700,7.8100,7.7700,7.8100,7300
1430156397,7.7700,7.7800,7.7400,7.7700,6200
1430156694,7.7500,7.7600,7.7400,7.7500,9000
1430156957,7.7700,7.7800,7.7600,7.7600,5700
1430157266,7.7700,7.7700,7.7400,7.7600,4000
1430157512,7.7500,7.7700,7.7500,7.7700,9500
1430157841,7.8100,7.8100,7.7600,7.7600,10800
1430158177,7.8100,7.8100,7.7950,7.8100,2300
1430158462,7.7700,7.8000,7.7700,7.8000,1800
1430158726,7.7600,7.7700,7.7500,7.7700,4600
1430159085,7.7700,7.7900,7.7600,7.7660,7000
1430159243,7.8000,7.8000,7.7888,7.7900,6400
1430159639,7.8050,7.8100,7.8000,7.8100,5500
1430159992,7.8200,7.8200,7.7901,7.8100,5400
1430160282,7.8300,7.8300,7.8200,7.8200,2700
1430160581,7.8200,7.8400,7.8100,7.8400,4400
1430160856,7.8300,7.8400,7.8200,7.8200,4400
1430161041,7.8400,7.8400,7.8300,7.8300,2800
1430161484,7.8300,7.8400,7.8100,7.8300,7900
1430161756,7.8400,7.8500,7.8300,7.8301,7800
1430162098,7.8400,7.8600,7.8300,7.8400,18400
1430162389,7.8300,7.8600,7.8300,7.8400,6300
1430162664,7.8400,7.8600,7.8100,7.8300,10000
1430162900,7.8500,7.8500,7.8300,7.8400,5400
1430163253,7.8350,7.8400,7.8300,7.8400,4700
1430163594,7.8400,7.8400,7.8201,7.8400,6300
1430163892,7.8300,7.8400,7.8200,7.8400,8800
1430164186,7.8100,7.8200,7.8000,7.8100,12300
1430164483,7.8299,7.8300,7.8000,7.8000,10000
1430164743,7.8100,7.8200,7.8100,7.8200,69100
1430164800,7.7800,7.7800,7.7800,7.7800,0
1430228086,8.0000,8.0800,7.8900,7.8900,0
1430228336,7.9400,8.0600,7.9300,8.0600,5800
1430228643,7.9500,7.9600,7.9200,7.9500,4900
1430228970,7.9380,7.9500,7.8600,7.9200,3300
1430229257,7.9300,7.9600,7.9200,7.9300,8200
1430229595,8.0500,8.0500,7.9200,7.9300,9500
1430229814,8.0800,8.1102,8.0140,8.0500,13400
1430230198,8.0700,8.1400,8.0700,8.0900,16200
1430230475,8.0600,8.0900,8.0200,8.0682,30600
1430230787,8.1000,8.1000,8.0300,8.0400,55400
1430231093,8.0200,8.0900,8.0200,8.0900,16100
1430231349,8.0100,8.0500,7.9900,8.0200,13300
1430231657,8.0500,8.0600,8.0300,8.0400,3700
1430231951,8.0700,8.0700,8.0300,8.0300,26200
1430232271,8.0500,8.0800,8.0400,8.0800,11200
1430232567,8.0300,8.0700,8.0200,8.0500,8000
1430232894,8.0400,8.0400,8.0050,8.0300,7400
1430233147,8.0400,8.0600,8.0300,8.0300,3000
1430233499,8.0900,8.1100,8.0700,8.0700,12400
1430233759,8.1100,8.1200,8.0700,8.0850,10700
1430234065,8.1100,8.1300,8.0800,8.1200,10100
1430234350,8.1500,8.1500,8.1200,8.1200,8300
1430234645,8.1400,8.1400,8.1100,8.1400,4700
1430234939,8.1000,8.1500,8.1000,8.1500,2200
