uri:/instrument/1.0/AZPN/chartdata;type=quote;range=1d/csv
ticker:azpn
Company-Name:Aspen Technology, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:41.9600
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:41.3200,42.0600
high:41.3300,42.0600
low:41.3000,41.9900
open:41.3100,41.9900
volume:0,42600
1431437460,42.0600,42.0600,41.9800,41.9800,5000
1431437593,41.9900,41.9900,41.9700,41.9700,800
1431437678,41.8600,41.8800,41.8300,41.8800,1400
1431437758,41.8900,41.8900,41.8900,41.8900,1300
1431437804,41.9900,42.0000,41.9900,41.9900,1100
1431437879,41.9600,41.9600,41.9100,41.9100,1000
1431437884,41.9100,41.9600,41.9100,41.9600,1400
1431438029,41.8101,41.8101,41.8101,41.8101,100
1431438066,41.7600,41.8500,41.7600,41.8300,3600
1431438154,41.7770,41.7770,41.7400,41.7400,300
1431438231,41.7500,41.7500,41.6700,41.7400,1400
1431438294,41.6700,41.7900,41.6700,41.7800,4600
1431438316,41.6200,41.6350,41.6200,41.6200,1400
1431438417,41.5600,41.5600,41.5600,41.5600,800
1431438448,41.5900,41.5900,41.5600,41.5600,300
1431438494,41.5900,41.5900,41.5900,41.5900,400
1431438598,41.6200,41.6500,41.6200,41.6200,800
1431438600,41.6000,41.6100,41.5900,41.6100,800
1431438697,41.6100,41.6500,41.6100,41.6500,600
1431438734,41.6100,41.6900,41.6100,41.6700,2200
1431438837,41.6100,41.6100,41.6100,41.6100,300
1431438868,41.5290,41.6200,41.5290,41.6200,500
1431438905,41.5032,41.5032,41.5032,41.5032,100
1431438963,41.5000,41.5000,41.5000,41.5000,500
1431439085,41.4900,41.5000,41.4300,41.5000,900
1431439177,41.4900,41.4900,41.4900,41.4900,100
1431439259,41.4300,41.4900,41.4300,41.4800,2500
1431439261,41.4000,41.4800,41.3700,41.4300,7500
1431439342,41.3400,41.3700,41.3200,41.3700,700
1431439429,41.4700,41.4700,41.3700,41.3700,3700
1431439448,41.4300,41.4700,41.4300,41.4700,1200
1431439501,41.4100,41.4600,41.4100,41.4200,3200
1431439582,41.3200,41.4100,41.3200,41.3800,2900
1431439623,41.3300,41.3300,41.3000,41.3100,1100
1431439735,41.4100,41.4100,41.3500,41.3500,1000
1431439750,41.4600,41.4600,41.4200,41.4550,600
1431439813,41.3800,41.4500,41.3800,41.4300,1300
1431439883,41.4100,41.4100,41.3900,41.4100,400
1431439935,41.3700,41.4199,41.3700,41.4199,900
1431440001,41.4000,41.4000,41.3700,41.3700,300
1431440098,41.3500,41.3900,41.3300,41.3300,500
1431440106,41.3800,41.3800,41.3700,41.3700,500
1431440161,41.4800,41.4800,41.4100,41.4100,1400
1431440257,41.4500,41.4800,41.4400,41.4700,2800
1431440280,41.4100,41.4380,41.3900,41.4380,500
1431440344,41.3650,41.3970,41.3500,41.3970,900
1431440438,41.3500,41.3900,41.3500,41.3900,300
1431440476,41.3800,41.3900,41.3700,41.3700,1600
1431440532,41.4300,41.4300,41.4300,41.4300,1000
1431440600,41.4200,41.4200,41.4200,41.4200,100
1431440645,41.4200,41.4200,41.4100,41.4100,700
1431440701,41.4200,41.4200,41.4200,41.4200,600
1431440769,41.4300,41.4300,41.4200,41.4200,900
1431440845,41.5000,41.5000,41.4600,41.4600,1400
1431440904,41.4600,41.5000,41.4500,41.5000,2100
1431440997,41.3300,41.4319,41.3300,41.4300,2000
1431441004,41.3700,41.3940,41.3540,41.3540,1700
1431441111,41.4200,41.4300,41.4000,41.4000,1100
1431441126,41.4000,41.4200,41.4000,41.4200,800
1431441211,41.4800,41.4800,41.4700,41.4700,400
1431441252,41.4900,41.4900,41.4900,41.4900,200
1431441416,41.5400,41.5400,41.5400,41.5400,800
1431441459,41.5200,41.5800,41.5200,41.5800,2500
1431441491,41.5800,41.5800,41.5150,41.5200,1600
1431441607,41.7200,41.7400,41.6500,41.6800,3900
1431441682,41.6700,41.6700,41.6700,41.6700,100
1431441722,41.6400,41.6400,41.6400,41.6400,100
1431441830,41.6700,41.6700,41.6400,41.6400,500
1431441849,41.6900,41.6900,41.6600,41.6600,600
1431441906,41.7600,41.7840,41.7100,41.7100,800
1431442078,41.7200,41.7600,41.7200,41.7600,1500
1431442127,41.7200,41.7350,41.7200,41.7350,3100
1431442192,41.7000,41.7300,41.7000,41.7200,1300
1431442250,41.6900,41.7050,41.6900,41.7050,800
1431442262,41.6900,41.6900,41.6900,41.6900,1200
1431442379,41.6500,41.6950,41.6500,41.6950,600
1431442432,41.6400,41.6400,41.6400,41.6400,100
1431442495,41.7100,41.7600,41.6400,41.6600,3900
1431442552,41.7900,41.7900,41.7350,41.7350,1000
1431442618,41.8200,41.8400,41.8000,41.8000,1400
1431442675,41.7950,41.8300,41.7800,41.8259,1400
1431442738,41.7100,41.7700,41.7100,41.7700,1000
1431442773,41.6900,41.6900,41.6900,41.6900,400
1431442841,41.6800,41.7100,41.6800,41.7100,1700
1431442897,41.6700,41.6700,41.6600,41.6600,800
1431442928,41.7000,41.7000,41.6600,41.6600,2800
1431442999,41.7400,41.7400,41.7100,41.7100,500
1431443068,41.7400,41.7400,41.7400,41.7400,1600
1431443147,41.7900,41.7900,41.7400,41.7600,1500
1431443185,41.7950,41.7950,41.7900,41.7900,400
1431443276,41.7150,41.7950,41.7000,41.7950,4500
1431443337,41.6600,41.6800,41.6600,41.6800,700
1431443347,41.6900,41.7000,41.6400,41.6700,2300
1431443438,41.6500,41.6900,41.6500,41.6900,500
1431443514,41.6700,41.6700,41.6400,41.6400,1000
1431443543,41.6400,41.6400,41.6200,41.6300,500
1431443628,41.6900,41.7000,41.6200,41.6200,1700
1431443675,41.6300,41.6700,41.6300,41.6700,1100
1431443754,41.6300,41.6300,41.6200,41.6300,1000
1431443764,41.6200,41.6200,41.6100,41.6200,700
1431443840,41.6200,41.6200,41.6200,41.6200,400
1431443939,41.6700,41.6700,41.5900,41.6000,4300
1431443952,41.6500,41.6600,41.6500,41.6600,2400
1431444022,41.7000,41.7000,41.6600,41.6600,1600
1431444060,41.7900,41.7900,41.7000,41.7000,3000
1431444178,41.8000,41.8000,41.8000,41.8000,200
1431444239,41.7900,41.7900,41.7000,41.7800,5500
1431444249,41.8100,41.8400,41.8000,41.8100,2700
