uri:/instrument/1.0/BDE/chartdata;type=quote;range=1d/csv
ticker:bde
Company-Name:Black Diamond, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.3900
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:9.3500,9.5400
high:9.3500,9.5400
low:9.3500,9.5400
open:9.3500,9.5400
volume:0,4200
1431610437,9.4100,9.4100,9.4100,9.4100,3400
1431610481,9.4300,9.4300,9.4300,9.4300,100
1431610559,9.4000,9.4100,9.4000,9.4100,1200
1431610615,9.3500,9.4100,9.3500,9.4100,1500
1431610647,9.3500,9.3500,9.3500,9.3500,100
1431610800,9.4001,9.4100,9.4000,9.4000,2300
1431610907,9.3800,9.3800,9.3800,9.3800,100
1431610972,9.3900,9.3900,9.3900,9.3900,100
1431611027,9.4000,9.4050,9.3901,9.4050,500
1431611155,9.3900,9.4000,9.3800,9.4000,1800
1431611184,9.4000,9.4000,9.3900,9.4000,300
1431611247,9.3900,9.4000,9.3900,9.4000,300
1431611631,9.4000,9.4100,9.3900,9.4000,1400
1431611699,9.4000,9.4001,9.3900,9.4000,2500
1431611746,9.3901,9.3901,9.3800,9.3800,300
1431611814,9.3901,9.3901,9.3901,9.3901,100
1431611868,9.4100,9.4100,9.4100,9.4100,700
1431611965,9.3900,9.4000,9.3900,9.4000,1600
1431612064,9.4000,9.4100,9.4000,9.4100,200
1431612333,9.4100,9.4100,9.4000,9.4000,600
1431612374,9.4000,9.4000,9.4000,9.4000,800
1431612443,9.4100,9.4100,9.4100,9.4100,100
1431612653,9.4400,9.4400,9.4200,9.4200,2700
1431612808,9.4800,9.4900,9.4800,9.4900,200
1431612956,9.5000,9.5000,9.4800,9.4900,4200
1431613000,9.5000,9.5000,9.5000,9.5000,600
1431613200,9.4800,9.4900,9.4700,9.4900,800
1431613388,9.4700,9.4700,9.4700,9.4700,200
1431613447,9.4800,9.4800,9.4800,9.4800,800
1431613535,9.4800,9.4800,9.4800,9.4800,200
1431613785,9.4800,9.4800,9.4800,9.4800,200
1431613882,9.4900,9.4900,9.4900,9.4900,200
1431614095,9.5000,9.5000,9.4900,9.4900,1600
1431614109,9.5400,9.5400,9.5100,9.5100,500
1431614177,9.5400,9.5400,9.5400,9.5400,200
1431614394,9.5300,9.5400,9.5300,9.5400,500
1431614537,9.5200,9.5200,9.5200,9.5200,400
1431614581,9.5100,9.5100,9.5100,9.5100,200
1431614670,9.5300,9.5300,9.5300,9.5300,100
1431614798,9.5200,9.5300,9.5200,9.5300,300
1431614830,9.5200,9.5200,9.5200,9.5200,200
1431614969,9.5200,9.5200,9.5200,9.5200,100
1431615091,9.5000,9.5200,9.5000,9.5200,300
1431615282,9.4900,9.5050,9.4900,9.5000,1500
1431615411,9.4900,9.4900,9.4900,9.4900,500
1431615451,9.4900,9.5000,9.4900,9.5000,400
1431615521,9.5000,9.5000,9.5000,9.5000,100
1431615779,9.5000,9.5000,9.5000,9.5000,300
1431616033,9.5000,9.5000,9.5000,9.5000,400
1431616083,9.5000,9.5000,9.5000,9.5000,200
1431616194,9.4800,9.4900,9.4800,9.4900,600
1431616230,9.4700,9.4700,9.4700,9.4700,100
1431616268,9.4600,9.4600,9.4600,9.4600,1100
1431616427,9.4500,9.4500,9.4500,9.4500,100
1431616622,9.4400,9.4400,9.4400,9.4400,200
1431616830,9.4300,9.4300,9.4200,9.4200,600
1431616898,9.4200,9.4200,9.4200,9.4200,200
1431616965,9.4100,9.4200,9.4100,9.4200,1500
1431617037,9.4100,9.4100,9.4050,9.4100,2700
1431617071,9.4100,9.4100,9.4100,9.4100,100
1431617108,9.4000,9.4000,9.4000,9.4000,3300
1431617197,9.4000,9.4000,9.4000,9.4000,100
1431617261,9.4000,9.4000,9.4000,9.4000,200
1431617322,9.4000,9.4000,9.4000,9.4000,1300
1431617352,9.4000,9.4000,9.4000,9.4000,2700
1431617427,9.4000,9.4000,9.4000,9.4000,100
1431617514,9.4000,9.4100,9.4000,9.4100,1400
1431617524,9.3800,9.4000,9.3800,9.3900,3500
1431617595,9.3800,9.3800,9.3700,9.3700,800
1431617749,9.3900,9.3900,9.3900,9.3900,300
1431617967,9.3900,9.3900,9.3900,9.3900,300
1431618033,9.4000,9.4100,9.3900,9.3900,4100
1431618098,9.4000,9.4000,9.4000,9.4000,500
1431618163,9.4000,9.4000,9.4000,9.4000,400
1431618238,9.4000,9.4000,9.4000,9.4000,300
1431618417,9.4100,9.4100,9.4100,9.4100,200
1431618476,9.4300,9.4300,9.4000,9.4000,200
1431618537,9.4300,9.4300,9.4000,9.4100,1000
1431618548,9.4100,9.4300,9.4000,9.4000,1400
1431618651,9.4100,9.4200,9.4100,9.4100,400
1431618690,9.4100,9.4100,9.4100,9.4100,100
1431618763,9.4000,9.4100,9.4000,9.4100,200
1431618793,9.4000,9.4000,9.4000,9.4000,100
1431618868,9.4000,9.4000,9.4000,9.4000,300
1431618902,9.4000,9.4000,9.4000,9.4000,100
1431618937,9.4300,9.4300,9.4300,9.4300,0
1431618982,9.4100,9.4100,9.4100,9.4100,100
1431619065,9.4000,9.4200,9.4000,9.4200,500
1431619357,9.4000,9.4000,9.4000,9.4000,300
1431619806,9.4000,9.4000,9.4000,9.4000,400
