uri:/instrument/1.0/BIB/chartdata;type=quote;range=1d/csv
ticker:bib
Company-Name:ProShares Ultra Nasdaq Biotechn
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:164.6800
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:162.5000,167.8400
high:162.6200,167.8400
low:162.4500,167.4701
open:162.4500,167.6700
volume:0,9600
1431523805,165.7200,166.0400,165.7200,166.0400,4600
1431523864,166.2999,166.2999,166.2999,166.2999,0
1431523939,167.1200,167.1200,166.5000,166.5600,6000
1431523980,167.1500,167.5700,167.1000,167.1510,4800
1431524054,167.2200,167.4900,166.9745,167.0600,7500
1431524157,167.7400,167.7400,167.3617,167.5000,2500
1431524161,167.4700,167.8300,167.4200,167.6000,9400
1431524226,167.8400,167.8400,167.4701,167.6700,2000
1431524307,166.7700,167.6000,166.7700,167.5600,9600
1431524396,166.7999,166.8800,166.4100,166.7000,3400
1431524412,165.8000,166.3500,165.8000,166.2400,3000
1431524465,165.5200,165.8000,165.4800,165.5600,1600
1431524577,165.5558,165.8400,165.2000,165.8400,1700
1431524583,166.0262,166.1400,165.6200,165.6200,2300
1431524660,166.0300,166.3400,166.0300,166.2625,2400
1431524734,165.7800,166.2900,165.7800,165.9600,1200
1431524794,165.5000,165.5000,165.5000,165.5000,2000
1431524832,166.1999,166.1999,165.5500,165.5500,2700
1431524939,166.2104,166.2104,165.8962,165.9600,1400
1431524954,166.3400,166.3400,166.3400,166.3400,900
1431525017,166.4600,166.6000,166.4600,166.6000,800
1431525077,166.8810,166.8810,166.7300,166.7300,5800
1431525156,166.8500,166.8500,166.8500,166.8500,1000
1431525183,166.2000,166.6300,166.2000,166.6300,1400
1431525296,166.3100,166.3900,166.0310,166.2449,2900
1431525305,166.6900,166.6900,166.6200,166.6200,200
1431525402,166.5999,166.5999,166.1000,166.5300,2200
1431525476,166.2075,166.2075,166.1204,166.1204,300
1431525486,165.6600,166.1250,165.6600,166.1250,2700
1431525542,165.7600,165.8600,165.7600,165.8500,600
1431525711,165.6000,165.6000,165.6000,165.6000,100
1431525746,165.6000,165.6000,165.6000,165.6000,600
1431525814,165.9500,165.9500,165.9500,165.9500,100
1431525857,166.1830,166.1830,165.5500,165.7400,2500
1431526003,166.0099,166.0099,165.7000,165.7500,1500
1431526021,165.7112,165.7112,165.7112,165.7112,100
1431526084,165.6000,165.7000,165.6000,165.7000,4200
1431526229,165.6300,165.8000,165.6300,165.8000,500
1431526299,165.9100,165.9100,165.8800,165.9100,800
1431526368,166.0000,166.0000,166.0000,166.0000,500
1431526409,166.0000,166.1499,165.9200,165.9200,300
1431526494,166.2200,166.2200,166.1388,166.1388,2900
1431526516,166.5400,166.5400,166.2500,166.2500,3900
1431526670,166.4090,166.4090,166.4090,166.4090,300
1431526680,166.0100,166.2100,166.0000,166.2100,1100
