uri:/instrument/1.0/BIIB/chartdata;type=quote;range=1d/csv
ticker:biib
Company-Name:Biogen Idec Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:390.0400
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:387.8800,392.5268
high:388.0100,393.9900
low:387.3650,392.4200
open:387.4000,393.1000
volume:0,31600
1431610283,392.5268,393.9900,392.4200,393.1000,30300
1431610324,392.0400,392.4190,391.3700,392.1200,1700
1431610402,391.3510,392.3350,391.3510,392.3350,300
1431610443,392.0500,392.4400,391.9140,392.0700,4500
1431610500,391.0200,391.9800,390.4400,391.8500,2200
1431610560,390.9700,391.5740,390.8700,390.9800,3200
1431610625,391.1400,391.2000,390.9400,391.1700,1600
1431610709,391.5200,391.5200,391.2200,391.2200,1800
1431610797,391.3000,391.5300,391.0020,391.5300,2300
1431610804,390.3650,391.2109,390.2500,391.2109,2800
1431610863,389.7500,390.0400,389.1700,390.0400,1200
1431610979,388.4750,389.7900,388.3100,389.4700,8900
1431610980,388.7550,389.5700,388.4101,388.7800,5600
1431611043,388.3800,388.9699,388.0800,388.5900,4700
1431611107,388.0000,388.0100,387.6600,388.0000,2800
1431611161,388.1746,388.1746,387.3650,387.4000,4400
1431611221,388.0400,388.0985,387.8000,388.0200,2700
1431611307,388.4047,388.4700,388.4047,388.4700,500
1431611400,389.1694,389.6200,388.3700,388.3700,4400
1431611499,389.4500,389.4500,389.4500,389.4500,100
1431611532,389.1700,389.2970,389.1700,389.2850,1600
1431611683,389.5533,389.5533,389.5533,389.5533,500
1431611707,388.7200,389.9900,388.7200,389.5334,6600
1431611782,389.0200,389.4720,389.0000,389.0000,800
1431611829,389.0200,389.0770,389.0000,389.0770,2600
1431611889,388.5500,388.5500,388.5500,388.5500,300
1431611948,388.2000,388.5500,388.1800,388.5500,2600
1431612037,387.8800,388.1400,387.7000,388.0500,2600
1431612060,388.3899,388.3899,387.8700,387.8900,1200
1431612134,388.6838,388.6838,387.7501,388.0000,2800
1431612239,389.3800,389.4600,388.2100,388.2100,3300
1431612243,390.0000,390.0000,389.4400,389.4400,3000
1431612359,389.5600,389.9800,389.4456,389.9800,2000
1431612360,389.7670,390.0000,389.7670,389.9999,800
1431612425,390.2100,390.2100,389.9900,389.9900,1300
1431612517,389.6600,389.8700,389.5800,389.7400,900
1431612542,389.7750,389.9699,389.5500,389.5500,7800
1431612600,390.4200,390.6799,389.5950,389.7750,5900
1431612671,390.5400,390.5400,390.5400,390.5400,500
1431612744,390.3800,390.3900,390.1800,390.2500,3100
1431612791,390.0900,390.4000,389.8900,390.4000,7000
1431612857,390.3100,390.3100,390.0100,390.1700,500
1431612955,389.9910,390.4000,389.9910,390.2900,7800
1431612961,390.2700,390.2900,389.9800,390.2900,4100
1431613037,389.5700,390.0000,389.5700,389.8500,1100
1431613081,389.3420,389.6560,389.3100,389.5200,1400
1431613140,389.8100,389.8100,389.6300,389.6300,800
1431613207,389.9000,389.9500,389.9000,389.9100,700
1431613319,389.5500,389.7115,389.1000,389.6800,1400
1431613320,389.5424,389.5424,389.3550,389.3700,500
1431613402,389.3600,389.5950,389.3600,389.3600,700
1431613495,389.4400,389.6000,389.1200,389.3600,3600
1431613501,389.5550,389.6700,389.2900,389.5000,3300
