uri:/instrument/1.0/BLKB/chartdata;type=quote;range=1d/csv
ticker:blkb
Company-Name:Blackbaud, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:52.5200
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:51.9400,52.9100
high:51.9600,52.9300
low:51.7500,52.8900
open:51.8400,52.9100
volume:0,21900
1431437400,52.5200,52.5200,52.5200,52.5200,3200
1431437522,52.5500,52.5500,52.5500,52.5500,600
1431437594,52.5800,52.5800,52.5700,52.5700,600
1431437686,52.3000,52.5100,52.3000,52.4900,700
1431437858,52.3100,52.3100,52.3100,52.3100,200
1431437931,52.6100,52.6100,52.4300,52.4300,600
1431437977,52.5400,52.5700,52.5400,52.5700,500
1431438010,52.4000,52.4500,52.4000,52.4500,400
1431438106,52.2850,52.2850,52.2850,52.2850,100
1431438226,52.1600,52.2400,52.1600,52.1700,900
1431438240,52.1600,52.1900,52.0800,52.1650,2500
1431438317,52.1420,52.1420,52.0150,52.0600,500
1431438360,52.0700,52.0700,52.0700,52.0700,100
1431438458,52.0400,52.0400,51.9000,51.9700,300
1431438492,52.1100,52.1400,51.9400,51.9400,1300
1431438695,52.3800,52.3800,52.1400,52.2300,1100
1431438779,52.3800,52.4899,52.3800,52.4899,200
1431438792,52.4497,52.4497,52.4497,52.4497,200
1431438855,52.2200,52.2600,52.2200,52.2600,700
1431439084,51.9400,52.0400,51.9400,52.0300,800
1431439230,51.9600,51.9600,51.7500,51.8400,900
1431439294,51.9600,52.0000,51.9500,51.9500,800
1431439366,52.0300,52.0300,51.9600,51.9800,500
1431439507,52.2600,52.2600,52.2600,52.2600,100
1431439634,52.0500,52.1350,51.9400,52.0400,1000
1431439776,52.1500,52.1500,52.1500,52.1500,100
1431439923,52.1500,52.2750,52.1300,52.2750,1700
1431440144,52.1100,52.1100,52.1100,52.1100,100
1431440190,52.1300,52.1800,52.1300,52.1400,900
1431440276,52.2000,52.2300,52.1200,52.2300,3400
1431440338,52.3800,52.3800,52.1300,52.1300,3400
1431440348,52.2800,52.3300,52.2800,52.3300,700
1431440457,52.3300,52.4900,52.3300,52.3800,1600
1431440511,52.4300,52.4500,52.3100,52.3200,700
1431440535,52.3200,52.3200,52.3200,52.3200,100
1431440599,52.2800,52.3200,52.2800,52.3200,700
1431440650,52.3900,52.3900,52.3700,52.3700,1600
1431440737,52.4400,52.4400,52.4000,52.4000,700
