uri:/instrument/1.0/CECO/chartdata;type=quote;range=1d/csv
ticker:ceco
Company-Name:Career Education Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:4.6000
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:4.2000,4.6300
high:4.2000,4.6300
low:4.2000,4.6300
open:4.2000,4.6300
volume:100,55400
1431523939,4.6100,4.6200,4.6100,4.6200,4300
1431524026,4.6300,4.6300,4.6300,4.6300,100
1431524095,4.6100,4.6100,4.6100,4.6100,200
1431524102,4.6300,4.6300,4.6300,4.6300,200
1431524245,4.6200,4.6200,4.6200,4.6200,200
1431524363,4.6100,4.6100,4.6100,4.6100,100
1431524453,4.6100,4.6100,4.5900,4.5900,400
1431524468,4.6100,4.6100,4.6000,4.6100,2700
1431524556,4.6000,4.6200,4.6000,4.6200,200
1431524629,4.6200,4.6200,4.6200,4.6200,100
1431524726,4.6000,4.6000,4.6000,4.6000,300
1431524809,4.6000,4.6000,4.6000,4.6000,100
1431524852,4.6100,4.6100,4.6100,4.6100,100
1431524991,4.5900,4.6100,4.5900,4.6100,300
1431525193,4.5900,4.5900,4.5900,4.5900,200
1431525299,4.5900,4.5900,4.5900,4.5900,1200
1431525321,4.5600,4.5900,4.5600,4.5900,4000
1431525361,4.5600,4.5600,4.5600,4.5600,400
1431525528,4.5500,4.5600,4.5500,4.5600,1000
1431525576,4.5500,4.5600,4.5500,4.5600,400
1431525607,4.5550,4.5600,4.5500,4.5500,2100
1431525693,4.5500,4.5600,4.5500,4.5600,400
1431525747,4.5600,4.5600,4.5550,4.5600,3000
1431525784,4.5600,4.5600,4.5550,4.5550,200
1431525874,4.5600,4.5700,4.5600,4.5600,1900
1431525919,4.5800,4.5800,4.5800,4.5800,500
1431526024,4.5600,4.5700,4.5600,4.5700,900
1431526144,4.5400,4.5500,4.5400,4.5500,3300
1431526375,4.5500,4.5500,4.5500,4.5500,300
1431526428,4.5450,4.5500,4.5450,4.5500,1900
1431526558,4.5600,4.5600,4.5600,4.5600,300
1431526670,4.5600,4.5600,4.5550,4.5550,300
1431526713,4.5500,4.5600,4.5500,4.5600,200
1431526747,4.5400,4.5600,4.5400,4.5600,2700
1431526845,4.5075,4.5300,4.5075,4.5300,4100
1431526915,4.5100,4.5200,4.5050,4.5050,4300
1431526953,4.5200,4.5300,4.5150,4.5150,11600
1431526996,4.5250,4.5250,4.5250,4.5250,1000
1431527076,4.5200,4.5300,4.5200,4.5300,1500
1431527138,4.5100,4.5100,4.5100,4.5100,100
1431527177,4.5200,4.5200,4.5200,4.5200,100
1431527221,4.5200,4.5200,4.5100,4.5100,6500
1431527311,4.5100,4.5200,4.5100,4.5200,300
1431527371,4.5100,4.5100,4.5100,4.5100,1800
1431527493,4.5100,4.5100,4.5100,4.5100,300
1431527624,4.4775,4.4900,4.4700,4.4900,7200
1431527696,4.4800,4.4800,4.4700,4.4800,1000
1431527759,4.4760,4.4800,4.4700,4.4700,6200
1431527819,4.4550,4.4800,4.4500,4.4800,29500
1431527879,4.4490,4.4600,4.4450,4.4500,20500
1431527937,4.4300,4.4500,4.4300,4.4499,15500
1431527989,4.4300,4.4400,4.4300,4.4400,5700
1431528059,4.4100,4.4400,4.4000,4.4300,9600
1431528114,4.4300,4.4300,4.4300,4.4300,3400
1431528169,4.4300,4.4300,4.4200,4.4300,1800
1431528238,4.4150,4.4200,4.4000,4.4200,12200
1431528283,4.4200,4.4200,4.4100,4.4200,600
1431528359,4.3900,4.4100,4.3800,4.4100,6600
1431528412,4.3800,4.3934,4.3800,4.3900,6600
1431528423,4.3800,4.3900,4.3800,4.3900,8800
1431528530,4.3700,4.3800,4.3600,4.3800,7300
1431528594,4.3700,4.3800,4.3700,4.3800,3700
1431528652,4.3800,4.3800,4.3700,4.3700,600
1431528702,4.3700,4.3770,4.3700,4.3770,2100
1431528750,4.3700,4.3700,4.3700,4.3700,200
1431528834,4.3700,4.3700,4.3600,4.3700,300
1431528850,4.3450,4.3600,4.3450,4.3600,12200
1431528927,4.3600,4.3600,4.3550,4.3550,4000
1431529191,4.3500,4.3600,4.3450,4.3600,6500
1431529225,4.3400,4.3400,4.3400,4.3400,300
1431529282,4.3400,4.3400,4.3400,4.3400,3000
1431529361,4.3400,4.3400,4.3300,4.3400,400
1431529486,4.3100,4.3350,4.2900,4.3350,15200
1431529521,4.3100,4.3151,4.3100,4.3151,400
1431529568,4.3150,4.3200,4.3150,4.3200,1600
1431529630,4.3300,4.3400,4.3300,4.3300,1200
1431529689,4.3500,4.3500,4.3350,4.3400,3800
1431529758,4.3500,4.3500,4.3500,4.3500,100
1431529807,4.3500,4.3500,4.3450,4.3450,6900
1431529864,4.3400,4.3400,4.3400,4.3400,300
1431529956,4.3400,4.3400,4.3400,4.3400,500
1431530028,4.3300,4.3300,4.3300,4.3300,1100
1431530064,4.3400,4.3400,4.3400,4.3400,200
1431530159,4.3300,4.3300,4.3300,4.3300,200
1431530198,4.3300,4.3400,4.3300,4.3400,500
1431530277,4.3500,4.3500,4.3300,4.3300,5100
1431530283,4.3450,4.3500,4.3400,4.3500,11400
1431530393,4.3600,4.3700,4.3500,4.3500,2800
1431530456,4.3500,4.3700,4.3500,4.3600,3400
1431530500,4.3700,4.3800,4.3500,4.3500,4900
1431530571,4.3700,4.3800,4.3700,4.3800,2000
1431530639,4.3500,4.3600,4.3500,4.3600,1300
1431530697,4.3500,4.3500,4.3500,4.3500,600
1431530754,4.3400,4.3500,4.3400,4.3500,2000
1431530810,4.3500,4.3500,4.3500,4.3500,200
1431530842,4.3400,4.3400,4.3400,4.3400,1100
1431530931,4.3300,4.3300,4.3200,4.3200,3400
1431531005,4.3300,4.3300,4.3300,4.3300,100
1431531113,4.3400,4.3400,4.3300,4.3300,1800
1431531211,4.3300,4.3300,4.3300,4.3300,100
1431531268,4.3300,4.3300,4.3300,4.3300,100
1431531349,4.3300,4.3400,4.3300,4.3400,400
1431531393,4.3300,4.3300,4.3300,4.3300,100
1431531498,4.3300,4.3300,4.3300,4.3300,300
1431531572,4.3300,4.3300,4.3300,4.3300,100
1431531709,4.3300,4.3300,4.3300,4.3300,900
1431531830,4.3400,4.3400,4.3250,4.3300,1900
1431531891,4.3400,4.3400,4.3400,4.3400,500
1431532012,4.3300,4.3300,4.3300,4.3300,900
1431532021,4.3300,4.3300,4.3300,4.3300,200
1431532131,4.3400,4.3400,4.3300,4.3300,200
1431532152,4.3300,4.3300,4.3300,4.3300,100
1431532208,4.3400,4.3400,4.3400,4.3400,300
1431532312,4.3300,4.3300,4.3200,4.3300,3500
1431532343,4.3300,4.3300,4.3300,4.3300,100
1431532424,4.3199,4.3200,4.3199,4.3200,2000
1431532499,4.3101,4.3101,4.3100,4.3100,3700
1431532526,4.3100,4.3185,4.3100,4.3144,3600
1431532599,4.3100,4.3100,4.3100,4.3100,300
1431532670,4.3000,4.3100,4.3000,4.3100,2900
1431532691,4.3050,4.3100,4.3050,4.3100,2900
1431532788,4.3100,4.3100,4.3100,4.3100,100
1431532872,4.3100,4.3100,4.3100,4.3100,1100
1431532948,4.3100,4.3100,4.3100,4.3100,200
1431533018,4.3100,4.3100,4.3100,4.3100,300
1431533197,4.3100,4.3100,4.3000,4.3000,400
1431533339,4.3000,4.3100,4.3000,4.3100,400
1431533373,4.3050,4.3100,4.3000,4.3000,700
1431533416,4.3050,4.3050,4.3044,4.3044,700
1431533497,4.3000,4.3100,4.3000,4.3100,300
1431533579,4.2800,4.3010,4.2800,4.3010,10800
1431533639,4.2650,4.2800,4.2650,4.2800,2000
1431533675,4.2700,4.2800,4.2650,4.2700,5700
1431533739,4.2800,4.2800,4.2700,4.2700,1700
1431533867,4.2700,4.2700,4.2700,4.2700,200
1431534108,4.2700,4.2800,4.2700,4.2800,700
1431534170,4.2600,4.2700,4.2600,4.2700,3300
1431534232,4.2600,4.2700,4.2600,4.2650,700
1431534294,4.2600,4.2600,4.2600,4.2600,300
1431534354,4.2400,4.2600,4.2400,4.2600,7300
1431534435,4.2400,4.2400,4.2400,4.2400,200
1431534615,4.2400,4.2400,4.2400,4.2400,100
1431534697,4.2400,4.2400,4.2400,4.2400,200
1431534750,4.2400,4.2400,4.2400,4.2400,100
1431534835,4.2500,4.2500,4.2500,4.2500,100
1431534843,4.2500,4.2600,4.2400,4.2450,5400
1431534958,4.2500,4.2500,4.2500,4.2500,300
1431534974,4.2500,4.2500,4.2400,4.2500,400
1431535104,4.2450,4.2500,4.2400,4.2401,7600
1431535194,4.2450,4.2450,4.2450,4.2450,100
1431535236,4.2450,4.2500,4.2450,4.2500,700
1431535427,4.2400,4.2400,4.2400,4.2400,200
1431535534,4.2500,4.2500,4.2400,4.2400,300
1431535597,4.2400,4.2400,4.2400,4.2400,200
1431535669,4.2500,4.2500,4.2500,4.2500,100
1431535687,4.2600,4.2600,4.2425,4.2500,5200
1431535787,4.2600,4.2600,4.2450,4.2600,2200
1431535800,4.2700,4.2700,4.2500,4.2500,1500
1431535892,4.2700,4.2700,4.2500,4.2500,4300
1431535967,4.2700,4.2700,4.2700,4.2700,3000
1431536027,4.2600,4.2700,4.2600,4.2700,700
1431536087,4.2600,4.2600,4.2550,4.2600,1700
1431536147,4.2500,4.2600,4.2500,4.2500,600
1431536214,4.2500,4.2500,4.2500,4.2500,1200
1431536256,4.2500,4.2500,4.2450,4.2450,300
1431536392,4.2500,4.2500,4.2500,4.2500,1900
1431536432,4.2401,4.2500,4.2401,4.2500,1000
1431536510,4.2500,4.2500,4.2400,4.2500,500
1431536543,4.2450,4.2500,4.2450,4.2500,700
1431536757,4.2700,4.2700,4.2450,4.2500,4600
1431536800,4.2600,4.2600,4.2600,4.2600,400
1431536860,4.2600,4.2600,4.2600,4.2600,600
1431536927,4.2500,4.2600,4.2500,4.2600,2000
1431536961,4.2500,4.2500,4.2500,4.2500,1400
1431537054,4.2500,4.2540,4.2450,4.2500,7300
1431537119,4.2500,4.2500,4.2450,4.2500,33500
1431537140,4.2500,4.2500,4.2450,4.2450,200
1431537202,4.2500,4.2500,4.2500,4.2500,100
1431537298,4.2350,4.2450,4.2350,4.2450,9100
1431537328,4.2400,4.2400,4.2400,4.2400,1800
1431537410,4.2400,4.2400,4.2400,4.2400,200
1431537503,4.2500,4.2500,4.2500,4.2500,100
1431537555,4.2400,4.2400,4.2400,4.2400,300
1431537658,4.2300,4.2400,4.2300,4.2400,400
1431537704,4.2400,4.2400,4.2300,4.2400,3300
1431537773,4.2400,4.2400,4.2400,4.2400,300
1431537976,4.2400,4.2400,4.2400,4.2400,100
1431538109,4.2300,4.2400,4.2300,4.2400,6000
1431538237,4.2200,4.2250,4.2200,4.2200,5400
1431538304,4.2100,4.2200,4.2100,4.2100,600
1431538368,4.2100,4.2100,4.2100,4.2100,100
1431538458,4.2000,4.2100,4.2000,4.2100,7400
1431538548,4.2100,4.2100,4.2000,4.2000,200
1431538608,4.2000,4.2000,4.2000,4.2000,400
1431538650,4.2000,4.2000,4.2000,4.2000,100
1431538714,4.2100,4.2100,4.2000,4.2000,200
1431538755,4.2100,4.2100,4.2000,4.2000,500
1431538855,4.2050,4.2100,4.2000,4.2000,55400
1431538905,4.2000,4.2000,4.2000,4.2000,500
1431538951,4.2000,4.2000,4.2000,4.2000,200
1431539035,4.2100,4.2100,4.2000,4.2100,300
1431539099,4.2100,4.2100,4.2000,4.2000,400
1431539136,4.2100,4.2100,4.2100,4.2100,200
1431539192,4.2150,4.2200,4.2050,4.2100,7300
1431539266,4.2300,4.2400,4.2200,4.2200,3700
1431539297,4.2250,4.2300,4.2250,4.2300,1700
1431539399,4.2400,4.2400,4.2400,4.2400,200
1431539579,4.2400,4.2400,4.2400,4.2400,200
1431539668,4.2400,4.2400,4.2400,4.2400,200
1431539713,4.2400,4.2400,4.2400,4.2400,100
1431539812,4.2300,4.2300,4.2300,4.2300,2300
1431539878,4.2200,4.2300,4.2200,4.2200,1500
1431539908,4.2300,4.2300,4.2300,4.2300,100
1431539960,4.2200,4.2300,4.2200,4.2300,300
1431540011,4.2300,4.2400,4.2250,4.2300,7200
1431540117,4.2400,4.2400,4.2400,4.2400,100
1431540165,4.2400,4.2400,4.2400,4.2400,200
1431540201,4.2400,4.2400,4.2300,4.2300,300
1431540259,4.2400,4.2400,4.2300,4.2300,200
1431540352,4.2400,4.2400,4.2300,4.2300,200
1431540398,4.2200,4.2300,4.2200,4.2300,2700
1431540533,4.2250,4.2250,4.2250,4.2250,100
1431540567,4.2200,4.2200,4.2200,4.2200,100
1431540615,4.2300,4.2300,4.2300,4.2300,100
1431540697,4.2200,4.2200,4.2200,4.2200,100
1431540722,4.2200,4.2300,4.2200,4.2200,500
1431540806,4.2300,4.2300,4.2300,4.2300,100
1431540872,4.2100,4.2200,4.2100,4.2200,5400
1431540935,4.2200,4.2200,4.2200,4.2200,200
