uri:/instrument/1.0/CHRS/chartdata;type=quote;range=500d/csv
ticker:chrs
Company-Name:Coherus BioSciences, Inc.
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:21.2300
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:20.1100,24.4302
high:20.2900,24.4302
low:20.0200,24.4200
open:20.1000,24.4200
volume:0,59000
1429882479,24.4302,24.4302,24.4200,24.4200,1800
1429882987,24.2300,24.2300,24.2300,24.2300,100
1429883390,24.1600,24.2200,24.1600,24.2200,700
1429883595,24.0700,24.2400,24.0500,24.2300,400
1429883991,24.0600,24.0700,24.0600,24.0700,600
1429884290,23.9200,24.0800,23.9200,24.0700,2200
1429884542,23.8900,23.9300,23.8000,23.8500,1900
1429884895,23.8400,24.0000,23.8400,23.9300,8800
1429885161,23.8500,23.8500,23.6500,23.8000,3600
1429885408,23.7700,23.7700,23.7500,23.7500,400
1429885792,23.7500,23.9000,23.7500,23.8500,8200
1429885929,23.8300,23.8300,23.7600,23.7600,700
1429886370,23.8500,23.9099,23.8500,23.8500,3200
1429886674,23.8000,23.8800,23.8000,23.8800,1900
1429886975,23.8500,23.8595,23.8000,23.8000,1000
1429887281,23.8604,23.8680,23.8400,23.8600,2300
1429887425,23.8100,23.8560,23.7500,23.8560,4300
1429887880,23.8600,23.8600,23.8000,23.8400,1300
1429888153,23.8500,23.8800,23.8500,23.8800,2600
1429888479,23.6500,23.8800,23.5900,23.8800,6800
1429888788,23.7059,23.7900,23.6600,23.7400,1700
1429889061,23.7300,23.7500,23.7300,23.7500,800
1429889397,23.6500,23.8000,23.6500,23.7800,1700
1429889614,23.7200,23.7800,23.6500,23.7000,1100
1429889944,23.7299,23.7600,23.7299,23.7600,300
1429890154,23.7500,23.7500,23.6700,23.7000,900
1429890481,23.7500,23.7500,23.7500,23.7500,2000
1429890862,23.7700,23.8300,23.7700,23.8300,800
1429891156,23.7700,23.8400,23.7400,23.7700,3200
1429891323,23.7800,23.7800,23.7700,23.7800,400
1429891763,23.8000,23.8000,23.8000,23.8000,800
