uri:/instrument/1.0/CLNE/chartdata;type=quote;range=500d/csv
ticker:clne
Company-Name:Clean Energy Fuels Corp.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:8.6300
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:7.6000,10.4766
high:7.6300,10.4800
low:7.5900,10.3300
open:7.5950,10.4601
volume:0,471600
1429882444,7.7200,7.7400,7.7000,7.7200,64500
1429882797,7.7600,7.7800,7.7260,7.7260,41000
1429883085,7.8399,7.8400,7.7440,7.7500,42900
1429883349,7.8100,7.8500,7.7800,7.8394,50400
1429883644,7.6750,7.8200,7.6700,7.8100,34800
1429883979,7.7000,7.7210,7.6570,7.6700,56500
1429884242,7.6000,7.7001,7.5900,7.7000,48100
1429884590,7.6200,7.6300,7.5950,7.5950,31300
1429884899,7.7100,7.7100,7.6200,7.6200,53100
1429885195,7.7599,7.7700,7.6999,7.7000,40400
1429885487,7.7100,7.7600,7.7000,7.7501,54100
1429885780,7.6900,7.7100,7.6800,7.7100,18400
1429886091,7.7400,7.7701,7.6850,7.6900,43800
1429886395,7.7600,7.7700,7.7300,7.7500,14800
1429886687,7.7970,7.8000,7.7500,7.7700,51200
1429886998,7.8300,7.8300,7.7800,7.7900,23900
1429887284,7.7667,7.8200,7.7667,7.8200,53000
1429887587,7.7410,7.7700,7.7350,7.7600,33800
1429887856,7.7600,7.7800,7.7324,7.7400,23200
1429888140,7.8100,7.8100,7.7600,7.7600,47900
1429888498,7.8100,7.8400,7.7700,7.8100,43700
1429888793,7.8050,7.8200,7.7900,7.8100,39800
1429889040,7.8100,7.8100,7.7850,7.8000,21500
1429889397,7.8300,7.8300,7.8000,7.8100,29000
1429889699,7.8750,7.8850,7.8350,7.8350,43300
1429889999,7.8000,7.8800,7.7900,7.8799,26100
1429890290,7.8400,7.8450,7.7900,7.8090,29200
1429890590,7.8250,7.8450,7.8200,7.8450,16300
1429890882,7.8500,7.8550,7.8100,7.8200,35900
1429891141,7.8600,7.8600,7.8400,7.8500,33400
1429891469,7.9199,7.9350,7.8600,7.8600,51300
1429891787,7.9300,7.9500,7.8600,7.9100,32700
