uri:/instrument/1.0/CME/chartdata;type=quote;range=1d/csv
ticker:cme
Company-Name:CME Group Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:95.4000
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:94.5000,95.5100
high:94.5200,95.5300
low:94.4200,95.5100
open:94.4800,95.5100
volume:100,55700
1431437449,95.1300,95.1300,94.9900,95.0400,1000
1431437515,94.7900,94.7900,94.7500,94.7500,20100
1431437634,94.7900,94.9500,94.7900,94.8600,1500
1431437664,94.7250,94.8600,94.7250,94.8600,4400
1431437716,94.8100,94.8100,94.6800,94.7200,1800
1431437818,94.7700,94.8200,94.7000,94.7100,3500
1431437823,94.6700,94.7200,94.6700,94.7100,2300
1431437885,94.5400,94.6800,94.5400,94.6500,1200
1431437998,94.6155,94.6900,94.5500,94.6600,7900
1431438000,94.6750,94.6850,94.5900,94.6100,3700
1431438114,94.6500,94.6800,94.6000,94.6100,3000
1431438121,94.6050,94.6500,94.5500,94.6500,2100
1431438233,94.5700,94.6100,94.4600,94.5700,9400
1431438240,94.5200,94.5200,94.4700,94.5200,1800
1431438358,94.5100,94.5400,94.4200,94.4800,5400
1431438414,94.5300,94.5500,94.5100,94.5444,1500
1431438425,94.5000,94.5500,94.4900,94.5500,5700
1431438524,94.5800,94.5800,94.4800,94.4800,400
1431438551,94.6200,94.6300,94.5400,94.5800,2600
1431438600,94.6300,94.6300,94.5800,94.6000,2700
1431438660,94.7200,94.7200,94.6200,94.6400,2000
1431438779,94.8800,94.9000,94.7500,94.8100,4400
1431438783,94.8100,94.8600,94.8100,94.8100,1100
1431438895,94.7600,94.7900,94.7600,94.7900,1000
1431438924,94.8200,94.8200,94.7500,94.7500,500
1431438983,94.7800,94.7800,94.7600,94.7600,200
1431439056,94.7250,94.8000,94.7250,94.8000,1400
1431439082,94.7150,94.7400,94.7000,94.7400,1000
1431439141,94.6800,94.7200,94.6800,94.6900,2800
