uri:/instrument/1.0/CNCE/chartdata;type=quote;range=500d/csv
ticker:cnce
Company-Name:Concert Pharmaceuticals, Inc.
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:14.1000
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:13.1650,15.1300
high:13.3479,15.1500
low:13.1100,15.1100
open:13.1650,15.1500
volume:0,111500
1429882463,14.9700,15.1370,14.9700,15.1370,3500
1429882757,14.8500,14.8500,14.8500,14.8500,100
1429883033,14.8800,14.9100,14.8600,14.8600,3100
1429883329,14.8900,14.8900,14.8400,14.8400,1800
1429883699,14.9200,14.9800,14.8800,14.9300,2500
1429883865,14.9500,14.9500,14.9500,14.9500,200
1429884290,14.9800,15.0250,14.9800,15.0250,1200
1429884589,14.9600,14.9600,14.9300,14.9400,2100
1429884818,14.9500,14.9700,14.9500,14.9700,1300
1429885144,14.8800,14.9500,14.8800,14.9500,6500
1429885463,14.9100,14.9100,14.8800,14.8800,1600
1429885796,14.9300,15.0000,14.9300,14.9400,2400
1429886287,15.0000,15.0000,14.9100,14.9300,1100
1429886676,14.9200,14.9800,14.9200,14.9800,3300
1429886950,14.9000,14.9900,14.9000,14.9300,3600
1429887193,14.9300,14.9900,14.9000,14.9000,2000
1429887483,14.9400,14.9600,14.9200,14.9200,1200
1429887824,14.9200,14.9400,14.8900,14.9000,600
1429888065,14.9400,14.9400,14.9100,14.9100,800
1429888483,14.8800,14.9200,14.8800,14.9100,6600
1429888646,14.8700,14.8900,14.8700,14.8800,1700
1429889096,14.8300,14.8800,14.8300,14.8500,1700
1429889633,14.8400,14.8600,14.8400,14.8400,800
1429889991,14.8000,14.8200,14.7500,14.8200,10500
1429890174,14.8400,14.8400,14.8000,14.8000,1600
1429890465,14.8900,14.8900,14.8590,14.8590,400
1429890765,14.8700,14.8700,14.8400,14.8400,400
1429891199,14.9150,14.9399,14.9050,14.9200,4500
1429891365,14.9100,14.9100,14.8900,14.8900,600
1429891779,14.8114,14.9300,14.8000,14.9300,1500
1429892055,14.7800,14.8290,14.7800,14.8000,2500
1429892340,14.8000,14.8200,14.7900,14.7900,900
1429892608,14.8600,14.8600,14.8600,14.8600,600
1429892865,14.8700,14.8700,14.8615,14.8615,500
1429893009,14.8600,14.8600,14.8600,14.8600,1000
1429893465,14.8500,14.8500,14.8200,14.8300,700
1429893878,14.8130,14.8560,14.8100,14.8560,4200
1429894142,14.6700,14.8100,14.6700,14.8100,5400
1429894429,14.5600,14.6700,14.5100,14.6700,2700
1429894781,14.6000,14.6000,14.5500,14.5500,12000
1429894965,14.6000,14.6000,14.5892,14.5892,1700
1429895252,14.5700,14.5700,14.5700,14.5700,100
1429895565,14.5850,14.5850,14.5700,14.5700,400
1429895972,14.5670,14.5700,14.5600,14.5700,2300
1429896284,14.5500,14.5700,14.5400,14.5600,2200
1429896547,14.6200,14.6200,14.5500,14.5500,7800
1429896843,14.7000,14.7588,14.6940,14.7000,4400
1429897121,14.6400,14.6501,14.6400,14.6501,800
1429897497,14.6100,14.6100,14.6000,14.6052,1100
1429897622,14.6500,14.6510,14.6100,14.6100,1400
1429898045,14.5796,14.6100,14.5575,14.6100,6300
1429898307,14.6000,14.6600,14.5600,14.5600,1800
1429898565,14.6300,14.6300,14.6250,14.6250,400
1429898987,14.5800,14.6100,14.5800,14.6100,800
1429899285,14.5700,14.5900,14.5700,14.5700,1100
1429899582,14.6100,14.6100,14.5700,14.5700,400
1429899834,14.6600,14.6800,14.6000,14.6000,1500
1429900139,14.6700,14.7000,14.6600,14.6600,3300
1429900266,14.6700,14.6700,14.6700,14.6700,100
1429900756,14.6750,14.6750,14.6400,14.6400,1000
1429901000,14.6900,14.7300,14.6900,14.6900,400
1429901265,14.7300,14.7300,14.7300,14.7300,600
1429901565,14.7200,14.7200,14.7200,14.7200,300
1429901865,14.7500,14.7500,14.6900,14.7200,1800
1429902124,14.7950,14.8000,14.7300,14.7500,4100
1429902578,14.6800,14.7500,14.6800,14.7500,600
1429902763,14.7400,14.7500,14.6820,14.6820,1500
1429903123,14.7860,14.8320,14.7400,14.7500,2800
1429903424,14.7300,14.8000,14.7300,14.7900,1500
1429904082,14.7150,14.7700,14.7050,14.7050,2100
1429904380,14.7200,14.7500,14.7200,14.7230,2500
1429904590,14.7200,14.7200,14.7200,14.7200,500
1429904945,14.7100,14.7800,14.7000,14.7400,3400
1429905149,14.6900,14.7200,14.6900,14.7101,1000
1429905546,14.6400,14.7800,14.6100,14.6800,18800
1429905600,14.6800,14.6800,14.6800,14.6800,0
1430141944,14.5300,14.6080,14.5000,14.6000,0
1430142284,14.5301,14.5639,14.5000,14.5099,4200
1430142599,14.5000,14.5700,14.5000,14.5700,4100
1430142840,14.5075,14.5200,14.5000,14.5000,9300
1430142975,14.5000,14.5100,14.5000,14.5000,2600
1430143449,14.5000,14.5255,14.5000,14.5255,1900
1430143768,14.5000,14.5100,14.5000,14.5000,4100
1430144076,14.5101,14.5400,14.5000,14.5001,1200
1430144349,14.5000,14.5300,14.5000,14.5000,9100
1430144670,14.5200,14.5200,14.5100,14.5100,1600
1430144930,14.5000,14.5251,14.5000,14.5251,900
1430145285,14.5000,14.5010,14.5000,14.5010,7000
1430145594,14.4800,14.5100,14.4800,14.5000,16400
1430145899,14.5000,14.5100,14.4800,14.4800,7000
1430146170,14.5000,14.5050,14.4900,14.5050,9000
1430146448,14.5200,14.5300,14.4900,14.5132,9300
1430146759,14.5000,14.5300,14.5000,14.5200,8300
1430147059,14.4900,14.5100,14.4500,14.5000,14900
1430147364,14.4800,14.4900,14.4800,14.4900,4000
1430147669,14.5300,14.5300,14.4800,14.4850,5300
1430147996,14.5100,14.5450,14.5100,14.5200,2000
1430148281,14.5000,14.5290,14.5000,14.5200,4400
1430148512,14.5000,14.5000,14.4950,14.5000,2500
1430148897,14.4000,14.5099,14.4000,14.5000,9800
1430149193,14.4000,14.4200,14.3500,14.3700,10400
1430149494,14.3600,14.3750,14.3500,14.3500,8400
1430149740,14.3200,14.3400,14.2800,14.3250,5500
1430150090,14.3350,14.3400,14.3300,14.3300,11200
1430150334,14.1800,14.3300,14.1500,14.3300,9600
1430150664,14.2200,14.2400,14.1800,14.1850,5900
1430150956,14.2200,14.2250,14.2200,14.2200,6800
1430151191,14.0200,14.2300,14.0200,14.2200,31700
1430151558,14.1015,14.1027,14.0200,14.0300,12500
1430151876,14.0700,14.1099,14.0200,14.1000,12600
1430152199,14.0555,14.0800,14.0200,14.0800,14900
1430152497,14.0000,14.0500,13.9500,14.0500,14700
1430152796,13.8850,14.0000,13.8600,14.0000,22900
1430153050,13.9100,13.9100,13.8600,13.8950,4700
1430153342,13.9043,13.9043,13.8800,13.8950,1700
1430153650,13.9200,13.9300,13.8600,13.9050,8200
1430153769,13.9100,13.9300,13.9100,13.9300,700
1430154236,14.0110,14.0110,13.9200,13.9800,2500
1430154566,13.9600,14.0600,13.9600,14.0300,14600
1430154884,13.9625,13.9840,13.9600,13.9840,2600
1430155122,13.9500,13.9600,13.9001,13.9600,6000
1430155398,13.9450,13.9500,13.9280,13.9500,5300
1430155797,13.9550,13.9550,13.9550,13.9550,100
1430156043,13.9500,13.9610,13.9400,13.9610,4600
1430156284,13.9700,13.9700,13.9310,13.9500,2400
1430156644,13.9300,13.9850,13.8900,13.9700,5200
1430157288,13.9800,13.9800,13.9100,13.9650,7100
1430157491,13.9200,13.9200,13.9200,13.9200,600
1430157866,13.7080,13.8460,13.7080,13.8300,9200
1430158102,13.7200,13.7400,13.7150,13.7150,600
1430158472,13.7800,13.8150,13.7200,13.7200,2700
1430158719,13.7400,13.8086,13.7400,13.8086,1100
1430158994,13.8000,13.8000,13.7500,13.7500,1000
1430159296,13.7800,13.8200,13.7200,13.7900,5400
1430159470,13.7350,13.7350,13.7350,13.7350,1400
1430159999,13.5775,13.7150,13.5500,13.6900,10100
1430160242,13.4400,13.5775,13.4000,13.5775,25000
1430160504,13.4400,13.5000,13.4300,13.4600,7900
1430160859,13.5000,13.5000,13.4400,13.4695,14400
1430161199,13.6000,13.6482,13.4900,13.4950,30300
1430161443,13.6000,13.6400,13.6000,13.6400,2600
1430161764,13.6250,13.6250,13.6000,13.6150,1900
