uri:/instrument/1.0/CSPI/chartdata;type=quote;range=500d/csv
ticker:cspi
Company-Name:CSP Inc.
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:7.1700
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:6.7000,7.5500
high:6.7200,7.6400
low:6.6000,7.4800
open:6.6800,7.4800
volume:0,27800
1429882200,6.9800,6.9800,6.9800,6.9800,200
1429886989,6.9100,6.9200,6.9100,6.9200,2200
1429888344,6.9595,6.9600,6.9000,6.9600,800
1429903852,6.9627,6.9627,6.9627,6.9627,1000
1429904306,6.9500,6.9500,6.9500,6.9500,2100
1429904999,6.9598,6.9598,6.9500,6.9500,1000
1429905435,7.0700,7.0700,7.0700,7.0700,800
1429905600,7.0600,7.0600,7.0600,7.0600,0
1430144075,6.9722,7.0590,6.9722,7.0590,0
1430146320,7.0100,7.0100,7.0100,7.0100,500
1430146961,7.0000,7.0000,7.0000,7.0000,100
1430150737,6.9100,6.9100,6.9100,6.9100,3100
1430152810,6.9100,6.9100,6.9100,6.9100,600
1430157468,6.9900,6.9900,6.9900,6.9900,100
1430157946,6.9100,6.9100,6.9100,6.9100,600
1430158595,7.0100,7.0100,7.0000,7.0000,400
1430159678,7.0599,7.0599,7.0599,7.0599,200
1430160595,7.0050,7.0100,6.9240,6.9240,400
1430160668,7.0200,7.0200,6.9280,6.9280,200
1430161630,6.9680,6.9680,6.9420,6.9420,1800
1430162399,7.0000,7.0000,7.0000,7.0000,100
1430163110,7.0400,7.0400,7.0400,7.0400,100
1430163402,7.0400,7.0400,7.0400,7.0400,100
1430228400,7.0500,7.0500,7.0500,7.0500,0
1430230275,7.0000,7.0000,7.0000,7.0000,1200
1430232501,7.2080,7.2080,7.2080,7.2080,100
1430240451,7.1199,7.1199,7.1199,7.1199,600
1430246066,7.0120,7.0120,7.0120,7.0120,2600
1430246935,7.0100,7.0100,7.0100,7.0100,800
1430248381,7.0000,7.0100,7.0000,7.0100,1000
1430249186,7.0100,7.0100,7.0100,7.0100,900
1430250616,7.0799,7.0799,7.0799,7.0799,100
1430315037,7.0000,7.0300,7.0000,7.0300,0
1430315763,7.0000,7.0100,7.0000,7.0100,400
1430316202,6.9100,6.9100,6.9100,6.9100,9900
1430317142,6.8300,6.9500,6.8300,6.9500,3500
1430317499,6.7000,6.8000,6.7000,6.7900,5200
1430317796,6.8000,6.8000,6.6100,6.7000,15700
1430318227,6.8800,6.8800,6.8100,6.8100,200
1430319097,6.7800,6.7800,6.6500,6.7600,2300
1430319487,6.7200,6.7200,6.7200,6.7200,100
1430320303,6.7700,6.7700,6.7700,6.7700,100
1430320698,6.7500,6.7500,6.7500,6.7500,10100
