uri:/instrument/1.0/CTAS/chartdata;type=quote;range=1d/csv
ticker:ctas
Company-Name:Cintas Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:83.4200
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:82.2100,83.4100
high:82.2100,83.4100
low:82.1500,83.3900
open:82.2000,83.3900
volume:100,76500
1431437400,83.0000,83.1000,83.0000,83.1000,9600
1431437538,83.3900,83.3900,83.3900,83.3900,1100
1431437652,83.4100,83.4100,83.2900,83.3700,2100
1431437757,83.2000,83.3700,83.2000,83.2800,2400
1431437762,83.1200,83.2000,83.1200,83.2000,1300
1431437825,83.0000,83.1200,83.0000,83.1200,1000
1431437903,82.9900,82.9900,82.8501,82.9100,4500
1431437942,82.9700,82.9850,82.9600,82.9600,1000
1431438054,82.8000,82.9350,82.8000,82.9000,1800
1431438065,82.6500,82.8900,82.6500,82.8000,31200
1431438177,82.6800,82.6800,82.6400,82.6600,1900
1431438209,82.7400,82.8100,82.7200,82.7200,4500
1431438251,82.6000,82.6850,82.5900,82.6400,2600
1431438328,82.6400,82.6400,82.6400,82.6400,700
1431438389,82.6900,82.7000,82.6500,82.6500,2200
1431438442,82.7150,82.7400,82.6900,82.6900,900
1431438481,82.8800,82.8800,82.7800,82.7800,4200
1431438669,82.7400,82.7400,82.6900,82.7300,2400
1431438720,82.7400,82.8700,82.7400,82.7600,8500
1431438855,82.7000,82.7500,82.6400,82.6900,1700
1431438918,82.6900,82.7300,82.6900,82.7300,300
1431439011,82.6100,82.6800,82.6100,82.6800,400
1431439055,82.5800,82.5900,82.5800,82.5900,700
1431439084,82.6200,82.6300,82.5300,82.5500,1900
1431439180,82.5900,82.6700,82.5900,82.6700,400
1431439255,82.6200,82.6200,82.5800,82.5800,200
1431439279,82.5200,82.6300,82.5200,82.6300,1000
1431439432,82.6500,82.6800,82.5800,82.5800,3400
1431439494,82.6700,82.6700,82.6700,82.6700,100
1431439529,82.6550,82.6700,82.6500,82.6600,400
1431439613,82.5800,82.6700,82.5800,82.6300,2300
1431439679,82.6500,82.6800,82.5400,82.5600,2000
1431439737,82.7050,82.7050,82.5700,82.6200,2600
1431439767,82.6800,82.6900,82.6800,82.6800,500
1431439809,82.6500,82.6900,82.6500,82.6900,300
1431439907,82.6600,82.6900,82.6550,82.6600,2100
1431439926,82.5800,82.6600,82.5800,82.6600,900
1431439990,82.5600,82.5600,82.5400,82.5600,2100
1431440085,82.6100,82.6100,82.5800,82.6100,400
1431440206,82.6700,82.6800,82.6400,82.6500,3200
1431440224,82.6000,82.6800,82.5900,82.6800,2300
1431440282,82.5500,82.6000,82.5500,82.5800,800
1431440382,82.5000,82.5500,82.5000,82.5500,2700
1431440411,82.5300,82.5300,82.4900,82.4900,500
1431440516,82.5800,82.6200,82.5600,82.5600,1300
1431440543,82.5900,82.5900,82.5500,82.5500,200
1431440621,82.6600,82.6700,82.5500,82.5600,1600
1431440681,82.5900,82.6100,82.5600,82.5900,800
