uri:/instrument/1.0/CZR/chartdata;type=quote;range=500d/csv
ticker:czr
Company-Name:Caesars Entertainment Corporati
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:10.6700
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:9.2200,10.8800
high:9.2299,10.9200
low:9.1700,10.8300
open:9.2000,10.8700
volume:0,186800
1429882493,9.7600,9.7899,9.6700,9.7899,3900
1429882790,9.7000,9.7400,9.6800,9.7000,1400
1429883091,9.6950,9.7500,9.6600,9.7100,11700
1429883392,9.7900,9.8400,9.6800,9.6800,24600
1429883653,9.7300,9.8100,9.7300,9.8000,7100
1429883893,9.7800,9.7800,9.7800,9.7800,100
1429884285,9.7600,9.8000,9.7600,9.7600,6700
1429884567,9.6650,9.7700,9.6600,9.7700,16400
1429884860,9.7200,9.7300,9.6700,9.6700,2600
1429885160,9.7500,9.7600,9.7200,9.7200,1300
1429885436,9.7700,9.7700,9.7300,9.7300,4000
1429885760,9.8400,9.8400,9.7700,9.7700,9600
1429886098,9.9000,9.9000,9.8340,9.8340,23600
1429886393,9.9000,9.9100,9.8900,9.8900,7200
1429886680,9.8850,9.9200,9.8800,9.8999,15900
1429886955,9.9000,9.9050,9.8800,9.8800,15200
1429887264,9.8900,9.9050,9.8900,9.9000,5300
1429887558,9.9000,9.9050,9.8900,9.8950,14400
1429887894,9.9200,9.9200,9.8900,9.9000,16500
1429888161,9.9500,9.9600,9.9200,9.9200,8700
1429888469,9.8800,9.9600,9.8800,9.9599,10200
1429888797,9.9100,9.9100,9.8800,9.8990,3200
1429888991,9.9200,9.9200,9.9100,9.9100,3300
1429889392,9.9100,9.9200,9.9100,9.9200,1600
1429889646,9.8400,9.9200,9.8400,9.9200,6500
1429889962,9.8300,9.8600,9.8100,9.8100,4800
1429890195,9.7900,9.8200,9.7800,9.8200,3000
1429890485,9.8400,9.8600,9.7950,9.8000,6600
1429890880,9.8000,9.8700,9.8000,9.8200,12700
1429891130,9.7900,9.7900,9.7600,9.7900,6900
1429891488,9.7900,9.7900,9.7800,9.7900,800
1429891766,9.7700,9.7850,9.7700,9.7800,1700
1429892079,9.7700,9.7800,9.7400,9.7700,7500
1429892340,9.7600,9.7800,9.7600,9.7600,10900
1429892672,9.7300,9.7398,9.7200,9.7200,1600
1429892957,9.7500,9.7755,9.7200,9.7200,11100
1429893221,9.7700,9.7700,9.7500,9.7500,1900
1429893555,9.7500,9.7650,9.7500,9.7600,4800
1429893821,9.7200,9.7650,9.7000,9.7500,8300
1429894168,9.7200,9.7300,9.7100,9.7200,2500
1429894450,9.7600,9.7600,9.7200,9.7200,2300
1429894720,9.7550,9.7600,9.7550,9.7600,1200
1429895043,9.7200,9.7550,9.7200,9.7550,2000
1429895391,9.7250,9.7300,9.7200,9.7200,900
1429895663,9.7100,9.7250,9.7100,9.7200,1800
1429895916,9.7000,9.7099,9.7000,9.7000,600
1429896289,9.6900,9.7100,9.6900,9.7000,6200
1429896445,9.7200,9.7200,9.6900,9.6900,5300
1429896724,9.7450,9.7500,9.7400,9.7400,1300
1429897140,9.7200,9.7500,9.7200,9.7500,2600
1429897443,9.7100,9.7250,9.7100,9.7200,3000
1429897748,9.7250,9.7300,9.7000,9.7000,3300
1429898078,9.7200,9.7300,9.7100,9.7100,5200
1429898363,9.7500,9.7500,9.7300,9.7300,1800
1429898597,9.7500,9.7500,9.7400,9.7400,4400
1429898972,9.7500,9.7500,9.7400,9.7400,2300
1429899124,9.7500,9.7500,9.7400,9.7500,2200
1429899588,9.7250,9.7400,9.7200,9.7400,1600
1429899854,9.7200,9.7300,9.7200,9.7200,2500
1429900182,9.7200,9.7300,9.7200,9.7200,3500
1429900464,9.7300,9.7300,9.7200,9.7200,3300
1429900799,9.7430,9.7450,9.7200,9.7200,5100
1429901022,9.7300,9.7550,9.7300,9.7400,4600
1429901397,9.7600,9.7600,9.7300,9.7300,23600
1429901663,9.7900,9.7900,9.7400,9.7600,54900
1429901983,9.7600,9.7900,9.7500,9.7800,5100
1429902282,9.7900,9.7900,9.7500,9.7500,8500
1429902571,9.7900,9.7950,9.7700,9.7800,4600
1429902895,9.8100,9.8100,9.7800,9.7900,12700
1429903198,9.7942,9.8050,9.7942,9.8000,7700
1429903462,9.8000,9.8000,9.7800,9.7950,7500
1429903734,9.8300,9.8400,9.8000,9.8000,5300
1429904098,9.8085,9.8350,9.8050,9.8300,23500
1429904397,9.8100,9.8150,9.8000,9.8100,8300
1429904695,9.8100,9.8150,9.8000,9.8100,13600
1429904991,9.8300,9.8350,9.7900,9.8100,37900
1429905294,9.8250,9.8500,9.8200,9.8400,27500
1429905547,9.8300,9.8500,9.8200,9.8200,59200
1429905600,9.8300,9.8300,9.8300,9.8300,0
1430141624,9.8400,9.8600,9.8350,9.8350,0
1430141961,9.6900,9.8300,9.6900,9.8000,12300
1430142278,9.6600,9.6900,9.6600,9.6900,3400
1430142596,9.5900,9.6500,9.5800,9.6500,29600
1430142898,9.5799,9.5900,9.5500,9.5900,7600
1430143162,9.5600,9.6000,9.5600,9.5800,13700
1430143469,9.5978,9.6200,9.5700,9.5800,5600
1430143796,9.5900,9.6000,9.5850,9.6000,2400
1430144094,9.6135,9.6135,9.5800,9.5800,2000
1430144372,9.6600,9.6600,9.6400,9.6600,16600
1430144687,9.6750,9.6900,9.6500,9.6800,33000
1430144940,9.6900,9.7000,9.6700,9.6750,9600
1430145196,9.6900,9.7000,9.6700,9.6850,4600
1430145597,9.6500,9.7040,9.6500,9.6900,6900
1430145894,9.6900,9.6900,9.6500,9.6500,5400
1430146142,9.6700,9.6800,9.6600,9.6800,5400
1430146445,9.6100,9.6700,9.6100,9.6700,21300
1430146799,9.5600,9.6000,9.5400,9.6000,14100
1430147020,9.5700,9.5700,9.5500,9.5600,8600
1430147359,9.5900,9.5900,9.5600,9.5600,3400
1430147692,9.6300,9.6500,9.5900,9.5900,1400
1430147994,9.6500,9.6500,9.6400,9.6400,1100
1430148296,9.6700,9.7200,9.6500,9.6500,11200
1430148599,9.6500,9.6900,9.6500,9.6700,4000
1430148840,9.6800,9.6800,9.6400,9.6600,5900
1430149127,9.6600,9.6800,9.6500,9.6800,4600
1430149481,9.6800,9.6900,9.6600,9.6600,3000
1430149767,9.6400,9.6900,9.6400,9.6800,6400
1430150062,9.6100,9.6400,9.6000,9.6400,4200
1430150364,9.5900,9.6200,9.5800,9.6100,4500
1430150683,9.5900,9.6300,9.5800,9.5900,6700
1430150999,9.5600,9.5900,9.5600,9.5900,3400
1430151279,9.5500,9.5800,9.5499,9.5800,10000
1430151590,9.4900,9.5400,9.4900,9.5400,11800
1430151883,9.4900,9.5000,9.3900,9.4800,30200
1430152197,9.4400,9.5300,9.4400,9.5100,9400
1430152451,9.4500,9.4500,9.4300,9.4300,5600
1430152796,9.3950,9.4500,9.3900,9.4500,3600
1430153064,9.3900,9.4100,9.3700,9.3800,6700
1430153380,9.4200,9.4500,9.3900,9.3900,11800
1430153663,9.4000,9.4250,9.4000,9.4200,5000
1430153917,9.4500,9.4500,9.3990,9.4000,11400
1430154182,9.4500,9.4800,9.4300,9.4350,6200
1430154598,9.4450,9.4600,9.4400,9.4500,3700
1430154878,9.4100,9.4450,9.4000,9.4400,6000
1430155193,9.4350,9.4600,9.3900,9.4000,14300
1430155484,9.4300,9.4400,9.4200,9.4400,1800
1430155798,9.5399,9.5399,9.4200,9.4292,33800
1430156089,9.5000,9.5600,9.5000,9.5600,5700
1430156394,9.4900,9.5100,9.4700,9.5100,4200
1430156695,9.4700,9.5100,9.4700,9.4900,3000
1430156989,9.4300,9.4900,9.4200,9.4700,5800
1430157254,9.4920,9.5000,9.4200,9.4200,8100
1430157521,9.5400,9.5500,9.5000,9.5100,9900
1430157877,9.4800,9.5400,9.4800,9.5300,5700
1430158144,9.4950,9.5000,9.4800,9.4800,6700
1430158496,9.4800,9.4950,9.4800,9.4900,3200
1430158774,9.4800,9.4850,9.4800,9.4800,4200
1430159093,9.4800,9.4950,9.4800,9.4800,5500
1430159382,9.4800,9.5000,9.4800,9.4800,6500
1430159646,9.4984,9.5100,9.4850,9.4850,20700
1430159957,9.4800,9.5000,9.4800,9.4900,2100
1430160291,9.5000,9.5000,9.4800,9.4900,5600
1430160556,9.5000,9.5050,9.4900,9.4900,18500
1430160897,9.5000,9.5100,9.4900,9.5000,72400
1430161020,9.5350,9.5350,9.4850,9.4999,10300
1430161467,9.6150,9.6200,9.5500,9.5500,7100
1430161778,9.5600,9.6100,9.5500,9.6100,4400
1430162078,9.5200,9.5500,9.5200,9.5500,3000
1430162392,9.5000,9.5150,9.4950,9.5150,5300
1430162594,9.5100,9.5100,9.4850,9.5000,5700
1430162987,9.5100,9.5350,9.5100,9.5300,3700
1430163286,9.5000,9.5000,9.4700,9.5000,7300
1430163582,9.5300,9.5300,9.5000,9.5000,9500
1430163898,9.5000,9.5299,9.5000,9.5200,5200
1430164165,9.5000,9.5000,9.4800,9.5000,18200
1430164450,9.4600,9.4900,9.4500,9.4900,14700
1430164742,9.4600,9.4700,9.4500,9.4600,46600
1430164800,9.4700,9.4700,9.4700,9.4700,0
1430228098,9.3600,9.3700,9.3300,9.3700,0
1430228391,9.3200,9.3600,9.3200,9.3600,7100
1430228699,9.2596,9.3600,9.2596,9.3400,21600
1430228952,9.2750,9.2800,9.2501,9.2600,7100
1430229244,9.3300,9.3600,9.2800,9.2900,34300
1430229579,9.3100,9.3600,9.3100,9.3200,3800
1430229827,9.3150,9.3300,9.2900,9.3010,3200
1430230150,9.2900,9.3200,9.2800,9.2800,7200
1430230471,9.2600,9.2920,9.2500,9.2810,6100
1430230791,9.2800,9.2900,9.2400,9.2400,6800
1430231099,9.2500,9.2800,9.2500,9.2800,1900
1430231354,9.2900,9.3100,9.2500,9.2700,10900
1430231699,9.3300,9.3300,9.2900,9.3100,8600
1430231983,9.3600,9.3650,9.3100,9.3300,20400
1430232230,9.3800,9.3866,9.3800,9.3800,1000
1430232539,9.3478,9.3800,9.3300,9.3700,7700
1430232897,9.3500,9.3800,9.3200,9.3400,7700
1430233190,9.3200,9.3300,9.3100,9.3300,2100
1430233432,9.3500,9.3500,9.3299,9.3300,4200
1430233792,9.3200,9.3550,9.3200,9.3500,10400
1430234083,9.2800,9.3100,9.2800,9.3100,4700
1430234391,9.2500,9.2750,9.2500,9.2750,7100
1430234637,9.3100,9.3100,9.2899,9.2900,8500
1430234932,9.3550,9.3550,9.3200,9.3300,3900
1430235240,9.3500,9.3600,9.3500,9.3500,2100
1430235561,9.3500,9.3600,9.3500,9.3600,3000
1430235894,9.3200,9.3600,9.3200,9.3600,5500
1430236198,9.3500,9.3600,9.3200,9.3200,15500
1430236489,9.3500,9.3600,9.3400,9.3400,3200
1430236798,9.3450,9.3550,9.3400,9.3501,11000
1430237083,9.3500,9.3600,9.3400,9.3500,31100
1430237388,9.3900,9.4200,9.3500,9.3500,116800
1430237640,9.4200,9.4300,9.3800,9.3901,8500
1430237969,9.4200,9.4500,9.4200,9.4300,18400
1430238298,9.4500,9.4500,9.4100,9.4300,17900
1430238478,9.4950,9.5100,9.4699,9.4700,12100
1430238813,9.4700,9.4810,9.4300,9.4800,8200
1430239145,9.4000,9.4600,9.4000,9.4600,4300
1430239487,9.4000,9.4200,9.4000,9.4000,2400
1430239788,9.4200,9.4200,9.3700,9.4000,24600
1430240099,9.4300,9.4500,9.4200,9.4400,2600
1430240309,9.4100,9.4200,9.4000,9.4200,2500
1430240685,9.4200,9.4200,9.4000,9.4100,4800
1430240991,9.3700,9.4200,9.3700,9.4200,13000
1430241296,9.3700,9.3700,9.3500,9.3700,5700
1430241599,9.3500,9.3550,9.3400,9.3500,3600
1430241870,9.3750,9.3800,9.3450,9.3450,9000
1430242171,9.3700,9.3800,9.3600,9.3800,7300
1430242264,9.3800,9.3800,9.3700,9.3700,2200
1430242765,9.3650,9.3900,9.3650,9.3900,5500
1430243074,9.3700,9.3700,9.3600,9.3600,5700
1430243396,9.3700,9.3900,9.3700,9.3800,8600
1430243596,9.3600,9.3801,9.3500,9.3700,5200
1430243981,9.3700,9.3800,9.3600,9.3600,7800
